1,Chandler Hamilton (AZ),54.333,53.839,1.639,41.945,-10.690,(AZ),25
2,The Woodlands (TX),52.190,52.571,1.503,39.883,-11.818,(TX),33
3,Seffner Armwood (FL),51.870,51.701,1.454,39.439,-11.137,(FL),29
4,Matthews David W. Butler (NC),51.200,50.748,1.408,40.919,-9.683,(NC),26
5,Houston Spring Westfield (TX),51.153,51.160,1.467,39.041,-11.363,(TX),36
6,Miami Booker T. Washington (FL),50.678,50.537,1.592,37.881,-11.332,(FL),26
7,Denton Ryan (TX),50.544,50.403,1.566,40.883,-9.062,(TX),30
8,River Ridge Curtis (LA),50.133,49.608,1.441,38.480,-9.298,(LA),38
9,Highland Lone Peak (UT),50.076,49.319,1.643,36.181,-11.947,(UT),26
10,Odessa Permian (TX),49.921,50.176,1.498,40.162,-8.668,(TX),46
11,Madison Central (MS),49.419,48.988,1.520,38.438,-10.325,(MS),28
12,Jackson Prep (MS),49.291,48.870,1.480,38.269,-9.621,(MS),46
13,Flower Mound Marcus (TX),49.111,48.550,1.431,39.571,-9.308,(TX),35
14,Valdosta Lowndes (GA),48.885,48.505,1.319,39.111,-9.065,(GA),38
15,Colleyville Heritage (TX),48.706,49.109,1.412,39.578,-8.703,(TX),26
16,Cincinnati Archbishop Moeller (OH),48.479,48.447,1.455,38.424,-6.054,(OH),55
17,Euless Trinity (TX),47.688,47.595,1.364,38.855,-7.942,(TX),50
18,Rancho Santa Margarita (CA),47.663,47.900,1.396,38.272,-7.324,(CA),28
19,Snellville Brookwood (GA),47.621,47.565,1.485,37.749,-8.694,(GA),31
20,Plano East (TX),47.195,47.604,1.380,38.996,-7.714,(TX),31
21,San Antonio Reagan (TX),47.002,47.211,1.449,37.885,-8.172,(TX),26
22,Austin Westlake (TX),46.875,46.460,1.263,39.506,-6.257,(TX),53
23,Suwanee Collins Hill (GA),46.782,47.076,1.338,35.401,-10.416,(GA),25
24,Irmo Dutch Fork (SC),46.645,47.479,1.358,37.739,-8.281,(SC),30
25,Concord De La Salle (CA),46.526,45.980,1.188,39.878,-4.717,(CA),46
26,Fort Lauderdale Saint Thomas Aquinas (FL),46.320,46.076,1.264,37.008,-7.058,(FL),50
27,Shreveport Evangel Christian Academy (LA),46.159,45.764,1.267,39.367,-5.835,(LA),27
28,Santa Ana Mater Dei (CA),46.123,44.886,1.335,35.689,-6.772,(CA),46
29,New Orleans Karr (LA),46.021,45.858,1.480,35.531,-8.663,(LA),26
30,Peoria Centennial (AZ),45.881,45.770,1.181,36.974,-7.624,(AZ),26
31,Pittsburgh Woodland Hills (PA),45.591,45.951,1.408,33.870,-10.036,(PA),28
32,Hoover (AL),45.413,45.443,1.379,36.626,-7.463,(AL),51
33,Tyrone Sandy Creek (GA),45.233,45.308,1.311,35.134,-9.354,(GA),25
34,North Charleston Fort Dorchester (SC),44.992,44.144,1.357,37.549,-6.915,(SC),27
35,Pensacola Pine Forest (FL),44.889,45.320,1.283,35.522,-7.869,(FL),35
36,Midland Legacy (TX),44.474,43.961,1.212,38.370,-3.827,(TX),50
37,Kennesaw Harrison (GA),44.430,44.861,1.185,36.363,-7.269,(GA),30
38,Plantation American Heritage (FL),44.388,44.450,1.200,36.046,-7.300,(FL),32
39,Spring Klein Oak (TX),44.211,44.679,1.205,36.701,-6.550,(TX),30
40,Palm Beach Gardens Dwyer (FL),44.124,43.648,1.251,33.734,-9.546,(FL),26
41,Houston Cypress Falls (TX),43.862,44.032,1.244,37.679,-5.815,(TX),30
42,Houston Galena Park North Shore (TX),43.456,43.639,1.228,36.329,-4.889,(TX),53
43,Southlake Carroll (TX),43.384,42.608,1.106,36.503,-4.099,(TX),43
44,Warner Robins Northside (GA),43.343,43.452,1.179,35.399,-6.776,(GA),39
45,Norman Park Colquitt County (GA),43.184,43.299,1.321,35.768,-6.237,(GA),44
46,Provo Timpview (UT),43.182,43.472,1.218,36.314,-5.142,(UT),35
47,Warner Robins (GA),42.915,42.592,1.160,36.195,-5.088,(GA),42
48,Dallas Highland Park (TX),42.455,42.360,1.224,35.948,-3.473,(TX),86
49,Orlando Dr. Phillips (FL),42.445,42.373,1.220,33.555,-7.890,(FL),28
50,West Monroe (LA),42.316,42.436,1.193,34.272,-5.669,(LA),41
51,Valdosta (GA),42.131,42.137,1.155,34.903,-5.230,(GA),52
52,Brentwood Academy (TN),42.095,41.488,1.196,35.232,-3.730,(TN),49
53,Sandy Alta (UT),42.066,41.789,1.193,35.717,-4.278,(UT),35
54,Lilburn Parkview (GA),42.032,41.904,1.208,33.660,-7.354,(GA),40
55,Lafayette St. Thomas More (LA),42.029,42.016,1.191,36.195,-5.182,(LA),35
56,Arlington Lamar (TX),41.955,42.326,1.198,36.105,-4.694,(TX),53
57,Arlington Martin (TX),41.714,41.972,1.117,35.874,-4.902,(TX),42
58,Houston Langham Creek (TX),41.366,41.685,1.063,36.576,-4.314,(TX),34
59,Corona Centennial (CA),41.341,41.232,.997,38.785,-1.087,(CA),38
60,Miami Northwestern (FL),41.228,41.292,1.133,33.698,-5.262,(FL),46
61,Roebuck Dorman (SC),41.201,41.386,1.116,34.596,-5.580,(SC),41
62,Cincinnati Winton Woods (OH),41.019,41.633,1.129,35.156,-4.907,(OH),31
63,Beaumont West Brook (TX),40.997,41.437,1.149,37.672,-2.541,(TX),38
64,Abilene Cooper (TX),40.868,40.604,1.138,35.478,-3.171,(TX),63
65,Rock Hill Northwestern (SC),40.741,40.518,1.118,35.178,-4.749,(SC),39
66,San Antonio Madison (TX),40.618,41.150,1.150,35.781,-4.096,(TX),35
67,Wheaton Warrenville South (IL),40.456,40.996,1.091,32.558,-6.140,(IL),30
68,Omaha Millard West (NE),40.431,40.300,.893,33.440,-4.818,(NE),25
69,Metairie Archbishop Rummel (LA),40.390,40.516,1.191,31.716,-6.096,(LA),46
70,Pittsburgh Central Catholic (PA),40.365,40.035,1.200,32.238,-4.625,(PA),47
71,Granite Bay (CA),40.354,40.760,1.280,32.963,-6.162,(CA),26
72,Crystal Lake Prairie Ridge (IL),40.241,39.682,1.143,35.724,-3.376,(IL),26
73,Olathe North (KS),40.226,38.995,1.017,34.609,-3.930,(KS),32
74,Tallahassee Lincoln (FL),40.030,39.831,1.116,34.574,-4.194,(FL),37
75,Niceville (FL),39.945,39.828,1.168,35.228,-3.252,(FL),41
76,Vestavia Hills (AL),39.885,39.836,1.181,32.590,-6.130,(AL),36
77,Naperville Neuqua Valley (IL),39.874,39.799,1.104,33.168,-5.951,(IL),25
78,South Grand Prairie (TX),39.850,40.245,1.048,33.494,-4.565,(TX),39
79,DeSoto (TX),39.842,39.656,1.010,36.603,-1.493,(TX),54
80,Miami Southridge (FL),39.716,39.121,1.102,31.762,-5.539,(FL),39
81,West Chester Lakota West (OH),39.675,40.026,1.122,31.261,-6.804,(OH),29
82,Massillon Washington (OH),39.578,39.371,1.152,32.931,-1.425,(OH),87
83,Fairburn Creekside (GA),39.573,39.299,1.138,32.767,-6.200,(GA),32
84,Temple (TX),39.440,39.476,.961,33.406,-2.507,(TX),59
85,Keller Fossil Ridge (TX),39.417,39.821,1.113,34.063,-4.209,(TX),27
86,Phoenix Mountain Pointe (AZ),39.387,40.433,1.105,34.044,-3.434,(AZ),26
87,Louisville Trinity (KY),39.375,39.143,1.035,32.793,-3.638,(KY),52
88,Ramsey Don Bosco Prep (NJ),39.330,39.811,1.072,32.353,-4.166,(NJ),44
89,Blue Springs South (MO),39.301,38.622,1.087,32.917,-5.079,(MO),32
90,Tallahassee Godby (FL),39.162,39.374,1.063,33.418,-3.893,(FL),38
91,Rockingham Richmond (NC),39.152,38.870,1.082,35.652,-3.566,(NC),38
92,Wilmette Loyola Academy (IL),39.117,38.740,1.107,30.357,-6.036,(IL),41
93,Lakewood Saint Edward (OH),39.102,38.841,1.138,31.742,-3.938,(OH),58
94,Plain City Fremont (UT),39.062,38.946,1.202,31.365,-5.838,(UT),26
95,Spring Branch Smithson Valley (TX),39.061,39.414,1.024,32.563,-5.075,(TX),34
96,Mesquite Poteet (TX),39.001,38.431,1.149,33.429,-4.975,(TX),28
97,New Orleans St. Augustine (LA),38.998,39.245,1.104,32.063,-4.252,(LA),44
98,Honolulu Saint Louis (HI),38.984,38.709,1.268,34.964,-1.143,(HI),55
