Alias_Name,GameCount,Standardized_Name
Airdrie Bert Church (AB),58,Airdrie Bert Church (AB)
Airdrie George McDougall (AB),60,Airdrie George McDougall (AB)
Airdrie W.H. Croxford (AB),10,Airdrie W.H. Croxford (AB)
Alberta St. Albert Paul Kane (AB),2,Alberta St. Albert Paul Kane (AB)
Androssan (AB),5,Androssan (AB)
Ardrossan (AB),76,Ardrossan (AB)
Athabasca Edwin Parr Composite (AB),53,Athabasca Edwin Parr Composite (AB)
Beaumont (AB),49,Beaumont (AB)
Beaverlodge (AB),3,Beaverlodge (AB)
Bonnyville (AB),68,Bonnyville (AB)
Breton (AB),15,Breton (AB)
Brooks (AB),59,Brooks (AB)
Calgary All Saints (AB),24,Calgary All St. s (AB)
Calgary Bishop Carroll (AB),69,Calgary Bishop Carroll (AB)
Calgary Bishop Grandin (AB),59,Calgary Bishop Grandin (AB)
Calgary Bishop O'Byrne (AB),84,Calgary Bishop O'Byrne (AB)
Calgary Bowness (AB),43,Calgary Bowness (AB)
Calgary Central Memorial (AB),47,Calgary Central Memorial (AB)
Calgary Chestermere (AB),63,Calgary Chestermere (AB)
Calgary Crescent Heights (AB),96,Calgary Crescent Heights (AB)
Calgary Dr. E.P. Scarlett (AB),59,Calgary Dr. E.P. Scarlett (AB)
Calgary Ernest Manning (AB),91,Calgary Ernest Manning (AB)
Calgary Forest Lawn (AB),59,Calgary Forest Lawn (AB)
Calgary Forest Lawn-Jack James (AB),1,Calgary Forest Lawn-Jack James (AB)
Calgary Henry Wise Wood (AB),101,Calgary Henry Wise Wood (AB)
Calgary James Fowler (AB),30,Calgary James Fowler (AB)
Calgary Joane Cardinal-Schubert (AB),9,Calgary Joane Cardinal-Schubert (AB)
Calgary John G. Diefenbaker (AB),64,Calgary John G. Diefenbaker (AB)
Calgary Lester B. Pearson (AB),8,Calgary Lester B. Pearson (AB)
Calgary Lord Beaverbrook (AB),63,Calgary Lord Beaverbrook (AB)
Calgary North Trail (AB),9,Calgary North Trail (AB)
Calgary Notre Dame (AB),114,Calgary Notre Dame (AB)
Calgary Our Lady of the Rockies (AB),1,Calgary Our Lady of the Rockies (AB)
Calgary Robert Thirsk (AB),33,Calgary Robert Thirsk (AB)
Calgary Rundle (AB),62,Calgary Rundle (AB)
Calgary Rundle College Academy (AB),1,Calgary Rundle College Academy (AB)
Calgary Saint Francis (AB),1,Calgary St. Francis (AB)
Calgary Sir Winston Churchill (AB),104,Calgary Sir Winston Churchill (AB)
Calgary Southern Alberta (AB),1,Calgary Southern Alberta (AB)
