Alias_Name,GameCount,Standardized_Name
Anchorage Bartlett (AK),387,Anchorage Bartlett (AK)
Anchorage Dimond (AK),389,Anchorage Dimond (AK)
Anchorage Service (AK),404,Anchorage Service (AK)
Anchorage South (AK),205,Anchorage South (AK)
Anchorage West (AK),412,Anchorage West (AK)
Barrow (AK),154,Barrow (AK)
Big Lake Houston (AK),193,Big Lake Houston (AK)
Houston (AK),48,Big Lake Houston (AK)
Eagle River (AK),162,Eagle River (AK)
Eagle River Chugiak (AK),410,Eagle River Chugiak (AK)
East Anchorage Bettye Davis (AK),416,East Anchorage Bettye Davis (AK)
Eielson AFB Ben Eielson (AK),339,Eielson AFB Ben Eielson (AK)
Fairbanks Lathrop (AK),240,Fairbanks Lathrop (AK)
Fairbanks Monroe Catholic (AK),114,Fairbanks Monroe Catholic (AK)
Fairbanks West Valley (AK),340,Fairbanks West Valley (AK)
Homer (AK),315,Homer (AK)
Juneau Douglas (AK),18,Juneau-Douglas (AK)
Juneau-Douglas (AK),232,Juneau-Douglas (AK)
Kenai Central (AK),404,Kenai Central (AK)
Ketchikan (AK),117,Ketchikan (AK)
Kodiak (AK),172,Kodiak (AK)
Lathrop East (AK),139,Lathrop East (AK)
Mississauga Clarkson North (AK),17,Mississauga Clarkson North (ON)
Nikiski (AK),288,Nikiski (AK)
North Pole (AK),366,North Pole (AK)
Palmer (AK),393,Palmer (AK)
Palmer Colony (AK),285,Palmer Colony (AK)
Seward (AK),203,Seward (AK)
Soldotna (AK),379,Soldotna (AK)
Soldotna Skyview (AK),173,Soldotna Skyview (AK)
Valdez (AK),157,Valdez (AK)
Wasilla (AK),337,Wasilla (AK)
