Alias_Name,GameCount,Standardized_Name
Abbeville (AL),874,Abbeville (AL)
Abbeville Christian Academy (AL),467,Abbeville Christian Academy (AL)
Abrams (AL),141,Abrams (AL)
Adamsville Minor (AL),988,Adamsville Minor (AL)
Addison (AL),858,Addison (AL)
Akron (AL),746,Akron (AL)
Alabama School for the Deaf (AL),888,Alabama School for the Deaf (AL)
AL School for the Deaf (AL),1,Alabama School for the Deaf (AL)
Alabaster Evangel Christian (AL),268,Alabaster Evangel Christian (AL)
Alabaster Kingwood Christian (AL),226,Alabaster Kingwood Christian (AL)
Alabaster Thompson (AL),850,Alabaster Thompson (AL)
Alba (AL),484,Alba (AL)
Albertville (AL),1163,Albertville (AL)
Albertville Marshall Christian Academy (AL),21,Albertville Marshall Christian Academy (AL)
Albertville Marshall Christian (AL),7,Albertville Marshall Christian Academy (AL)
Alexander City (AL),260,Alexander City (AL)
Alexander City Benjamin Russell (AL),1108,Alexander City Benjamin Russell (AL)
Alexander City Laurel (AL),150,Alexander City Laurel (AL)
Alexandria (AL),1028,Alexandria (AL)
Aliceville (AL),935,Aliceville (AL)
Alpine Winterboro (AL),734,Alpine Winterboro (AL)
Altoona (AL),301,Altoona (AL)
Andalusia (AL),963,Andalusia (AL)
Andalusia Pleasant Home (AL),260,Andalusia Pleasant Home (AL)
Andalusia Straughn (AL),554,Andalusia Straughn (AL)
Anniston (AL),1105,Anniston (AL)
Anniston Cobb Avenue (AL),275,Anniston Cobb Avenue (AL)
Anniston Donoho (AL),559,Anniston Donoho (AL)
Anniston Saks (AL),709,Anniston Saks (AL)
Anniston Wellborn (AL),749,Anniston Wellborn (AL)
Anniston White Plains (AL),559,Anniston White Plains (AL)
Arab (AL),969,Arab (AL)
Ardmore (AL),796,Ardmore (AL)
Ariton (AL),643,Ariton (AL)
Arley Meek (AL),812,Arley Meek (AL)
Ashford (AL),808,Ashford (AL)
Ashford Academy (AL),379,Ashford Academy (AL)
Ashland Clay County (AL),899,Ashland Clay County (AL)
Ashville (AL),728,Ashville (AL)
Athens (AL),1103,Athens (AL)
Athens Clements (AL),644,Athens Clements (AL)
Athens East Limestone (AL),679,Athens East Limestone (AL)
Atmore Escambia Academy (AL),473,Atmore Escambia Academy (AL)
Atmore Escambia County (AL),1076,Atmore Escambia County (AL)
Attalla Etowah (AL),1131,Attalla Etowah (AL)
Auburn (AL),1121,Auburn (AL)
Auburn Lee-Scott Academy (AL),405,Auburn Lee-Scott Academy (AL)
Auburn Lee Scott (AL),18,Auburn Lee-Scott Academy (AL)
Autaugaville (AL),730,Autaugaville (AL)
Bay Minette Baldwin County (AL),1092,Bay Minette Baldwin County (AL)
Bay Minette (AL),2,Bay Minette Baldwin County (AL)
Bear Creek Phillips (AL),772,Bear Creek Phillips (AL)
Beatrice (AL),179,Beatrice (AL)
J.F. Shields (AL),348,Beatrice J.F. Shields (AL)
