Alias_Name,GameCount,Standardized_Name
Alma (AR),759,Alma (AR)
Altheimer (AR),197,Altheimer (AR)
Amity Centerpoint (AR),290,Amity Centerpoint (AR)
Arkadelphia (AR),588,Arkadelphia (AR)
Arkansas School for the Deaf (AR),106,Arkansas School for the Deaf (AR)
Ashdown (AR),544,Ashdown (AR)
Atkins (AR),506,Atkins (AR)
Augusta (AR),368,Augusta (AR)
Bald Knob (AR),463,Bald Knob (AR)
Batesville (AR),566,Batesville (AR)
"Batesville """"B"""" (AR)",1,Batesville B (AR)
Batesville Southside (AR),215,Batesville Southside (AR)
Bauxite (AR),511,Bauxite (AR)
Bearden (AR),490,Bearden (AR)
Beebe (AR),527,Beebe (AR)
Benton (AR),659,Benton (AR)
Benton Harmony Grove (AR),164,Benton Harmony Grove (AR)
Bentonville (AR),695,Bentonville (AR)
Berryville (AR),476,Berryville (AR)
Bigelow (AR),301,Bigelow (AR)
Bismarck (AR),419,Bismarck (AR)
Blytheville (AR),646,Blytheville (AR)
Booneville (AR),615,Booneville (AR)
Bradley (AR),133,Bradley (AR)
Brinkley (AR),503,Brinkley (AR)
Brookland (AR),137,Brookland (AR)
Bryant (AR),648,Bryant (AR)
Bryant Arkansas Christian (AR),6,Bryant Arkansas Christian Academy (AR)
Bryant Arkansas Christian Academy (AR),84,Bryant Arkansas Christian Academy (AR)
Cabot (AR),812,Cabot (AR)
Camden (AR),263,Camden (AR)
Camden Fairview (AR),577,Camden Fairview (AR)
Camden Harmony Grove (AR),472,Camden Harmony Grove (AR)
Carlisle (AR),543,Carlisle (AR)
Cave City (AR),188,Cave City (AR)
Cedarville (AR),352,Cedarville (AR)
Charleston (AR),524,Charleston (AR)
Cherry Valley Cross County (AR),428,Cherry Valley Cross County (AR)
Clarendon (AR),476,Clarendon (AR)
Clarksville (AR),550,Clarksville (AR)
Clinton (AR),497,Clinton (AR)
Conway (AR),775,Conway (AR)
Conway Christian (AR),215,Conway Christian (AR)
Corning (AR),506,Corning (AR)
Cotton Plant (AR),118,Cotton Plant (AR)
Crawfordsville (AR),114,Crawfordsville (AR)
Crossett (AR),597,Crossett (AR)
Danville (AR),423,Danville (AR)
Dardanelle (AR),449,Dardanelle (AR)
Dardanelle Sand (AR),19,Dardanelle (AR)
De Queen (AR),510,De Queen (AR)
Decatur (AR),179,Decatur (AR)
Dermott (AR),334,Dermott (AR)
Des Arc (AR),8,DesArc (AR)
DesArc (AR),424,DesArc (AR)
DeWitt (AR),516,DeWitt (AR)
Dierks (AR),459,Dierks (AR)
Dover (AR),441,Dover (AR)
Dumas (AR),538,Dumas (AR)
Earle (AR),488,Earle (AR)
El Dorado (AR),986,El Dorado (AR)
El Dorado Parkers Chapel (AR),179,El Dorado Parkers Chapel (AR)
Elaine (AR),206,Elaine (AR)
Elkins (AR),409,Elkins (AR)
England (AR),505,England (AR)
Eudora (AR),250,Eudora (AR)
Farmington (AR),470,Farmington (AR)
Fayetteville (AR),962,Fayetteville (AR)
Fordyce (AR),590,Fordyce (AR)
Foreman (AR),428,Foreman (AR)
Forrest City (AR),589,Forrest City (AR)
Fort Smith (AR),363,Fort Smith (AR)
Fort Smith Northside (AR),1188,Fort Smith Northside (AR)
Fort Smith Southside (AR),712,Fort Smith Southside (AR)
Fort Smith Union Christian Academy (AR),155,Fort Smith Union Christian Academy (AR)
Fouke (AR),416,Fouke (AR)
Gentry (AR),431,Gentry (AR)
Gillett (AR),269,Gillett (AR)
Glenwood (AR),149,Glenwood (AR)
Gosnell (AR),497,Gosnell (AR)
Gould (AR),112,Gould (AR)
Gravette (AR),435,Gravette (AR)
Green Forest (AR),412,Green Forest (AR)
Greenbrier (AR),519,Greenbrier (AR)
Greenland (AR),430,Greenland (AR)
Greenwood (AR),569,Greenwood (AR)
Gurdon (AR),485,Gurdon (AR)
Hackett (AR),398,Hackett (AR)
Hamburg (AR),562,Hamburg (AR)
Hampton (AR),432,Hampton (AR)
Hardy Highland (AR),518,Hardy Highland (AR)
Harrisburg (AR),503,Harrisburg (AR)
Harrison (AR),596,Harrison (AR)
Hartford (AR),215,Hartford (AR)
Hartman Coal Hill Westside (AR),180,Hartman Coal Hill Westside (AR)
Havana Western Yell County (AR),142,Havana Western Yell County (AR)
Hazen (AR),473,Hazen (AR)
Heber Springs (AR),454,Heber Springs (AR)
Hector (AR),426,Hector (AR)
Helena-West Helena Central (AR),124,Helena-West Helena Central (AR)
Hermitage (AR),352,Hermitage (AR)
Hope (AR),616,Hope (AR)
Hope Spring Hill (AR),220,Hope Spring Hill (AR)
Horatio (AR),431,Horatio (AR)
Hot Springs (AR),739,Hot Springs (AR)
Hot Springs Lakeside (AR),470,Hot Springs Lakeside (AR)
Hot Springs National Park Cutter Morning (AR),7,Hot Springs National Park Cutter-Morning Star (AR)
Hot Springs National Park Cutter-Morning Star (AR),316,Hot Springs National Park Cutter-Morning Star (AR)
Hot Springs National Park Fountain Lake (AR),419,Hot Springs National Park Fountain Lake (AR)
Hoxie (AR),504,Hoxie (AR)
Hughes (AR),302,Hughes (AR)
Huntsville (AR),525,Huntsville (AR)
Jacksonville (AR),558,Jacksonville (AR)
Jacksonville North Pulaski (AR),344,Jacksonville North Pulaski (AR)
Jessieville (AR),400,Jessieville (AR)
Jonesboro (AR),638,Jonesboro (AR)
Jonesboro Nettleton (AR),514,Jonesboro Nettleton (AR)
Jonesboro Valley View (AR),216,Jonesboro Valley View (AR)
Jonesboro Westside (AR),497,Jonesboro Westside (AR)
Junction City (AR),485,Junction City (AR)
Lake Village (AR),242,Lake Village (AR)
Lake Village Lakeside (AR),250,Lake Village Lakeside (AR)
Lamar (AR),465,Lamar (AR)
Lavaca (AR),392,Lavaca (AR)
Lepanto East Poinsett (AR),7,Lepanto East Poinsett County (AR)
Lepanto East Poinsett County (AR),415,Lepanto East Poinsett County (AR)
Lewisville (AR),199,Lewisville (AR)
Lexa Barton (AR),510,Lexa Barton (AR)
Lincoln (AR),433,Lincoln (AR)
Little Rock Arkansas Baptist (AR),185,Little Rock Arkansas Baptist (AR)
Little Rock Arkansas School (AR),5,Little Rock Arkansas Baptist (AR)
Little Rock Catholic (AR),697,Little Rock Catholic (AR)
Little Rock Central (AR),1016,Little Rock Central (AR)
Little Rock Christian Academy (AR),192,Little Rock Christian Academy (AR)
Little Rock Episcopal (AR),186,Little Rock Episcopal (AR)
Little Rock Fair (AR),329,Little Rock Fair (AR)
Little Rock Hall (AR),566,Little Rock Hall (AR)
Little Rock McClellan (AR),533,Little Rock McClellan (AR)
Little Rock Mills (AR),441,Little Rock Mills (AR)
Little Rock Mills University (AR),8,Little Rock Mills (AR)
Little Rock Parkview (AR),572,Little Rock Parkview (AR)
Little Rock Pulaski Academy (AR),497,Little Rock Pulaski Academy (AR)
Little Rock Robinson (AR),504,Little Rock Robinson (AR)
Little Rock Southwest (AR),46,Little Rock Southwest Christian Academy (AR)
Little Rock Southwest Christian (AR),15,Little Rock Southwest Christian Academy (AR)
Little Rock Southwest Christian Academy (AR),63,Little Rock Southwest Christian Academy (AR)
Lonoke (AR),545,Lonoke (AR)
Magazine Leftwich (AR),264,Magazine Leftwich (AR)
Magnolia (AR),594,Magnolia (AR)
Magnolia Aggies (AR),4,Magnolia (AR)
Malvern (AR),621,Malvern (AR)
Malvern Glen Rose (AR),482,Malvern Glen Rose (AR)
Malvern Magnet Cove (AR),498,Malvern Magnet Cove (AR)
Manila (AR),200,Manila (AR)
Mansfield (AR),456,Mansfield (AR)
Marianna (AR),271,Marianna (AR)
Marianna Lee (AR),228,Marianna Lee (AR)
Marianna Lee Academy (AR),323,Marianna Lee Academy (AR)
Marion (AR),510,Marion (AR)
Marked Tree (AR),452,Marked Tree (AR)
Marshall (AR),399,Marshall (AR)
Marvell (AR),376,Marvell (AR)
Marvell Academy (AR),423,Marvell Academy (AR)
Maumelle (AR),156,Maumelle (AR)
Mayflower (AR),468,Mayflower (AR)
McCrory (AR),470,McCrory (AR)
McGehee (AR),583,McGehee (AR)
Melbourne (AR),155,Melbourne (AR)
Mena (AR),528,Mena (AR)
Mineral Springs (AR),429,Mineral Springs (AR)
Miss. Cty. Christian (AR),1,Mississippi County (AR)
Mississippi County (AR),22,Mississippi County (AR)
Monticello (AR),545,Monticello (AR)
Monticello Aggies (AR),2,Monticello (AR)
Monticello Drew Central (AR),173,Monticello Drew Central (AR)
Montrose Academy (AR),104,Montrose Academy (AR)
Morrilton (AR),529,Morrilton (AR)
Mount Ida (AR),434,Mount Ida (AR)
Mountain Home (AR),489,Mountain Home (AR)
Mountain Pine (AR),416,Mountain Pine (AR)
Mountain View (AR),412,Mountain View (AR)
Mountainburg (AR),396,Mountainburg (AR)
Murfreesboro (AR),477,Murfreesboro (AR)
Nashville (AR),859,Nashville (AR)
Newark Cedar Ridge (AR),161,Newark Cedar Ridge (AR)
Newport (AR),627,Newport (AR)
Norphlet (AR),316,Norphlet (AR)
North Little Rock (AR),853,North Little Rock (AR)
North Little Rock Central Arkansas (AR),8,North Little Rock Central Arkansas Christian (AR)
North Little Rock Central Arkansas Christian (AR),359,North Little Rock Central Arkansas Christian (AR)
North Little Rock Northeast (AR),184,North Little Rock Northeast (AR)
North Little Rock Oak Grove (AR),351,North Little Rock Oak Grove (AR)
North Little Rock Ole Main (AR),181,North Little Rock Ole Main (AR)
Ola (AR),190,Ola (AR)
Ola Two Rivers (AR),224,Ola Two Rivers (AR)
Osceola (AR),561,Osceola (AR)
Ozark (AR),550,Ozark (AR)
Palestine-Wheatley (AR),366,Palestine-Wheatley (AR)
Paragould (AR),419,Paragould (AR)
Paragould Greene County (AR),7,Paragould Greene County Tech (AR)
Paragould Greene County Tech (AR),474,Paragould Greene County Tech (AR)
Paragould Ridgecrest (AR),110,Paragould Ridgecrest (AR)
Paris (AR),527,Paris (AR)
Parkin (AR),230,Parkin (AR)
Pea Ridge (AR),376,Pea Ridge (AR)
Pearcy Lake Hamilton (AR),584,Pearcy Lake Hamilton (AR)
Perryville (AR),442,Perryville (AR)
Piggott (AR),477,Piggott (AR)
Pine Bluff (AR),1212,Pine Bluff (AR)
Pine Bluff Dollarway (AR),596,Pine Bluff Dollarway (AR)
Pine Bluff Watson Chapel (AR),539,Pine Bluff Watson Chapel (AR)
Pocahontas (AR),533,Pocahontas (AR)
Pottsville (AR),243,Pottsville (AR)
Poyen (AR),174,Poyen (AR)
Prairie Grove (AR),423,Prairie Grove (AR)
Prescott (AR),595,Prescott (AR)
Quitman (AR),190,Quitman (AR)
Rector (AR),103,Rector (AR)
Rector Clay County Central (AR),234,Rector Clay County Central (AR)
Rison (AR),563,Rison (AR)
Rison Woodlawn (AR),372,Rison Woodlawn (AR)
Rogers (AR),637,Rogers (AR)
Rogers Heritage (AR),153,Rogers Heritage (AR)
Rohwer Delta (AR),83,Rohwer Delta (AR)
Rohwer Desha Central (AR),2,Rohwer Delta (AR)
Rose Bud (AR),136,Rose Bud (AR)
Russellville (AR),688,Russellville (AR)
Russellville Aggies (AR),2,Russellville (AR)
Salem (AR),466,Salem (AR)
Searcy (AR),574,Searcy (AR)
Searcy Harding Academy (AR),528,Searcy Harding Academy (AR)
Searcy Riverview (AR),186,Searcy Riverview (AR)
Sheridan (AR),540,Sheridan (AR)
Sherwood Sylvan Hills (AR),565,Sherwood Sylvan Hills (AR)
Siloam Springs (AR),528,Siloam Springs (AR)
Smackover (AR),554,Smackover (AR)
Sparkman (AR),191,Sparkman (AR)
Springdale (AR),864,Springdale (AR)
Springdale Har Ber (AR),7,Springdale Har-Ber (AR)
Springdale Har-Ber (AR),223,Springdale Har-Ber (AR)
Springdale Shiloh Christian (AR),418,Springdale Shiloh Christian (AR)
Stamps (AR),247,Stamps (AR)
Stamps Lafayette County (AR),227,Stamps Lafayette County (AR)
Star City (AR),472,Star City (AR)
Strong (AR),450,Strong (AR)
Stuttgart (AR),637,Stuttgart (AR)
Subiaco Academy (AR),548,Subiaco Academy (AR)
Texarkana (AR),957,Texarkana (AR)
Texarkana Arkansas (AR),8,Texarkana (AR)
Texarkana Genoa Central (AR),154,Texarkana Genoa Central (AR)
Trumann (AR),522,Trumann (AR)
Turrell (AR),214,Turrell (AR)
Van Buren (AR),649,Van Buren (AR)
Vilonia (AR),526,Vilonia (AR)
Waldron (AR),467,Waldron (AR)
Walnut Ridge (AR),457,Walnut Ridge (AR)
Warren (AR),580,Warren (AR)
West Fork (AR),391,West Fork (AR)
West Helena Central (AR),328,West Helena Central (AR)
West Helena DeSoto (AR),503,West Helena DeSoto (AR)
West Memphis (AR),710,West Memphis (AR)
West Memphis Christian (AR),332,West Memphis Christian (AR)
White Hall (AR),544,White Hall (AR)
Wilson Rivercrest (AR),566,Wilson Rivercrest (AR)
Wynne (AR),876,Wynne (AR)
Yellville (AR),135,Yellville (AR)
Yellville-Summit (AR),353,Yellville-Summit (AR)
???arkana (AR),1,Texarkana (AR)
