Alias_Name,GameCount,Standardized_Name
Ajo (AZ),354,Ajo (AZ)
Anthem Boulder Creek (AZ),197,Anthem Boulder Creek (AZ)
Apache Junction (AZ),568,Apache Junction (AZ)
Apache Junction Imagine Prep (AZ),12,Apache Junction Imagine Prep Superstition (AZ)
Apache Junction Imagine Prep Superstition (AZ),35,Apache Junction Imagine Prep Superstition (AZ)
Avondale Agua Fria (AZ),693,Avondale Agua Fria (AZ)
Avondale La Joya (AZ),18,Avondale La Joya Community (AZ)
Avondale La Joya Community (AZ),171,Avondale La Joya Community (AZ)
Avondale Saint John Paul II Catholic (AZ),13,Avondale St. John Paul II Catholic (AZ)
Avondale St. John (AZ),18,Avondale St. John Paul II Catholic (AZ)
Avondale St. John Paul II Catholic (AZ),20,Avondale St. John Paul II Catholic (AZ)
Avondale Westview (AZ),399,Avondale Westview (AZ)
Bagdad (AZ),264,Bagdad (AZ)
Benson (AZ),459,Benson (AZ)
Bisbee (AZ),667,Bisbee (AZ)
Buckeye (AZ),615,Buckeye (AZ)
Buckeye Verrado (AZ),167,Buckeye Verrado (AZ)
Buckeye Youngker (AZ),132,Buckeye Youngker (AZ)
Bullhead City Mohave (AZ),19,Bullhead City Mohave Accelerated (AZ)
Bullhead City Mohave Accelerated (AZ),660,Bullhead City Mohave Accelerated (AZ)
Camp Verde (AZ),356,Camp Verde (AZ)
Casa Grande (AZ),935,Casa Grande (AZ)
Casa Grande Mission Heights (AZ),12,Casa Grande Mission Heights Prep (AZ)
Casa Grande Mission Heights Prep (AZ),24,Casa Grande Mission Heights Prep (AZ)
Casa Grande Vista Grande (AZ),121,Casa Grande Vista Grande (AZ)
Cave Creek Cactus Shadows (AZ),408,Cave Creek Cactus Shadows (AZ)
Chandler (AZ),789,Chandler (AZ)
Chandler AZ Compass Prep (AZ),5,Chandler AZ Compass Prep (AZ)
Chandler AZ Compass Prep Green (AZ),2,Chandler AZ Compass Prep (AZ)
Chandler Basha (AZ),226,Chandler Basha (AZ)
Chandler Hamilton (AZ),337,Chandler Hamilton (AZ)
Chandler Prep (AZ),133,Chandler Prep (AZ)
Chandler Seton Catholic (AZ),368,Chandler Seton Catholic (AZ)
Chandler Seton Catholic Prep (AZ),1,Chandler Seton Catholic (AZ)
Chandler Skyline - Gila River (AZ),2,Chandler Skyline - Gila River (AZ)
Chandler Skyline Gila (AZ),13,Chandler Skyline - Gila River (AZ)
Chandler Valley Christian (AZ),349,Chandler Valley Christian (AZ)
Chinle (AZ),368,Chinle (AZ)
Chinle Rough Rock (AZ),115,Chinle Rough Rock (AZ)
Chino Valley (AZ),294,Chino Valley (AZ)
Cibecue Dishchiibikoh (AZ),2,Cibecue-Dischii Biko (AZ)
Cibecue Dishchii'bikoh (AZ),1,Cibecue-Dischii Biko (AZ)
Cibecue-Dischii Biko (AZ),10,Cibecue-Dischii Biko (AZ)
Clifton (AZ),115,Clifton (AZ)
Coolidge (AZ),698,Coolidge (AZ)
Cottonwood Mingus (AZ),637,Cottonwood Mingus (AZ)
Douglas (AZ),1109,Douglas (AZ)
Duncan (AZ),374,Duncan (AZ)
Eagar Round Valley (AZ),505,Eagar Round Valley (AZ)
Eager Round Valley (AZ),387,Eagar Round Valley (AZ)
El Mirage Dysart (AZ),543,El Mirage Dysart (AZ)
Elfrida Valley Union (AZ),192,Elfrida Valley Union (AZ)
Eloy Santa Cruz Valley (AZ),694,Eloy Santa Cruz Valley (AZ)
Flagstaff (AZ),1014,Flagstaff (AZ)
Flagstaff Coconino (AZ),646,Flagstaff Coconino (AZ)
Flagstaff Sinagua (AZ),219,Flagstaff Sinagua (AZ)
Florence (AZ),678,Florence (AZ)
Fort Defiance Window Rock (AZ),337,Fort Defiance Window Rock (AZ)
Fort Thomas (AZ),193,Fort Thomas (AZ)
Fountain Hills (AZ),298,Fountain Hills (AZ)
Fredonia (AZ),162,Fredonia (AZ)
Ganado (AZ),412,Ganado (AZ)
Gila Bend (AZ),215,Gila Bend (AZ)
Gilbert (AZ),688,Gilbert (AZ)
Gilbert Arete Prep (AZ),108,Gilbert Arete Prep (AZ)
Gilbert Campo Verde (AZ),162,Gilbert Campo Verde (AZ)
Gilbert Christian (AZ),153,Gilbert Christian (AZ)
Gilbert Highland (AZ),378,Gilbert Highland (AZ)
Gilbert Higley (AZ),287,Gilbert Higley (AZ)
Gilbert Mesquite (AZ),291,Gilbert Mesquite (AZ)
Gilbert Perry (AZ),196,Gilbert Perry (AZ)
Gilbert Williams Field (AZ),212,Gilbert Williams Field (AZ)
Glendale (AZ),757,Glendale (AZ)
Glendale Apollo (AZ),666,Glendale Apollo (AZ)
Glendale Cactus (AZ),611,Glendale Cactus (AZ)
