Alias_Name,GameCount,Standardized_Name
Abbotsford (BC),129,Abbotsford (BC)
Abbotsford Senior Secondary School (BC),1,Abbotsford (BC)
Abbotsford Mouat (BC),200,Abbotsford Mouat (BC)
Abbotsford Hansen (BC),4,Abbotsford Rick Hansen (BC)
Abbotsford Rick Hansen (BC),66,Abbotsford Rick Hansen (BC)
Abbotsford Robert Bateman (BC),83,Abbotsford Robert Bateman (BC)
Buranby Central (BC),6,Burnaby Central (BC)
Burnaby Central (BC),15,Burnaby Central (BC)
Burnaby More Collegiate (BC),1,Burnaby St. Thomas More Collegiate (BC)
Burnaby St. Thomas More Collegiate (BC),243,Burnaby St. Thomas More Collegiate (BC)
Chilliwack G.W. Graham (BC),104,Chilliwack G.W. Graham (BC)
Coquitlam Centennial (BC),207,Coquitlam Centennial (BC)
Coquitlam Pine Tree (BC),4,Coquitlam Pine Tree (BC)
Coquitlam Pinetree (BC),1,Coquitlam Pine Tree (BC)
Coquitlam Terry Fox (BC),156,Coquitlam Terry Fox (BC)
Cranbrook Mount Baker (BC),28,Cranbrook Mt. Baker (BC)
North Delta (BC),9,Delta North Delta (BC)
Delta Seaquam (BC),148,Delta Seaquam (BC)
Frank Hurt (BC),59,Frank Hurt (BC)
Kamloops Valleyview (BC),67,Kamloops Valleyview (BC)
Kamloops Westsyde (BC),46,Kamloops Westsyde (BC)
Kelowna (BC),182,Kelowna (BC)
Kelowna Mt. Boucherie (BC),135,Kelowna Mt. Boucherie (BC)
Mt. Boucherie (BC),12,Kelowna Mt. Boucherie (BC)
Kelowna Okanagan Mission (BC),94,Kelowna Okanagan Mission (BC)
Kelowna Rutland (BC),165,Kelowna Rutland (BC)
Clover Park (BC),1,Lakewood Clover Park (WA)
Langford Belmont (BC),98,Langford Belmont (BC)
Langley (BC),73,Langley (BC)
Maple Ridge Samuel Roberts (BC),20,Maple Ridge Samuel Roberts (BC)
Maple Ridge Samuel Robertson Tech (BC),1,Maple Ridge Samuel Roberts (BC)
Mission École Mission (BC),100,Mission Ecole Mission (BC)
Nanaimo (BC),72,Nanaimo (BC)
Nanaimo Barsby (BC),1,Nanaimo John Barsby (BC)
Nanaimo John Barsby (BC),101,Nanaimo John Barsby (BC)
New Westminster (BC),204,New Westminster (BC)
North Vancouver Argyle (BC),72,North Vancouver Argyle (BC)
North Vancouver Carson Graham (BC),169,North Vancouver Carson Graham (BC)
North Vancouver Handsworth (BC),144,North Vancouver Handsworth (BC)
North Vancouver Windsor (BC),84,North Vancouver Windsor (BC)
Parksville Ballenas (BC),97,Parksville Ballenas (BC)
Pitt Meadows (BC),77,Pitt Meadows (BC)
Port Coquitlam Terry Fox (BC),106,Port Coquitlam Terry Fox (BC)
Prince George (BC),43,Prince George (BC)
Prince George College Heights (BC),45,Prince George College Heights (BC)
Prince George Duchess Park (BC),55,Prince George Duchess Park (BC)
Prince George Kelly Road (BC),40,Prince George Kelly Road (BC)
"Raymond, AB (BC)",1,Raymond (AB)
Richmond (BC),43,Richmond (BC)
Richmond Boyd (BC),2,Richmond Hugh Boyd (BC)
Richmond Hugh Boyd (BC),74,Richmond Hugh Boyd (BC)
Clairemont (BC),1,Saanich Claremont (BC)
Saanich Mount Douglas (BC),149,Saanich Mt. Douglas (BC)
Salmon Arm (BC),81,Salmon Arm (BC)
South Kamloops (BC),67,South Kamloops (BC)
Squamish Howe Sound (BC),52,Squamish Howe Sound (BC)
Surrey Earl Marriott (BC),96,Surrey Earl Marriott (BC)
Surrey Holy Cross (BC),103,Surrey Holy Cross (BC)
Surrey Lord Tweedsmuir (BC),169,Surrey Lord Tweedsmuir (BC)
North Surrey (BC),2,Surrey North Surrey (BC)
South Delta (BC),194,Tsawwassen South Delta (BC)
Tsawwassen South Delta (BC),4,Tsawwassen South Delta (BC)
Vancouver Collegiate (BC),885,Vancouver Collegiate (BC)
Vancouver Eric Hamber (BC),64,Vancouver Eric Hamber (BC)
Megas (BC),1,Vancouver Magee (BC)
Vancouver Notre Dame (BC),161,Vancouver Notre Dame (BC)
Vancouver Notre Dame Regional (BC),174,Vancouver Notre Dame Regional (BC)
Vanderhoof Nechako Valley (BC),52,Vanderhoof Nechako Valley (BC)
Vernon (BC),75,Vernon (BC)
Vernon Clarence Fulton (BC),8,Vernon Clarence Fulton (BC)
Vernon Fulton (BC),64,Vernon Clarence Fulton (BC)
Victoria Belmont (BC),78,Victoria Belmont (BC)
Victoria Mount Douglas (BC),108,Victoria Mt. Douglas (BC)
West Kelowna Mount Boucherie (BC),71,West Kelowna Mt. Boucherie (BC)
West Vancouver (BC),145,West Vancouver (BC)
