Alias_Name,GameCount,Standardized_Name
Aguilar (CO),165,Aguilar (CO)
Akron (CO),450,Akron (CO)
Alamosa (CO),505,Alamosa (CO)
Anton Arickaree (CO),236,Anton Arickaree (CO)
Antonito (CO),276,Antonito (CO)
Arvada (CO),497,Arvada (CO)
Arvada Faith Christian (CO),264,Arvada Faith Christian (CO)
Arvada Maranatha Christian Center (CO),21,Arvada Maranatha Christian Center (CO)
Arvada Maranatha ChristianCenter (CO),39,Arvada Maranatha Christian Center (CO)
Arvada Pomona (CO),595,Arvada Pomona (CO)
Arvada Ralston Valley (CO),283,Arvada Ralston Valley (CO)
Arvada West (CO),605,Arvada West (CO)
Aspen (CO),343,Aspen (CO)
Ault Highland (CO),466,Ault Highland (CO)
Aurora Central (CO),474,Aurora Central (CO)
Aurora Cherokee Trail (CO),241,Aurora Cherokee Trail (CO)
Aurora Christian (CO),33,Aurora Christian Academy (CO)
Aurora Christian Academy (CO),15,Aurora Christian Academy (CO)
Aurora Gateway (CO),430,Aurora Gateway (CO)
Aurora Grandview (CO),305,Aurora Grandview (CO)
Aurora Hinkley (CO),501,Aurora Hinkley (CO)
Aurora Overland (CO),454,Aurora Overland (CO)
Aurora Rangeview (CO),361,Aurora Rangeview (CO)
Aurora Regis Jesuit (CO),602,Aurora Regis Jesuit (CO)
Denver Regis (CO),3,Aurora Regis Jesuit (CO)
Aurora Smoky Hill (CO),465,Aurora Smoky Hill (CO)
Aurora Vista PEAK Prep (CO),138,Aurora Vista PEAK Prep (CO)
Bailey Platte Canyon (CO),344,Bailey Platte Canyon (CO)
Basalt (CO),343,Basalt (CO)
Bayfield (CO),770,Bayfield (CO)
Bennett (CO),380,Bennett (CO)
Berthoud (CO),388,Berthoud (CO)
Bethune (CO),173,Bethune (CO)
Black Hawk Gilpin (CO),16,Black Hawk Gilpin County (CO)
Black Hawk Gilpin County (CO),183,Black Hawk Gilpin County (CO)
Blanca Sierra Grande (CO),255,Blanca Sierra Grande (CO)
Boulder (CO),643,Boulder (CO)
Boulder Fairview (CO),671,Boulder Fairview (CO)
Boulder Prep (CO),2,Boulder State Prep (CO)
Boulder State Prep (CO),19,Boulder State Prep (CO)
Briggsdale (CO),190,Briggsdale (CO)
Brighton (CO),564,Brighton (CO)
Broomfield (CO),568,Broomfield (CO)
Broomfield Holy Family (CO),402,Broomfield Holy Family (CO)
Broomfield Legacy (CO),256,Broomfield Legacy (CO)
Broomfield Prospect Ridge (CO),16,Broomfield Prospect Ridge Academy (CO)
Broomfield Prospect Ridge Academy (CO),58,Broomfield Prospect Ridge Academy (CO)
Brush (CO),504,Brush (CO)
Buena Vista (CO),728,Buena Vista (CO)
Burlington (CO),490,Burlington (CO)
Byers (CO),366,Byers (CO)
Calhan (CO),356,Calhan (CO)
Calhan Ellicott (CO),347,Calhan Ellicott (CO)
Canon City (CO),531,Canon City (CO)
Abbey (CO),1,Canon City Abbey (CO)
Canon Abbey (CO),1,Canon City Abbey (CO)
Canon City Abbey (CO),116,Canon City Abbey (CO)
Carbondale Roaring Fork (CO),372,Carbondale Roaring Fork (CO)
Castle Rock (CO),3,Castle Rock Castle View (CO)
Castle Rock Castle View (CO),141,Castle Rock Castle View (CO)
Castle Rock Douglas County (CO),486,Castle Rock Douglas County (CO)
Cedaredge (CO),422,Cedaredge (CO)
Centennial Arapahoe (CO),242,Centennial Arapahoe (CO)
Centennial Eaglecrest (CO),334,Centennial Eaglecrest (CO)
Center (CO),372,Center (CO)
Cheraw (CO),318,Cheraw (CO)
Cheyenne Wells (CO),328,Cheyenne Wells (CO)
Collbran Plateau Valley (CO),319,Collbran Plateau Valley (CO)
Colorado School for the Deaf & Blind (CO),197,Colorado School for the Deaf & Blind (CO)
Colorado School for the Deaf (CO),3,Colorado School for the Deaf & Blind (CO)
Colorado Springs Colorado School for the Deaf Blind (CO),9,Colorado School for the Deaf & Blind (CO)
Colorado Springs (CO),107,Colorado Springs (CO)
Colorado Springs Colorado Springs (CO),18,Colorado Springs (CO)
Colorado Springs Banning Lewis (CO),16,Colorado Springs Banning Lewis Academy (CO)
Colorado Springs Banning Lewis Academy (CO),23,Colorado Springs Banning Lewis Academy (CO)
Colorado Springs Cheyenne Mountain (CO),405,Colorado Springs Cheyenne Mountain (CO)
Colorado Springs Christian (CO),181,Colorado Springs Christian (CO)
Colorado Springs Colorado Springs Christian (CO),2,Colorado Springs Christian (CO)
Colorado Springs Coronado (CO),371,Colorado Springs Coronado (CO)
Colorado Springs Discovery Canyon (CO),140,Colorado Springs Discovery Canyon (CO)
Colorado Springs Doherty (CO),431,Colorado Springs Doherty (CO)
Colorado Springs Fountain Valley (CO),157,Colorado Springs Fountain Valley (CO)
Colorado Springs Hanover (CO),113,Colorado Springs Hanover (CO)
Colorado Springs Harrison (CO),391,Colorado Springs Harrison (CO)
Colorado Springs Hilltop Baptist (CO),126,Colorado Springs Hilltop Baptist (CO)
Colorado Springs Liberty (CO),184,Colorado Springs Liberty (CO)
Colorado Springs Mesa Ridge (CO),164,Colorado Springs Mesa Ridge (CO)
Colorado Springs Mitchell (CO),414,Colorado Springs Mitchell (CO)
Colorado Springs Palmer (CO),418,Colorado Springs Palmer (CO)
Colorado Springs Pikes Peak Christian (CO),128,Colorado Springs Pikes Peak Christian (CO)
Colorado Springs Pine Creek (CO),261,Colorado Springs Pine Creek (CO)
Colorado Springs Rampart (CO),336,Colorado Springs Rampart (CO)
Colorado Springs Sand Creek (CO),168,Colorado Springs Sand Creek (CO)
Colorado Springs Sierra (CO),278,Colorado Springs Sierra (CO)
Colorado Springs Saint Mary's (CO),17,Colorado Springs St. Mary's (CO)
Colorado Springs St. Marys (CO),16,Colorado Springs St. Mary's (CO)
Colorado Springs St. Mary's (CO),289,Colorado Springs St. Mary's (CO)
Colorado Springs The Classical (CO),21,Colorado Springs The Classical Academy (CO)
Colorado Springs The Classical Academy (CO),142,Colorado Springs The Classical Academy (CO)
Colorado Springs Vista Ridge (CO),130,Colorado Springs Vista Ridge (CO)
Colorado Springs Wasson (CO),395,Colorado Springs Wasson (CO)
Colorado Springs Widefield (CO),376,Colorado Springs Widefield (CO)
Commerce City Adams City (CO),438,Commerce City Adams City (CO)
Conifer (CO),282,Conifer (CO)
Cortez Montezuma Cortez (CO),17,Cortez Montezuma County (CO)
Cortez Montezuma County (CO),509,Cortez Montezuma County (CO)
"Cortez Montezuma """"B"""" (CO)",2,Cortez Montezuma County JV (CO)
Cortez Montezuma County JV (CO),17,Cortez Montezuma County JV (CO)
Cotopaxi (CO),267,Cotopaxi (CO)
Craig Moffat County (CO),473,Craig Moffat County (CO)
Cripple Creek-Victor (CO),277,Cripple Creek-Victor (CO)
Deer Trail (CO),208,Deer Trail (CO)
Del Norte (CO),345,Del Norte (CO)
Del Notre (CO),1,Del Norte (CO)
Delta (CO),682,Delta (CO)
Denver Bishop Machebeuf (CO),163,Denver Bishop Machebeuf (CO)
Denver Christian (CO),339,Denver Christian (CO)
Denver Develyn (CO),18,Denver D'Evelyn (CO)
Denver D'Evelyn (CO),219,Denver D'Evelyn (CO)
Denver East (CO),483,Denver East (CO)
Denver George Washington (CO),477,Denver George Washington (CO)
Denver Kennedy (CO),435,Denver Kennedy (CO)
Denver Kennedy JV (CO),1,Denver Kennedy JV (CO)
