Alias_Name,GameCount,Standardized_Name
Ansonia (CT),753,Ansonia (CT)
Ansonia O'Brien RVT (CT),129,Ansonia O'Brien RVT (CT)
Avon (CT),485,Avon (CT)
Avon Old Farms (CT),447,Avon Old Farms (CT)
Beacon Falls Woodland Regional (CT),203,Beacon Falls Woodland Regional (CT)
Berlin (CT),535,Berlin (CT)
Bethel (CT),478,Bethel (CT)
Bloomfield (CT),575,Bloomfield (CT)
Branford (CT),523,Branford (CT)
Bridgeport Bassick (CT),499,Bridgeport Bassick (CT)
Bridgeport BullardHavens Tech (CT),336,Bridgeport Bullard Havens Tech (CT)
Bridgeport Bullard Havens Tech (CT),93,Bridgeport Bullard Havens Tech (CT)
Bridgeport Bullard Havens (CT),16,Bridgeport Bullard Havens Tech (CT)
Bridgeport Bullard-Havens Tech (CT),11,Bridgeport Bullard Havens Tech (CT)
Bridgeport Bullard HavensTech (CT),1,Bridgeport Bullard Havens Tech (CT)
Bridgeport Capital Prep Harbor (CT),52,Bridgeport Capital Prep Harbor (CT)
Bridgeport Capital Prep (CT),15,Bridgeport Capital Prep Harbor (CT)
BridgeportCentral (CT),411,Bridgeport Central (CT)
Bridgeport Harding (CT),511,Bridgeport Harding (CT)
Bristol Central (CT),486,Bristol Central (CT)
Bristol Eastern (CT),478,Bristol Eastern (CT)
Bristol St. Paul Catholic (CT),307,Bristol St. Paul Catholic (CT)
Bristol Saint Paul Catholic (CT),30,Bristol St. Paul Catholic (CT)
Bristol St. Paul (CT),15,Bristol St. Paul Catholic (CT)
Brookfield (CT),495,Brookfield (CT)
Burlington Lewis Mills (CT),151,Burlington Lewis Mills (CT)
Canton (CT),136,Canton (CT)
Central Village Plainfield (CT),418,Central Village Plainfield (CT)
Cheshire (CT),600,Cheshire (CT)
Cheshire Academy (CT),312,Cheshire Academy (CT)
Clinton Morgan (CT),461,Clinton Morgan (CT)
Colchester Bacon Academy (CT),233,Colchester Bacon Academy (CT)
Coventry-Windham RVT-Bolton (CT),118,Coventry-Windham RVT-Bolton (CT)
Coventry-WindhamRVT-Bolton-Lyman Memorial (CT),30,Coventry-Windham RVT-Bolton-Lyman Memorial (CT)
Coventry-Windham RVT-Bolton-Lyman Memorial (CT),22,Coventry-Windham RVT-Bolton-Lyman Memorial (CT)
Cromwell (CT),140,Cromwell (CT)
Cromwell-Portland (CT),107,Cromwell-Portland (CT)
Danbury (CT),527,Danbury (CT)
Danbury ATI [Abbott RVT-Immaculate] (CT),42,Danbury ATI [Abbott RVT-Immaculate] (CT)
Danbury Ati Abbott (CT),15,Danbury ATI [Abbott RVT-Immaculate] (CT)
Danbury Abbott RVT-Immaculate (CT),12,Danbury ATI [Abbott RVT-Immaculate] (CT)
Danbury Immaculate (CT),386,Danbury Immaculate (CT)
Danbury Wooster School (CT),33,Danbury Wooster School (CT)
Danbury WoosterSchool (CT),6,Danbury Wooster School (CT)
Danielson Killingly (CT),505,Danielson Killingly (CT)
Danielson Danielson Killingly (CT),11,Danielson Killingly (CT)
Darien (CT),677,Darien (CT)
Deep River Valley Regional (CT),266,Deep River Valley Regional (CT)
Deep River Valley Regional-Old Lyme (CT),135,Deep River Valley Regional-Old Lyme (CT)
Derby (CT),540,Derby (CT)
East Hartford (CT),476,East Hartford (CT)
East Hartford Penney (CT),100,East Hartford Penney (CT)
East Haven (CT),465,East Haven (CT)
East Lyme (CT),437,East Lyme (CT)
Enfield (CT),511,Enfield (CT)
Enfield Crec Computer (CT),14,Enfield CREC (CT)
Enfield CREC [Public Safety Academy/Academy of Aerospace and Engineering/Metropolitan Learning Center] (CT),13,Enfield CREC (CT)
Enfield CREC [Computer Science and Engineering-Academy of Aerospace and Engineering] (CT),12,Enfield CREC (CT)
Enfield CREC [Civic Leaderdship-Academy of Aerospace and Engineering-Metropolitan Learning Center] (CT),9,Enfield CREC (CT)
Enfield CREC [Civic Leaderdship/Academy of Aerospace and Engineering/Metropolitan Learning Center] (CT),6,Enfield CREC (CT)
Enfield Public Safety Academy/Academy of Aerospace and Engineering/Metropolitan Learning Center/Two Rivers (CT),4,Enfield CREC (CT)
Enfield Public Safety Academy (CT),1,Enfield CREC (CT)
Enfield Fermi (CT),397,Enfield Fermi (CT)
Fairfield Ludlowe (CT),355,Fairfield Ludlowe (CT)
Fairfield Notre Dame Catholic (CT),402,Fairfield Notre Dame Catholic (CT)
Fairfield Notre Dame (CT),28,Fairfield Notre Dame Catholic (CT)
Fairfield Prep (CT),798,Fairfield Prep (CT)
Fairfield Warde (CT),353,Fairfield Warde (CT)
Falls Village Housatonic (CT),104,Falls Village Housatonic (CT)
Falls Village HousatonicValleyRegional (CT),162,Falls Village HousatonicValleyRegional (CT)
Farmington (CT),473,Farmington (CT)
Glastonbury (CT),498,Glastonbury (CT)
Granby Memorial (CT),104,Granby Memorial (CT)
Granby Memorial-Canton (CT),22,Granby Memorial-Canton (CT)
Granby Memorial/Canton (CT),3,Granby Memorial-Canton (CT)
Greenwich (CT),701,Greenwich (CT)
Greenwich Brunswick School (CT),341,Greenwich Brunswick School (CT)
Greenwich Brunswick School School (CT),1,Greenwich Brunswick School (CT)
Greenwich Country Day (CT),22,Greenwich Country Day (CT)
Greenwich Country (CT),16,Greenwich Country Day (CT)
Griswold (CT),423,Griswold (CT)
Griswold-Wheeler (CT),16,Griswold-Wheeler (CT)
Griswold Wheeler (CT),8,Griswold-Wheeler (CT)
Groton Fitch (CT),592,Groton Fitch (CT)
Guilford (CT),464,Guilford (CT)
Hamden (CT),538,Hamden (CT)
Hamden Hall Country Day (CT),440,Hamden Hall Country Day (CT)
Hamden Hyde Leadership (CT),151,Hamden Hyde Leadership (CT)
Hartford (CT),115,Hartford (CT)
Hartford Bulkeley (CT),238,Hartford Bulkeley (CT)
Hartford Buckley (CT),39,Hartford Bulkeley (CT)
Hartford Buckeley (CT),25,Hartford Bulkeley (CT)
Hartford Prince Tech (CT),169,Hartford Prince Tech (CT)
Hartford Prince RVT (CT),14,Hartford Prince Tech (CT)
Hartford Public (CT),447,Hartford Public (CT)
Hartford South Catholic (CT),147,Hartford South Catholic (CT)
Hartford Sports & Medical Sciences Academy-University Science & Engineering (CT),40,Hartford Sport & Medical Sciences Academy (CT)
Hartford Sports & Medical Sciences Academy (CT),37,Hartford Sport & Medical Sciences Academy (CT)
Hartford Sport & Medical Sciences Academy (CT),33,Hartford Sport & Medical Sciences Academy (CT)
Hartford Sports & Medical Sciences Academy-Bulkeley-Classical Magnet (CT),21,Hartford Sport & Medical Sciences Academy (CT)
Hartford Sports & Medical Sciences Academy-University Science & Engineering-Classical Magnet (CT),21,Hartford Sport & Medical Sciences Academy (CT)
Hartford Sports And (CT),13,Hartford Sport & Medical Sciences Academy (CT)
Hartford Weaver (CT),483,Hartford Weaver (CT)
Hebron RHAM (CT),169,Hebron RHAM (CT)
Higganum Haddam-Killingworth (CT),419,Higganum Haddam-Killingworth (CT)
Higganum Haddam Killingworth (CT),11,Higganum Haddam-Killingworth (CT)
Kent School (CT),465,Kent School (CT)
Kent (CT),68,Kent School (CT)
Lakeville Hotchkiss (CT),610,Lakeville Hotchkiss (CT)
Lakeville Hotchkiss School (CT),169,Lakeville Hotchkiss School (CT)
Ledyard (CT),510,Ledyard (CT)
