Alias_Name,GameCount,Standardized_Name
Washington Anacostia (DC),391,Washington Anacostia (DC)
Washington Archbishop Carroll (DC),381,Washington Archbishop Carroll (DC)
Washington Ballou (DC),327,Washington Ballou (DC)
Washington Bell (DC),214,Washington Bell (DC)
Washington Bell Voc (DC),9,Washington Bell (DC)
Washington Bell Vocational (DC),1,Washington Bell (DC)
Washington Business (DC),20,Washington Business College (DC)
Washington Business College (DC),1,Washington Business College (DC)
Washington Benjamin Cardozo (DC),1,Washington Cardozo (DC)
Washington Cardozo (DC),259,Washington Cardozo (DC)
Washington Central (DC),103,Washington Central (DC)
Washington Columbian Prep (DC),6,Washington Columbian Prep (DC)
Washington ColumbianPrep (DC),11,Washington Columbian Prep (DC)
Washington Congressional (DC),5,Washington Columbian Prep (DC)
Washington Coolidge (DC),440,Washington Coolidge (DC)
Washington Devitt (DC),1,Washington Devitt Prep (DC)
Washington Devitt Prep (DC),55,Washington Devitt Prep (DC)
Washington Devitt Preparatory (DC),1,Washington Devitt Prep (DC)
Washington Dunbar (DC),307,Washington Dunbar (DC)
Washington Eastern (DC),409,Washington Eastern (DC)
Washington Friendship Collegiate Academy (DC),199,Washington Friendship Collegiate Academy (DC)
Washington Gonzaga (DC),539,Washington Gonzaga (DC)
Washington Jackson Reed (DC),17,Washington Jackson-Reed (DC)
Washington Jackson-Reed (DC),15,Washington Jackson-Reed (DC)
Washington Kipp College (DC),15,Washington KIPP College Prep (DC)
Washington KIPP College Prep (DC),137,Washington KIPP College Prep (DC)
Washington KIPP DC Legacy College Prep (DC),31,Washington KIPP College Prep (DC)
Washington Maret (DC),246,Washington Maret (DC)
Washington Maret School (DC),6,Washington Maret (DC)
Washington McKinley Tech (DC),519,Washington McKinley Tech (DC)
Model Secondary School for the Deaf (DC),10,Washington Model School for the Deaf (DC)
Washington Model School for the Deaf (DC),230,Washington Model School for the Deaf (DC)
Washington Model Secondary (DC),16,Washington Model School for the Deaf (DC)
Washington Model Secondary-Deaf (DC),5,Washington Model School for the Deaf (DC)
Washington National Training School (DC),16,Washington National Training School for Boys (DC)
Washington National Training School for Boys (DC),14,Washington National Training School for Boys (DC)
Washington Paul International (DC),29,Washington Paul Public Charter (DC)
Washington Paul Public (DC),8,Washington Paul Public Charter (DC)
Washington Paul Public Charter International (DC),26,Washington Paul Public Charter (DC)
Washington Perry Street Prep (DC),110,Washington Perry Street Prep (DC)
Washington Phelps Architecture - Construction & Engineering (DC),27,"Washington Phelps Architecture, Construction & Engineering (DC)"
Washington Phelps Architecture (DC),17,"Washington Phelps Architecture, Construction & Engineering (DC)"
"Washington Phelps Architecture, Construction & Engineering (DC)",96,"Washington Phelps Architecture, Construction & Engineering (DC)"
Washington Phelps Voc (DC),8,Washington Phelps Voc (DC)
Washington Phelps Vocational (DC),10,Washington Phelps Voc (DC)
Washington Richard Wright (DC),15,Washington Richard Wright Public Charter School (DC)
Washington Richard Wright Public Charter School (DC),96,Washington Richard Wright Public Charter School (DC)
Washington Ron (DC),16,Washington Ron Brown (DC)
Washington Ron Brown (DC),45,Washington Ron Brown (DC)
Washington Roosevelt (DC),438,Washington Roosevelt (DC)
Washington Sidwell Friends (DC),369,Washington Sidwell Friends (DC)
Washington Spingarn (DC),127,Washington Spingarn (DC)
Washington Saint Albans (DC),29,Washington St. Albans (DC)
Washington St. Albans (DC),486,Washington St. Albans (DC)
Washington Saint John's College (DC),505,Washington St. John's College (DC)
Washington St. John's College (DC),1,Washington St. John's College (DC)
Washington St.John'sCollege (DC),115,Washington St. John's College (DC)
Washington St. Stephen's & St. Agnes (DC),10,Washington St. Stephen's & St. Agnes (DC)
Washington St. Stephen's and St. Agnes (DC),7,Washington St. Stephen's & St. Agnes (DC)
Washington Western (DC),276,Washington Western (DC)
Washington Wilson (DC),551,Washington Wilson (DC)
Washington Woodson (DC),309,Washington Woodson (DC)
Catholic University of America (DC),1,Washinton Catholic University of America (DC)
Catholic University of America Fresh (DC),1,Washinton Catholic University of America Frosh (DC)
Washinton Catholic University of America Fresh (DC),2,Washinton Catholic University of America Frosh (DC)
