Alias_Name,GameCount,Standardized_Name
Bear Caravel (DE),421,Bear Caravel (DE)
Bear Caravel Academy (DE),11,Bear Caravel (DE)
Caravell Academy (DE),1,Bear Caravel (DE)
Bear Red Lion Christian Academy (DE),171,Bear Red Lion Christian Academy (DE)
Bear Red Lion (DE),19,Bear Red Lion Christian Academy (DE)
Bridgeville Woodbridge (DE),430,Bridgeville Woodbridge (DE)
Camden Caesar Rodney (DE),616,Camden Caesar Rodney (DE)
Claymont (DE),280,Claymont (DE)
Claymont Archmere Academy (DE),677,Claymont Archmere Academy (DE)
Clayton First State Military Academy (DE),58,Clayton First State Military Academy (DE)
Clayton First St. ate (DE),19,Clayton First State Military Academy (DE)
West Nott (DE),1,Colora West Nottingham Academy (MD)
Dagsboro Indian River (DE),432,Dagsboro Indian River (DE)
Delaware City Gunning Bedford (DE),21,Delaware City Gunning Bedford (DE)
Delaware City Bedford (DE),11,Delaware City Gunning Bedford (DE)
Delaware City (DE),1,Delaware City Gunning Bedford (DE)
Delmar (DE),468,Delmar (DE)
Dover (DE),609,Dover (DE)
Dover Air Force Base (DE),29,Dover Air Force Base (DE)
Dover Air Base (DE),2,Dover Air Force Base (DE)
Felton Lake Forest (DE),435,Felton Lake Forest (DE)
Georgetown (DE),62,Georgetown (DE)
Georgetown Sussex Central (DE),496,Georgetown Sussex Central (DE)
Georgetown Sussex Tech (DE),359,Georgetown Sussex Tech (DE)
Hockessin Sanford Prep (DE),95,Hockessin Sanford Prep (DE)
Laurel (DE),574,Laurel (DE)
Lewes (DE),73,Lewes (DE)
Lewes Cape Henlopen (DE),447,Lewes Cape Henlopen (DE)
Middletown (DE),610,Middletown (DE)
Middletown St. Andrew's (DE),493,Middletown St. Andrew's (DE)
Middletown Saint Andrew's (DE),36,Middletown St. Andrew's (DE)
Middletown St. Andrews (DE),21,Middletown St. Andrew's (DE)
Middletown St. Andrew's ( (DE),1,Middletown St. Andrew's (DE)
"Middletown St. Andrew's, DE (DE)",1,Middletown St. Andrew's (DE)
Middletown St. Georges Tech (DE),160,Middletown St. Georges Tech (DE)
Middletown Saint Georges Tech (DE),33,Middletown St. Georges Tech (DE)
Middletown St. Georges (DE),21,Middletown St. Georges Tech (DE)
Milford (DE),588,Milford (DE)
Millsboro (DE),74,Millsboro (DE)
Milton (DE),62,Milton (DE)
New Castle DeLaWarr (DE),66,New Castle DeLaWarr (DE)
New Castle St. Peter Catholic (DE),5,New Castle St. Peter Catholic (DE)
New Castle St. Peter's (DE),3,New Castle St. Peter Catholic (DE)
New Castle William Penn (DE),543,New Castle William Penn (DE)
Newark (DE),603,Newark (DE)
Newark Christiana (DE),518,Newark Christiana (DE)
Newark Glasgow (DE),453,Newark Glasgow (DE)
Newark Hodgson Vo-Tech (DE),353,Newark Hodgson Vo-Tech (DE)
Newark Hodgson Vo (DE),19,Newark Hodgson Vo-Tech (DE)
Newark Hodgson Voc-Tech (DE),9,Newark Hodgson Vo-Tech (DE)
Seaford (DE),660,Seaford (DE)
Smyrna (DE),498,Smyrna (DE)
Unicersity of Delaware Frosh (DE),6,Unicersity of Delaware Frosh (DE)
University of Delaware Frosh (DE),1,Unicersity of Delaware Frosh (DE)
West Middletown Appoquinimink (DE),175,West Middletown Appoquinimink (DE)
Wilmington (DE),477,Wilmington (DE)
Wilmington Alexis I. DuPont (DE),13,Wilmington Alexis I. DuPont (DE)
