Alias_Name,GameCount,Standardized_Name
Alachua Santa Fe (FL),483,Alachua Santa Fe (FL)
Altamonte Springs Lake Brantley (FL),10,Altamonte Springs Lake Brantley (FL)
Altamonte Springs LakeBrantley (FL),518,Altamonte Springs Lake Brantley (FL)
Apopka (FL),572,Apopka (FL)
Apopka Wekiva (FL),201,Apopka Wekiva (FL)
Arcadia DeSoto County (FL),494,Arcadia DeSoto County (FL)
Auburndale (FL),591,Auburndale (FL)
Auburndale Jordan Christian (FL),7,Auburndale Jordan Christian Prep (FL)
Auburndale Jordan Christian Prep (FL),40,Auburndale Jordan Christian Prep (FL)
Avon Park (FL),403,Avon Park (FL)
Baker (FL),499,Baker (FL)
Baldwin (FL),375,Baldwin (FL)
Bartow (FL),762,Bartow (FL)
Bartow Yellow (FL),19,Bartow (FL)
Bell (FL),351,Bell (FL)
Belle Glade (FL),8,Belle Glade Glades Day (FL)
Belle Glade Glades Day (FL),440,Belle Glade Glades Day (FL)
Belle Glades Central (FL),559,Belle Glades Central (FL)
Belleview (FL),297,Belleview (FL)
Blountstown (FL),412,Blountstown (FL)
Boca Raton Christian (FL),194,Boca Raton Christian (FL)
Boca Raton Olympic Heights (FL),319,Boca Raton Olympic Heights (FL)
Boca Raton Saint Andrews (FL),21,Boca Raton Saint Andrew's (FL)
Boca Raton Saint Andrew's (FL),241,Boca Raton Saint Andrew's (FL)
Boca Raton Spanish River (FL),332,Boca Raton Spanish River (FL)
Boca Raton St. John Paul II Academy (FL),277,Boca Raton St. John Paul II Academy (FL)
Boca Raton West (FL),192,Boca Raton West (FL)
Boca Raton West Boca (FL),23,Boca Raton West (FL)
BocaRaton (FL),477,BocaRaton (FL)
Bonifay Holmes County (FL),359,Bonifay Holmes County (FL)
Boynton Beach (FL),222,Boynton Beach (FL)
Bradenton Bayshore (FL),419,Bradenton Bayshore (FL)
Bradenton Braden River (FL),203,Bradenton Braden River (FL)
Bradenton Lakewood Ranch (FL),259,Bradenton Lakewood Ranch (FL)
Bradenton Manatee (FL),857,Bradenton Manatee (FL)
Bradenton Saint St. ephens (FL),19,Bradenton Saint Stephen's Episcopal (FL)
Bradenton Saint Stephen's Episcopal (FL),180,Bradenton Saint Stephen's Episcopal (FL)
Bradenton Southeast (FL),582,Bradenton Southeast (FL)
Brandon (FL),559,Brandon (FL)
Branford (FL),329,Branford (FL)
Bratt Northview (FL),303,Bratt Northview (FL)
Bristol Liberty County (FL),353,Bristol Liberty County (FL)
Bronson (FL),344,Bronson (FL)
Brooksville Central (FL),290,Brooksville Central (FL)
Brooksville Hernando (FL),427,Brooksville Hernando (FL)
Brooksville Hernando Christian Academy (FL),200,Brooksville Hernando Christian Academy (FL)
Brooksville Nature Coast (FL),21,Brooksville Nature Coast Tech (FL)
Brooksville Nature Coast Tech (FL),215,Brooksville Nature Coast Tech (FL)
Bunnell Flagler (FL),1,Bunnell Flagler-Palm Coast (FL)
Bunnell Flagler Palm Coast (FL),2,Bunnell Flagler-Palm Coast (FL)
Bunnell Flagler-Palm Coast (FL),73,Bunnell Flagler-Palm Coast (FL)
Bunnell Palm Coast (FL),1,Bunnell Flagler-Palm Coast (FL)
Bushnell South Sumter (FL),10,Bushnell South Sumter (FL)
Bushnell SouthSumter (FL),480,Bushnell South Sumter (FL)
Callahan West Nassau (FL),373,Callahan West Nassau (FL)
Cantonment Tate (FL),516,Cantonment Tate (FL)
Cape Coral (FL),380,Cape Coral (FL)
Cape Coral Ida Baker (FL),204,Cape Coral Ida Baker (FL)
Cape Coral Mariner (FL),337,Cape Coral Mariner (FL)
Celebration (FL),227,Celebration (FL)
Century (FL),213,Century (FL)
Chiefland (FL),404,Chiefland (FL)
Chipley (FL),422,Chipley (FL)
Citra North Marion (FL),423,Citra North Marion (FL)
Clearwater (FL),557,Clearwater (FL)
Clearwater Calvary Christian (FL),231,Clearwater Calvary Christian (FL)
Clearwater Central (FL),24,Clearwater Central Catholic (FL)
Clearwater Central Catholic (FL),423,Clearwater Central Catholic (FL)
Clearwater Countryside (FL),446,Clearwater Countryside (FL)
Clearwater Lakeside Christian (FL),204,Clearwater Lakeside Christian (FL)
Clermont East Ridge (FL),243,Clermont East Ridge (FL)
Clermont Real Life (FL),17,Clermont Real Life Christian Academy (FL)
Clermont Real Life Christian Academy (FL),32,Clermont Real Life Christian Academy (FL)
Clewiston (FL),723,Clewiston (FL)
Cocoa (FL),626,Cocoa (FL)
Cocoa Beach (FL),429,Cocoa Beach (FL)
Cocoa Space Coast (FL),233,Cocoa Space Coast (FL)
Coconut Creek (FL),373,Coconut Creek (FL)
Coconut Creek Monarch (FL),217,Coconut Creek Monarch (FL)
Coconut Creek North Broward Prep (FL),236,Coconut Creek North Broward Prep (FL)
Cooper City (FL),361,Cooper City (FL)
Coral Gables (FL),658,Coral Gables (FL)
