Alias_Name,GameCount,Standardized_Name
Acworth Allatoona (GA),211,Acworth Allatoona (GA)
Adairsville (GA),750,Adairsville (GA)
Adel Cook (GA),834,Adel Cook (GA)
Alamo Wheeler County (GA),587,Alamo Wheeler County (GA)
Albany (GA),1043,Albany (GA)
Albany Deerfield-Windsor (GA),607,Albany Deerfield-Windsor (GA)
Albany Deerfield Windsor (GA),22,Albany Deerfield-Windsor (GA)
Albany Dougherty (GA),656,Albany Dougherty (GA)
Albany Monroe (GA),746,Albany Monroe (GA)
Albany Sherwood Christian Academy (GA),340,Albany Sherwood Christian Academy (GA)
Albany Westover (GA),551,Albany Westover (GA)
SC Fairfax (GA),1,Allendale-Fairfax (SC)
Alma Bacon County (GA),754,Alma Bacon County (GA)
Alpharetta (GA),233,Alpharetta (GA)
Alpharetta Chattahoochee (GA),378,Alpharetta Chattahoochee (GA)
Alpharetta King's Ridge Christian (GA),141,Alpharetta King's Ridge Christian (GA)
Alpharetta Kings Ridge (GA),21,Alpharetta King's Ridge Christian (GA)
Alpharetta St. Francis (GA),140,Alpharetta St. Francis (GA)
Alpharetta Saint Francis (GA),34,Alpharetta St. Francis (GA)
Americus (GA),650,Americus (GA)
Americus Southland Academy (GA),639,Americus Southland Academy (GA)
Americus-Sumter (GA),205,Americus-Sumter (GA)
Arnold (GA),108,Arnold (GA)
Ashburn Turner County (GA),739,Ashburn Turner County (GA)
Athens (GA),410,Athens (GA)
Athens Academy (GA),539,Athens Academy (GA)
"Athens """"B"""" (GA)",2,Athens B (GA)
Athens B-Team (GA),1,Athens B (GA)
Athens Cedar Shoals (GA),582,Athens Cedar Shoals (GA)
Cedar Shoals14 (GA),1,Athens Cedar Shoals (GA)
Athens Christian (GA),521,Athens Christian (GA)
Athens Clarke Central (GA),660,Athens Clarke Central (GA)
Athens Monsignor Donovan Catholic (GA),212,Athens Monsignor Donovan Catholic (GA)
Athens Prince Avenue Christian (GA),226,Athens Prince Avenue Christian (GA)
Athens Prince Avenue (GA),22,Athens Prince Avenue Christian (GA)
Atlanta Boys (GA),430,Atlanta Boys (GA)
"Atlanta Boys """"B"""" (GA)",3,Atlanta Boys B (GA)
Atlanta Business Engineering Science Tech (GA),120,Atlanta Business Engineering Science Tech (GA)
Atlanta Business Engineering (GA),19,Atlanta Business Engineering Science Tech (GA)
Atlanta Carver (GA),840,Atlanta Carver (GA)
Atlanta Crim (GA),172,Atlanta Crim (GA)
Atlanta Cross Keys (GA),689,Atlanta Cross Keys (GA)
Atlanta Douglass (GA),630,Atlanta Douglass (GA)
Atlanta Druid Hills (GA),825,Atlanta Druid Hills (GA)
Atlanta Grady (GA),825,Atlanta Grady (GA)
Atlanta Hapeville Charter (GA),370,Atlanta Hapeville Charter (GA)
