Alias_Name,GameCount,Standardized_Name
Aiea (HI),3,'Aiea (HI)
'Aiea (HI),506,'Aiea (HI)
Ewa Beach Campbell (HI),538,Ewa Beach Campbell (HI)
Hilo (HI),243,Hilo (HI)
Hilo Waiakea (HI),216,Hilo Waiakea (HI)
Honokaa (HI),1,Honoka'a (HI)
Honoka'a (HI),215,Honoka'a (HI)
Honolulu Damien (HI),571,Honolulu Damien (HI)
Honolulu Farrington (HI),635,Honolulu Farrington (HI)
Honolulu 'Iolani (HI),678,Honolulu 'Iolani (HI)
Honolulu Kahuku (HI),1,Honolulu Kaimuki (HI)
Honolulu Kaimuki (HI),540,Honolulu Kaimuki (HI)
Honolulu Kaiser (HI),505,Honolulu Kaiser (HI)
Honolulu Kalani (HI),489,Honolulu Kalani (HI)
Honolulu Kamehameha (HI),595,Honolulu Kamehameha (HI)
Honolulu Kamehameha Kapalama (HI),44,Honolulu Kamehameha-Kapalama (HI)
Honolulu Kamehameha-Kapalama (HI),3,Honolulu Kamehameha-Kapalama (HI)
Honolulu McKinley (HI),539,Honolulu McKinley (HI)
Honolulu Moanalua (HI),500,Honolulu Moanalua (HI)
Honolulu Pac Five (HI),12,Honolulu Pac-Five (HI)
Honolulu Pac-Five (HI),530,Honolulu Pac-Five (HI)
Honolulu Punahou (HI),708,Honolulu Punahou (HI)
Honolulu Radford (HI),520,Honolulu Radford (HI)
Honolulu Roosevelt (HI),562,Honolulu Roosevelt (HI)
Honolulu Saint Francis (HI),25,Honolulu St. Francis (HI)
Honolulu St. Francis (HI),55,Honolulu St. Francis (HI)
Honolulu Saint Louis (HI),730,Honolulu St. Louis (HI)
Honolulu St. Louis (HI),3,Honolulu St. Louis (HI)
Kahuku (HI),626,Kahuku (HI)
Kahului Maui (HI),245,Kahului Maui (HI)
Kailua (HI),565,Kailua (HI)
Kailua Kalaheo (HI),473,Kailua Kalaheo (HI)
Kailua-Kona Kealakehe (HI),224,Kailua-Kona Kealakehe (HI)
Kamuela Hawaii Prep (HI),217,Kamuela Hawaii Prep (HI)
Kaneohe Castle (HI),534,Kaneohe Castle (HI)
Kapa?a (HI),1,Kapa'a (HI)
Kapaa (HI),5,Kapa'a (HI)
Kapa'a (HI),183,Kapa'a (HI)
Kapaau Kohala (HI),141,Kapaau Kohala (HI)
Kapolei (HI),227,Kapolei (HI)
Kea'au (HI),191,Kea'au (HI)
Kea'au Kamehameha (HI),225,Kea'au Kamehameha (HI)
Keaau Kamehameha Hawaii (HI),23,Kea'au Kamehameha (HI)
Kealakekua Konawaena (HI),263,Kealakekua Konawaena (HI)
Lahaina Lahainaluna (HI),245,Lahaina Lahainaluna (HI)
Lanai City (HI),4,Lanai City (HI)
Lanai City Lanai (HI),28,Lanai City (HI)
Kakani (HI),1,Lihue Kauai (HI)
Lihue Kauai (HI),211,Lihue Kauai (HI)
Maui Kahului Maui (HI),1,Maui Kahului (HI)
Maui Kahului Ka'Ahamanu (HI),1,Maui Kahului Ka'Ahamanu (HI)
Maui Kahului Kaahumanu (HI),1,Maui Kahului Ka'Ahamanu (HI)
Mililani (HI),533,Mililani (HI)
Pahala Kau (HI),17,Pahala Ka'u (HI)
Pahala Ka'u (HI),162,Pahala Ka'u (HI)
Pearl City (HI),486,Pearl City (HI)
Pukalani Kamehameha Maui (HI),196,Pukalani Kamehameha Maui (HI)
Pukalani King Kekaulike (HI),211,Pukalani King Kekaulike (HI)
Wahiawa Leilehua (HI),564,Wahiawa Leilehua (HI)
Wahiawa Leilehua Mighty (HI),24,Wahiawa Leilehua (HI)
Waialua (HI),474,Waialua (HI)
Waianae (HI),3,Wai'anae (HI)
Wai'anae (HI),636,Wai'anae (HI)
Waianae Nanakuli (HI),487,Waianae Nanakuli (HI)
Maui Wailuka Baldwin (HI),3,Wailuku Baldwin (HI)
Maui Wailuku Baldwin (HI),2,Wailuku Baldwin (HI)
Wailuku Baldwin (HI),308,Wailuku Baldwin (HI)
Maui Wailuka St. Anthony (HI),1,Wailuku St. Anthony (HI)
Maui Wailuku St. Anthony (HI),2,Wailuku St. Anthony (HI)
Wailuku St. Anthony (HI),41,Wailuku St. Anthony (HI)
Waimea (HI),206,Waimea (HI)
Waipahu (HI),531,Waipahu (HI)
