Alias_Name,GameCount,Standardized_Name
"Ackley """"B"""" (IA)",2,Ackley B (IA)
Ackley-Geneva (IA),210,Ackley-Geneva (IA)
Ackley-Geneva-Wellsburg-Steamboat-Rock (IA),226,Ackley-Geneva-Wellsburg-Steamboat-Rock (IA)
Adair-Casey (IA),411,Adair-Casey (IA)
Adel-De Soto (IA),75,Adel-De Soto (IA)
Adel-Desoto-Minburn (IA),372,Adel-Desoto-Minburn (IA)
Afton East Union (IA),451,Afton East Union (IA)
Akron (IA),80,Akron (IA)
Akron-Westfield (IA),356,Akron-Westfield (IA)
Akron Westfield (IA),17,Akron-Westfield (IA)
Albert City-Truesdale (IA),159,Albert City-Truesdale (IA)
Albia (IA),499,Albia (IA)
Alburnett (IA),471,Alburnett (IA)
Alden (IA),138,Alden (IA)
Algona (IA),496,Algona (IA)
Algona Bishop Garrigan (IA),475,Algona Bishop Garrigan (IA)
Alleman North Polk (IA),495,Alleman North Polk (IA)
Allison-Bristow (IA),421,Allison-Bristow (IA)
Alta (IA),213,Alta (IA)
Alta-Aurelia (IA),196,Alta-Aurelia (IA)
Alta Aurelia (IA),16,Alta-Aurelia (IA)
Alton Floyd Valley (IA),121,Alton Floyd Valley (IA)
Ames (IA),823,Ames (IA)
Anamosa (IA),492,Anamosa (IA)
Anita (IA),140,Anita (IA)
Ankeny (IA),636,Ankeny (IA)
Ankeny Centennial (IA),135,Ankeny Centennial (IA)
Aplington (IA),216,Aplington (IA)
Aplington-Parkersburg (IA),329,Aplington-Parkersburg (IA)
Arcadia-Westside-Vail (IA),462,Arcadia-Westside-Vail (IA)
Arlington Starmont (IA),407,Arlington Starmont (IA)
Armstrong (IA),79,Armstrong (IA)
Armstrong North Union (IA),119,Armstrong North Union (IA)
Armstrong-Ringsted (IA),279,Armstrong-Ringsted (IA)
Atlantic (IA),545,Atlantic (IA)
Audubon (IA),532,Audubon (IA)
Aurelia (IA),249,Aurelia (IA)
Avoca-Hancock-Shelby-Tennant (IA),395,Avoca-Hancock-Shelby-Tennant (IA)
Avoca AHSTW (IA),37,Avoca-Hancock-Shelby-Tennant-Walnut (IA)
Avoca A-H-S-T-Walnut (IA),9,Avoca-Hancock-Shelby-Tennant-Walnut (IA)
Battle Creek (IA),156,Battle Creek (IA)
Battle Creek-Anthon-Oto (IA),99,Battle Creek-Anthon-Oto (IA)
Battle Creek-Ida Grove (IA),131,Battle Creek-Ida Grove (IA)
Battle Creek-Ida Grove-Odebolt-Arthur (IA),162,Battle Creek-Ida Grove-Odebolt-Arthur (IA)
Baxter (IA),199,Baxter (IA)
Bayard (IA),100,Bayard (IA)
Beaman-Conrad-Liscomb (IA),76,Beaman-Conrad-Liscomb (IA)
Beaman-Conrad-Liscomb-Union-Whitten (IA),298,Beaman-Conrad-Liscomb-Union-Whitten (IA)
Bedford (IA),524,Bedford (IA)
Belle Plaine (IA),475,Belle Plaine (IA)
Bellevue (IA),441,Bellevue (IA)
Belmond Community (IA),140,Belmond Community (IA)
Belmond-Klemme (IA),317,Belmond-Klemme (IA)
Benton County (IA),87,Benton County (IA)
Benton Community (IA),1,Benton County (IA)
Bettendorf (IA),836,Bettendorf (IA)
Blairsburg Northeast Hamilton-Alden (IA),324,Blairsburg Northeast Hamilton-Alden (IA)
Bloomfield Davis County (IA),458,Bloomfield Davis County (IA)
Bloomfield Davis County Community (IA),1,Bloomfield Davis County (IA)
Bode Twin River Valley (IA),274,Bode Twin River Valley (IA)
Bondurant-Farrar (IA),468,Bondurant-Farrar (IA)
Boone (IA),777,Boone (IA)
Boyden-Hull (IA),218,Boyden-Hull (IA)
Boyden-Hull-Rock Valley (IA),353,Boyden-Hull-Rock Valley (IA)
Bridgewater-Fontanelle (IA),118,Bridgewater-Fontanelle (IA)
Britt (IA),156,Britt (IA)
Britt West Hancock (IA),404,Britt West Hancock (IA)
Brooklyn-Guernsey-Malcom (IA),456,Brooklyn-Guernsey-Malcom (IA)
Buffalo Center (IA),76,Buffalo Center (IA)
Buffalo Center Grinnell (IA),1,Buffalo Center (IA)
Buffalo Center North Iowa (IA),323,Buffalo Center North Iowa (IA)
Burlington (IA),547,Burlington (IA)
Burnside Central Webster (IA),125,Burnside Central Webster (IA)
Burnside Southeast Webster (IA),102,Burnside Southeast Webster (IA)
Burnside Southeast Webster-Grand (IA),87,Burnside Southeast Webster-Grand (IA)
Bussey Twin Cedars (IA),426,Bussey Twin Cedars (IA)
Cairo Sumner (IA),153,Cairo Sumner (IA)
Calmar South Winneshiek (IA),481,Calmar South Winneshiek (IA)
Camanche (IA),491,Camanche (IA)
Carlisle (IA),513,Carlisle (IA)
Carroll (IA),539,Carroll (IA)
Carson-Macedonia (IA),142,Carson-Macedonia (IA)
Carson Macedonia JV (IA),1,Carson-Macedonia JV (IA)
Cascade (IA),417,Cascade (IA)
Cedar Falls (IA),786,Cedar Falls (IA)
"Cedar Falls """"B"""" (IA)",1,Cedar Falls B (IA)
Cedar Falls Northern University High (IA),185,Cedar Falls Northern University High (IA)
Cedar Falls Iowa State TeachersCollegeHigh (IA),1,Cedar Falls Northern University High (IA)
Cedar Rapids Jefferson (IA),414,Cedar Rapids Jefferson (IA)
Cedar Rapids Kennedy (IA),508,Cedar Rapids Kennedy (IA)
Cedar Rapids La Salle (IA),188,Cedar Rapids La Salle (IA)
Cedar Rapids Prairie (IA),481,Cedar Rapids Prairie (IA)
Cedar Rapids Regis (IA),238,Cedar Rapids Regis (IA)
Cedar Rapids Washington (IA),663,Cedar Rapids Washington (IA)
Cedar Rapids Xavier (IA),290,Cedar Rapids Xavier (IA)
Center Point (IA),167,Center Point (IA)
Center Point-Urbana (IA),308,Center Point-Urbana (IA)
Centerville (IA),417,Centerville (IA)
Central City (IA),377,Central City (IA)
"Central College """"B"""" (IA)",1,Central College B  (IA)
Chariton (IA),507,Chariton (IA)
Charles City (IA),566,Charles City (IA)
Charter Oak-Ute (IA),303,Charter Oak-Ute (IA)
Cherokee Washington (IA),535,Cherokee Washington (IA)
Chilliwack Graham (ia),3,Chilliwack G.W. Graham (BC)
Clarence-Lowden (IA),156,Clarence-Lowden (IA)
Clarinda (IA),527,Clarinda (IA)
Clarinda Academy (IA),211,Clarinda Academy (IA)
Clarion (IA),179,Clarion (IA)
Clarion-Goldfield (IA),233,Clarion-Goldfield (IA)
Clarksville (IA),444,Clarksville (IA)
Clear Lake (IA),586,Clear Lake (IA)
Clinton (IA),759,Clinton (IA)
Clinton St. Mary's (IA),133,Clinton St. Mary's (IA)
Colfax (IA),99,Colfax (IA)
Colfax-Mingo (IA),330,Colfax-Mingo (IA)
Colfax Mingo (IA),16,Colfax-Mingo (IA)
College Springs South Page (IA),291,College Springs South Page (IA)
Collins-Maxwell (IA),96,Collins-Maxwell (IA)
Collins-Maxwell-Baxter (IA),250,Collins-Maxwell-Baxter (IA)
Colo (IA),123,Colo (IA)
Colo-Neveda-Collins (IA),304,Colo-Neveda-Collins (IA)
Columbus Junction (IA),538,Columbus Junction (IA)
Columbus Junction Columbus (IA),16,Columbus Junction (IA)
Coon Rapids (IA),107,Coon Rapids (IA)
Coon Rapids-Bayard (IA),318,Coon Rapids-Bayard (IA)
Corning (IA),377,Corning (IA)
Corning Southwest Valley (IA),115,Corning Southwest Valley (IA)
Correctionville Eastwood (IA),153,Correctionville Eastwood (IA)
Correctionville River Valley (IA),263,Correctionville River Valley (IA)
Corwith-Wesley (IA),91,Corwith-Wesley (IA)
Corwith-Wesley-LuVerne (IA),216,Corwith-Wesley-LuVerne (IA)
Corydon Wayne (IA),415,Corydon Wayne (IA)
Coulter-Alexander-Latimer (IA),101,Coulter-Alexander-Latimer (IA)
Coulter-Alexander-Latimer-Dows (IA),252,Coulter-Alexander-Latimer-Dows (IA)
Council Bluffs Abraham Lincoln (IA),561,Council Bluffs Abraham Lincoln (IA)
Council Bluffs Lewis Central (IA),503,Council Bluffs Lewis Central (IA)
Council Bluffs St. Albert (IA),512,Council Bluffs St. Albert (IA)
Council Bluffs Saint Albert (IA),511,Council Bluffs St. Albert (IA)
Council Bluffs St.Albert Catholic (IA),3,Council Bluffs St. Albert (IA)
Council Bluffs Saint Albert JV (IA),1,Council Bluffs St. Albert JV (IA)
Council Bluffs Thomas Jefferson (IA),691,Council Bluffs Thomas Jefferson (IA)
Cresco Crestwood (IA),509,Cresco Crestwood (IA)
Creston-Orient-Macksburg (IA),677,Creston-Orient-Macksburg (IA)
Cumberland-Anita-Massena (IA),363,Cumberland-Anita-Massena (IA)
Cumberland-Massena (IA),131,Cumberland-Massena (IA)
Dallas Center (IA),85,Dallas Center (IA)
Dallas Center Dallas Center (IA),17,Dallas Center (IA)
Dallas Center-Grimes (IA),384,Dallas Center-Grimes (IA)
Danville (IA),285,Danville (IA)
Davenport Assumption (IA),579,Davenport Assumption (IA)
Davenport Central (IA),1124,Davenport Central (IA)
Davenport North (IA),315,Davenport North (IA)
Davenport (IA),12,Davenport Senior (IA)
Davenport Senior (IA),1,Davenport Senior (IA)
Davenport West (IA),561,Davenport West (IA)
De Witt Central (IA),398,De Witt Central (IA)
Decorah-North Winneshiek (IA),580,Decorah-North Winneshiek (IA)
Delhi Maquoketa Valley (IA),480,Delhi Maquoketa Valley (IA)
Denison (IA),226,Denison (IA)
Denver (IA),505,Denver (IA)
Des Moines Christian (IA),207,Des Moines Christian (IA)
Des Moines East (IA),625,Des Moines East (IA)
Des Moines Grandview Park Baptist (IA),141,Des Moines Grandview Park Baptist (IA)
Des Moines Hoover (IA),462,Des Moines Hoover (IA)
Des Moines Lincoln (IA),506,Des Moines Lincoln (IA)
Des Moines North (IA),551,Des Moines North (IA)
Des Moines Roosevelt (IA),558,Des Moines Roosevelt (IA)
Des Moines Saydel (IA),483,Des Moines Saydel (IA)
Des Moines Tech (IA),109,Des Moines Tech (IA)
Des Moines West (IA),92,Des Moines West (IA)
DeWitt Central (IA),136,DeWitt Central (IA)
Dike Community (IA),230,Dike Community (IA)
Dike-New Hartford (IA),327,Dike-New Hartford (IA)
Donnellson Central Lee (IA),422,Donnellson Central Lee (IA)
Dows (IA),122,Dows (IA)
Dubuque Hempstead (IA),494,Dubuque Hempstead (IA)
Dubuque Senior (IA),685,Dubuque Senior (IA)
Dubuque Wahlert (IA),473,Dubuque Wahlert (IA)
Dumont (IA),103,Dumont (IA)
Dunkerton (IA),416,Dunkerton (IA)
Dunlap Boyer Valley (IA),434,Dunlap Boyer Valley (IA)
Dunlap-Dow City-Arion (IA),100,Dunlap-Dow City-Arion (IA)
Durant-Bennett (IA),440,Durant-Bennett (IA)
Dyersville Beckman Catholic (IA),471,Dyersville Beckman Catholic (IA)
Dysart-Geneseo (IA),139,Dysart-Geneseo (IA)
Eagle Grove (IA),487,Eagle Grove (IA)
Earlham (IA),479,Earlham (IA)
Early Schaller-Crestland (IA),268,Early Schaller-Crestland (IA)
Eddyville (IA),133,Eddyville (IA)
Eddyville-Blakesburg (IA),131,Eddyville-Blakesburg (IA)
Eddyville Blakesburg (IA),18,Eddyville-Blakesburg (IA)
Eddyville-Blakesburg-Fremont (IA),177,Eddyville-Blakesburg-Fremont (IA)
Edgewood-Colesburg (IA),425,Edgewood-Colesburg (IA)
Edgewood Colesburg (IA),19,Edgewood-Colesburg (IA)
Eldon Cardinal (IA),462,Eldon Cardinal (IA)
Eldora (IA),82,Eldora (IA)
Eldora South Hardin (IA),135,Eldora South Hardin (IA)
Eldora-New Providence (IA),196,Eldora-New Providence (IA)
Eldridge North Scott (IA),567,Eldridge North Scott (IA)
Elgin Valley (IA),323,Elgin Valley (IA)
Elk Horn-Kimballton (IA),220,Elk Horn-Kimballton (IA)
Elkader Central (IA),407,Elkader Central (IA)
Emmetsburg (IA),651,Emmetsburg (IA)
Essex-South Page (IA),427,Essex-South Page (IA)
Estherville (IA),206,Estherville (IA)
EsthervilleLincoln Central (IA),372,EsthervilleLincoln Central (IA)
Estherville Lincoln (IA),16,EsthervilleLincoln Central (IA)
Everly (IA),121,Everly (IA)
Exira (IA),292,Exira (IA)
Exira-Elk Horn-Kimballton (IA),148,Exira-Elk Horn-Kimballton (IA)
Fairbank Wapsie Valley (IA),545,Fairbank Wapsie Valley (IA)
Fairfield (IA),523,Fairfield (IA)
Farmington Harmony (IA),278,Farmington Harmony (IA)
Farnhamville Cedar Valley (IA),91,Farnhamville Cedar Valley (IA)
Farragut (IA),271,Farragut (IA)
Fayette (IA),84,Fayette (IA)
Fenton Sentral (IA),235,Fenton Sentral (IA)
Fonda (IA),81,Fonda (IA)
Forest City (IA),476,Forest City (IA)
Fort Dodge (IA),638,Fort Dodge (IA)
Fort Dodge Saint Edmond (IA),431,Fort Dodge Saint Edmond (IA)
Fort Madison (IA),438,Fort Madison (IA)
Fort Madison-Holy Trinity (IA),28,Fort Madison-Holy Trinity Catholic (IA)
Fort Madison Holy Trinity Catholic (IA),5,Fort Madison-Holy Trinity Catholic (IA)
Fort Madison-Holy Trinity Catholic (IA),1,Fort Madison-Holy Trinity Catholic (IA)
Fredericksburg (IA),265,Fredericksburg (IA)
Galva (IA),109,Galva (IA)
Galva-Holstein (IA),244,Galva-Holstein (IA)
Garden Grove Mormon Trail (IA),362,Garden Grove Mormon Trail (IA)
Garner-Hayfield-Ventura (IA),471,Garner-Hayfield-Ventura (IA)
Garwin (IA),112,Garwin (IA)
George (IA),119,George (IA)
Gilbert (IA),453,Gilbert (IA)
Gilbertville-Don Bosco (IA),215,Gilbertville-Don Bosco (IA)
Gilbertville Don Bosco (IA),19,Gilbertville-Don Bosco (IA)
Gillett Grove South Clay (IA),84,Gillett Grove South Clay (IA)
Gilman Semco (IA),106,Gilman Semco (IA)
Gilmore City-Bradgate (IA),132,Gilmore City-Bradgate (IA)
Gladbrook (IA),131,Gladbrook (IA)
Gladbrook-Reinbeck (IA),338,Gladbrook-Reinbeck (IA)
Glenwood (IA),474,Glenwood (IA)
Glidden-Ralston (IA),471,Glidden-Ralston (IA)
Goose Lake Northeast (IA),469,Goose Lake Northeast (IA)
Gowrie Prairie Valley (IA),338,Gowrie Prairie Valley (IA)
Gowrie Southeast Valley (IA),91,Gowrie Southeast Valley (IA)
Graettinger (IA),255,Graettinger (IA)
Graettinger-Terril-Ruthven-Ayrshire (IA),194,Graettinger-Terril-Ruthven-Ayrshire (IA)
Grand Junction East Greene (IA),319,Grand Junction East Greene (IA)
Granville Spalding Catholic (IA),83,Granville Spalding Catholic (IA)
Green Mountain-Garwin (IA),296,Green Mountain-Garwin (IA)
Greene (IA),278,Greene (IA)
"Greene """"B"""" (IA)",1,Greene B (IA)
Greene North Butler (IA),199,Greene North Butler (IA)
Greenfield Nodaway Valley (IA),468,Greenfield Nodaway Valley (IA)
Grinnell (IA),1007,Grinnell (IA)
Griswold (IA),486,Griswold (IA)
Grundy Center (IA),498,Grundy Center (IA)
Gruver Lincoln Central (IA),124,Gruver Lincoln Central (IA)
Guthrie Center (IA),414,Guthrie Center (IA)
Guthrie Center-Adair-Casey (IA),61,Guthrie Center-Adair-Casey (IA)
Guthrie Center Adair Casey (IA),19,Guthrie Center-Adair-Casey (IA)
Guttenberg Clayton Ridge (IA),359,Guttenberg Clayton Ridge (IA)
Guttenberg Community (IA),98,Guttenberg Community (IA)
Hamburg (IA),241,Hamburg (IA)
Hampton (IA),166,Hampton (IA)
Hampton-Dumont (IA),246,Hampton-Dumont (IA)
Harlan (IA),708,Harlan (IA)
Harris-Lake Park (IA),393,Harris-Lake Park (IA)
Hartley (IA),109,Hartley (IA)
Hartley-Melvin (IA),39,Hartley-Melvin (IA)
Hartley Melvin (IA),17,Hartley-Melvin (IA)
Hartley-Melvin-Sanborn (IA),346,Hartley-Melvin-Sanborn (IA)
Hartwick-Ladora-Victor (IA),486,Hartwick-Ladora-Victor (IA)
Hastings Nishna Valley (IA),284,Hastings Nishna Valley (IA)
Hawarden West Sioux (IA),526,Hawarden West Sioux (IA)
Hedrick Consolidated (IA),87,Hedrick Consolidated (IA)
Hinton (IA),462,Hinton (IA)
H-L-V (IA),8,H-L-V-Tri-County (IA)
H-L-V-Tri-County (IA),4,H-L-V-Tri-County (IA)
Holstein (IA),84,Holstein (IA)
Holstein Ridge View (IA),171,Holstein Ridge View (IA)
Hubbard South Hardin (IA),109,Hubbard South Hardin (IA)
Hubbard-Radcliffe (IA),149,Hubbard-Radcliffe (IA)
Hudson (IA),465,Hudson (IA)
Hull Western Christian (IA),226,Hull Western Christian (IA)
Humboldt (IA),517,Humboldt (IA)
Huxley Ballard (IA),487,Huxley Ballard (IA)
Ida Grove (IA),176,Ida Grove (IA)
Independence (IA),521,Independence (IA)
Indianola (IA),541,Indianola (IA)
Inwood West Lyon (IA),653,Inwood West Lyon (IA)
Iowa City (IA),1195,Iowa City (IA)
Iowa City Regina (IA),538,Iowa City Regina (IA)
Iowa City West (IA),528,Iowa City West (IA)
Iowa Falls-Alden (IA),659,Iowa Falls-Alden (IA)
Irwin (IA),83,Irwin (IA)
Irwin-Kirkman-Manilla-Manning (IA),338,Irwin-Kirkman-Manilla-Manning (IA)
Jackson Junction Turkey Valley (IA),483,Jackson Junction Turkey Valley (IA)
Janesville (IA),411,Janesville (IA)
Jefferson (IA),272,Jefferson (IA)
Jefferson Greene County (IA),117,Jefferson Greene County (IA)
Jefferson-Scranton (IA),111,Jefferson-Scranton (IA)
Jefferson Scranton (IA),2,Jefferson-Scranton (IA)
Jefferson-Scranton-Paton-Churdan (IA),116,Jefferson-Scranton-Paton-Churdan (IA)
Jesup (IA),420,Jesup (IA)
Jewell South Hamilton (IA),473,Jewell South Hamilton (IA)
Johnston (IA),666,Johnston (IA)
Kanawha Community (IA),128,Kanawha Community (IA)
Keokuk (IA),523,Keokuk (IA)
Keosauqua Van Buren (IA),428,Keosauqua Van Buren (IA)
Keosauqua Van Buren Community (IA),1,Keosauqua Van Buren (IA)
Keota (IA),140,Keota (IA)
Kingsley-Pierson (IA),430,Kingsley-Pierson (IA)
Kingsley Pierson (IA),15,Kingsley-Pierson (IA)
Klemme (IA),81,Klemme (IA)
Knoxville (IA),498,Knoxville (IA)
Kuemper Catholic Carroll (IA),479,Kuemper Catholic Carroll (IA)
Lake City (IA),134,Lake City (IA)
Lake City South Central Calhoun (IA),344,Lake City South Central Calhoun (IA)
Lake City South Central (IA),18,Lake City South Central Calhoun (IA)
Lake Mills (IA),449,Lake Mills (IA)
Lake View East Sac County (IA),173,Lake View East Sac County (IA)
Lake View East Sac (IA),18,Lake View East Sac County (IA)
Lamoni (IA),436,Lamoni (IA)
Lansing Kee (IA),358,Lansing Kee (IA)
Lansing Kee Kee (IA),17,Lansing Kee (IA)
LaporteCity Union (IA),431,LaporteCity Union (IA)
Laurens Northwest (IA),117,Laurens Northwest (IA)
Laurens-Marathon (IA),239,Laurens-Marathon (IA)
Lawton-Bronson (IA),456,Lawton-Bronson (IA)
Le Grand East Marshall (IA),337,Le Grand East Marshall (IA)
Le Mars (IA),532,Le Mars (IA)
Le Mars Gehlen Catholic (IA),425,Le Mars Gehlen Catholic (IA)
LeGrand-Dunbar-Ferguson (IA),136,LeGrand-Dunbar-Ferguson (IA)
Lenox (IA),478,Lenox (IA)
Leon Central Decatur (IA),428,Leon Central Decatur (IA)
Letts Louisa-Muscatine (IA),434,Letts Louisa-Muscatine (IA)
Letts Louisa Muscatine (IA),17,Letts Louisa-Muscatine (IA)
Liberty Center Southeast Warren (IA),430,Liberty Center Southeast Warren (IA)
Lincoln (IA),13,Lincoln Community (IA)
Lincoln Community (IA),1,Lincoln Community (IA)
Linn Grove Sioux Valley (IA),94,Linn Grove Sioux Valley (IA)
Lisbon (IA),499,Lisbon (IA)
Logan-Magnolia (IA),463,Logan-Magnolia (IA)
Logan Magnolia (IA),17,Logan-Magnolia (IA)
Lohrville (IA),145,Lohrville (IA)
Lone Tree (IA),382,Lone Tree (IA)
lowa School for the Deaf (IA),219,lowa School for the Deaf (IA)
"Luther College """"B"""" (IA)",1,Luther College B (IA)
Lynnville-Sully (IA),467,Lynnville-Sully (IA)
Lytton (IA),102,Lytton (IA)
Madrid (IA),535,Madrid (IA)
MallardCommunity (IA),177,MallardCommunity (IA)
Malvern (IA),261,Malvern (IA)
Malvern East Mills (IA),182,Malvern East Mills (IA)
Manchester West Delaware (IA),565,Manchester West Delaware (IA)
