Alias_Name,GameCount,Standardized_Name
Aberdeen (ID),392,Aberdeen (ID)
American Falls (ID),419,American Falls (ID)
Arco Butte County (ID),363,Arco Butte County (ID)
Arimo Marsh Valley (ID),562,Arimo Marsh Valley (ID)
Ashton North Fremont (ID),389,Ashton North Fremont (ID)
Baker (ID),1,Baker City (ID)
Baker City (ID),9,Baker City (ID)
Bancroft North Gem (ID),382,Bancroft North Gem (ID)
Blackfoot (ID),544,Blackfoot (ID)
Blackfoot Snake River (ID),663,Blackfoot Snake River (ID)
Boise (ID),893,Boise (ID)
Boise Bishop Kelly (ID),523,Boise Bishop Kelly (ID)
Boise Borah (ID),663,Boise Borah (ID)
Boise Capital (ID),641,Boise Capital (ID)
Boise Centennial (ID),359,Boise Centennial (ID)
Boise Timberline (ID),398,Boise Timberline (ID)
Bonners Ferry (ID),369,Bonners Ferry (ID)
Bruneau Rimrock (ID),366,Bruneau Rimrock (ID)
Buhl (ID),410,Buhl (ID)
Burley (ID),454,Burley (ID)
Caldwell (ID),603,Caldwell (ID)
Caldwell Vallivue (ID),476,Caldwell Vallivue (ID)
Cambridge Tri Valley (ID),19,Cambridge Tri-Valley (ID)
Cambridge Tri-Valley (ID),334,Cambridge Tri-Valley (ID)
Carey (ID),430,Carey (ID)
Cascade (ID),228,Cascade (ID)
Castleford (ID),363,Castleford (ID)
Challis (ID),430,Challis (ID)
Clark Fork (ID),279,Clark Fork (ID)
Coeur d'Alene (ID),623,Coeur d'Alene (ID)
Coeur d'Alene Charter Academy (ID),1,Coeur d'Alene Charter Academy (ID)
Coeur Dalene Coeur Du Academy (ID),15,Coeur d'Alene Charter Academy (ID)
Coeur d'Alene Lake City (ID),306,Coeur d'Alene Lake City (ID)
Cottonwood Prairie (ID),297,Cottonwood Prairie (ID)
Council (ID),374,Council (ID)
Craigmont Lewis County co-op [Highland-Nezperce-Culdesac] (ID),159,Craigmont Lewis County co-op [Highland-Nezperce-Culdesac] (ID)
Lewis County co-op [Highland-Nezperce] (ID),8,Craigmont Lewis County co-op [Highland-Nezperce-Culdesac] (ID)
Dayton West Side (ID),418,Dayton West Side (ID)
Deary (ID),336,Deary (ID)
Declo (ID),424,Declo (ID)
Dietrich (ID),306,Dietrich (ID)
Driggs Teton (ID),397,Driggs Teton (ID)
Dubois Clark County (ID),256,Dubois Clark County (ID)
Eagle (ID),322,Eagle (ID)
Emmett (ID),505,Emmett (ID)
Fairfield Camas County (ID),360,Fairfield Camas County (ID)
Filer (ID),348,Filer (ID)
Firth (ID),402,Firth (ID)
Fort Hall Shoshone-Bannock (ID),184,Fort Hall Shoshone-Bannock (ID)
Fruitland (ID),475,Fruitland (ID)
Garden Valley (ID),395,Garden Valley (ID)
Genesee (ID),294,Genesee (ID)
Glenns Ferry (ID),401,Glenns Ferry (ID)
Gooding (ID),400,Gooding (ID)
Grace (ID),367,Grace (ID)
Grangeville (ID),388,Grangeville (ID)
Greenleaf Friends Academy (ID),268,Greenleaf Friends Academy (ID)
Hagerman (ID),384,Hagerman (ID)
Hailey Wood River (ID),366,Hailey Wood River (ID)
Hansen (ID),291,Hansen (ID)
Harrison Kootenai (ID),265,Harrison Kootenai (ID)
Hazelton Valley (ID),276,Hazelton Valley (ID)
Homedale (ID),453,Homedale (ID)
Horseshoe Bend (ID),256,Horseshoe Bend (ID)
Idaho City (ID),230,Idaho City (ID)
Idaho Falls (ID),623,Idaho Falls (ID)
Idaho Falls Bonneville (ID),443,Idaho Falls Bonneville (ID)
