Alias_Name,GameCount,Standardized_Name
?Bushnell-Prairie City (IL),8,
Abingdon Avon (IL),18,Abingdon-Avon (IL)
Abingdon-Avon (IL),509,Abingdon-Avon (IL)
Addison Driscoll Catholic (IL),380,Addison Driscoll Catholic (IL)
Addison Trail (IL),566,Addison Trail (IL)
Alan b. Shepard HS (IL),1,
Albion (IL),20,
Albion College (IL),2,
Albion Edwards County (IL),515,Albion Edwards County (IL)
Albion Edwards County-Grayville (IL),218,Albion Edwards County-Grayville (IL)
Aldea (IL),1,
Alden (IL),1,
Alden-Hebron (IL),16,Alden-Hebron-Faith Lutheran (IL)
Alden-Hebron-Faith Lutheran (IL),311,Alden-Hebron-Faith Lutheran (IL)
Alden-Hebron-Our Lady of the Sacred Heart Academy (IL),14,
Aledo Mercer County (IL),619,Aledo Mercer County (IL)
Aledo Roosevelt Military Academy (IL),38,
Alexis United (IL),640,Alexis United (IL)
Alexis-Cambridge (IL),1,
Algonquin Jacobs (IL),464,Algonquin Jacobs (IL)
Alton (IL),643,Alton (IL)
Alton Marquette Catholic (IL),458,Alton Marquette Catholic (IL)
Alton Shurtleff College (IL),1,
Alton Western Military Academy (IL),405,Alton Western Military Academy (IL)
Amboy (IL),358,Amboy (IL)
Amboy Lamoille (IL),19,Amboy-LaMoille (IL)
Amboy-LaMoille (IL),144,Amboy-LaMoille (IL)
Amboy-LaMoille-Ohio (IL),39,Amboy-LaMoille (IL)
American Interntional (IL),1,
Anderson (IL),1,
Andres (IL),1,
Anna (IL),3,
Anna-Jonesboro (IL),520,Anna-Jonesboro (IL)
Anna-Jonesboro-Dongola (IL),10,
Annawan (IL),379,Annawan (IL)
Antioch (IL),589,Antioch (IL)
Arcola (IL),605,Arcola (IL)
Arcola Purple (IL),15,Arcola (IL)
Argenta (IL),1,
Argenta-Oreana (IL),536,Argenta-Oreana (IL)
Arlington Christian Liberty Academy-Christian Heritage Academy (IL),30,
Arlington Heights (IL),265,Arlington Heights (IL)
Arlington Heights Christian Liberty (IL),1,Arlington Heights Christian Liberty Academy (IL)
Arlington Heights Christian Liberty Academy (IL),48,Arlington Heights Christian Liberty Academy (IL)
Arlington Heights Christian Liberty Academy-Christian Heritage Academy (IL),8,Arlington Heights Christian Liberty Academy (IL)
Arlington Heights Forest View (IL),208,Arlington Heights Forest View (IL)
Arlington Heights Hersey (IL),551,Arlington Heights Hersey (IL)
Arlington Heights Saint Viator (IL),599,Arlington Heights St. Viator (IL)
Arlington Heights St Viator (IL),1,
Arlington Heights St. Viator (IL),596,
Arlington Heights St. Victor (IL),1,Arlington Heights St. Viator (IL)
Armstrong (IL),1,
Arthur Lovington (IL),27,Arthur Lovington Atwood Hammond (IL)
Arthur Lovington Atwood Hammond (IL),493,
Arthur LovingtonAtwood Hammond (IL),464,Arthur Lovington Atwood Hammond (IL)
Ashland A-C Central (IL),3,
Ashton (IL),326,Ashton (IL)
Ashton Franklin (IL),17,Ashton-Franklin Center (IL)
Ashton-Franklin Center (IL),274,Ashton-Franklin Center (IL)
Assumption (IL),249,Assumption (IL)
Aston (IL),2,
Astoria (IL),168,Astoria (IL)
Astoria South Fulton Coop (IL),26,
Astoria Vit (IL),18,Astoria-Table Grove VIT (IL)
Astoria-Table Grove VIT (IL),181,Astoria-Table Grove VIT (IL)
Astoria-VIT (IL),38,Astoria-Table Grove VIT (IL)
Athens (IL),120,Athens (IL)
Athens-Greenview (IL),74,
Atkinson (IL),186,Atkinson (IL)
Atlanta (IL),6,
Atwood (IL),70,
Atwood-Hammond (IL),148,Atwood-Hammond (IL)
Auburn (IL),566,Auburn (IL)
Aurora (IL),9,
Aurora Central Catholic (IL),514,Aurora Central Catholic (IL)
Aurora Christian (IL),300,Aurora Christian (IL)
Aurora East (IL),1305,Aurora East (IL)
Aurora Fischer (IL),1,
Aurora Marmion Academy (IL),18,Aurora Marmion Military Academy (IL)
Aurora Marmion Military Academy (IL),566,Aurora Marmion Military Academy (IL)
Aurora Mendota College (IL),2,
Aurora Metea Valley (IL),138,Aurora Metea Valley (IL)
Aurora Roncalli (IL),1,
Aurora Waubonsie Valley (IL),493,Aurora Waubonsie Valley (IL)
Aurora West (IL),21,
Aurora YMCA (IL),1,
Austin Titan Athletic Assoc. (IL),1,
Aviston (IL),1,
Aviston Central (IL),5,
Avon (IL),1530,Avon (IL)
Avon Coop (IL),18,Avon (IL)
Avon-Roseville (IL),32,
Avon-Springfield SE (IL),1,
Barrington (IL),679,Barrington (IL)
Barrington Fillies (IL),23,
Barry (IL),1,Barry Western Community (IL)
Barry Western (IL),9,Barry Western Community (IL)
Barry Western Community (IL),38,Barry Western Community (IL)
Bartlett (IL),270,Bartlett (IL)
Bartonville (IL),1,Bartonville Limestone (IL)
Bartonville Limestone (IL),561,Bartonville Limestone (IL)
Batavia (IL),610,Batavia (IL)
Batavia MarmionAcademy (IL),1,
Beardstown (IL),537,Beardstown (IL)
Beaumont (IL),4,
Bedford Park (IL),1,
Beecher City (IL),1,
Belleview Alhoff Catholic (IL),2,
Belleville (IL),284,Belleville (IL)
Belleville Althoff Catholic (IL),842,Belleville Althoff Catholic (IL)
Belleville Althoff Catholic JV (IL),2,
Belleville Alumni (IL),2,
Belleville Cathedral (IL),51,
Belleville East (IL),580,Belleville East (IL)
Belleville Township (IL),61,
Belleville Township East (IL),6,Belleville East (IL)
"Belleville Township Opp """"Cleveland"""" (IL)",1,
Belleville West (IL),623,Belleville West (IL)
Bellevue Marquette Catholic (IL),1,
Beloit (IL),12,
Beloit JV (IL),6,
Belvidere (IL),560,Belvidere (IL)
Belvidere North (IL),184,Belvidere North (IL)
Bement (IL),226,Bement (IL)
Bement South Piatt Coop (IL),78,
Bement-Atwood-Hammond (IL),34,
Benld (IL),9,
Bensenville (IL),12,Bensenville Fenton (IL)
Bensenville Fenton (IL),542,Bensenville Fenton (IL)
Bensonville (IL),1,Bensenville Fenton (IL)
Benton (IL),547,Benton (IL)
Benton-Scales Mound (IL),195,Benton-Scales Mound (IL)
Benton-Scales Mound (IL)-Shullsburg (WI),21,Benton-Scales Mound (IL)-Shullsburg (WI)
Benton-Scales Mound-Shullsburg (IL),3,Benton-Scales Mound (IL)-Shullsburg (WI)
Berwyn Morton West (IL),224,Berwyn Morton West (IL)
Bethalto (IL),1,
Bethalto Civic Memorial (IL),475,Bethalto Civic Memorial (IL)
Bethany (IL),187,Bethany (IL)
Bethany Okaw Valley (IL),20,
Big Rock Crossroads Christian (IL),53,
Big Rock Illinois Crusaders (IL),49,
Biggsville (IL),45,
Biggsville Union (IL),221,Biggsville Union (IL)
Biggsville West (IL),18,Biggsville West Central (IL)
Biggsville West Central (IL),170,Biggsville West Central (IL)
Bismarck (IL),53,
Bismarck-Deer Creek-Mackinaw (IL),1,
Bismarck-Henning (IL),391,Bismarck-Henning (IL)
Bismarck-Henning-Rossville-Alvin (IL),48,
Bismark (IL),3,
Black Hawk-South Wayne (IL),4,
Black Hawk-Warren (IL),10,
Black Hawk-Warren (IL)-South Wayne (WI),19,
Blackburn (IL),1,
Blackburn College (IL),5,
Bloomington (IL),717,Bloomington (IL)
Bloomington Central (IL),21,
Bloomington Central Catholic (IL),533,Bloomington Central Catholic (IL)
Bloomington Central Catholic JV (IL),2,
Bloomington Normal (IL),2,
Bloomington Purple (IL),20,Bloomington (IL)
Bloomington St. Mary (IL),1,
Bloomington Trinity (IL),103,Bloomington Trinity (IL)
Blue Island Blue Island (IL),17,Blue Island Community (IL)
Blue Island Community (IL),8,Blue Island Community (IL)
Blue Island Eisenhower (IL),490,Blue Island Eisenhower (IL)
Bluffs (IL),96,
Bolingbrook (IL),569,Bolingbrook (IL)
Bradford (IL),232,Bradford (IL)
Bradford Coop (IL),16,
Bradford Henry-Midland Coop (IL),27,
Bradford-Henry (IL),3,
Bradford-Tiskilwa (IL),39,
Bradley (IL),82,
Bradley-Bourbonnais (IL),214,Bradley-Bourbonnais Coummunity (IL)
Bradley-Bourbonnais Coummunity (IL),464,Bradley-Bourbonnais Coummunity (IL)
Braidwood Reed Custer (IL),17,Braidwood Reed-Custer (IL)
Braidwood Reed-Custer (IL),407,Braidwood Reed-Custer (IL)
Breese Central (IL),421,Breese Central (IL)
