Alias_Name,GameCount,Standardized_Name
Akron Tippecanoe Valley (IN),521,Akron Tippecanoe Valley (IN)
Albion Central Noble (IN),508,Albion Central Noble (IN)
Alexandria-Monroe (IN),529,Alexandria-Monroe (IN)
Anderson (IN),508,Anderson (IN)
Anderson Highland (IN),380,Anderson Highland (IN)
Anderson Madison-Heights (IN),198,Anderson Madison-Heights (IN)
Angola (IN),529,Angola (IN)
Arcadia Hamilton Heights (IN),571,Arcadia Hamilton Heights (IN)
Attica (IN),490,Attica (IN)
Auburn (IN),166,Auburn (IN)
Aurora South Dearborn (IN),443,Aurora South Dearborn (IN)
Avon (IN),532,Avon (IN)
Batesville (IN),508,Batesville (IN)
Bedford (IN),154,Bedford (IN)
Bedford North Lawrence (IN),521,Bedford North Lawrence (IN)
Bedford-North Lawrence (IN),2,Bedford North Lawrence (IN)
Beech Grove (IN),531,Beech Grove (IN)
Berne South Adams (IN),534,Berne South Adams (IN)
Bicknell (IN),260,Bicknell (IN)
Bicknell North Knox (IN),690,Bicknell North Knox (IN)
Bloomfield Eastern Greene (IN),240,Bloomfield Eastern Greene (IN)
Bloomington (IN),646,Bloomington (IN)
Bloomington North (IN),538,Bloomington North (IN)
Bloomington South (IN),579,Bloomington South (IN)
Bloomington Indiana University (IN),1,Bloomington University High (IN)
Bloomington Indiana University High (IN),3,Bloomington University High (IN)
Bloomington University (IN),12,Bloomington University High (IN)
Bloomington University High (IN),1,Bloomington University High (IN)
Bluffton (IN),681,Bluffton (IN)
Boonville (IN),1087,Boonville (IN)
Bourbon Triton (IN),496,Bourbon Triton (IN)
Brazil (IN),130,Brazil (IN)
Brazil Northview (IN),461,Brazil Northview (IN)
Bremen (IN),620,Bremen (IN)
Brookville Franklin County (IN),452,Brookville Franklin County (IN)
Brownsburg (IN),546,Brownsburg (IN)
Brownstown Central (IN),562,Brownstown Central (IN)
Bunker Hill Maconaquah (IN),494,Bunker Hill Maconaquah (IN)
Butler Eastside (IN),515,Butler Eastside (IN)
Cambridge City Lincoln (IN),443,Cambridge City Lincoln (IN)
Campbellsburg West Washington (IN),501,Campbellsburg West Washington (IN)
Cannelton (IN),118,Cannelton (IN)
Carmel (IN),787,Carmel (IN)
Cayuga North Vermillion (IN),524,Cayuga North Vermillion (IN)
Cedar Lake Hanover Central (IN),135,Cedar Lake Hanover Central (IN)
Centerville (IN),461,Centerville (IN)
Chalmers Frontier (IN),507,Chalmers Frontier (IN)
Charleston (IN),1,Charlestown (IN)
Charlestown (IN),559,Charlestown (IN)
Charlottesville Eastern Hancock (IN),492,Charlottesville Eastern Hancock (IN)
Chesterton (IN),669,Chesterton (IN)
Chicago Hyde Park (IN),1,Chicago Hyde Park (IL)
Churubusco (IN),523,Churubusco (IN)
Clarksville (IN),534,Clarksville (IN)
Clarksville Our Lady of Providence (IN),2,Clarksville Providence (IN)
Clarksville Providence (IN),611,Clarksville Providence (IN)
Clayton Cascade (IN),493,Clayton Cascade (IN)
Clayton Cascades (IN),1,Clayton Cascade (IN)
Clinton (IN),106,Clinton (IN)
Clinton South Vermillion (IN),469,Clinton South Vermillion (IN)
Cloverdale (IN),480,Cloverdale (IN)
Columbia City (IN),689,Columbia City (IN)
Columbus East (IN),568,Columbus East (IN)
Columbus North (IN),622,Columbus North (IN)
Connersville (IN),508,Connersville (IN)
Converse Oak Hill (IN),526,Converse Oak Hill (IN)
Corydon Central (IN),489,Corydon Central (IN)
Covington (IN),434,Covington (IN)
Crawfordsville (IN),562,Crawfordsville (IN)
Crawfordsville North Montgomery (IN),519,Crawfordsville North Montgomery (IN)
Crawfordsville Southmont (IN),502,Crawfordsville Southmont (IN)
Crown Point (IN),863,Crown Point (IN)
Culver Community (IN),525,Culver Community (IN)
Culver Military Academy (IN),633,Culver Military Academy (IN)
"Culver Military """"B"""" (IN)",8,Culver Military Academy B (IN)
Culver Military B (IN),1,Culver Military Academy B (IN)
Danville Community (IN),544,Danville Community (IN)
Decatur Bellmont (IN),526,Decatur Bellmont (IN)
Delphi Community (IN),522,Delphi Community (IN)
Denver North Miami (IN),513,Denver North Miami (IN)
Dugger Union (IN),523,Dugger Union (IN)
East Chicago Central (IN),464,East Chicago Central (IN)
East Chicago Roosevelt (IN),563,East Chicago Roosevelt (IN)
East Chicago Washington (IN),399,East Chicago Washington (IN)
Edinburgh (IN),456,Edinburgh (IN)
Edison Lake Station (IN),20,Edison Lake Station Edison (IN)
Edison Lake Station Edison (IN),462,Edison Lake Station Edison (IN)
Elkhart Central (IN),1164,Elkhart Central (IN)
Elkhart Concord (IN),570,Elkhart Concord (IN)
Elkhart Memorial (IN),531,Elkhart Memorial (IN)
Ellettsville Edgewood (IN),516,Ellettsville Edgewood (IN)
Elnora North Daviess (IN),555,Elnora North Daviess (IN)
Elwood (IN),564,Elwood (IN)
Evansville (IN),902,Evansville (IN)
Evansville Bosse (IN),1190,Evansville Bosse (IN)
Evansville Boys Catholic (IN),8,Evansville Boys' Catholic (IN)
Evansville Boys' Catholic (IN),770,Evansville Boys' Catholic (IN)
Evansville Central (IN),1010,Evansville Central (IN)
Evansville Harrison (IN),789,Evansville Harrison (IN)
Evansville Mater Dei (IN),943,Evansville Mater Dei (IN)
Evansville North (IN),811,Evansville North (IN)
Evansville Reitz (IN),1262,Evansville Reitz (IN)
Evansville Reitz Memorial (IN),1001,Evansville Reitz Memorial (IN)
Evansville Rex Mundi (IN),117,Evansville Rex Mundi (IN)
Fairland Triton Central (IN),530,Fairland Triton Central (IN)
Fairmount Madison Grant (IN),21,Fairmount Madison-Grant (IN)
Fairmount Madison-Grant (IN),488,Fairmount Madison-Grant (IN)
Farmersburg North Central (IN),499,Farmersburg North Central (IN)
Ferdinand Forest Park (IN),197,Ferdinand Forest Park (IN)
Fishers (IN),225,Fishers (IN)
Fishers Hamilton Southeastern (IN),638,Fishers Hamilton Southeastern (IN)
Flora Carroll (IN),527,Flora Carroll (IN)
Florida Deaf (IN),1,Florida School for the Deaf (FL)
Floyds Knobs Floyd Central (IN),481,Floyds Knobs Floyd Central (IN)
Fort Branch Gibson Southern (IN),566,Fort Branch Gibson Southern (IN)
Fort Wayne Bishop Dwenger (IN),693,Fort Wayne Bishop Dwenger (IN)
Fort Wayne Bishop Luers (IN),790,Fort Wayne Bishop Luers (IN)
Fort Wayne Blackhawk Christian (IN),29,Fort Wayne Blackhawk Christian (IN)
Fort Wayne Fort Wayne Blackhawk Christian (IN),4,Fort Wayne Blackhawk Christian (IN)
Fort Wayne Carroll (IN),523,Fort Wayne Carroll (IN)
Fort Wayne Central (IN),242,Fort Wayne Central (IN)
Fort Wayne Central Catholic (IN),160,Fort Wayne Central Catholic (IN)
Fort Wayne Concordia Lutheran (IN),649,Fort Wayne Concordia Lutheran (IN)
Fort Wayne Elmhurst (IN),349,Fort Wayne Elmhurst (IN)
Fort Wayne Harding (IN),368,Fort Wayne Harding (IN)
Fort Wayne Homestead (IN),583,Fort Wayne Homestead (IN)
Fort Wayne North Side (IN),752,Fort Wayne North Side (IN)
Fort Wayne Northrop (IN),560,Fort Wayne Northrop (IN)
Fort Wayne Snider (IN),716,Fort Wayne Snider (IN)
Fort Wayne South Side (IN),701,Fort Wayne South Side (IN)
Fort Wayne Wayne (IN),546,Fort Wayne Wayne (IN)
Fortville Mount Vernon (IN),1464,Fortville Mt. Vernon (IN)
Fortville Mt. Vernon (IN),19,Fortville Mt. Vernon (IN)
Fountain City Northeastern (IN),435,Fountain City Northeastern (IN)
Francesville West Central (IN),518,Francesville West Central (IN)
Frankfort (IN),535,Frankfort (IN)
Frankfort Clinton Prairie (IN),500,Frankfort Clinton Prairie (IN)
Franklin Community (IN),523,Franklin Community (IN)
Frankton (IN),505,Frankton (IN)
Fremont (IN),488,Fremont (IN)
French Lick Springs Valley (IN),580,French Lick Springs Valley (IN)
Fulton Caston (IN),497,Fulton Caston (IN)
Garrett (IN),722,Garrett (IN)
Gary Bowman Academy (IN),179,Gary Bowman Academy (IN)
Gary Calumet (IN),497,Gary Calumet (IN)
