Alias_Name,GameCount,Standardized_Name
Abilene (KS),1027,Abilene (KS)
Agra (KS),2,Agra Eastern Heights (KS)
Agra Eastern Heights (KS),81,Agra Eastern Heights (KS)
Allen Northern Heights (KS),580,Allen Northern Heights (KS)
Alma (KS),193,Alma (KS)
Alma Wabaunsee (KS),457,Alma Wabaunsee (KS)
Almena Northern Valley (KS),613,Almena Northern Valley (KS)
Alta Vista (KS),156,Alta Vista (KS)
Altamont Labette County (KS),860,Altamont Labette County (KS)
Andale (KS),712,Andale (KS)
Andover (KS),522,Andover (KS)
Andover Central (KS),255,Andover Central (KS)
Anthony (KS),114,Anthony (KS)
Anthony-Harper-Chaparral (KS),456,Anthony-Harper-Chaparral (KS)
Argonia (KS),198,Argonia (KS)
Arkansas City (KS),1210,Arkansas City (KS)
Arma (KS),146,Arma (KS)
Arma Northeast (KS),419,Arma Northeast (KS)
Ashland (KS),353,Ashland (KS)
Assaria (KS),6,Assaria Southeast of Saline (KS)
Assaria Southeast of Saline (KS),8,Assaria Southeast of Saline (KS)
Atchison (KS),1016,Atchison (KS)
Atchison Maur Hill (KS),16,Atchison Maur Hill Prep (KS)
Atchison Maur Hill Prep (KS),691,Atchison Maur Hill Prep (KS)
Atchison Maur Hill Prep-Mount Academy (KS),166,Atchison Maur Hill Prep-Mount Academy (KS)
Atchison Maur Hill-Mount Academy (KS),11,Atchison Maur Hill Prep-Mount Academy (KS)
Attica (KS),183,Attica (KS)
Attica-Argonia (KS),118,Attica-Argonia (KS)
Atwood (KS),398,Atwood (KS)
Atwood Rawlins County (KS),180,Atwood Rawlins County (KS)
Augusta (KS),884,Augusta (KS)
Augusta All-stars (KS),1,Augusta City All Stars (KS)
Augusta City All Stars (KS),1,Augusta City All Stars (KS)
Axtell (KS),835,Axtell (KS)
Baileyville B & B (KS),319,Baileyville B & B (KS)
Baldwin (KS),604,Baldwin (KS)
Basehor (KS),154,Basehor (KS)
Basehor Linwood (KS),17,Basehor-Linwood (KS)
Basehor-Linwood (KS),479,Basehor-Linwood (KS)
Baxter Springs (KS),925,Baxter Springs (KS)
Bel Aire Sunrise Christian Academy (KS),203,Bel Aire Sunrise Christian Academy (KS)
Belle Plaine (KS),563,Belle Plaine (KS)
Belleville (KS),750,Belleville (KS)
Belleville Republic County (KS),209,Belleville Republic County (KS)
Beloit (KS),1075,Beloit (KS)
Beloit St. John's (KS),153,Beloit St. John's (KS)
Beloit John's-Tipton Catholic (KS),11,Beloit St. John's-Tipton Catholic (KS)
Beloit Saint John's/Tipton Catholic (KS),18,Beloit St. John's-Tipton Catholic (KS)
Beloit Saint John's-Tipton Catholic (KS),26,Beloit St. John's-Tipton Catholic (KS)
Beloit St. John's-Tipton Catholic (KS),127,Beloit St. John's-Tipton Catholic (KS)
Bennington (KS),463,Bennington (KS)
Bern (KS),318,Bern (KS)
Bird City Cheylin (KS),464,Bird City Cheylin (KS)
Blue Rapids Valley Heights (KS),679,Blue Rapids Valley Heights (KS)
Bonner Springs (KS),912,Bonner Springs (KS)
Brewster (KS),122,Brewster (KS)
Brookville Ell Saline (KS),17,Brookville Ell-Saline (KS)
Brookville Ell-Saline (KS),533,Brookville Ell-Saline (KS)
Bucklin (KS),314,Bucklin (KS)
Buffalo Altoona Midway (KS),14,Buffalo Altoona-Midway (KS)
Buffalo Altoona-Midway (KS),617,Buffalo Altoona-Midway (KS)
Buhler (KS),939,Buhler (KS)
Burden Central (KS),329,Burden Central (KS)
Burlingame (KS),435,Burlingame (KS)
Burlington (KS),867,Burlington (KS)
Burrton (KS),452,Burrton (KS)
Bushton Quivira Heights (KS),211,Bushton Quivira Heights (KS)
Caldwell (KS),584,Caldwell (KS)
Caldwell South Sumner (KS),15,Caldwell South Sumner [Caldwell-South Haven] (KS)
Caldwell South Sumner [Caldwell-South Haven] (KS),9,Caldwell South Sumner [Caldwell-South Haven] (KS)
Caney Valley (KS),823,Caney Valley (KS)
Canton Galva (KS),16,Canton-Galva (KS)
Canton-Galva (KS),496,Canton-Galva (KS)
Carbondale Santa Fe (KS),16,Carbondale Santa Fe Trail (KS)
Carbondale Santa Fe Trail (KS),535,Carbondale Santa Fe Trail (KS)
Cawker City (KS),6,Cawker City Waconda East (KS)
Cawker City Waconda East (KS),89,Cawker City Waconda East (KS)
Cedar Vale (KS),169,Cedar Vale (KS)
Cedar Vale Cedar Vale (KS),17,Cedar Vale (KS)
Cedar Vale-Dexter (KS),122,Cedar Vale-Dexter (KS)
Centralia-Wetmore (KS),617,Centralia-Wetmore (KS)
Chanute (KS),1178,Chanute (KS)
Chapman (KS),772,Chapman (KS)
Chapman Dickinson County (KS),8,Chapman-Dickinson County (KS)
Chapman-Dickinson County (KS),2,Chapman-Dickinson County (KS)
Chase (KS),376,Chase (KS)
Cheney (KS),545,Cheney (KS)
Cherokee Southeast (KS),766,Cherokee Southeast (KS)
Cherryvale (KS),946,Cherryvale (KS)
Chetopa (KS),731,Chetopa (KS)
Cimarron (KS),773,Cimarron (KS)
Claflin (KS),532,Claflin (KS)
Claflin Central Plains (KS),129,Claflin Central Plains (KS)
Clay Center (KS),1001,Clay Center (KS)
Clearwater (KS),759,Clearwater (KS)
Clearweather/water? (KS),1,Clearwater (KS)
Clifton Rura (KS),1,Clifton Rural (KS)
Clifton Rural (KS),176,Clifton Rural (KS)
Clyde (KS),281,Clyde (KS)
Clyde Clifton Clyde (KS),19,Clyde Clifton-Clyde (KS)
Clyde Clifton-Clyde (KS),462,Clyde Clifton-Clyde (KS)
Coffeyville Field Kindley (KS),1112,Coffeyville Field Kindley (KS)
Colby (KS),1066,Colby (KS)
Coldwater South Central (KS),237,Coldwater South Central (KS)
Colony Crest (KS),403,Colony Crest (KS)
Columbus (KS),1056,Columbus (KS)
Concordia (KS),813,Concordia (KS)
Conway Springs (KS),804,Conway Springs (KS)
Copeland (KS),125,Copeland (KS)
Cottonwood Falls Chase County (KS),542,Cottonwood Falls Chase County (KS)
Council Grove (KS),921,Council Grove (KS)
Crawford County McCune (KS),186,Crawford County McCune (KS)
Cuba Hillcrest (KS),119,Cuba Hillcrest (KS)
Cunningham (KS),250,Cunningham (KS)
Cygne Prairie View (KS),632,Cygne Prairie View (KS)
Deerfield (KS),491,Deerfield (KS)
Denison (KS),2,Denison (KS)
DenisonRural (KS),1,Denison (KS)
Denton Midway (KS),441,Denton Midway (KS)
Derby (KS),859,Derby (KS)
DeSoto (KS),594,DeSoto (KS)
DeSoto De Soto (KS),12,DeSoto (KS)
Dighton (KS),845,Dighton (KS)
Dodge City (KS),1161,Dodge City (KS)
Dodge City St. Mary of the Plains (KS),1,Dodge City St. Mary of The Plains Academy (KS)
Dodge City St. Mary Of The Plains Academy (KS),3,Dodge City St. Mary of The Plains Academy (KS)
Dodge City St. Mary Of The PlainsAcademy (KS),31,Dodge City St. Mary of The Plains Academy (KS)
Douglass (KS),652,Douglass (KS)
Downs (KS),142,Downs (KS)
Downs Lakeside (KS),208,Downs Lakeside (KS)
Easton Pleasant Ridge (KS),516,Easton Pleasant Ridge (KS)
Effingham (KS),1,Effingham Atchison County (KS)
Effingham Atchison County (KS),782,Effingham Atchison County (KS)
El Dorado (KS),1128,El Dorado (KS)
Elkhart (KS),324,Elkhart (KS)
Ellinwood (KS),500,Ellinwood (KS)
Ellis (KS),499,Ellis (KS)
Ellsworth (KS),610,Ellsworth (KS)
Elwood (KS),248,Elwood (KS)
Emporia (KS),1109,Emporia (KS)
Emporia Normal (KS),2,Emporia Normal High (KS)
Emporia Normal High (KS),5,Emporia Normal High (KS)
"Emporia Opp """"Normal High"""" (KS)",1,Emporia Normal High (KS)
Emporia StateUniversity (KS),1,Emporia State University (KS)
"Emporia State College """"B"""" (KS)",3,Emporia State University B (KS)
"Emporia State University """"B"""" (KS)",1,Emporia State University B (KS)
Emporia State University 2nds (KS),1,Emporia State University B (KS)
Erie (KS),919,Erie (KS)
Eskridge (KS),121,Eskridge (KS)
Eskridge Mission Valley (KS),514,Eskridge Mission Valley (KS)
Eudora (KS),688,Eudora (KS)
Eureka (KS),901,Eureka (KS)
Fairmount College 2nds (KS),3,Fairmount College Reserves (KS)
Fairmount College Reserves (KS),1,Fairmount College Reserves (KS)
Fort Scott (KS),1189,Fort Scott (KS)
Fowler (KS),377,Fowler (KS)
Frankfort (KS),832,Frankfort (KS)
Fredonia (KS),888,Fredonia (KS)
Fredonia Elk (KS),16,Fredonia-Elk Valley (KS)
Fredonia-Elk Valley (KS),19,Fredonia-Elk Valley (KS)
Frontenac (KS),1081,Frontenac (KS)
Galena (KS),941,Galena (KS)
Garden City (KS),1118,Garden City (KS)
Garden Plain (KS),743,Garden Plain (KS)
Gardner (KS),124,Gardner (KS)
Gardner Edgerton (KS),98,Gardner-Edgerton (KS)
Gardner-Edgerton (KS),495,Gardner-Edgerton (KS)
Garnett (KS),76,Garnett Anderson County (KS)
Garnett Anderson County (KS),646,Garnett Anderson County (KS)
Girard (KS),1059,Girard (KS)
Glasco (KS),143,Glasco (KS)
Goddard (KS),613,Goddard (KS)
Goddard Eisenhower (KS),134,Goddard Eisenhower (KS)
Goessel (KS),413,Goessel (KS)
Goodland (KS),938,Goodland (KS)
Grainfield Wheatland Grinnell (KS),16,Grainfield Wheatland-Grinnell (KS)
Grainfield Wheatland-Grinnell (KS),189,Grainfield Wheatland-Grinnell (KS)
Great Bend (KS),836,Great Bend (KS)
Greensburg (KS),200,Greensburg (KS)
Greensburg Kiowa County (KS),145,Greensburg Kiowa County (KS)
Guymon (KS),4,Gypsum Southeast of Saline (KS)
Gypsum Southeast Of (KS),20,Gypsum Southeast of Saline (KS)
Gypsum Southeast of Saline (KS),577,Gypsum Southeast of Saline (KS)
Halstead (KS),953,Halstead (KS)
Hanover (KS),674,Hanover (KS)
Hanston (KS),420,Hanston (KS)
Hartford (KS),276,Hartford (KS)
Haven (KS),654,Haven (KS)
Haviland (KS),120,Haviland (KS)
Hays (KS),738,Hays (KS)
Hays St. Joseph Military (KS),1,Hays St. Joseph's Military Academy (KS)
Hays St. Joseph's Military (KS),113,Hays St. Joseph's Military Academy (KS)
Hays St. Josephs Military Academy (KS),8,Hays St. Joseph's Military Academy (KS)
Hays St. Joseph's Military Academy (KS),1,Hays St. Joseph's Military Academy (KS)
"Hays St. Joseph's Military """"B"""" (KS)",1,Hays St. Joseph's Military Academy B (KS)
Hays Thomas More Prep-Marian (KS),534,Hays Thomas More Prep-Marian (KS)
Herington (KS),589,Herington (KS)
Hesston (KS),584,Hesston (KS)
Hiawatha (KS),688,Hiawatha (KS)
Highland (KS),263,Highland (KS)
Highland Doniphan West (KS),204,Highland Doniphan West (KS)
Hill City (KS),469,Hill City (KS)
Hillsboro (KS),547,Hillsboro (KS)
Hoisington (KS),693,Hoisington (KS)
Holcomb (KS),345,Holcomb (KS)
Holton (KS),690,Holton (KS)
Holton Jackson Heights (KS),592,Holton Jackson Heights (KS)
Hope (KS),635,Hope (KS)
Horton (KS),745,Horton (KS)
Howard West Elk (KS),376,Howard West Elk (KS)
Hoxie (KS),506,Hoxie (KS)
Hoxie-Sheridan County (KS),455,Hoxie-Sheridan County (KS)
Hoyt Royal Valley (KS),531,Hoyt Royal Valley (KS)
Hugoton (KS),680,Hugoton (KS)
Humboldt (KS),992,Humboldt (KS)
Hutchinson (KS),1280,Hutchinson (KS)
Hutchinson Central Christian (KS),287,Hutchinson Central Christian (KS)
Hutchinson Reno County (KS),15,Hutchinson Reno County HomeSchool (KS)
Hutchinson Reno County HomeSchool (KS),5,Hutchinson Reno County HomeSchool (KS)
Hutchinson Trinity (KS),555,Hutchinson Trinity (KS)
Independence (KS),1083,Independence (KS)
Ingalls (KS),497,Ingalls (KS)
Inman (KS),542,Inman (KS)
Iola (KS),1095,Iola (KS)
Jetmore (KS),588,Jetmore (KS)
Jetmore Hodgeman County (KS),225,Jetmore Hodgeman County (KS)
Jewell (KS),131,Jewell (KS)
Johnson Stanton County (KS),14,Johnson-Stanton County (KS)
Johnson-Stanton County (KS),256,Johnson-Stanton County (KS)
Junction City (KS),1096,Junction City (KS)
Junction City St. Xavier (KS),189,Junction City St. Xavier (KS)
Junction City-St. Xavier (KS),207,Junction City-St. Xavier (KS)
Kansas City Argentine (KS),507,Kansas City Argentine (KS)
Kansas City Bishop Miege (KS),150,Kansas City Bishop Miege (KS)
Kansas City Bishop Ward (KS),1057,Kansas City Bishop Ward (KS)
Kansas City Christ Prep Academy (KS),203,Kansas City Christ Prep Academy (KS)
Kansas City Harmon (KS),519,Kansas City Harmon (KS)
Kansas City Piper (KS),660,Kansas City Piper (KS)
Kansas City Rosedale (KS),500,Kansas City Rosedale (KS)
Kansas City Schlagle (KS),541,Kansas City Schlagle (KS)
Kansas City Sumner Academy (KS),834,Kansas City Sumner Academy (KS)
Kansas City Turner (KS),918,Kansas City Turner (KS)
Kansas City Washington (KS),275,Kansas City Washington (KS)
Kansas City Wyandotte (KS),1136,Kansas City Wyandotte (KS)
Kansas School for the Deaf (KS),571,Kansas School for the Deaf (KS)
Kensington Thunder Ridge (KS),184,Kensington Thunder Ridge (KS)
Kensington West Smith County (KS),138,Kensington West Smith County (KS)
Kensington-West Smith County (KS),1,Kensington West Smith County (KS)
Kingman (KS),858,Kingman (KS)
Kinsley (KS),497,Kinsley (KS)
