Alias_Name,GameCount,Standardized_Name
Albany Clinton County (KY),265,Albany Clinton County (KY)
Alexandria Bishop Brossart (KY),199,Alexandria Bishop Brossart (KY)
Alexandria Campbell County (KY),611,Alexandria Campbell County (KY)
Alva Black Star (KY),116,Alva Black Star (KY)
Ashland (KY),294,Ashland (KY)
Ashland Blazer (KY),1248,Ashland Blazer (KY)
Ashland Boyd County (KY),1107,Ashland Boyd County (KY)
Ashland Fairview (KY),618,Ashland Fairview (KY)
Barbourville (KY),177,Barbourville (KY)
Barbourville Knox Central (KY),1005,Barbourville Knox Central (KY)
Bardstown (KY),593,Bardstown (KY)
Bardstown Bethlehem (KY),321,Bardstown Bethlehem (KY)
Bardstown Nelson County (KY),544,Bardstown Nelson County (KY)
Bardstown St. Joseph College (KY),1,Bardstown St. Joseph's Prep (KY)
Bardstown St. Joseph's Prep (KY),29,Bardstown St. Joseph's Prep (KY)
Bardstown Thomas Nelson (KY),130,Bardstown Thomas Nelson (KY)
Barlow Ballard Memorial (KY),524,Barlow Ballard Memorial (KY)
Bedford Trimble County (KY),356,Bedford Trimble County (KY)
Belfry (KY),1155,Belfry (KY)
Bellevue (KY),640,Bellevue (KY)
Benham (KY),198,Benham (KY)
Benton Marshall County (KY),521,Benton Marshall County (KY)
Berea (KY),508,Berea (KY)
Berea Madison Southern (KY),632,Berea Madison Southern (KY)
Betsy Layne (KY),507,Betsy Layne (KY)
Bowling Green (KY),677,Bowling Green (KY)
Bowling Green Greenwood (KY),314,Bowling Green Greenwood (KY)
Bowling Green South Warren (KY),186,Bowling Green South Warren (KY)
Bowling Green Warren Central (KY),577,Bowling Green Warren Central (KY)
Bowling Green Warren East (KY),517,Bowling Green Warren East (KY)
Brandenburg Meade County (KY),552,Brandenburg Meade County (KY)
Brooksville Bracken County (KY),236,Brooksville Bracken County (KY)
Brownsville Edmonson County (KY),502,Brownsville Edmonson County (KY)
Buckner Oldham County (KY),562,Buckner Oldham County (KY)
Burlington Cooper (KY),211,Burlington Cooper (KY)
Cadiz Trigg County (KY),541,Cadiz Trigg County (KY)
Calhoun McLean County (KY),506,Calhoun McLean County (KY)
Campbellsville (KY),533,Campbellsville (KY)
Campbellsville Taylor County (KY),514,Campbellsville Taylor County (KY)
Carlisle Nicholas County (KY),533,Carlisle Nicholas County (KY)
Carrollton Carroll County (KY),542,Carrollton Carroll County (KY)
Catlettsburg (KY),616,Catlettsburg (KY)
Cecilia Central Hardin (KY),392,Cecilia Central Hardin (KY)
Cecilia West Hardin (KY),112,Cecilia West Hardin (KY)
Celicia West Hardin (KY),5,Cecilia West Hardin (KY)
Celicia East Hardin (KY),150,Celicia East Hardin (KY)
Chicago Amundsen (KY),1,Chicago Amundsen (IL)
Chicago Austin (KY),2,Chicago Austin (IL)
Chicago Hyde Park (KY),2,Chicago Hyde Park (IL)
Columbia Adair County (KY),485,Columbia Adair County (KY)
Corbin (KY),1156,Corbin (KY)
Corbin Lynn Camp (KY),948,Corbin Lynn Camp (KY)
Covington Holmes (KY),682,Covington Holmes (KY)
Covington Holy Cross (KY),327,Covington Holy Cross (KY)
Covington Scott (KY),474,Covington Scott (KY)
Saint Augustine (KY),1,Covington St. Augustine (KY)
