Alias_Name,GameCount,Standardized_Name
Abbeville (LA),514,Abbeville (LA)
Abbeville Vermilion Catholic (LA),511,Abbeville Vermilion Catholic (LA)
Albany (LA),371,Albany (LA)
Alexandria (LA),591,Alexandria (LA)
"Alexandria """"B"""" (LA)",1,Alexandria B (LA)
Alexandria Bolton (LA),674,Alexandria Bolton (LA)
Alexandria Bolton Academy (LA),18,Alexandria Bolton (LA)
Alexandria Holy Savior (LA),18,Alexandria Holy Savior Menard (LA)
Alexandria Holy Savior Menard (LA),224,Alexandria Holy Savior Menard (LA)
Alexandria Holy Savior Menard Central (LA),11,Alexandria Holy Savior Menard (LA)
Alexandria Menard Memorial (LA),1,Alexandria Menard Memorial (LA)
Alexandria MenardMemorial (LA),259,Alexandria Menard Memorial (LA)
Alexandria Peabody (LA),465,Alexandria Peabody (LA)
Amite (LA),651,Amite (LA)
Amite Oak Forest (LA),18,Amite Oak Forest Academy (LA)
Amite Oak Forest Academy (LA),562,Amite Oak Forest Academy (LA)
Amite Woodland (LA),48,Amite Woodland (LA)
Amite Woodland Academy (LA),1,Amite Woodland (LA)
Angie Varnado (LA),422,Angie Varnado (LA)
Arcadia (LA),494,Arcadia (LA)
Arnaudville Beau Chene (LA),321,Arnaudville Beau Chene (LA)
Athens Mount Olive Christian (LA),85,Athens Mt. Olive Christian (LA)
Athens Mt. Olive Christian (LA),8,Athens Mt. Olive Christian (LA)
Baker (LA),624,Baker (LA)
Baker Central Private (LA),439,Baker Central Private (LA)
Baker CentralPrivate (LA),2,Baker Central Private (LA)
Baldwin West Saint Mary (LA),32,Baldwin West St. Mary (LA)
Baldwin West St. (LA),19,Baldwin West St. Mary (LA)
Baldwin West St. Mary (LA),234,Baldwin West St. Mary (LA)
Basile (LA),465,Basile (LA)
Bastrop (LA),675,Bastrop (LA)
Bastrop Beekman (LA),67,Bastrop Beekman Charter (LA)
Bastrop Beekman Charter (LA),24,Bastrop Beekman Charter (LA)
Bastrop Prairie View Academy (LA),13,Bastrop Prairie View Academy (LA)
Bastrop Prairie ViewAcademy (LA),417,Bastrop Prairie View Academy (LA)
Baton Rouge (LA),258,Baton Rouge (LA)
Baton Rouge Belaire (LA),434,Baton Rouge Belaire (LA)
Baton Rouge Bishop Sullivan (LA),1,Baton Rouge Bishop Sullivan (LA)
Baton Rouge BishopSullivan (LA),138,Baton Rouge Bishop Sullivan (LA)
Baton Rouge Broadmoor (LA),692,Baton Rouge Broadmoor (LA)
Baton Rouge Capitol (LA),466,Baton Rouge Capitol (LA)
Baton Rouge Catholic (LA),809,Baton Rouge Catholic (LA)
Baton Rouge Catholic Br (LA),19,Baton Rouge Catholic (LA)
Baton Rouge Central (LA),506,Baton Rouge Central (LA)
Baton Rouge Christian Home (LA),23,Baton Rouge Christian Home Educators Fellowship (LA)
Baton Rouge Christian Home Educators Fellowship (LA),133,Baton Rouge Christian Home Educators Fellowship (LA)
Baton Rouge Christian Life (LA),338,Baton Rouge Christian Life (LA)
Baton Rouge Dunham (LA),333,Baton Rouge Dunham (LA)
Baton Rouge Episcopal (LA),485,Baton Rouge Episcopal (LA)
Baton Rouge Glen Oaks (LA),526,Baton Rouge Glen Oaks (LA)
Baton Rouge Istrouma (LA),685,Baton Rouge Istrouma (LA)
Baton Rouge Lee (LA),332,Baton Rouge Lee (LA)
Baton Rouge Louisiana School (LA),3,Baton Rouge Louisiana State University High (LA)
Baton Rouge Louisiana State University High (LA),2,Baton Rouge Louisiana State University High (LA)
Baton Rouge Madison Prep Academy (LA),178,Baton Rouge Madison Prep Academy (LA)
Baton Rouge McKinley (LA),456,Baton Rouge McKinley (LA)
Baton Rouge North Iberville (LA),106,Baton Rouge North Iberville (LA)
Baton Rouge Parkview Baptist (LA),461,Baton Rouge Parkview Baptist (LA)
Baton Rouge Redemptorist (LA),511,Baton Rouge Redemptorist (LA)
Baton Rouge Redemptorist St. Gerard (LA),2,Baton Rouge Redemptorist (LA)
Baton Rouge Scotlandville (LA),289,Baton Rouge Scotlandville (LA)
Baton Rouge Southern Lab (LA),509,Baton Rouge Southern Lab (LA)
Baton Rouge St. Aloysius (LA),6,Baton Rouge St. Aloysius Catholic (LA)
Baton Rouge St. Aloysius Catholic (LA),11,Baton Rouge St. Aloysius Catholic (LA)
Baton Rouge Saint Michael (LA),30,Baton Rouge St. Michael (LA)
Baton Rouge St. Michael (LA),218,Baton Rouge St. Michael (LA)
Baton Rouge Tara (LA),453,Baton Rouge Tara (LA)
Baton Rouge TraftonAcademy (LA),63,Baton Rouge Trafton Academy (LA)
Baton Rouge University Lab (LA),570,Baton Rouge University Lab (LA)
Baton Rouge Woodlawn (LA),453,Baton Rouge Woodlawn (LA)
Baton Rouge Woodlawn Br (LA),18,Baton Rouge Woodlawn (LA)
Bay St. Louis St. Stanislaus (LA),3,Bay St. Louis St. Stanislaus (MS)
Belle Chase (LA),1,Belle Chasse (LA)
Belle Chasse (LA),489,Belle Chasse (LA)
Benton (LA),709,Benton (LA)
Bernice (LA),258,Bernice (LA)
Berwick (LA),462,Berwick (LA)
Bogalusa (LA),668,Bogalusa (LA)
Bogalusa Bens Ford (LA),18,Bogalusa Ben's Ford Christian (LA)
Bogalusa Ben's Ford Christian (LA),160,Bogalusa Ben's Ford Christian (LA)
Boothville-Venice (LA),194,Boothville-Venice (LA)
Bossier City Airline (LA),727,Bossier City Airline (LA)
Bossier City Bossier (LA),677,Bossier City Bossier (LA)
Bossier City Parkway (LA),521,Bossier City Parkway (LA)
Bourg South Terrebonne (LA),712,Bourg South Terrebonne (LA)
Boutte Hahnville (LA),587,Boutte Hahnville (LA)
Breaux Bridge (LA),535,Breaux Bridge (LA)
Brusly (LA),458,Brusly (LA)
Buckeye (LA),432,Buckeye (LA)
Bunkie (LA),484,Bunkie (LA)
Buras (LA),202,Buras (LA)
Buras Delta Heritage Academy (LA),3,Buras Delta Heritage Academy (LA)
Buras Delta HeritageAcademy (LA),7,Buras Delta Heritage Academy (LA)
CalvaryChapel Christian (LA),2,Calvary Chapel Christian (LA)
Campti Lakeview (LA),334,Campti Lakeview (LA)
Cecilia (LA),525,Cecilia (LA)
Centerville (LA),114,Centerville (LA)
Centreville (LA),6,Centerville (LA)
Chalmette (LA),507,Chalmette (LA)
Church Point (LA),472,Church Point (LA)
Clinton (LA),249,Clinton (LA)
Clinton Silliman Institute (LA),476,Clinton Silliman Institute (LA)
Columbia Caldwell Parish (LA),442,Columbia Caldwell Parish (LA)
Cotton Valley (LA),243,Cotton Valley (LA)
Coushatta (LA),198,Coushatta (LA)
Coushatta Red River (LA),270,Coushatta Red River (LA)
Coushatta Riverdale Academy (LA),260,Coushatta Riverdale Academy (LA)
Covington (LA),572,Covington (LA)
Covington Archbishop Hannan (LA),328,Covington Archbishop Hannan (LA)
Covington Northlake Christian (LA),224,Covington Northlake Christian (LA)
Covington Northshore Vultures (LA),24,Covington Northshore Vultures (LA)
Covington Saint Paul (LA),539,Covington St. Paul's (LA)
Covington St. Pauls (LA),18,Covington St. Paul's (LA)
Covington St. Paul's (LA),9,Covington St. Paul's (LA)
Covington St. Paul's Catholic (LA),7,Covington St. Paul's (LA)
Creole South Cameron (LA),429,Creole South Cameron (LA)
Crowley (LA),616,Crowley (LA)
Crowley Notre Dame (LA),554,Crowley Notre Dame (LA)
Crowville (LA),167,Crowville (LA)
De Quincy (LA),481,De Quincy (LA)
Delcambre (LA),456,Delcambre (LA)
Delhi (LA),451,Delhi (LA)
Delhi Charter (LA),229,Delhi Charter (LA)
Denham Springs (LA),560,Denham Springs (LA)
DeRidder (LA),538,DeRidder (LA)
DeRidder East Beauregard (LA),371,DeRidder East Beauregard (LA)
Destrehan (LA),574,Destrehan (LA)
Donaldsonville (LA),511,Donaldsonville (LA)
Donaldsonville Ascension Catholic (LA),466,Donaldsonville Ascension Catholic (LA)
Donaldsonville CatholicofPointe Coupee (LA),2,Donaldsonville Catholic of Pointe Coupee (LA)
Dry Prong Grant (LA),399,Dry Prong Grant (LA)
Edgard West Saint John (LA),503,Edgard West Saint John (LA)
Edgard West St. (LA),19,Edgard West Saint John (LA)
Elton (LA),455,Elton (LA)
Erath (LA),448,Erath (LA)
Eunice (LA),577,Eunice (LA)
Eunice Saint Edmund (LA),30,Eunice St. Edmund (LA)
Eunice St. Edmund (LA),265,Eunice St. Edmund (LA)
Eunice St. Edmund's (LA),1,Eunice St. Edmund (LA)
Eunice St.Edmund's (LA),186,Eunice St. Edmund (LA)
Farmerville Darbonne (LA),18,Farmerville D'Arbonne Woods (LA)
Farmerville D'Arbonne Woods (LA),79,Farmerville D'Arbonne Woods (LA)
Farmerville Union Christian (LA),19,Farmerville Union Christian Academy (LA)
Farmerville Union Christian Academy (LA),158,Farmerville Union Christian Academy (LA)
Farmerville Union Parish (LA),540,Farmerville Union Parish (LA)
Ferriday (LA),554,Ferriday (LA)
Fort Worth Eastern Hills (LA),2,Fort Worth Eastern Hills (TX)
Fort Worth Trimble Tech (LA),1,Fort Worth Trimble Tech (TZ)
Franklin (LA),480,Franklin (LA)
Franklin Hanson Memorial (LA),477,Franklin Hanson Memorial (LA)
Franklinton (LA),560,Franklinton (LA)
Franklinton Bowling Green (LA),424,Franklinton Bowling Green (LA)
Franklinton Pine (LA),394,Franklinton Pine (LA)
Galliano South Lafourche (LA),530,Galliano South Lafourche (LA)
Galveston Ball (LA),1,Galveston Ball (TX)
Geismar Dutchtown (LA),251,Geismar Dutchtown (LA)
Gilbert (LA),120,Gilbert (LA)
Gonzales Ascension Christian (LA),156,Gonzales Ascension Christian (LA)
Gonzales East Ascension (LA),18,Gonzales East Ascension (LA)
Gonzales East Ascension Academy (LA),33,Gonzales East Ascension (LA)
Gonzales EastAscension (LA),557,Gonzales East Ascension (LA)
Grambling (LA),415,Grambling (LA)
Grand Cane Central (LA),7,Grand Cane Central School (LA)
Grand Cane Central School (LA),1,Grand Cane Central School (LA)
Grand Coteau Berchmans Academy (LA),57,Grand Coteau Berchmans Academy of the Sacred Heart (LA)
Grand Coteau Berchmans Academy of the Sacred Heart (LA),11,Grand Coteau Berchmans Academy of the Sacred Heart (LA)
Gray Bourgeois (LA),487,Gray Bourgeois (LA)
Greensburg Saint Helena Central (LA),26,Greensburg St. Helena College (LA)
Greensburg Saint Helena College and Career Academy (LA),32,Greensburg St. Helena College (LA)
Greensburg St. Helena (LA),18,Greensburg St. Helena College (LA)
Greensburg St. Helena College and Career Academy (LA),173,Greensburg St. Helena College (LA)
Greensburg St.Helena College and Career Academy (LA),201,Greensburg St. Helena College (LA)
Gretna Thomas (LA),17,Gretna Thomas Jefferson (LA)
Gretna Thomas Jefferson (LA),152,Gretna Thomas Jefferson (LA)
Gueydan (LA),426,Gueydan (LA)
Hammond (LA),613,Hammond (LA)
Hammond Saint Thomas Aquinas (LA),34,Hammond St. Thomas Aquinas (LA)
Hammond St. Thomas (LA),17,Hammond St. Thomas Aquinas (LA)
Hammond St. Thomas Aquinas (LA),290,Hammond St. Thomas Aquinas (LA)
Harvey Cox (LA),186,Harvey Cox (LA)
Harvey Jefferson Rise (LA),17,Harvey Jefferson RISE Charter (LA)
Harvey Jefferson RISE Charter (LA),9,Harvey Jefferson RISE Charter (LA)
Harvey West Jefferson (LA),629,Harvey West Jefferson (LA)
Haughton (LA),652,Haughton (LA)
"Haughton """"B"""" (LA)",1,Haughton B (LA)
Haynesville (LA),807,Haynesville (LA)
Haynesville Claiborne Academy (LA),351,Haynesville Claiborne Academy (LA)
Homer (LA),629,Homer (LA)
Houma A.J. Ellender (LA),328,Houma A.J. Ellender (LA)
Houma Aj Ellender (LA),17,Houma A.J. Ellender (LA)
Houma Christian (LA),143,Houma Christian (LA)
Houma Covenant Christian Academy (LA),161,Houma Covenant Christian Academy (LA)
Houma Terrebonne (LA),839,Houma Terrebonne (LA)
Houma Vandebilt Catholic (LA),547,Houma Vandebilt Catholic (LA)
Houma Vanderbilt Catholic (LA),6,Houma Vandebilt Catholic (LA)
Hunting Academy (LA),1,Huntington Academy (LA)
Huntington Academy (LA),70,Huntington Academy (LA)
Independence (LA),525,Independence (LA)
Iota (LA),504,Iota (LA)
Iowa (LA),466,Iowa (LA)
Jackson (LA),260,Jackson (LA)
Jackson East Feliciana (LA),235,Jackson East Feliciana (LA)
Jeanerette (LA),458,Jeanerette (LA)
Jefferson Riverdale (LA),491,Jefferson Riverdale (LA)
Jena (LA),522,Jena (LA)
Jennings (LA),774,Jennings (LA)
Jonesboro (LA),125,Jonesboro (LA)
Jonesboro Hodge (LA),18,Jonesboro-Hodge (LA)
Jonesboro-Hodge (LA),530,Jonesboro-Hodge (LA)
Jonesville Block (LA),489,Jonesville Block (LA)
Kaplan (LA),498,Kaplan (LA)
Keithville Grawood Christian (LA),20,Keithville Graywood Christian Academy (LA)
Keithville Graywood Christian Academy (LA),5,Keithville Graywood Christian Academy (LA)
Keithville GraywoodChristian Academy (LA),1,Keithville Graywood Christian Academy (LA)
Kenner Bonnabel (LA),424,Kenner Bonnabel (LA)
Kenner Discovery (LA),17,Kenner Discovery (LA)
Kenner Discovery Health Sciences Academy (LA),39,Kenner Discovery (LA)
Kentwood (LA),589,Kentwood (LA)
Kentwood Sumner (LA),416,Kentwood Sumner (LA)
Kinder (LA),508,Kinder (LA)
Lafayette (LA),671,Lafayette (LA)
Lafayette Acadiana (LA),581,Lafayette Acadiana (LA)
Lafayette Ascension Episcopal (LA),186,Lafayette Ascension Episcopal (LA)
