Alias_Name,GameCount,Standardized_Name
Abington (MA),641,Abington (MA)
Acton-Boxborough (MA),467,Acton-Boxborough (MA)
Acton Boxborough (MA),8,Acton-Boxborough (MA)
Adams Hoosac Valley (MA),111,Adams Hoosac Valley (MA)
Agawam (MA),415,Agawam (MA)
Amesbury (MA),532,Amesbury (MA)
Amherst Regional (MA),205,Amherst Regional (MA)
Amherst-Pelham Regional (MA),191,Amherst-Pelham Regional (MA)
Andover (MA),688,Andover (MA)
Andover Greater Lawrence (MA),482,Andover Greater Lawrence (MA)
Andover Phillips Academy (MA),733,Andover Phillips Academy (MA)
Arlington (MA),794,Arlington (MA)
Arlington Catholic (MA),430,Arlington Catholic (MA)
Ashburnham Cushing Academy (MA),272,Ashburnham Cushing Academy (MA)
Ashburnham Oakmont Regional (MA),308,Ashburnham Oakmont Regional (MA)
Ashland (MA),498,Ashland (MA)
Athol (MA),433,Athol (MA)
Attleboro (MA),512,Attleboro (MA)
Attleboro Bishop Feehan (MA),479,Attleboro Bishop Feehan (MA)
Auburn (MA),281,Auburn (MA)
Ayer Shirley (MA),215,Ayer Shirley (MA)
Baldwinville Narragansett Regional (MA),322,Baldwinville Narragansett Regional (MA)
Barre Quabbin Regional (MA),232,Barre Quabbin Regional (MA)
Bedford (MA),488,Bedford (MA)
Belchertown (MA),248,Belchertown (MA)
Bellingham (MA),495,Bellingham (MA)
Belmont (MA),544,Belmont (MA)
Belmont Hill (MA),373,Belmont Hill (MA)
Beverly (MA),800,Beverly (MA)
Billerica Memorial (MA),563,Billerica Memorial (MA)
Billerica Shawsheen Valley Tech (MA),480,Billerica Shawsheen Valley Tech (MA)
Billerica Shawsheen Valley (MA),6,Billerica Shawsheen Valley Tech (MA)
Blackstone-Millville (MA),89,Blackstone-Millville (MA)
Blackstone Millville (MA),7,Blackstone-Millville (MA)
Bolton Nashoba Regional (MA),356,Bolton Nashoba Regional (MA)
Boston Cathedral (MA),417,Boston Cathedral (MA)
Boston College High (MA),638,Boston College High (MA)
Boston Columbus (MA),115,Boston Columbus (MA)
Boston Don Bosco Tech (MA),205,Boston Don Bosco Tech (MA)
Boston English (MA),385,Boston English (MA)
Boston English-New Mission (MA),102,Boston English-New Mission (MA)
Boston Huntington School for Boys (MA),7,Boston Huntington School for Boys (MA)
Boston Huntington Prep (MA),3,Boston Huntington School for Boys (MA)
Boston Latin (MA),305,Boston Latin (MA)
Boston Latin School (MA),123,Boston Latin School (MA)
Bourne (MA),428,Bourne (MA)
Bourne Upper Cape Cod RVT (MA),216,Bourne Upper Cape Cod RVT (MA)
Bourne Upper Cape (MA),7,Bourne Upper Cape Cod RVT (MA)
Braintree (MA),573,Braintree (MA)
Braintree Archbishop Williams (MA),552,Braintree Archbishop Williams (MA)
Braintree Thayer Academy (MA),361,Braintree Thayer Academy (MA)
Bridgewater-Raynham (MA),506,Bridgewater-Raynham (MA)
Brighton (MA),241,Brighton (MA)
Brockton (MA),1376,Brockton (MA)
Brockton Cardinal Spellman (MA),467,Brockton Cardinal Spellman (MA)
Brookline (MA),661,Brookline (MA)
Brookline Dexter Southfield (MA),154,Brookline Dexter Southfield (MA)
Brookline St. Mary of Assumption (MA),2,Brookline St. Mary's of the Assumption (MA)
Brookline St. Mary's of the Assumption (MA),1,Brookline St. Mary's of the Assumption (MA)
Buckland Mohawk Trail Regional (MA),350,Buckland Mohawk Trail Regional (MA)
Burlington (MA),615,Burlington (MA)
Byfield Governor's Academy (MA),370,Byfield Governor's Academy (MA)
Byfield Governors Academy (MA),6,Byfield Governor's Academy (MA)
Byfield Triton Regional (MA),471,Byfield Triton Regional (MA)
Cambridge (MA),166,Cambridge (MA)
Cambridge Buckingham Browne & Nichols (MA),373,Cambridge Buckingham Browne & Nichols (MA)
Cambridge Buckingham Browne (MA),6,Cambridge Buckingham Browne & Nichols (MA)
Cambridge Latin (MA),118,Cambridge Latin (MA)
Cambridge Matignon (MA),372,Cambridge Matignon (MA)
Cambridge Rindge & Latin (MA),331,Cambridge Rindge & Latin (MA)
Cambridge Rindge Tech (MA),129,Cambridge Rindge Tech (MA)
Rindge (MA),3,Cambridge Rindge Tech (MA)
Rindge Tech (MA),3,Cambridge Rindge Tech (MA)
Canton (MA),577,Canton (MA)
Canton Blue Hills RVT (MA),495,Canton Blue Hills RVT (MA)
Canton Blue Hills (MA),7,Canton Blue Hills RVT (MA)
Cape Cod RVT-Harwich (MA),140,Cape Cod RVT-Harwich (MA)
Carver (MA),348,Carver (MA)
Charlestown (MA),376,Charlestown (MA)
Charlton Bay Path RVT (MA),326,Charlton Bay Path RVT (MA)
