Alias_Name,GameCount,Standardized_Name
Brandon Collegiate Institute (MB),1,Brandon Collegiate Institute (MB)
Brandon Crocus Plains (MB),79,Brandon Crocus Plains (MB)
Brandon Neelin (MB),77,Brandon Neelin (MB)
Brandon Vincent Massey (MB),73,Brandon Vincent Massey (MB)
Churchill (MB),80,Churchill (MB)
College Lorette (MB),24,Lorette College Lorette (MB)
College Lorette Collegiate (MB),7,Lorette College Lorette (MB)
Dryden (MB),48,Dryden (MB)
Kildonan East (MB),60,Kildonan East (MB)
Kildonan East Collegiate (MB),15,Kildonan East (MB)
Killarney Collegiate (MB),8,Killarney (MB)
Leboldus Golden Suns (MB),1,Regina Dr. Martin LeBoldus (SK)
Lorette (MB),6,Lorette (MB)
Massey BDN (MB),2,Brandon Vincent Massey (MB)
Portage Collegiate (MB),15,Portage la Prairie (MB)
Portage la Prairie (MB),60,Portage la Prairie (MB)
Sheldon Williams (MB),1,Regina Sheldo-Williams (SK)
Steinbach (MB),20,Steinbach (MB)
Steinback (MB),58,Steinbach (MB)
Stonewall (MB),9,Stonewall (MB)
Swan Valley Regional (MB),2,Swan River Swan Valley Regional (MB)
Winnepeg Daniel McIntyre (MB),21,Winnipeg Daniel McIntyre (MB)
Winnipeg Dakota (MB),70,Winnipeg Dakota (MB)
Winnipeg Dakota Collegiate (MB),9,Winnipeg Dakota (MB)
Winnipeg Daniel McIntyre (MB),59,Winnipeg Daniel McIntyre (MB)
Winnipeg Elmwood (MB),80,Winnipeg Elmwood (MB)
Winnipeg Garden City (MB),76,Winnipeg Garden City (MB)
Winnipeg Grant Park (MB),89,Winnipeg Grant Park (MB)
Winnipeg Kelvin (MB),78,Winnipeg Kelvin (MB)
Winnipeg Maples (MB),75,Winnipeg Maples (MB)
Winnipeg Massey (MB),96,Winnipeg Massey (MB)
Winnipeg Miles MacDonell (MB),75,Winnipeg Miles MacDonell (MB)
Winnipeg Murdoch MacKay (MB),77,Winnipeg Murdoch MacKay (MB)
Winnipeg Oak Park (MB),85,Winnipeg Oak Park (MB)
Winnipeg River East (MB),78,Winnipeg River East (MB)
Winnipeg Saint Paul's AA (MB),79,Winnipeg St. Paul's AA (MB)
Winnipeg Sisler (MB),58,Winnipeg Sisler (MB)
Winnipeg Sisler AA (MB),24,Winnipeg Sisler AA (MB)
Winnipeg Sisler Spartans AAA (MB),25,Winnipeg Sisler AAA (MB)
Winnipeg St. John's (MB),71,Winnipeg St. John's (MB)
Winnipeg St. Norbert (MB),75,Winnipeg St. Norbert (MB)
Winnipeg St. Pauls (MB),12,Winnipeg St. Paul's AAA (MB)
Winnipeg St. Paul's AAA (MB),96,Winnipeg St. Paul's AAA (MB)
Winnipeg St. Paul's Crusaders (MB),1,Winnipeg St. Paul's AAA (MB)
Winnipeg Sturgeon Heights (MB),85,Winnipeg Sturgeon Heights (MB)
Winnipeg Tec Voc (MB),70,Winnipeg Tec Voc (MB)
Winnipeg West Kildonan (MB),77,Winnipeg West Kildonan (MB)
