Alias_Name,GameCount,Standardized_Name
Aberdeen (MD),466,Aberdeen (MD)
Accident Northern (MD),428,Accident Northern (MD)
Annapolis (MD),521,Annapolis (MD)
Annapolis Broadneck (MD),427,Annapolis Broadneck (MD)
Annapolis St. Mary's (MD),481,Annapolis St. Mary's (MD)
Annapolis St. Marys (MD),9,Annapolis St. Mary's (MD)
Baltimore Archbishop Curley (MD),518,Baltimore Archbishop Curley (MD)
Baltimore Benjamin Franklin (MD),375,Baltimore Benjamin Franklin (MD)
Baltimore Boys Latin (MD),468,Baltimore Boys Latin (MD)
Baltimore Brooklyn Park (MD),130,Baltimore Brooklyn Park (MD)
Baltimore Calvert Hall (MD),1115,Baltimore Calvert Hall (MD)
Baltimore Cardinal Gibbons (MD),361,Baltimore Cardinal Gibbons (MD)
Baltimore Carver (MD),270,Baltimore Carver (MD)
Baltimore Carver Vo-Tech (MD),232,Baltimore Carver Vo-Tech (MD)
Baltimore Carver Vo (MD),8,Baltimore Carver Vo-Tech (MD)
Baltimore Catonsville (MD),460,Baltimore Catonsville (MD)
Baltimore Chesapeake (MD),483,Baltimore Chesapeake (MD)
Baltimore City College (MD),763,Baltimore City College (MD)
Baltimore Digital Harbor (MD),203,Baltimore Digital Harbor (MD)
Baltimore Douglass (MD),395,Baltimore Douglass (MD)
Baltimore Douglass Mighty (MD),15,Baltimore Douglass (MD)
Baltimore Du Bois (MD),125,Baltimore Du Bois (MD)
Baltimore Dunbar (MD),629,Baltimore Dunbar (MD)
Baltimore Dundalk (MD),485,Baltimore Dundalk (MD)
Baltimore Eastern Tech (MD),508,Baltimore Eastern Tech (MD)
Baltimore Edmondson (MD),239,Baltimore Edmondson (MD)
Baltimore Edmondson-Westside (MD),391,Baltimore Edmondson-Westside (MD)
Baltimore Edmondson Westside (MD),7,Baltimore Edmondson-Westside (MD)
Baltimore Forest Park (MD),556,Baltimore Forest Park (MD)
Baltimore Friends (MD),232,Baltimore Friends (MD)
Baltimore Gilman (MD),761,Baltimore Gilman (MD)
Baltimore Green Street Academy (MD),55,Baltimore Green Street Academy (MD)
Baltimore Green St. reet (MD),19,Baltimore Green Street Academy (MD)
Baltimore Kenwood (MD),453,Baltimore Kenwood (MD)
Baltimore Lake Clifton (MD),406,Baltimore Lake Clifton (MD)
Baltimore Lansdowne (MD),450,Baltimore Lansdowne (MD)
Baltimore Lewis (MD),226,Baltimore Lewis (MD)
Baltimore Loyola (MD),247,Baltimore Loyola (MD)
Baltimore Maritime Academy (MD),119,Baltimore Maritime Academy (MD)
Baltimore Mergenthaler Vo-Tech (MD),437,Baltimore Mergenthaler Vo-Tech (MD)
Baltimore Mergenthaler Vocational Tech (MD),45,Baltimore Mergenthaler Vo-Tech (MD)
Baltimore Mergenthaler Vo (MD),21,Baltimore Mergenthaler Vo-Tech (MD)
Baltimore Milford Mill Academy (MD),508,Baltimore Milford Mill Academy (MD)
Baltimore Mount Saint Joseph (MD),706,Baltimore Mt. Saint Joseph (MD)
Baltimore Northern (MD),258,Baltimore Northern (MD)
Baltimore Northwestern (MD),191,Baltimore Northwestern (MD)
Baltimore Our Lady of Mount Carmel (MD),123,Baltimore Our Lady of Mount Carmel (MD)
Baltimore Our Lady (MD),8,Baltimore Our Lady of Mount Carmel (MD)
Baltimore Overlea (MD),480,Baltimore Overlea (MD)
Baltimore Parkville (MD),467,Baltimore Parkville (MD)
Baltimore Patapsco (MD),458,Baltimore Patapsco (MD)
Baltimore Patterson (MD),607,Baltimore Patterson (MD)
Baltimore Perry Hall (MD),486,Baltimore Perry Hall (MD)
Baltimore Pikesville (MD),464,Baltimore Pikesville (MD)
Baltimore Poly (MD),700,Baltimore Poly (MD)
Baltimore Southern (MD),351,Baltimore Southern (MD)
Baltimore Southside Academy (MD),114,Baltimore Southside Academy (MD)
Baltimore Southwestern (MD),393,Baltimore Southwestern (MD)
Baltimore Sparrows Point (MD),444,Baltimore Sparrows Point (MD)
Baltimore St. Frances Academy (MD),175,Baltimore St. Frances Academy (MD)
Baltimore St. Frances (MD),6,Baltimore St. Frances Academy (MD)
Baltimore St. Frances Regional (MD),2,Baltimore St. Frances Academy (MD)
Baltimore Saint Francis of Assisi (MD),1,Baltimore St. Frances Academy (MD)
Baltimore St. Paul's (MD),242,Baltimore St. Paul's (MD)
Baltimore Saint Mary of the Assumption (MD),2,Baltimore St. Paul's (MD)
Baltimore Walbrook (MD),280,Baltimore Walbrook (MD)
Baltimore Western Tech & Environmental Science (MD),283,Baltimore Western Tech & Environmental Science (MD)
Baltimore Woodlawn (MD),483,Baltimore Woodlawn (MD)
Bel Air (MD),497,Bel Air (MD)
Bel Air C. Milton Wright (MD),421,Bel Air C. Milton Wright (MD)
Bel Air C Milton (MD),8,Bel Air C. Milton Wright (MD)
Bel Air Harford Tech (MD),273,Bel Air Harford Tech (MD)
Bel Air John Carroll (MD),472,Bel Air John Carroll (MD)
Bel Air Maryland Christian (MD),159,Bel Air Maryland Christian (MD)
Bel Air Patterson Mill (MD),164,Bel Air Patterson Mill (MD)
Bel Air Patterson (MD),8,Bel Air Patterson Mill (MD)
Beltsville High Point (MD),285,Beltsville High Point (MD)
Berlin Decatur (MD),264,Berlin Decatur (MD)
Bethesda Landon (MD),672,Bethesda Landon (MD)
Bethesda Walter Johnson (MD),227,Bethesda Walter Johnson (MD)
Bethesda Whitman (MD),230,Bethesda Whitman (MD)
Bethesda-Chevy Chase (MD),273,Bethesda-Chevy Chase (MD)
Bladensburg (MD),285,Bladensburg (MD)
Boonsboro (MD),340,Boonsboro (MD)
Bowie (MD),443,Bowie (MD)
