Alias_Name,GameCount,Standardized_Name
Auburn Edward Little (ME),169,Auburn Edward Little (ME)
Auburn Little (ME),856,Auburn Little (ME)
Augusta Cony (ME),965,Augusta Cony (ME)
Bangor (ME),1011,Bangor (ME)
Bangor John Bapst Memorial (ME),553,Bangor John Bapst Memorial (ME)
Bath Hyde (ME),239,Bath Hyde (ME)
Bath Morse (ME),731,Bath Morse (ME)
Belfast (ME),138,Belfast (ME)
Belfast Area (ME),175,Belfast Area (ME)
Belfast Crosby (ME),311,Belfast Crosby (ME)
Berwick Noble (ME),500,Berwick Noble (ME)
Bethel GouldAcademy (ME),194,Bethel Gould Academy (ME)
Bethel Gould Academy (ME),72,Bethel Gould Academy (ME)
Bethel Telstar (ME),205,Bethel Telstar (ME)
Telstar (ME),1,Bethel Telstar (ME)
Biddeford (ME),853,Biddeford (ME)
St. Francis (ME),1,Biddeford St. Francis (ME)
Biddeford St. Louis (ME),220,Biddeford St. Louis (ME)
Boothbay Harbor Boothbay (ME),475,Boothbay Harbor Boothbay (ME)
Bowdoin College Fresh (ME),60,Bowdoin College Frosh (ME)
Bowdoin College Frosh (ME),4,Bowdoin College Frosh (ME)
Brewer (ME),998,Brewer (ME)
Bridgton Academy (ME),192,Bridgton Academy (ME)
"Bridgton Academy """"C"""" (ME)",1,Bridgton Academy C (ME)
Brunswick (ME),791,Brunswick (ME)
Bucksport (ME),568,Bucksport (ME)
Cape Elizabeth (ME),230,Cape Elizabeth (ME)
Maine Maritime Academy College (ME),1,Castine Maine Maritime Academy (ME)
Colby College (ME),1,Colby College (ME)
ColbyCollege (ME),1,Colby College (ME)
Cornish Sacopee Valley (ME),106,Cornish Sacopee Valley (ME)
Cumberland Center Greely (ME),170,Cumberland Center Greely (ME)
Cumberland-Center Greely (ME),29,Cumberland Center Greely (ME)
Dexter Regional (ME),503,Dexter Regional (ME)
Dixfield Dirigo (ME),382,Dixfield Dirigo (ME)
Dover-Foxcroft (ME),561,Dover-Foxcroft (ME)
Ellsworth-Sumner (ME),77,Ellsworth-Sumner (ME)
Ellsworth Sumner Academy (ME),9,Ellsworth-Sumner (ME)
Fairfield Lawrence (ME),696,Fairfield Lawrence (ME)
Falmouth (ME),193,Falmouth (ME)
Farmingdale Hall-Dale (ME),209,Farmingdale Hall-Dale (ME)
Farmington Mt. Blue (ME),808,Farmington Mt. Blue (ME)
Freeport (ME),145,Freeport (ME)
Fryeburg Academy (ME),529,Fryeburg Academy (ME)
Gardiner (ME),1028,Gardiner (ME)
Gorham (ME),228,Gorham (ME)
Gray-New Gloucester (ME),158,Gray-New Gloucester (ME)
Gray New (ME),14,Gray-New Gloucester (ME)
Hampden (ME),509,Hampden (ME)
Hebron Academy (ME),567,Hebron Academy (ME)
Hermon (ME),124,Hermon (ME)
Houlton-Hodgdon-Greater Houlton Christian Academy (ME),6,Houlton-Hodgdon-Greater Houlton Christian Academy (ME)
Houlton-Hodgdon-Greater Houlton Christian Academy-Skowhegan (ME),6,Houlton-Hodgdon-Greater Houlton Christian Academy (ME)
Houlton-Hodgdon-Southern Aroostook-Greater Houlton Christian Academy (ME),6,Houlton-Hodgdon-Greater Houlton Christian Academy (ME)
Houlton-Hodgdon-Southern Aroostook-Greater Christian Academy (ME),3,Houlton-Hodgdon-Greater Houlton Christian Academy (ME)
Jay (ME),409,Jay (ME)
Jay Spruce Mountain (ME),121,Jay Spruce Mountain (ME)
Kennebunk (ME),688,Kennebunk (ME)
Kittery Traip (ME),295,Kittery Traip (ME)
Kittery Traip Academy (ME),255,Kittery Traip Academy (ME)
Lewiston (ME),891,Lewiston (ME)
Lincoln Mattanawcook (ME),296,Lincoln Mattanawcook (ME)
Lisbon Falls (ME),353,Lisbon Falls (ME)
Lisbon Falls Lisbon (ME),130,Lisbon Falls Lisbon (ME)
Lisbon-Falls Lisbon (ME),12,Lisbon Falls Lisbon (ME)
Lisbon Falls Lisbon-St. Dominic (ME),18,Lisbon Falls-St. Dominic (ME)
Lisbon Falls-Saint Dominic (ME),15,Lisbon Falls-St. Dominic (ME)
Lisbon Falls Lisbon St. (ME),8,Lisbon Falls-St. Dominic (ME)
Lisbon-St. Dominic (ME),7,Lisbon Falls-St. Dominic (ME)
Lisbon Falls-St. Dominic (ME),4,Lisbon Falls-St. Dominic (ME)
Livermore Falls (ME),463,Livermore Falls (ME)
Madison (ME),543,Madison (ME)
Madison-Carrabec (ME),93,Madison-Carrabec (ME)
Madison Carrabec (ME),9,Madison-Carrabec (ME)
Mattanawcook (ME),209,Mattanawcook (ME)
Mexico (ME),412,Mexico (ME)
Millinocket Stearns (ME),526,Millinocket Stearns (ME)
Mount Desert Island (ME),462,Mount Desert Island (ME)
Mount Desert Mount Desert (ME),13,Mount Desert Island (ME)
Naples Lake Region (ME),449,Naples Lake Region (ME)
Newport Nokomis (ME),157,Newport Nokomis (ME)
North Yarmouth Academy (ME),25,North Yarmouth Academy (ME)
North YarmouthAcademy (ME),4,North Yarmouth Academy (ME)
Norway (ME),105,Norway (ME)
Oakland Messalonskee (ME),495,Oakland Messalonskee (ME)
Old Orchard Beach (ME),537,Old Orchard Beach (ME)
Old Orchard Beach Old Orchard (ME),18,Old Orchard Beach (ME)
Old Town (ME),721,Old Town (ME)
Orono (ME),561,Orono (ME)
Pittsfield Maine Central Institute (ME),677,Pittsfield Maine Central Institute (ME)
Pittsfield Maine Central (ME),14,Pittsfield Maine Central Institute (ME)
Poland (ME),182,Poland (ME)
Portland (ME),1067,Portland (ME)
Portland Red Raiders (ME),1,Portland (ME)
Portland Cheverus (ME),714,Portland Cheverus (ME)
Portland Deering (ME),964,Portland Deering (ME)
Readfield Kents Hill School (ME),454,Readfield Kents Hill School (ME)
Readfield Maranacook (ME),296,Readfield Maranacook (ME)
Readfield Marariacook (ME),1,Readfield Maranacook (ME)
Rockland (ME),618,Rockland (ME)
Rockland Oceanside (ME),123,Rockland Oceanside (ME)
Rockport Camden Hills (ME),136,Rockport Camden Hills (ME)
Rumford (ME),269,Rumford (ME)
Rumford Mountain Valley (ME),450,Rumford Mountain Valley (ME)
Sabattus Oak Hill (ME),222,Sabattus Oak Hill (ME)
Saco Thornton Academy (ME),892,Saco Thornton Academy (ME)
Saco Thornton AcademyJV (ME),1,Saco Thornton Academy JV (ME)
Sanford (ME),759,Sanford (ME)
Scarborough (ME),246,Scarborough (ME)
Skowhegan (ME),847,Skowhegan (ME)
South Berwick Academy (ME),106,South Berwick Academy (ME)
South Berwick (ME),1,South Berwick Academy (ME)
South Berwick Marshwood (ME),609,South Berwick Marshwood (ME)
South Paris OxfordHills (ME),425,South Paris Oxford Hills (ME)
South Paris Oxford Hills (ME),264,South Paris Oxford Hills (ME)
SouthParis (ME),9,South Paris Oxford Hills (ME)
South Portland (ME),823,South Portland (ME)
Standish Bonny Eagle (ME),334,Standish Bonny Eagle (ME)
Thorndike Mount View (ME),142,Thorndike Mount View (ME)
Topsham Mt. Ararat (ME),271,Topsham Mt. Ararat (ME)
Turner Leavitt (ME),537,Turner Leavitt (ME)
Waldoboro Medomak Valley (ME),100,Waldoboro Medomak Valley (ME)
Wales Oak Hill (ME),195,Wales Oak Hill (ME)
Waterboro Massabesic (ME),472,Waterboro Massabesic (ME)
Waterville (ME),804,Waterville (ME)
Wells (ME),562,Wells (ME)
"Kin.-Oxf, (ME)",1,West Hartford Kingswood Oxford (CT)
Westbrook (ME),828,Westbrook (ME)
Wilton Academy (ME),413,Wilton Academy (ME)
Wilton (ME),35,Wilton Academy (ME)
Wilton Academy Hill School (ME),3,Wilton Academy (ME)
Windham (ME),239,Windham (ME)
Winslow (ME),790,Winslow (ME)
Winthrop (ME),360,Winthrop (ME)
Winthrop-Monmouth Academy-Hall-Dale (ME),24,Winthrop-Monmouth Academy-Hall-Dale (ME)
WMAHD (CO-OP) (ME),7,Winthrop-Monmouth Academy-Hall-Dale (ME)
Yarmouth (ME),149,Yarmouth (ME)
Yarmouth North Academy (ME),8,Yarmouth-North Academy (ME)
Yarmouth-North Academy (ME),7,Yarmouth-North Academy (ME)
York (ME),521,York (ME)
Monmouth (ME),86,Monmouth (ME)
East Machias Washington Academy (ME),85,East Machias Washington Academy (ME)
Greenville (ME),82,Greenville (ME)
Charleston Higgins Classical Institute (ME),77,Charleston Higgins Classical Institute (ME)
Bridgton (ME),64,Bridgton (ME)
Sanford St. Ignatius (ME),61,Sanford St. Ignatius (ME)
Rumford Stephens (ME),56,Rumford Stephens (ME)
