Alias_Name,GameCount,Standardized_Name
"8-Player Final
Blanchard Montabella (MI)",1,Blanchard Montabella (MI)
"8-Player Final
Felch North Dickinson (MI)",1,Felch North Dickinson (MI)
"8-Player Regional No. 1
Felch North Dickinson (MI)",1,Felch North Dickinson (MI)
"8-Player Regional No. 1
Norway (MI)",1,Norway (MI)
"8-Player Regional No. 2
Blanchard Montabella (MI)",1,Blanchard Montabella (MI)
"8-Player Regional No. 2
Onekama (MI)",1,Onekama (MI)
"8-Player Regional No. 3
Martin (MI)",1,Martin (MI)
"8-Player Regional No. 3
Portland St Patrick (MI)",1,Portland St Patrick (MI)
"8-Player Regional No. 4
Britton Deerfield (MI)",1,Britton Deerfield (MI)
"8-Player Regional No. 4
Kingston (MI)",1,Kingston (MI)
"8-Player Regional SemiFinal No. 1
Felch North Dickinson (MI)",1,Felch North Dickinson (MI)
"8-Player Regional SemiFinal No. 1
Norway (MI)",1,Norway (MI)
"8-Player Regional SemiFinal No. 2
Indian River Inland Lakes (MI)",1,Indian River Inland Lakes (MI)
"8-Player Regional SemiFinal No. 2
Lake Linden-Hubbell (MI)",1,Lake Linden-Hubbell (MI)
"8-Player Regional SemiFinal No. 3
Blanchard Montabella (MI)",1,Blanchard Montabella (MI)
"8-Player Regional SemiFinal No. 3
Onekama (MI)",1,Onekama (MI)
"8-Player Regional SemiFinal No. 4
Merrill (MI)",1,Merrill (MI)
"8-Player Regional SemiFinal No. 4
Mio (MI)",1,Mio (MI)
"8-Player Regional SemiFinal No. 5
Martin (MI)",1,Martin (MI)
"8-Player Regional SemiFinal No. 5
Portland St Patrick (MI)",1,Portland St Patrick (MI)
"8-Player Regional SemiFinal No. 6
Gobles (MI)",1,Gobles (MI)
"8-Player Regional SemiFinal No. 6
Mendon (MI)",1,Mendon (MI)
"8-Player Regional SemiFinal No. 7
Britton Deerfield (MI)",1,Britton Deerfield (MI)
"8-Player Regional SemiFinal No. 7
Kingston (MI)",1,Kingston (MI)
"8-Player Regional SemiFinal No. 8
Brown City (MI)",1,Brown City (MI)
"8-Player Regional SemiFinal No. 8
Deckerville (MI)",1,Deckerville (MI)
"8-Player Semifinal No. 1
Norway (MI)",1,Norway (MI)
"8-Player Semifinal No. 1
Onekama (MI)",1,Onekama (MI)
"8-Player Semifinal No. 2
Martin (MI)",1,Martin (MI)
"8-Player Semifinal No. 2
Portland St Patrick (MI)",1,Portland St Patrick (MI)
Abundant Life Christian HS (MI),1,Abundant Life Christian (WI)
Academy of the Americas (MI),3,
Ada Forest Hills (MI),19,
Ada Forest Hills Eastern (MI),18,Ada Forest Hills Eastern (MI)
"Ada Forest Hills Eastern
Homecoming (MI)",1,Ada Forest Hills Eastern (MI)
Addison (MI),686,Addison (MI)
"Adrian """"B"""" (MI)",1,Adrian B (MI)
Adrian (MI),792,Adrian (MI)
Adrian B (MI),1,
Adrian Catholic Central (MI),144,Adrian Catholic Central (MI)
Adrian Lenawee Christian (MI),172,Adrian Lenawee Christian (MI)
Adrian Madison (MI),528,Adrian Madison (MI)
"Adrian Madison
Homecoming (MI)",1,Adrian Madison (MI)
"Adrian Madison
Parent Night (MI)",1,Adrian Madison (MI)
Adrian Reserves (MI),1,
Adrian St. Mary's (MI),6,
Akron (MI),43,
Akron- Fairgrove (MI),585,Akron- Fairgrove (MI)
Akron-Fairgrove (MI),1,Akron- Fairgrove (MI)
Alberta (MI),3,
"Albion """"B"""" (MI)",2,Albion B (MI)
Albion (MI),485,Albion (MI)
Albion B (MI),2,
Albion Starr Commonwealth (MI),26,
Alcona (MI),11,Algonac (MI)
"Alcona
Homecoming (MI)",1,Algonac (MI)
"Alcona
Hometown Heroes (MI)",1,Algonac (MI)
Algonac (MI),540,Algonac (MI)
Allegan (MI),348,Allegan (MI)
"Allegan
Homecoming (MI)",1,Allegan (MI)
Allen Academy (MI),1,
Allen Park (MI),723,Allen Park (MI)
Allen Park Cabrini (MI),395,Allen Park Cabrini (MI)
Allendale (MI),440,Allendale (MI)
"Allendale
Homecoming (MI)",1,Allendale (MI)
"Allendale
Senior Night (MI)",1,Allendale (MI)
Alma (MI),578,Alma (MI)
Alma College (MI),1,
Alma College Reserves (MI),1,Alma (MI)
"Alma
PALS Night & Senior Night (MI)",1,
Almont (MI),531,Almont (MI)
Alpena (MI),701,Alpena (MI)
Alpena Catholic Central (MI),94,Alpena (MI)
"Alpena
Homecoming (MI)",1,
Amanda (MI),3,
"Amazon Prep Kickoff Classic
Allen Park (MI)",1,Allen Park (MI)
"Amazon Prep Kickoff Classic
Detroit Cass Tech (MI)",1,Detroit Cass Tech (MI)
"Amazon Prep Kickoff Classic
Lake Orion (MI)",1,Lake Orion (MI)
Ana Arbor Father Gabriel Richard (MI),1,
Ann Arbor Central Academy (MI),6,
Ann Arbor Eastern Washtenaw Multicultural Academy (MI),19,
Ann Arbor Father Gabriel Richard (MI),512,Ann Arbor Father Gabriel Richard (MI)
Ann Arbor Huron (MI),520,Ann Arbor Huron (MI)
Ann Arbor Huron River (MI),18,
Ann Arbor Pioneer (MI),900,Ann Arbor Pioneer (MI)
"Ann Arbor Pioneer
Senior Night (MI)",1,Ann Arbor Pioneer (MI)
Ann Arbor Skyline (MI),141,Ann Arbor Skyline (MI)
Ann Arbor St. Thomas (MI),6,
Ann Arbor University (MI),113,Ann Arbor University High (MI)
Ann Arbor University High (MI),3,Ann Arbor University High (MI)
Annada (MI),1,
Antigo (MI),1,Antigo (WI)
Armada (MI),503,Armada (MI)
Arts & Technology Academy of Pontiac (MI),28,
Ashley (MI),416,Ashley (MI)
"At DeTour
Cedarville
Parent's Night (MI)",1,Cedarville (MI)
Athens (MI),679,Athens (MI)
Atlanta (MI),483,Atlanta (MI)
Atmont (MI),1,
Au Gres Au Gres (MI),17,Au Gres-Sims (MI)
Au Gres-Sims (MI),11,Au Gres-Sims (MI)
Auburn Bay City (MI),19,
Auburn Hills Avondale (MI),509,Auburn Hills Avondale (MI)
Auburn Hills Oakland Christian (MI),158,Auburn Hills Oakland Christian (MI)
Auburn Mils Avondale (MI),1,
Bad Axe (MI),714,Bad Axe (MI)
Baldwin (MI),583,Baldwin (MI)
"Baldwin
Homecoming (MI)",1,Baldwin (MI)
Bangor (MI),666,Bangor (MI)
Baraga (MI),437,Baraga (MI)
Bark River-Harris (MI),597,Bark River-Harris (MI)
Barnton (MI),18,
Barrie Creek Saint Philip Catholic (MI),2,Battle Creek St. Philip Catholic Central (MI)
Barryton (MI),56,
Bath (MI),479,Bath (MI)
Battle Creek Central (MI),1042,Battle Creek Central (MI)
Battle Creek Central Alumni (MI),2,
Battle Creek Central Reserves (MI),1,
Battle Creek Harper Creek (MI),644,Battle Creek Harper Creek (MI)
"Battle Creek Harper Creek
Hall of Fame (MI)",1,Battle Creek Harper Creek (MI)
"Battle Creek Harper Creek
Homecoming Game (MI)",1,Battle Creek Harper Creek (MI)
"Battle Creek Harper Creek
Parent Night (MI)",1,Battle Creek Harper Creek (MI)
Battle Creek HomeSchool (MI),16,
Battle Creek Kellogg (MI),1,
Battle Creek Lakeview (MI),714,Battle Creek Lakeview (MI)
Battle Creek Pennfield (MI),668,Battle Creek Pennfield (MI)
"Battle Creek Pennfield
Homecoming (MI)",1,Battle Creek Pennfield (MI)
"Battle Creek Pennfield
Salute to Service (MI)",1,Battle Creek Pennfield (MI)
Battle Creek Pennifield (MI),1,Battle Creek Pennfield (MI)
Battle Creek Saint Philip Catholic Central (MI),679,Battle Creek St. Philip Catholic Central (MI)
Battle Creek Saint Philip Catholic Central-Calhoun Christian (MI),14,Battle Creek St. Philip Catholic Central (MI)
Battle Creek St Philip (MI),8,Battle Creek St. Philip Catholic Central (MI)
Battle Creek St. Philip (MI),9,Battle Creek St. Philip Catholic Central (MI)
Battle Creek St. Philip Catholic (MI),1,Battle Creek St. Philip Catholic Central (MI)
Battle Creek St. Philip Catholic Central (MI),693,
Battle Creek United [Lakeview-Harper Creek-Pennfield] (MI),2,
Bay City Academy-All Saints Central (MI),7,
Bay City All Saints (MI),10,Bay City All Saints Central (MI)
Bay City All Saints Central (MI),426,Bay City All Saints Central (MI)
Bay City Central (MI),846,Bay City Central (MI)
Bay City Central Reserves (MI),2,
Bay City Eastern (MI),22,
Bay City Glenn (MI),19,Bay City John Glenn (MI)
Bay City Handy (MI),351,Bay City Handy (MI)
Bay City John Glenn (MI),576,Bay City John Glenn (MI)
Bay City Saint James (MI),120,Bay City St. James (MI)
Bay City Saint Joseph (MI),89,Bay City St. Joseph (MI)
Bay City Saint Mary (MI),89,Bay City St. Mary (MI)
Bay City Saint Stanislaus (MI),110,Bay City St. Stanislaus (MI)
Bay City St. James (MI),120,
Bay City St. Joseph (MI),1,Bay City St. Joseph (MI)
Bay City St. Mary (MI),90,
Bay City St. Marys (MI),1,Bay City St. Mary (MI)
Bay City St. Stanislaus (MI),110,Bay City St. Stanislaus (MI)
Bay City Visitation (MI),97,
Bay City West Catholic (MI),42,
Bay City Western (MI),450,Bay City Western (MI)
"Bay City Western
HOMECOMING 2025 (MI)",1,Bay City Western (MI)
