Alias_Name,GameCount,Standardized_Name
Ada Borup (MN),16,Ada-Borup (MN)
Ada-Borup (MN),320,Ada-Borup (MN)
Adams Southland (MN),455,Adams Southland (MN)
Adrian (MN),416,Adrian (MN)
Adrain-Ellsworth (MN),36,Adrian-Ellsworth (MN)
Adrian Ellsworth (MN),17,Adrian-Ellsworth (MN)
Adrian-Ellsworth (MN),62,Adrian-Ellsworth (MN)
Aitkin (MN),502,Aitkin (MN)
Albany (MN),590,Albany (MN)
Albert Lea (MN),758,Albert Lea (MN)
Albert Lee (MN),1,Albert Lea (MN)
Alden Conger (MN),14,Alden-Conger (MN)
Alden-Conger (MN),338,Alden-Conger (MN)
Alden Conger Emmons (MN),9,Alden-Conger-Emmons (MN)
Alexandria (MN),557,Alexandria (MN)
Algona Bishop Garrigan (MN),1,Algona Bishop Garrigan (MN)
Algona Garrigan (MN),1,Algona Bishop Garrigan (MN)
Amboy-Good Thunder (MN),2,Amboy-Good Thunder Lake (MN)
Amboy-Good ThunderLake (MN),102,Amboy-Good Thunder Lake (MN)
Andover (MN),239,Andover (MN)
Annandale (MN),512,Annandale (MN)
Anoka (MN),638,Anoka (MN)
Apple Valley (MN),491,Apple Valley (MN)
Apple Valley Eastview (MN),17,Apple Valley-Eastview (MN)
Apple Valley-Eastview (MN),228,Apple Valley-Eastview (MN)
Appleton (MN),161,Appleton (MN)
Arden Hills Mounds View (MN),657,Arden Hills Mounds View (MN)
Argyle (MN),172,Argyle (MN)
Arlington Sibley East (MN),347,Arlington Sibley East (MN)
Arlington-Green Isle (MN),113,Arlington-Green Isle (MN)
Ashby (MN),283,Ashby (MN)
Ashby-Country Bible Christian (MN),31,Ashby-Country Bible Christian (MN)
Ashby-County Bible Christian (MN),3,Ashby-Country Bible Christian (MN)
Atwater (MN),111,Atwater (MN)
Atwater-Cosmos-Grove City (MN),263,Atwater-Cosmos-Grove City (MN)
Audubon (MN),122,Audubon (MN)
Aurora Mesabi East (MN),277,Aurora Mesabi East (MN)
Aurora-Hoyt Lakes (MN),131,Aurora-Hoyt Lakes (MN)
Austin (MN),1079,Austin (MN)
Austin Pacelli (MN),117,Austin Pacelli (MN)
Austin Pacelli Catholic (MN),2,Austin Pacelli (MN)
Austin-Austin Pacelli (MN),25,Austin Pacelli (MN)
Babbitt (MN),101,Babbitt (MN)
Babbitt-Embarrass (MN),192,Babbitt-Embarrass (MN)
Backus (MN),132,Backus (MN)
Badger (MN),122,Badger (MN)
Badger Greenbush (MN),17,Badger-Greenbush (MN)
Badger-Greenbush (MN),27,Badger-Greenbush (MN)
Badger-Greenbush-Middle River (MN),183,Badger-Greenbush-Middle River (MN)
Bagley (MN),398,Bagley (MN)
Balaton (MN),159,Balaton (MN)
Barnesville (MN),369,Barnesville (MN)
Barnum (MN),465,Barnum (MN)
Barrett West Central (MN),19,Barrett West Central Area (MN)
Barrett West Central Area (MN),242,Barrett West Central Area (MN)
Barrett West Central Area-Ashby (MN),99,Barrett West Central Area-Ashby (MN)
Barrett West Central Ashby (MN),1,Barrett West Central Area-Ashby (MN)
Battle Lake (MN),180,Battle Lake (MN)
Battle Lake Henning Ottertail Central co-op (MN),207,Battle Lake Henning Ottertail Central co-op (MN)
Baudette Lake of the Woods-Indus (MN),349,Baudette Lake of the Woods-Indus (MN)
