Alias_Name,GameCount,Standardized_Name
Adrian (MO),565,Adrian (MO)
Albany (MO),484,Albany (MO)
Alma Santa Fe (MO),460,Alma Santa Fe (MO)
Amoret Miami (MO),239,Amoret Miami (MO)
Anderson McDonald County (MO),474,Anderson McDonald County (MO)
Appleton City (MO),393,Appleton City (MO)
Archie (MO),509,Archie (MO)
Arnold Fox (MO),441,Arnold Fox (MO)
Ash Grove (MO),395,Ash Grove (MO)
Ashland Southern Boone (MO),233,Ashland Southern Boone (MO)
Aurora (MO),538,Aurora (MO)
Ava (MO),440,Ava (MO)
Ballwin Parkway West (MO),548,Ballwin Parkway West (MO)
Barnard South Nodaway (MO),305,Barnard South Nodaway (MO)
Belton (MO),560,Belton (MO)
Benton Kelly (MO),124,Benton Kelly (MO)
Berkeley (MO),112,Berkeley (MO)
Bethany South Harrison (MO),505,Bethany South Harrison (MO)
Blue Springs (MO),678,Blue Springs (MO)
Blue Springs South (MO),393,Blue Springs South (MO)
Bolivar (MO),503,Bolivar (MO)
Bonne Terre North County (MO),349,Bonne Terre North County (MO)
Boonville (MO),514,Boonville (MO)
Boonville Kemper Military School & College (MO),117,Boonville Kemper Military School & College (MO)
Bowling Green (MO),427,Bowling Green (MO)
Branson (MO),489,Branson (MO)
Braymer (MO),342,Braymer (MO)
Brentwood (MO),395,Brentwood (MO)
Brookfield (MO),444,Brookfield (MO)
Buffalo (MO),448,Buffalo (MO)
Burlington Junction West Nodaway (MO),298,Burlington Junction West Nodaway (MO)
Butler (MO),470,Butler (MO)
Cabool (MO),414,Cabool (MO)
California (MO),475,California (MO)
Camdenton (MO),617,Camdenton (MO)
Cameron (MO),569,Cameron (MO)
Cape Girardeau Central (MO),550,Cape Girardeau Central (MO)
Carl Junction (MO),545,Carl Junction (MO)
Carrollton (MO),482,Carrollton (MO)
Carthage (MO),659,Carthage (MO)
Caruthersville (MO),530,Caruthersville (MO)
Cassville (MO),535,Cassville (MO)
Cedar Hill Northwest (MO),399,Cedar Hill Northwest (MO)
Center Mark Twain (MO),422,Center Mark Twain (MO)
Centerview Crest Ridge (MO),299,Centerview Crest Ridge (MO)
Centralia (MO),526,Centralia (MO)
Chaffee (MO),446,Chaffee (MO)
Charleston (MO),536,Charleston (MO)
Chesterfield Marquette (MO),290,Chesterfield Marquette (MO)
Chesterfield Parkway Central (MO),504,Chesterfield Parkway Central (MO)
Chillicothe (MO),579,Chillicothe (MO)
Clarksville Clopton-Elsberry (MO),126,Clarksville Clopton-Elsberry (MO)
Cleveland Cass Midway (MO),58,Cleveland Cass Midway (MO)
Cleveland Cass-Midway (MO),2,Cleveland Cass Midway (MO)
Cleveland Midway (MO),549,Cleveland Midway (MO)
Clinton (MO),480,Clinton (MO)
Cole Camp (MO),205,Cole Camp (MO)
Columbia Battle (MO),116,Columbia Battle (MO)
Columbia Battle Columbia (MO),10,Columbia Battle-Columbia Independent (MO)
Columbia Battle-Columbia Independent (MO),10,Columbia Battle-Columbia Independent (MO)
Columbia Father Tolton (MO),145,Columbia Father Tolton (MO)
Columbia Hickman (MO),1076,Columbia Hickman (MO)
Columbia Rock Bridge (MO),549,Columbia Rock Bridge (MO)
Concordia (MO),452,Concordia (MO)
Concordia Saint Paul Lutheran (MO),10,Concordia St. Paul Lutheran (MO)
Concordia St. Paul (MO),19,Concordia St. Paul Lutheran (MO)
Concordia St. Paul Lutheran (MO),406,Concordia St. Paul Lutheran (MO)
Craig (MO),211,Craig (MO)
Creighton Sherwood (MO),433,Creighton Sherwood (MO)
Crystal City (MO),389,Crystal City (MO)
Cuba (MO),242,Cuba (MO)
Dearborn North Platte (MO),515,Dearborn North Platte (MO)
DeKalb (MO),437,DeKalb (MO)
DeSoto-Kingston (MO),586,DeSoto-Kingston (MO)
Dexter (MO),517,Dexter (MO)
Diamond (MO),293,Diamond (MO)
Doniphan (MO),108,Doniphan (MO)
Drexel (MO),398,Drexel (MO)
East Prairie (MO),461,East Prairie (MO)
Edina Knox County (MO),393,Edina Knox County (MO)
El Dorado Springs (MO),427,El Dorado Springs (MO)
El Dorado Springs El Dorado (MO),18,El Dorado Springs (MO)
Eldon (MO),436,Eldon (MO)
Eureka (MO),460,Eureka (MO)
Ewing Highland (MO),444,Ewing Highland (MO)
Excelsior Springs (MO),588,Excelsior Springs (MO)
Fair Grove (MO),404,Fair Grove (MO)
Fairfax (MO),228,Fairfax (MO)
Farmington (MO),441,Farmington (MO)
Faucett Mid-Buchanan (MO),491,Faucett Mid-Buchanan (MO)
