Alias_Name,GameCount,Standardized_Name
Aberdeen (MS),1066,Aberdeen (MS)
Ackerman (MS),696,Ackerman (MS)
Ackerman Choctaw County (MS),266,Ackerman Choctaw County (MS)
Alcorn AHS (MS),1,Alcorn Academy (MS)
Amite AHS (MS),1,Amite Academy (MS)
Amory (MS),1145,Amory (MS)
"Amory """"B"""" (MS)",14,Amory B (MS)
Amory Hatley (MS),649,Amory Hatley (MS)
Anguilla (MS),403,Anguilla (MS)
Arcola Deer Creek (MS),580,Arcola Deer Creek (MS)
Ashland (MS),102,Ashland (MS)
Attala AHS (MS),2,Attala Academy (MS)
Avon Riverside (MS),750,Avon Riverside (MS)
Baldwyn (MS),908,Baldwyn (MS)
Bassfield (MS),756,Bassfield (MS)
Batesville (MS),151,Batesville (MS)
Batesville North Delta (MS),562,Batesville North Delta (MS)
North Delta (MS) (TN),2,Batesville North Delta (MS)
Batesville South Panola (MS),922,Batesville South Panola (MS)
Batesville West Panola Academy (MS),130,Batesville West Panola Academy (MS)
Bay Springs (MS),868,Bay Springs (MS)
Bay Springs Sylva Bay Academy (MS),533,Bay Springs Sylva Bay Academy (MS)
Bay St. Louis Bay (MS),806,Bay St. Louis Bay (MS)
Baton Rouge Broadmoor (MS),3,Bay St. Louis Bay (MS)
Bay St. Louis St. Stanislaus (MS),934,Bay St. Louis St. Stanislaus (MS)
Bay Saint Louis Bay (MS),53,Bay St. Louis St. Stanislaus (MS)
Bay Saint Louis Saint Stanislaus (MS),34,Bay St. Louis St. Stanislaus (MS)
Bay Saint Louis St. St. anislaus (MS),19,Bay St. Louis St. Stanislaus (MS)
Bay Saint Louis St. Stanislaus (MS),4,Bay St. Louis St. Stanislaus (MS)
Gulf Coast Saint Stanislaus (MS),1,Bay St. Louis St. Stanislaus (MS)
Beaumont (MS),165,Beaumont (MS)
Belden Tupelo Christian Prep (MS),177,Belden Tupelo Christian Prep (MS)
Belden Tupelo Christian (MS),19,Belden Tupelo Christian Prep (MS)
Belmont (MS),669,Belmont (MS)
Belzoni (MS),296,Belzoni (MS)
Belzoni Humphreys Academy (MS),600,Belzoni Humphreys Academy (MS)
Belzoni Humphreys County (MS),926,Belzoni Humphreys County (MS)
Benoit (MS),235,Benoit (MS)
