Alias_Name,GameCount,Standardized_Name
Absarokee (MT),411,Absarokee (MT)
Anaconda (MT),546,Anaconda (MT)
Anaconda Catholic Central (MT),1,Anaconda Catholic Central (MT)
Anaconda Central (MT),10,Anaconda Catholic Central (MT)
Arlee (MT),390,Arlee (MT)
Ashland St. Labre (MT),8,Ashland St. Labre Indian Catholic (MT)
Ashland St. Labre Indian (MT),94,Ashland St. Labre Indian Catholic (MT)
Ashland St. Labre Indian Catholic (MT),41,Ashland St. Labre Indian Catholic (MT)
St. Labre Indian Catholic (MT),3,Ashland St. Labre Indian Catholic (MT)
Augusta (MT),294,Augusta (MT)
Baker (MT),111,Baker (MT)
Baker-Plevna (MT),370,Baker-Plevna (MT)
Belgrade (MT),424,Belgrade (MT)
Belt (MT),392,Belt (MT)
Big Sandy (MT),406,Big Sandy (MT)
Big Timber Sweet Grass (MT),15,Big Timber Sweet Grass County (MT)
Big Timber Sweet Grass County (MT),389,Big Timber Sweet Grass County (MT)
Bigfork (MT),411,Bigfork (MT)
Billings Central Catholic (MT),466,Billings Central Catholic (MT)
Billings Senior (MT),867,Billings Senior (MT)
Billings Skyview (MT),390,Billings Skyview (MT)
Billings West (MT),615,Billings West (MT)
Boulder Jefferson (MT),386,Boulder Jefferson (MT)
Box Elder (MT),259,Box Elder (MT)
Box Elder Rocky (MT),17,Box Elder Rocky Boy (MT)
Box Elder Rocky Boy (MT),137,Box Elder Rocky Boy (MT)
Rocky Boy (MT),6,Box Elder Rocky Boy (MT)
Bozeman (MT),602,Bozeman (MT)
Bozeman Gallatin (MT),48,Bozeman Gallatin (MT)
Bozeman Gallatin County (MT),7,Bozeman Gallatin (MT)
Brady (MT),138,Brady (MT)
Bridger (MT),289,Bridger (MT)
Broadus Powder River (MT),16,Broadus Powder River County (MT)
Broadus Powder River County (MT),342,Broadus Powder River County (MT)
Broadview-Lavina (MT),180,Broadview-Lavina (MT)
Browning (MT),376,Browning (MT)
Busby Northern Cheyenne Tribal (MT),37,Busby Northern Cheyenne Tribal (MT)
Busby Northern CheyenneTribal (MT),57,Busby Northern Cheyenne Tribal (MT)
Butte (MT),786,Butte (MT)
Butte Central Catholic (MT),532,Butte Central Catholic (MT)
Cascade (MT),307,Cascade (MT)
Charlo (MT),405,Charlo (MT)
Chester (MT),169,Chester (MT)
Chester-Joplin-Inverness (MT),194,Chester-Joplin-Inverness (MT)
Chinook (MT),400,Chinook (MT)
Choteau (MT),407,Choteau (MT)
Circle (MT),280,Circle (MT)
Clark Fork co-op [Alberton-Saint Regis] (MT),1,Clark Fork co-op [Alberton-St. Regis] (MT)
Clark Fork co-op [Alberton-St. Regis] (MT),239,Clark Fork co-op [Alberton-St. Regis] (MT)
Clark Fork co-op [Superior-Alberton] (MT),47,Clark Fork co-op [Alberton-St. Regis] (MT)
Clyde Park Shields Valley (MT),360,Clyde Park Shields Valley (MT)
Colstrip (MT),355,Colstrip (MT)
Columbia Falls (MT),422,Columbia Falls (MT)
Columbus (MT),450,Columbus (MT)
Conrad (MT),404,Conrad (MT)
Corvallis (MT),391,Corvallis (MT)
Culbertson (MT),166,Culbertson (MT)
Culbertson-Bainville (MT),157,Culbertson-Bainville (MT)
Custer (MT),41,Custer County (MT)
Custer Co (MT),1,Custer County (MT)
Custer County (MT),8,Custer County (MT)
Custer Melstone (MT),1,Custer-Melstone (MT)
Custer-Melstone (MT),152,Custer-Melstone (MT)
Cut Bank (MT),424,Cut Bank (MT)
Darby (MT),397,Darby (MT)
Deer Lodge Powell County (MT),388,Deer Lodge Powell County (MT)
Denton (MT),250,Denton (MT)
Denton St. anford (MT),16,Denton-Stanford (MT)
Dillon Beaverhead County (MT),465,Dillon Beaverhead County (MT)
Drummond (MT),336,Drummond (MT)
Drummond Flint Creek (MT),14,Drummond Flint Creek co-op [Drummond-Granite] (MT)
Drummond Flint Creek co-op [Drummond-Granite] (MT),11,Drummond Flint Creek co-op [Drummond-Granite] (MT)
Flint Creek co-op [Drummond-Granite] (MT),88,Drummond Flint Creek co-op [Drummond-Granite] (MT)
Dutton (MT),104,Dutton (MT)
Ekalaka Carter County (MT),383,Ekalaka Carter County (MT)
Ennis (MT),368,Ennis (MT)
Eureka Lincoln County (MT),433,Eureka Lincoln County (MT)
Fairfield (MT),338,Fairfield (MT)
Fairview (MT),432,Fairview (MT)
Florence Carlton (MT),18,Florence-Carlton (MT)
Florence-Carlton (MT),309,Florence-Carlton (MT)
Forsyth (MT),357,Forsyth (MT)
Fort Benton (MT),389,Fort Benton (MT)
Frenchtown (MT),466,Frenchtown (MT)
Fromberg (MT),120,Fromberg (MT)
Gallatin Gateway Lone Peak (MT),130,Gallatin Gateway Lone Peak (MT)
Gardiner (MT),358,Gardiner (MT)
