Alias_Name,GameCount,Standardized_Name
Academy Juarez (MX),26,Colonia Juarez Academia Juarez (MX)
Colonia Juarez (MX),33,Colonia Juarez Academia Juarez (MX)
Juarez Colonial Juarez (MX),65,Colonia Juarez Academia Juarez (MX)
Mexicali CETYs (MX),89,Mexicali CETYs (MX)
Monterrey Autonoma de Nuevo Leon (MX),36,Monterrey Autonoma de Nuevo Leon (MX)
Monterrey Prepa Tech (MX),46,Monterrey Prepa Tech (MX)
Tamaulipas Prepa Tech (MX),2,Monterrey Prepa Tech (MX)
Bachillerato (MX),1,Sonora Hermosillo Bachillerato Central (MX)
Tijuana Cardenas Federal Prep (MX),10,Tijuana Cardenas Federal Prep (MX)
Tijuana CETYs (MX),45,Tijuana CETYs (MX)
Tijuana Institute (MX),14,Tijuana Institute (MX)
