Alias_Name,GameCount,Standardized_Name
Dieppe cole Mathieu-Martin (NB),56,Dieppe Ecole Mathieu-Martin (NB)
Fredericton (NB),64,Fredericton (NB)
Fredericton Leo Hayes (NB),58,Fredericton Leo Hayes (NB)
Hampton (NB),55,Hampton (NB)
James M. Hill (NB),7,Miramichi James M. Hill (NB)
Miramichi Valley (NB),6,Miramichi Valley (NB)
Moncton (NB),59,Moncton (NB)
Moncton Bernice MacNaughton (NB),57,Moncton Bernice MacNaughton (NB)
Moncton cole L'Odysse (NB),39,Moncton Ecole L'Odysse (NB)
Moncton Harrison Trimble (NB),52,Moncton Harrison Trimble (NB)
Odyssee (NB),17,Odyssee (NB)
Oromocto (NB),53,Oromocto (NB)
Quispamsis Kennebecasis Valley (NB),58,Quispamsis Kennebecasis Valley (NB)
Riverview (NB),57,Riverview (NB)
Rothesay (NB),38,Rothesay (NB)
Sackville Tantramar Regional (NB),56,Sackville Tantramar Regional (NB)
Saint John (NB),61,Saint John (NB)
Saint John Harbour View (NB),48,Saint John Harbour View (NB)
Saint John Simonds (NB),50,Saint John Simonds (NB)
Saint John St. Malachy's (NB),57,Saint John St. Malachy's (NB)
St. Stephen (NB),54,Saint Stephen (NB)
Sussex Regional (NB),50,Sussex Regional (NB)
