Alias_Name,GameCount,Standardized_Name
Acme-Delco (NC),121,Acme-Delco (NC)
Ahoskie (NC),255,Ahoskie (NC)
Ahoskie Hertford County (NC),501,Ahoskie Hertford County (NC)
Albemarle (NC),769,Albemarle (NC)
Andrews (NC),722,Andrews (NC)
Angier Harnett Central (NC),512,Angier Harnett Central (NC)
Apex (NC),659,Apex (NC)
Apex Middle Creek (NC),269,Apex Middle Creek (NC)
Apex South Wake (NC),33,Apex South Wake HomeSchool (NC)
Apex South Wake HomeSchool (NC),14,Apex South Wake HomeSchool (NC)
Arden Christ School (NC),330,Arden Christ School (NC)
Arden Christ (NC),11,Arden Christ School (NC)
Asheboro (NC),726,Asheboro (NC)
Asheboro Southwestern Randolph (NC),577,Asheboro Southwestern Randolph (NC)
Asheville (NC),918,Asheville (NC)
Asheville A.C. Reynolds (NC),723,Asheville A.C. Reynolds (NC)
Asheville Erwin (NC),712,Asheville Erwin (NC)
Asheville School (NC),283,Asheville School (NC)
Asheville School (Independent) (NC),4,Asheville School (NC)
Asheville Stephens-Lee (NC),14,Asheville Stephens-Lee (NC)
Ashville Stephens - Lee (NC),11,Asheville Stephens-Lee (NC)
Asheville Stephens Lee (NC),2,Asheville Stephens-Lee (NC)
Asheville T.C. Roberson (NC),652,Asheville T.C. Roberson (NC)
Asheville Tc Roberson (NC),17,Asheville T.C. Roberson (NC)
Ayden-Grifton (NC),592,Ayden-Grifton (NC)
Ayden Grifton (NC),21,Ayden-Grifton (NC)
Bailey Southern Nash (NC),631,Bailey Southern Nash (NC)
Bakersville Mitchell (NC),572,Bakersville Mitchell (NC)
Barco Currituck County (NC),543,Barco Currituck County (NC)
Bath (NC),126,Bath (NC)
Bayboro Pamlico County (NC),669,Bayboro Pamlico County (NC)
Bear Creek Chatham Central (NC),643,Bear Creek Chatham Central (NC)
Beaufort East Carteret (NC),648,Beaufort East Carteret (NC)
Belhaven Pungo Christian (NC),16,Belhaven Pungo Christian Academy (NC)
Belhaven Pungo Christian Academy (NC),15,Belhaven Pungo Christian Academy (NC)
Belmont South Point (NC),682,Belmont South Point (NC)
Belmont Stuart Cramer (NC),73,Belmont Stuart W. Cramer (NC)
Belmont Stuart W. Cramer (NC),32,Belmont Stuart W. Cramer (NC)
Belmont St. uart W (NC),18,Belmont Stuart W. Cramer (NC)
Belmont Cramer (NC),9,Belmont Stuart W. Cramer (NC)
Benson West Johnston (NC),241,Benson West Johnston (NC)
Bessemer City (NC),706,Bessemer City (NC)
Bethel North Pitt (NC),584,Bethel North Pitt (NC)
Beulaville East Duplin (NC),714,Beulaville East Duplin (NC)
Biscoe East Montgomery (NC),637,Biscoe East Montgomery (NC)
Black Mountain Charles D. Owen (NC),681,Black Mountain Charles D. Owen (NC)
Black Mountain Charles D (NC),18,Black Mountain Charles D. Owen (NC)
Bladenboro (NC),226,Bladenboro (NC)
Bladenboro West Bladen (NC),252,Bladenboro West Bladen (NC)
Boone Watauga (NC),671,Boone Watauga (NC)
Boonville Starmount (NC),689,Boonville Starmount (NC)
Brevard (NC),755,Brevard (NC)
Bryson City Swain County (NC),786,Bryson City Swain County (NC)
Bunn (NC),607,Bunn (NC)
Burgaw (NC),134,Burgaw (NC)
Burgaw Pender (NC),554,Burgaw Pender (NC)
Burlington Cummings (NC),670,Burlington Cummings (NC)
Burlington Walter M. Williams (NC),828,Burlington Walter M. Williams (NC)
Burlington Walter M (NC),20,Burlington Walter M. Williams (NC)
Burnsville Mountain Heritage (NC),561,Burnsville Mountain Heritage (NC)
Buxton Cape Hatteras (NC),128,Buxton Cape Hatteras (NC)
Cabarrus [Cannon-Concord Academy] (NC),19,Cabarrus [Cannon-Concord First Assembly Academy] (NC)
Cabarrus [Cannon-Concord First Assembly Academy] (NC),7,Cabarrus [Cannon-Concord First Assembly Academy] (NC)
Calypso North Duplin (NC),709,Calypso North Duplin (NC)
Camden County (NC),627,Camden County (NC)
Cameron Union Pines (NC),642,Cameron Union Pines (NC)
Camp Lejeune (NC),636,Camp Lejeune (NC)
Camp LeJune (NC),1,Camp Lejeune (NC)
Canton Pisgah (NC),687,Canton Pisgah (NC)
Cary (NC),689,Cary (NC)
Cary Christian (NC),192,Cary Christian (NC)
Cary Green Hope (NC),282,Cary Green Hope (NC)
Cary Panther Creek (NC),216,Cary Panther Creek (NC)
Catawba Bandys (NC),729,Catawba Bandys (NC)
Cerro Gordo West Columbus (NC),640,Cerro Gordo West Columbus (NC)
Chapel Hill (NC),706,Chapel Hill (NC)
Chapel Hill AHOP Christian Academy (NC),4,Chapel Hill AHOP Christian Academy (NC)
Chapel Hill AHOP Christian Leadership Academy (NC),3,Chapel Hill AHOP Christian Academy (NC)
Chapel Hill Carrboro (NC),184,Chapel Hill Carrboro (NC)
Charlotte Ardrey Kell (NC),224,Charlotte Ardrey Kell (NC)
Charlotte Carolina Pride (NC),177,Charlotte Carolina Pride (NC)
Charlotte Catholic (NC),776,Charlotte Catholic (NC)
Charlotte Central (NC),261,Charlotte Central (NC)
Charlotte Christian (NC),270,Charlotte Christian (NC)
Charlotte Country Day (NC),383,Charlotte Country Day (NC)
Charlotte Country (NC),18,Charlotte Country Day (NC)
Charlotte East Mecklenburg (NC),809,Charlotte East Mecklenburg (NC)
Charlotte Garinger (NC),707,Charlotte Garinger (NC)
Charlotte Harding University (NC),704,Charlotte Harding University (NC)
Charlotte Hickory Grove Christian (NC),171,Charlotte Hickory Grove Christian (NC)
Charlotte Hickory Grove (NC),19,Charlotte Hickory Grove Christian (NC)
Charlotte Independence (NC),696,Charlotte Independence (NC)
Charlotte Latin (NC),320,Charlotte Latin (NC)
Charlotte Mallard Creek (NC),239,Charlotte Mallard Creek (NC)
Charlotte Myers Park (NC),838,Charlotte Myers Park (NC)
Charlotte Northside Christian Academy (NC),75,Charlotte Northside Christian Academy (NC)
Charlotte Northside Christian (NC),26,Charlotte Northside Christian Academy (NC)
Charlotte Olympic (NC),649,Charlotte Olympic (NC)
Charlotte Phillip O. Berry Academy of Technology (NC),242,Charlotte Phillip O. Berry Academy of Technology (NC)
Charlotte Providence (NC),414,Charlotte Providence (NC)
Charlotte Providence Day (NC),319,Charlotte Providence Day (NC)
Charlotte South Mecklenburg (NC),701,Charlotte South Mecklenburg (NC)
Charlotte Victory Christian Center (NC),133,Charlotte Victory Christian Center (NC)
Charlotte Waddell (NC),110,Charlotte Waddell (NC)
Charlotte West Mecklenburg (NC),716,Charlotte West Mecklenburg (NC)
Charlotte Zebulon B. Vance (NC),335,Charlotte Zebulon B. Vance (NC)
Cherokee (NC),661,Cherokee (NC)
Cherryville (NC),691,Cherryville (NC)
China Grove Jesse Carson (NC),216,China Grove Jesse Carson (NC)
China Grove South Rowan (NC),685,China Grove South Rowan (NC)
Chocowinity (NC),192,Chocowinity (NC)
Chocowinity Southside (NC),317,Chocowinity Southside (NC)
Claremont Bunker Hill (NC),712,Claremont Bunker Hill (NC)
Clayton (NC),718,Clayton (NC)
Clayton Cleveland (NC),194,Clayton Cleveland (NC)
Clemmons West Forsyth (NC),687,Clemmons West Forsyth (NC)
Clinton (NC),758,Clinton (NC)
Clinton Union (NC),403,Clinton Union (NC)
Columbia (NC),522,Columbia (NC)
Columbus Polk County (NC),419,Columbus Polk County (NC)
Community Of Davidson (NC),145,Community Of Davidson (NC)
Community School of Davidson (NC),20,Community Of Davidson (NC)
Concord (NC),782,Concord (NC)
Concord Cannon (NC),100,Concord Cannon (NC)
Concord Central Cabarrus (NC),632,Concord Central Cabarrus (NC)
Concord Cox Mill (NC),188,Concord Cox Mill (NC)
Concord First Assembly Christian Academy (NC),170,Concord First Assembly Christian Academy (NC)
Concord Jay M. Robinson (NC),261,Concord Jay M. Robinson (NC)
Concord Jay M (NC),21,Concord Jay M. Robinson (NC)
Concord Northwest Cabarrus (NC),658,Concord Northwest Cabarrus (NC)
Connelly Springs East Burke (NC),545,Connelly Springs East Burke (NC)
Conway Northampton County (NC),452,Conway Northampton County (NC)
Conwa Northampton County (NC),131,Conway Northampton County (NC)
Cornelius Hough (NC),202,Cornelius Hough (NC)
Creedmoor South Granville (NC),641,Creedmoor South Granville (NC)
Creswell (NC),435,Creswell (NC)
Cullowhee (NC),103,Cullowhee (NC)
Dallas North Gaston (NC),581,Dallas North Gaston (NC)
Danbury North Stokes (NC),613,Danbury North Stokes (NC)
Deep Run South Lenoir (NC),623,Deep Run South Lenoir (NC)
Denton (NC),228,Denton (NC)
Denton South Davidson (NC),390,Denton South Davidson (NC)
Denver East Lincoln (NC),672,Denver East Lincoln (NC)
Denver North Lincoln (NC),185,Denver North Lincoln (NC)
Dobson Surry Central (NC),688,Dobson Surry Central (NC)
Dudley Southern Wayne (NC),632,Dudley Southern Wayne (NC)
Dunn (NC),209,Dunn (NC)
Dunn Midway (NC),705,Dunn Midway (NC)
Durham (NC),507,Durham (NC)
Durham Hillside (NC),696,Durham Hillside (NC)
Durham Jordan (NC),653,Durham Jordan (NC)
Durham Mount Zion Christian Academy (NC),51,Durham Mount Zion Christian Academy (NC)
Durham Mount Zion (NC),18,Durham Mount Zion Christian Academy (NC)
Durham Northern (NC),776,Durham Northern (NC)
Durham Northern Durham (NC),2,Durham Northern (NC)
Durham Riverside (NC),357,Durham Riverside (NC)
Durham Riverside Durham (NC),18,Durham Riverside (NC)
Durham Southern (NC),734,Durham Southern (NC)
East Bend Forbush (NC),625,East Bend Forbush (NC)
East Chapel Hill (NC),254,East Chapel Hill (NC)
East Flat Rock East Henderson (NC),674,East Flat Rock East Henderson (NC)
Eastern North Carolina School for the Deaf (NC),104,Eastern North Carolina School for the Deaf (NC)
Eden Morehead (NC),711,Eden Morehead (NC)
Edenton John A. Holmes (NC),708,Edenton John A. Holmes (NC)
Edenton John A (NC),20,Edenton John A. Holmes (NC)
Edneyville (NC),224,Edneyville (NC)
