Alias_Name,GameCount,Standardized_Name
Alexander (ND),155,Alexander (ND)
Arthur Dakota (ND),206,Arthur Dakota (ND)
Ashley (ND),147,Ashley (ND)
Beach (ND),488,Beach (ND)
Belcourt Turtle Mountain (ND),464,Belcourt Turtle Mountain (ND)
Berthold (ND),325,Berthold (ND)
Berthold Lewis & Clark [Berthold-Our Redeemer's Christian-North Shore] (ND),4,Berthold Lewis & Clark [Berthold-Our Redeemer's Christian-North Shore] (ND)
Berthold Lewis And (ND),17,Berthold Lewis & Clark [Berthold-Our Redeemer's Christian-North Shore] (ND)
Berthold Our Redeemer's Christian-North Shore (ND),74,Berthold Lewis & Clark [Berthold-Our Redeemer's Christian-North Shore] (ND)
Berthold-Our Redeemer's Christian (ND),9,Berthold Lewis & Clark [Berthold-Our Redeemer's Christian-North Shore] (ND)
Berthold-Our Redeemer's Christian-North (ND),59,Berthold Lewis & Clark [Berthold-Our Redeemer's Christian-North Shore] (ND)
Beulah (ND),528,Beulah (ND)
Bismarck (ND),1095,Bismarck (ND)
Bismarck Century (ND),569,Bismarck Century (ND)
Bismarck Shiloh Christian (ND),256,Bismarck Shiloh Christian (ND)
Bismarck Saint Mary's Central (ND),27,Bismarck St. Mary's Central (ND)
Bismarck St. Marys (ND),18,Bismarck St. Mary's Central (ND)
Bismarck St. Mary's Central (ND),872,Bismarck St. Mary's Central (ND)
Bottineau (ND),509,Bottineau (ND)
Bowman (ND),257,Bowman (ND)
Bowman County co-op [Bowman-Rhame-Scranton] (ND),124,Bowman County co-op [Bowman-Rhame-Scranton] (ND)
Bowman County co-op [Bowman-Scranton] (ND),105,Bowman County co-op [Bowman-Scranton] (ND)
Bristol Filton College (nd),1,Bristol Filton College (ND)
Buxton Central Valley (ND),367,Buxton Central Valley (ND)
Buxton Hillsboro Central (ND),18,Buxton Hillsboro-Central Valley (ND)
Buxton Hillsboro-Central Valley (ND),110,Buxton Hillsboro-Central Valley (ND)
Cando (ND),267,Cando (ND)
Cando North Star-Starkweather (ND),149,Cando North Star-Starkweather (ND)
Carrington Old HS (ND),428,Carrington Old HS (ND)
Carrington-Pingree-Buchanan-Kensal-Sykeston (ND),120,Carrington-Pingree-Buchanan-Kensal-Sykeston (ND)
Carson (ND),226,Carson (ND)
Casselton Central Cass (ND),525,Casselton Central Cass (ND)
Cavalier (ND),638,Cavalier (ND)
Center (ND),221,Center (ND)
Center-Stanton (ND),216,Center-Stanton (ND)
Central McLean [Turtle Lake-Mercer-Underwood-McClusky] (ND),87,Central McLean co-op [Underwood-Turtle Lake-Mercer] (ND)
Central McLean co-op [Underwood-Turtle Lake-Mercer] (ND),31,Central McLean co-op [Underwood-Turtle Lake-Mercer] (ND)
Colfax Richland (ND),386,Colfax Richland (ND)
Cooperstown (ND),139,Cooperstown (ND)
Cooperstown Griggs County (ND),17,Cooperstown Griggs County (ND)
Cooperstown Griggs County Central (ND),250,Cooperstown Griggs County (ND)
Cooperstown Griggs County Central-Finley-Sharon-Midkota (ND),17,Cooperstown Griggs County (ND)
Cooperstown Griggs County Central-Midkota (ND),27,Cooperstown Griggs County (ND)
Cooperstown Griggs-Barnes County [Griggs County Central/North Central/Wimbledon-Courtenay/Midkota] (ND),25,Cooperstown Griggs County (ND)
Cooperstown Griggs-Barnes County [Griggs County Central-North Central-Wimbledon-Courtenay] (ND),57,Cooperstown Griggs County (ND)
Crosby Divide County (ND),553,Crosby Divide County (ND)
Des Lacs-Burlington (ND),479,Des Lacs-Burlington (ND)
Devils Lake (ND),584,Devils Lake (ND)
Dickinson (ND),905,Dickinson (ND)
Dickinson Trinity Old HS (ND),214,Dickinson Trinity Old HS (ND)
Dickinson Trinity-New England (ND),505,Dickinson Trinity-New England (ND)
Drake (ND),274,Drake (ND)
Drake-Anamoose (ND),229,Drake-Anamoose (ND)
Drayton (ND),131,Drayton (ND)
Dunseith (ND),409,Dunseith (ND)
Edgeley (ND),350,Edgeley (ND)
Edinburg (ND),309,Edinburg (ND)
Elgin (ND),159,Elgin (ND)
Elgin Grant County (ND),124,Elgin Grant County (ND)
Ellendale (ND),440,Ellendale (ND)
Ellendale-Edgeley-Kulm (ND),104,Ellendale-Edgeley-Kulm (ND)
Enderlin (ND),404,Enderlin (ND)
Fairmount (ND),171,Fairmount (ND)
Fargo Central (ND),326,Fargo Central (ND)
Fargo Davies (ND),173,Fargo Davies (ND)
Fargo North (ND),601,Fargo North (ND)
Fargo Oak Grove Lutheran (ND),473,Fargo Oak Grove Lutheran (ND)
Fargo Shanley (ND),633,Fargo Shanley (ND)
Fargo South (ND),617,Fargo South (ND)
Fessenden (ND),190,Fessenden (ND)
Fessenden-Bowdon (ND),137,Fessenden-Bowdon (ND)
Finley-Sharon (ND),128,Finley-Sharon (ND)
Finley-Sharon-Hope-Page (ND),130,Finley-Sharon-Hope-Page (ND)
Forman Sargent Central (ND),423,Forman Sargent Central (ND)
Fort Totten Four Winds-Warwick (ND),189,Fort Totten Four Winds-Warwick (ND)
Fort Yates Standing Rock (ND),345,Fort Yates Standing Rock (ND)
Fort Yates Standing Rock-Selfridge (ND),110,Fort Yates Standing Rock-Selfridge (ND)
Garrison (ND),345,Garrison (ND)
Garrison-Max (ND),138,Garrison-Max (ND)
Glen Ullin (ND),208,Glen Ullin (ND)
Glenburn (ND),243,Glenburn (ND)
Grafton (ND),513,Grafton (ND)
Grand Forks Central (ND),819,Grand Forks Central (ND)
Grand Forks Red River (ND),590,Grand Forks Red River (ND)
Grand Forks-Red River (ND),1,Grand Forks Red River (ND)
Grant County co-op [Carson-Elgin-New Leipzig] (ND),28,Grant County co-op [Carson-Elgin-New Leipzig]-Flasher (ND)
Grant County co-op [Carson-Elgin-New Leipzig]-Flasher (ND),72,Grant County co-op [Carson-Elgin-New Leipzig]-Flasher (ND)
Grenora (ND),183,Grenora (ND)
Gwinner Milnor-North Sargent (ND),157,Gwinner Milnor-North Sargent (ND)
Gwinner North Sargent (ND),128,Gwinner North Sargent (ND)
Hankinson (ND),511,Hankinson (ND)
Harvey (ND),458,Harvey (ND)
Harvey-Fessenden-Bowdon (ND),116,Harvey-Fessenden-Bowdon (ND)
Hatton (ND),225,Hatton (ND)
Hatton-Northwood (ND),162,Hatton-Northwood (ND)
Hazen (ND),582,Hazen (ND)
Heart River co-op [Belfield-South Heart] (ND),448,Heart River co-op [Belfield-South Heart] (ND)
Hettinger (ND),392,Hettinger (ND)
Hettinger Scranton (ND),19,Hettinger-Scranton (ND)
Hettinger-Scranton (ND),120,Hettinger-Scranton (ND)
Hillsboro (ND),428,Hillsboro (ND)
Hoople Valley (ND),315,Hoople Valley (ND)
Hope (ND),119,Hope (ND)
Hope-Page (ND),156,Hope-Page (ND)
Hunter Northern Cass (ND),324,Hunter Northern Cass (ND)
Inkster Midway (ND),364,Inkster Midway (ND)
Inkster Midway Minto (ND),17,Inkster Midway-Minto (ND)
Inkster Midway-Mint (ND),7,Inkster Midway-Minto (ND)
