Alias_Name,GameCount,Standardized_Name
Adams (NE),186,Adams (NE)
Adams Freeman (NE),244,Adams Freeman (NE)
Ainsworth (NE),450,Ainsworth (NE)
Albion (NE),276,Albion (NE)
Albion Boone Central (NE),170,Albion Boone Central (NE)
Allen (NE),412,Allen (NE)
Alliance (NE),560,Alliance (NE)
Alma (NE),440,Alma (NE)
Amherst (NE),462,Amherst (NE)
Anselmo-Merna (NE),473,Anselmo-Merna (NE)
Ansely (NE),1,Ansley (NE)
Ansley (NE),388,Ansley (NE)
Ansley Litchfield (NE),16,Ansley-Litchfield (NE)
Ansley-Litchfield (NE),106,Ansley-Litchfield (NE)
Arapahoe (NE),515,Arapahoe (NE)
Arcadia (NE),317,Arcadia (NE)
Arcadia Loup (NE),16,Arcadia-Loup City (NE)
Arcadia-Loup City (NE),93,Arcadia-Loup City (NE)
Arlington (NE),481,Arlington (NE)
Arnold (NE),318,Arnold (NE)
Arnold-Callaway South Loup co-op (NE),138,Arnold-Callaway South Loup co-op (NE)
Arthur County (NE),432,Arthur County (NE)
Ashland (NE),156,Ashland (NE)
Ashland Greenwood (NE),19,Ashland-Greenwood (NE)
Ashland-Greenwood (NE),317,Ashland-Greenwood (NE)
Atkinson West Holt (NE),435,Atkinson West Holt (NE)
Auburn (NE),496,Auburn (NE)
Aurora (NE),628,Aurora (NE)
Axtell (NE),458,Axtell (NE)
Bancroft (NE),105,Bancroft (NE)
Bancroft Rosalie (NE),18,Bancroft-Rosalie (NE)
Bancroft-Rosalie (NE),662,Bancroft-Rosalie (NE)
Bartlett Wheeler Central (NE),281,Bartlett Wheeler Central (NE)
Bartley (NE),143,Bartley (NE)
Bartley Southwest (NE),176,Bartley Southwest (NE)
Bassett North Central (NE),160,Bassett North Central (NE)
Bassett Rock County (NE),247,Bassett Rock County (NE)
Battle Creek (NE),545,Battle Creek (NE)
Bayard (NE),429,Bayard (NE)
Beatrice (NE),578,Beatrice (NE)
Beaver City (NE),180,Beaver City (NE)
Beemer (NE),291,Beemer (NE)
Bellevue (NE),142,Bellevue (NE)
Bellevue East (NE),414,Bellevue East (NE)
Bellevue West (NE),461,Bellevue West (NE)
Benedict Consolidated (NE),233,Benedict Consolidated (NE)
Benkelman (NE),120,Benkelman (NE)
