Alias_Name,GameCount,Standardized_Name
Alstead Fall Mountain (NH),401,Alstead Fall Mountain (NH)
Amherst Souhegan (NH),332,Amherst Souhegan (NH)
Andover Proctor Academy (NH),260,Andover Proctor Academy (NH)
Bangor (NH),1,Bangor (ME)
Bedford (NH),181,Bedford (NH)
Belmont-Gilford (NH),69,Belmont-Gilford (NH)
Belmont Gilford (NH),10,Belmont-Gilford (NH)
Berlin (NH),81,Berlin (NH)
Bow (NH),260,Bow (NH)
Bristol Newfound Regional (NH),175,Bristol Newfound Regional (NH)
Canaan Mascoma (NH),148,Canaan Mascoma (NH)
Claremont Stevens (NH),633,Claremont Stevens (NH)
Concord (NH),590,Concord (NH)
Concord Bishop Brady (NH),397,Concord Bishop Brady (NH)
Concord St. Paul's (NH),136,Concord St. Paul's (NH)
Concord Saint Paul's (NH),20,Concord St. Paul's (NH)
Concord St. Pauls (NH),15,Concord St. Paul's (NH)
Concord St. Paul's School (NH),1,Concord St. Paul's (NH)
Conway Kennett (NH),451,Conway Kennett (NH)
Derry Pinkerton (NH),522,Derry Pinkerton (NH)
Derry Pinkerton Academy (NH),1,Derry Pinkerton (NH)
Dover (NH),657,Dover (NH)
Dover St. Thomas Aquinas (NH),405,Dover St. Thomas Aquinas (NH)
Dover Saint Thomas Aquinas (NH),31,Dover St. Thomas Aquinas (NH)
Dover St. Thomas (NH),19,Dover St. Thomas Aquinas (NH)
East Swanzey Monadnock (NH),426,East Swanzey Monadnock (NH)
Epping-Newmarket (NH),122,Epping-Newmarket (NH)
Epping Newmarket (NH),13,Epping-Newmarket (NH)
Exeter (NH),641,Exeter (NH)
Farmington-Nute (NH),65,Farmington-Nute (NH)
Farmington Nute (NH),11,Farmington-Nute (NH)
Franklin (NH),430,Franklin (NH)
Gilford (NH),117,Gilford (NH)
Goffstown (NH),218,Goffstown (NH)
Hampton Winnacunnet (NH),570,Hampton Winnacunnet (NH)
Hanover (NH),499,Hanover (NH)
Hillsboro Deering (NH),9,Hillsboro-Deering (NH)
Hillsboro-Deering (NH),2,Hillsboro-Deering (NH)
Wachusett Regional (NH),1,Holden Wachusett Regional (MA)
Hollis-Brookline (NH),172,Hollis-Brookline (NH)
Hollis Brookline (NH),16,Hollis-Brookline (NH)
Hudson Alvirne (NH),270,Hudson Alvirne (NH)
Keene (NH),663,Keene (NH)
Kingston Sanborn Regional (NH),172,Kingston Sanborn Regional (NH)
Laconia (NH),533,Laconia (NH)
Langdon Fall Mountain (NH),49,Langdon Fall Mountain (NH)
Langdon Fall Mountain Regional (NH),9,Langdon Fall Mountain (NH)
Lebanon (NH),624,Lebanon (NH)
Litchfield Campbell (NH),203,Litchfield Campbell (NH)
Littleton (NH),127,Littleton (NH)
Londonderry (NH),399,Londonderry (NH)
Manchester Central (NH),556,Manchester Central (NH)
Manchester Memorial (NH),449,Manchester Memorial (NH)
Manchester St. Joseph Cathedral (NH),20,Manchester St. Joseph Cathedral (NH)
Manchester St. Joseph's (NH),3,Manchester St. Joseph Cathedral (NH)
Manchester Trinity (NH),392,Manchester Trinity (NH)
Manchester West (NH),414,Manchester West (NH)
Meredith Inter-Lakes-Moultonborough Academy (NH),138,Meredith Inter-Lakes-Moultonborough Academy (NH)
Meriden Kimball Union Academy (NH),194,Meriden Kimball Union Academy (NH)
Merrimack (NH),441,Merrimack (NH)
Milford (NH),436,Milford (NH)
Nashua (NH),332,Nashua (NH)
Nashua Bishop Guertin (NH),406,Nashua Bishop Guertin (NH)
Nashua North (NH),222,Nashua North (NH)
Nashua South (NH),227,Nashua South (NH)
New Hampshire State University Frosh (NH),4,New Hampshire State University Frosh (NH)
New Hampshire State University Fresh (NH),1,New Hampshire State University Frosh (NH)
New Hampton School (NH),275,New Hampton School (NH)
The New Hampton School (NH),1,New Hampton School (NH)
Newport (NH),479,Newport (NH)
North Sutton Kearsarge (NH),227,North Sutton Kearsarge (NH)
Pelham (NH),309,Pelham (NH)
Pembroke (NH),217,Pembroke (NH)
Penacook Merrimack Valley (NH),205,Penacook Merrimack Valley (NH)
Peterborough ConVal (NH),189,Peterborough Contoocook Valley Regional (NH)
Peterborough Contoocook Valley Regional (NH),88,Peterborough Contoocook Valley Regional (NH)
Phillips Exeter Academy (NH),682,Phillips Exeter Academy (NH)
Plaistow Timberlane (NH),418,Plaistow Timberlane (NH)
Plymouth (NH),481,Plymouth (NH)
Plymouth Holderness (NH),341,Plymouth Holderness (NH)
Portsmouth (NH),482,Portsmouth (NH)
Portsmouth Abbey (NH),2,Portsmouth Abbey (RI)
Portsmouth-Oyster River (NH),52,Portsmouth-Oyster River (NH)
Portsmouth Oyster (NH),16,Portsmouth-Oyster River (NH)
Raymond (NH),130,Raymond (NH)
Rochester Spaulding (NH),428,Rochester Spaulding (NH)
Salem (NH),443,Salem (NH)
Somersworth (NH),480,Somersworth (NH)
Spaulding (NH),220,Spaulding (NH)
Tilton School (NH),274,Tilton School (NH)
Tilton Winnisquam (NH),171,Tilton Winnisquam (NH)
University of New Hampshire Frosh (NH),27,University of New Hampshire Frosh (NH)
University of New Hampshire Fresh (NH),10,University of New Hampshire Frosh (NH)
University of New Hampshire Soph (NH),2,University of New Hampshire JV (NH)
University of New Hampshire JV (NH),1,University of New Hampshire JV (NH)
Weare Stark (NH),187,Weare Stark (NH)
Windham (NH),146,Windham (NH)
Wolfeboro Kingswood (NH),393,Wolfeboro Kingswood (NH)
Wolfeboro Kingswood Regional (NH),2,Wolfeboro Kingswood (NH)
