Alias_Name,GameCount,Standardized_Name
Aberdeen Matawan Regional (NJ),891,Aberdeen Matawan Regional (NJ)
Absecon Holy Spirit (NJ),961,Absecon Holy Spirit (NJ)
Allendale Northern Highlands (NJ),665,Allendale Northern Highlands (NJ)
Allentown (NJ),708,Allentown (NJ)
Annandale North Hunterdon (NJ),779,Annandale North Hunterdon (NJ)
AsburyPark (NJ),1171,Asbury Park (NJ)
Asbury Park (NJ),18,Asbury Park (NJ)
Atco Edgewood Regional (NJ),193,Atco Edgewood Regional (NJ)
Atco Winslow Township (NJ),659,Atco Winslow Township (NJ)
Atlantic City (NJ),1150,Atlantic City (NJ)
Atlantic City JV (NJ),20,Atlantic City JV (NJ)
Atlantic City Sophs (NJ),3,Atlantic City JV (NJ)
Atlantic City Juniors (NJ),1,Atlantic City JV (NJ)
AC Kennedy (NJ),1,Atlantic City Kennedy (NJ)
Atlantic Highlands (NJ),232,Atlantic Highlands (NJ)
Audubon (NJ),980,Audubon (NJ)
Barnegat (NJ),201,Barnegat (NJ)
Basking Ridge (NJ),686,Basking Ridge (NJ)
Basking Ridge Ridge (NJ),17,Basking Ridge (NJ)
Bayley-Ellard (NJ),528,Bayley-Ellard (NJ)
Bayonne (NJ),872,Bayonne (NJ)
Bayonne Marist (NJ),569,Bayonne Marist (NJ)
Bayville Central Regional (NJ),460,Bayville Central Regional (NJ)
Belleville (NJ),1054,Belleville (NJ)
Belvidere (NJ),788,Belvidere (NJ)
Bergen Community College (NJ),7,Bergen Community College (NJ)
Bergen Junior College (NJ),1,Bergen Community College (NJ)
Bergenfield (NJ),859,Bergenfield (NJ)
Berkeley Heights Governor Livingston (NJ),622,Berkeley Heights Governor Livingston (NJ)
Bernardsville Bernards (NJ),1064,Bernardsville Bernards (NJ)
Blackwood Highland Regional (NJ),615,Blackwood Highland Regional (NJ)
Blairstown Blair Academy (NJ),947,Blairstown Blair Academy (NJ)
Blairstown North Warren Regional (NJ),491,Blairstown North Warren Regional (NJ)
Bloomfield (NJ),1328,Bloomfield (NJ)
Bloomfield Voc-Tech (NJ),63,Bloomfield Voc-Tech (NJ)
BloomfieldVoc-Tech (NJ),1,Bloomfield Voc-Tech (NJ)
Bogota (NJ),1050,Bogota (NJ)
Boonton (NJ),1012,Boonton (NJ)
Bordentown (NJ),1083,Bordentown (NJ)
Bordentown Manual (NJ),34,Bordentown Manual Training (NJ)
Bordentown Manual Training (NJ),3,Bordentown Manual Training (NJ)
Bordentown Manual JV (NJ),2,Bordentown Manual Training JV (NJ)
Bordentown Military Institute (NJ),638,Bordentown Military Institute (NJ)
Bound Brook (NJ),1005,Bound Brook (NJ)
Brick (NJ),448,Brick (NJ)
Brick Memorial (NJ),487,Brick Memorial (NJ)
Brick Township (NJ),689,Brick Township (NJ)
Bridgeton (NJ),1132,Bridgeton (NJ)
Bridgewater-Raritan (NJ),638,Bridgewater-Raritan (NJ)
Bridgewater-Raritan East (NJ),249,Bridgewater-Raritan East (NJ)
Bridgewater-RaritanWest (NJ),350,Bridgewater-Raritan West (NJ)
Bridgewater-Raritan West (NJ),6,Bridgewater-Raritan West (NJ)
Buena Regional (NJ),521,Buena Regional (NJ)
Burlington All Saints (NJ),8,Burlington All Saints (NJ)
All Saints (NJ),5,Burlington All Saints (NJ)
BurlingtonCity (NJ),1125,Burlington City (NJ)
BurlingtonCity JV (NJ),2,Burlington City JV (NJ)
Burlington Township (NJ),635,Burlington Township (NJ)
Butler (NJ),1045,Butler (NJ)
Camden (NJ),1182,Camden (NJ)
Camden Kipp Cooper (NJ),17,Camden Kipp Cooper (NJ)
Camden KIPP Cooper Norcross (NJ),5,Camden Kipp Cooper (NJ)
Camden St. Joseph (NJ),191,Camden St. Joseph (NJ)
Camden Woodrow Wilson (NJ),886,Camden Woodrow Wilson (NJ)
Cape May Court House Middle Township (NJ),922,Cape May Court House Middle Township (NJ)
Cape May Court House Middle (NJ),1,Cape May Court House Middle Township (NJ)
Cape May Lower Cape (NJ),18,Cape May Lower Cape (NJ)
Cape May Lower Cape May (NJ),10,Cape May Lower Cape (NJ)
Carneys Point Penns Grove (NJ),1138,Carneys Point Penns Grove (NJ)
Carneys Point St. James (NJ),471,Carneys Point St. James (NJ)
Carteret (NJ),798,Carteret (NJ)
Cedar Grove (NJ),663,Cedar Grove (NJ)
Central (NJ),139,Central (NJ)
Chatham (NJ),838,Chatham (NJ)
Chatham Borough (NJ),104,Chatham Borough (NJ)
Chatham Township (NJ),225,Chatham Township (NJ)
Cherry Hill Camden Catholic (NJ),861,Cherry Hill Camden Catholic (NJ)
Cherry Hill East (NJ),560,Cherry Hill East (NJ)
Cherry Hill Cherry Hill East (NJ),17,Cherry Hill East (NJ)
Cherry Hill West (NJ),593,Cherry Hill West (NJ)
Cherry Hill Cherry Hill West (NJ),17,Cherry Hill West (NJ)
Chester West Morris Central (NJ),690,Chester West Morris Central (NJ)
Cinnaminson (NJ),556,Cinnaminson (NJ)
Clark Johnson (NJ),679,Clark Arthur L. Johnson Regional (NJ)
Clark Arthur L. Johnson Regional (NJ),376,Clark Arthur L. Johnson Regional (NJ)
Schoolclark Arthur L. Johnson Regional (NJ),1,Clark Arthur L. Johnson Regional (NJ)
Clayton (NJ),1021,Clayton (NJ)
Cliffside Park (NJ),1103,Cliffside Park (NJ)
Clifton (NJ),1125,Clifton (NJ)
Clifton Paul VI Regional (NJ),127,Clifton Paul VI Regional (NJ)
Clifton Pope Paul VI Regional (NJ),2,Clifton Paul VI Regional (NJ)
Collingswood (NJ),1128,Collingswood (NJ)
Colonia (NJ),580,Colonia (NJ)
Colts Neck (NJ),260,Colts Neck (NJ)
Columbus Northern Burlington (NJ),631,Columbus Northern Burlington (NJ)
Columbus North Burlington (NJ),16,Columbus Northern Burlington (NJ)
Columbus Northern Burlington County Regional (NJ),8,Columbus Northern Burlington (NJ)
Cornwall On Hudson New York Military Academy (NJ),5,Cornwall On Hudson New York Military Academy (NY)
Cranford (NJ),1103,Cranford (NJ)
Cresskill (NJ),681,Cresskill (NJ)
Delran (NJ),506,Delran (NJ)
Delran Holy Cross (NJ),741,Delran Holy Cross (NJ)
Demarest Northern Valley Regional (NJ),693,Demarest Northern Valley Regional (NJ)
NV-Demarest (NJ),37,Demarest Northern Valley Regional (NJ)
Demarest Nv Demarest (NJ),16,Demarest Northern Valley Regional (NJ)
Demarest Northern Valley Regional JV (NJ),1,Demarest Northern Valley Regional JV (NJ)
Denville Morris Catholic (NJ),649,Denville Morris Catholic (NJ)
Deptford (NJ),688,Deptford (NJ)
Deptford Township (NJ),1,Deptford (NJ)
Dover (NJ),1116,Dover (NJ)
Dumont (NJ),1068,Dumont (NJ)
Dunellen (NJ),812,Dunellen (NJ)
Dwight-Englewood (NJ),675,Dwight-Englewood (NJ)
East Brunswick (NJ),652,East Brunswick (NJ)
East Hanover Hanover Park (NJ),705,East Hanover Hanover Park (NJ)
East Orange (NJ),967,East Orange (NJ)
East Orange East Orange (NJ),21,East Orange (NJ)
East Orange Campus (NJ),225,East Orange Campus (NJ)
East Orange Clifford J. Scott (NJ),562,East Orange Clifford J. Scott (NJ)
East Paterson Memorial (NJ),113,East Paterson Memorial (NJ)
East Rutherford (NJ),217,East Rutherford (NJ)
East Rutherford Becton (NJ),1023,East Rutherford Becton (NJ)
Edison (NJ),667,Edison (NJ)
Edison Bishop Ahr (NJ),442,Edison Bishop Ahr (NJ)
Edison John P. Stevens (NJ),604,Edison John P. Stevens (NJ)
Edison Jp St. evens (NJ),18,Edison John P. Stevens (NJ)
Edison St. Thomas Aquinas (NJ),29,Edison St. Thomas Aquinas (NJ)
Edison Saint Thomas Aquinas (NJ),20,Edison St. Thomas Aquinas (NJ)
Edison St. Thomas (NJ),19,Edison St. Thomas Aquinas (NJ)
Edison Wardlaw-Hartridge (NJ),272,Edison Wardlaw-Hartridge (NJ)
Edison Wardlaw Hartridge (NJ),34,Edison Wardlaw-Hartridge (NJ)
Egg Harbor City Cedar Creek (NJ),160,Egg Harbor City Cedar Creek (NJ)
Egg Harbor Township (NJ),609,Egg Harbor Township (NJ)
Elizabeth (NJ),1185,Elizabeth (NJ)
Elizabeth Battin (NJ),149,Elizabeth Battin (NJ)
Elizabeth St. Mary Assumption (NJ),35,Elizabeth St. Mary of the Assumption (NJ)
Elizabeth St. Mary of the Assumption (NJ),10,Elizabeth St. Mary of the Assumption (NJ)
Elizabeth St. Mary-Assumption (NJ),8,Elizabeth St. Mary of the Assumption (NJ)
Elmwood Park (NJ),714,Elmwood Park (NJ)
Elmwood Park East PatersonMemorial (NJ),8,Elmwood Park (NJ)
Elmwood Park Memorial (NJ),1,Elmwood Park (NJ)
Emerson (NJ),618,Emerson (NJ)
Emerson Borough (NJ),346,Emerson Borough (NJ)
Emerson Boro (NJ),32,Emerson Borough (NJ)
Englewood (NJ),738,Englewood (NJ)
Englewood Dwight Morrow (NJ),1097,Englewood Dwight Morrow (NJ)
Englewood Dwight-Englewood (NJ),1,Englewood Dwight Morrow (NJ)
Englewood St. Cecilia (NJ),495,Englewood St. Cecilia (NJ)
Englewood St. Cecelia (NJ),5,Englewood St. Cecilia (NJ)
Englishtown Manalapan (NJ),566,Englishtown Manalapan (NJ)
Erial Timber Creek Regional (NJ),262,Erial Timber Creek Regional (NJ)
Erial Timber Creek (NJ),6,Erial Timber Creek Regional (NJ)
Kingsley School (NJ),114,Essex Fells Kingsley (NJ)
Essex FellsNew Jersey Kingsley School (NJ),4,Essex Fells Kingsley (NJ)
Essex Fells Kingsley (NJ),1,Essex Fells Kingsley (NJ)
Fair Lawn (NJ),873,Fair Lawn (NJ)
Farmingdale Howell (NJ),611,Farmingdale Howell (NJ)
Flanders Mount Olive (NJ),527,Flanders Mt. Olive (NJ)
Flanders Mt. Olive (NJ),1,Flanders Mt. Olive (NJ)
Flemington Hunterdon Central (NJ),1139,Flemington Hunterdon Central (NJ)
Florence Township Memorial (NJ),846,Florence Township Memorial (NJ)
Florence Township (NJ),17,Florence Township Memorial (NJ)
Fort Lee (NJ),867,Fort Lee (NJ)
Franklin Borough (NJ),370,Franklin Borough (NJ)
Franklin Lakes Ramapo (NJ),816,Franklin Lakes Ramapo (NJ)
Franklinville Delsea (NJ),770,Franklinville Delsea (NJ)
Freehold Boro (NJ),1079,Freehold Boro (NJ)
Freehold Township (NJ),543,Freehold Township (NJ)
Frenchtown Delaware Valley (NJ),716,Frenchtown Delaware Valley (NJ)
Galloway Absegami (NJ),533,Galloway Absegami (NJ)
Garfield (NJ),1087,Garfield (NJ)
Gladstone Gill St. Bernard's (NJ),441,Gladstone Gill St. Bernard's (NJ)
Glandstone Gill St. Bernard's (NJ),22,Gladstone Gill St. Bernard's (NJ)
Glassboro (NJ),1204,Glassboro (NJ)
Glen Gardner Voorhees (NJ),481,Glen Gardner Voorhees (NJ)
Glen Ridge (NJ),962,Glen Ridge (NJ)
Glen Rock (NJ),741,Glen Rock (NJ)
Gloucester Catholic (NJ),667,Gloucester Catholic (NJ)
GloucesterCity (NJ),1115,Gloucester City (NJ)
Gloucester City (NJ),19,Gloucester City (NJ)
Gloucester City Gloucester Catholic (NJ),17,Gloucester City Catholic (NJ)
Gloucester City Catholic (NJ),2,Gloucester City Catholic (NJ)
GloucesterCity JV (NJ),5,Gloucester City JV (NJ)
Green Brook (NJ),140,Green Brook (NJ)
Hackensack (NJ),1304,Hackensack (NJ)
Hackensack Bergen Tech (NJ),581,Hackensack Bergen Tech (NJ)
Hackensack Holy Trinity (NJ),7,Hackensack Holy Trinity (NJ)
Hackensack Holy Trinity School (NJ),2,Hackensack Holy Trinity (NJ)
Hackettstown (NJ),1006,Hackettstown (NJ)
Hackettstown Centenary Collegiate Institute (NJ),10,Hackettstown Centenary Collegiate Institute (NJ)
Hackettstown Centenary College (NJ),5,Hackettstown Centenary Collegiate Institute (NJ)
Hackettstown Centenary College Institution (NJ),5,Hackettstown Centenary Collegiate Institute (NJ)
Haddon Heights (NJ),1075,Haddon Heights (NJ)
Haddonfield (NJ),1168,Haddonfield (NJ)
Haddonfield Paul VI (NJ),775,Haddonfield Paul VI (NJ)
Haddonfield St. John's (NJ),1,Haddonfield St. John's Military Academy (NJ)
Haddonfield St. John's Military Academy (NJ),1,Haddonfield St. John's Military Academy (NJ)
Haledon Manchester Regional (NJ),611,Haledon Manchester Regional (NJ)
Hamburg Wallkill Valley (NJ),409,Hamburg Wallkill Valley (NJ)
Hamburg Wallkill Valley Regional (NJ),13,Hamburg Wallkill Valley (NJ)
Hamilton (NJ),274,Hamilton (NJ)
Hamilton East (NJ),129,Hamilton East (NJ)
HamiltonEast-Steinert (NJ),276,Hamilton East-Steinert (NJ)
Hamilton Nottingham (NJ),317,Hamilton Nottingham (NJ)
Hamilton Steinert (NJ),291,Hamilton Steinert (NJ)
Hamilton West (NJ),578,Hamilton West (NJ)
Hammonton (NJ),1104,Hammonton (NJ)
HammontonSt. Joseph (NJ),658,Hammonton St. Joseph (NJ)
Hammonton Saint Joseph (NJ),36,Hammonton St. Joseph (NJ)
Hammonton St. Joseph's (NJ),17,Hammonton St. Joseph (NJ)
Hammonton St. Joseph (NJ),12,Hammonton St. Joseph (NJ)
Harrison (NJ),833,Harrison (NJ)
Hasbrouck Heights (NJ),1180,Hasbrouck Heights (NJ)
Hawthorne (NJ),932,Hawthorne (NJ)
Hazlet Raritan (NJ),673,Hazlet Raritan (NJ)
Highland Park (NJ),847,Highland Park (NJ)
Highland Park Irving (NJ),1,Highland Park (NJ)
Hightstown (NJ),595,Hightstown (NJ)
Hightstown The Peddie School (NJ),1045,Hightstown The Peddie School (NJ)
Hightstown Peddie (NJ),32,Hightstown The Peddie School (NJ)
"Hightstown Peddie """"B"""" (NJ)",1,Hightstown The Peddie School B (NJ)
Hightstown Peddie JV (NJ),19,Hightstown The Peddie School JV (NJ)
Hillsborough (NJ),582,Hillsborough (NJ)
Hillsdale Pascack Valley (NJ),765,Hillsdale Pascack Valley (NJ)
Hillside (NJ),945,Hillside (NJ)
Ho Ho Kus St. Lukes (NJ),196,Ho Ho Kus St. Lukes (NJ)
Ho Ho Kus St. Luke's (NJ),1,Ho Ho Kus St. Lukes (NJ)
Ho Ho Kus St. Lukes JV (NJ),1,Ho Ho Kus St. Lukes JV (NJ)
Hoboken (NJ),835,Hoboken (NJ)
Hoboken Stevens Academy (NJ),172,Hoboken Stevens Academy (NJ)
Hoboken Stevens Instituteof Technology JV (NJ),1,Hoboken Stevens Academy (NJ)
Holmdel (NJ),498,Holmdel (NJ)
Holmdel St.John Vianney (NJ),334,Holmdel St. John-Vianney (NJ)
Holmdel St. John-Vianney (NJ),329,Holmdel St. John-Vianney (NJ)
Holmdel Saint John-Vianney (NJ),31,Holmdel St. John-Vianney (NJ)
Holmdel St. John (NJ),22,Holmdel St. John-Vianney (NJ)
Holmdel St. John Vianney (NJ),11,Holmdel St. John-Vianney (NJ)
Hopatcong (NJ),550,Hopatcong (NJ)
Immaculate Conception (NJ),125,Immaculate Conception (NJ)
Irvington (NJ),1107,Irvington (NJ)
Iselin Kennedy Memorial (NJ),514,Iselin Kennedy Memorial (NJ)
Iselin John F. Kennedy Memorial (NJ),10,Iselin Kennedy Memorial (NJ)
Jackson Liberty (NJ),175,Jackson Liberty (NJ)
Jackson Township Jackson Memorial (NJ),669,Jackson Township Jackson Memorial (NJ)
Jamesburg New Jersey Training (NJ),49,Jamesburg New Jersey Training (NJ)
New Jersey Training (NJ),12,Jamesburg New Jersey Training (NJ)
Jamesburg New Jersey Training School (NJ),3,Jamesburg New Jersey Training (NJ)
Jersey City Dickinson (NJ),1065,Jersey City Dickinson (NJ)
Jersey City Ferris (NJ),817,Jersey City Ferris (NJ)
Jersey City Hudson Catholic (NJ),557,Jersey City Hudson Catholic (NJ)
Jersey City Lincoln (NJ),1003,Jersey City Lincoln (NJ)
Jersey City Snyder (NJ),803,Jersey City Snyder (NJ)
Jersey City St. Anthony (NJ),92,Jersey City St. Anthony (NJ)
Jersey City St. Joseph (NJ),1,Jersey City St. Joseph (NJ)
Jersey City St. Joseph School (NJ),1,Jersey City St. Joseph (NJ)
Jersey City St. Peters Prep (NJ),29,Jersey City St. Peters Prep (NJ)
Jersey City St. Peters (NJ),17,Jersey City St. Peters Prep (NJ)
Jersey City St. Peter's (NJ),10,Jersey City St. Peters Prep (NJ)
Jersey St. Peters (NJ),6,Jersey City St. Peters Prep (NJ)
Jersey City Saint Peter's Prep (NJ),1165,Jersey City St. Peter's Prep (NJ)
Jersey City Saint Peter's Prep Alumni (NJ),1,Jersey City St. Peter's Prep Alumni (NJ)
Keansburg (NJ),590,Keansburg (NJ)
Kearny (NJ),975,Kearny (NJ)
Kenilworth Brearley (NJ),558,Kenilworth Brearley (NJ)
Keyport (NJ),1047,Keyport (NJ)
Keyport-Hudson Regional (NJ),155,Keyport-Hudson Regional (NJ)
Keyport Hudson (NJ),19,Keyport-Hudson Regional (NJ)
Kinnelon (NJ),612,Kinnelon (NJ)
Lakehurst Manchester Township (NJ),919,Lakehurst Manchester Township (NJ)
Lakewood (NJ),1106,Lakewood (NJ)
Lambertville South Hunterdon (NJ),945,Lambertville South Hunterdon (NJ)
Lanoka Harbor Lacey Township (NJ),485,Lanoka Harbor Lacey Township (NJ)
Lawrenceville Lawrence (NJ),710,Lawrenceville Lawrence (NJ)
Lawrenceville Notre Dame (NJ),639,Lawrenceville Notre Dame (NJ)
Lawrenceville School (NJ),825,Lawrenceville School (NJ)
Leonia (NJ),847,Leonia (NJ)
Linden (NJ),986,Linden (NJ)
Lindenwold (NJ),242,Lindenwold (NJ)
Linwood Mainland Regional (NJ),670,Linwood Mainland Regional (NJ)
Little Falls Passaic Valley (NJ),873,Little Falls Passaic Valley (NJ)
