Alias_Name,GameCount,Standardized_Name
Alamogordo (NM),629,Alamogordo (NM)
Albuquerque (NM),623,Albuquerque (NM)
Albuquerque Academy (NM),472,Albuquerque Academy (NM)
Albuquerque Atrisco Heritage Academy (NM),152,Albuquerque Atrisco Heritage Academy (NM)
Albuquerque Cibola (NM),520,Albuquerque Cibola (NM)
Albuquerque Del Norte (NM),544,Albuquerque Del Norte (NM)
Albuquerque Eldorado (NM),633,Albuquerque Eldorado (NM)
Albuquerque Highland (NM),819,Albuquerque Highland (NM)
Albuquerque Hope Christian (NM),184,Albuquerque Hope Christian (NM)
Albuquerque La Cueva (NM),450,Albuquerque La Cueva (NM)
Albuquerque Manzano (NM),692,Albuquerque Manzano (NM)
Albuquerque Menaul (NM),431,Albuquerque Menaul (NM)
Albuquerque Rio Grande (NM),533,Albuquerque Rio Grande (NM)
Albuquerque Sandia (NM),746,Albuquerque Sandia (NM)
Albuquerque St. Pius (NM),8,Albuquerque St. Pius X (NM)
Albuquerque St. Pius X (NM),538,Albuquerque St. Pius X (NM)
Albuquerque Valley (NM),560,Albuquerque Valley (NM)
Albuquerque Volcano Vista (NM),189,Albuquerque Volcano Vista (NM)
Albuquerque West Mesa (NM),514,Albuquerque West Mesa (NM)
Animas (NM),414,Animas (NM)
Anthony Gadsden (NM),487,Anthony Gadsden (NM)
Artesia (NM),1008,Artesia (NM)
Aztec (NM),750,Aztec (NM)
Bayard Cobre (NM),520,Bayard Cobre (NM)
Belen (NM),534,Belen (NM)
Bernalillo (NM),357,Bernalillo (NM)
Bloomfield (NM),636,Bloomfield (NM)
Capitan (NM),473,Capitan (NM)
Carlsbad (NM),733,Carlsbad (NM)
Carrizozo (NM),346,Carrizozo (NM)
Chaparral (NM),178,Chaparral (NM)
Clayton (NM),508,Clayton (NM)
Cloudcroft (NM),381,Cloudcroft (NM)
Clovis (NM),815,Clovis (NM)
Crown Point (NM),411,Crown Point (NM)
Cuba (NM),425,Cuba (NM)
Deming (NM),561,Deming (NM)
Dexter (NM),491,Dexter (NM)
Dora (NM),108,Dora (NM)
Dulce (NM),355,Dulce (NM)
Espanola McCurdy (NM),372,Espanola McCurdy (NM)
Espanola McCurdy Mission (NM),29,Espanola McCurdy (NM)
