Alias_Name,GameCount,Standardized_Name
Antigonish Dr. J. H. Gillis (NS),53,Antigonish Dr. J. H. Gillis (NS)
Auburn West Kings (NS),58,Auburn West Kings (NS)
Bedford Charles P. Allen (NS),55,Bedford Charles P. Allen (NS)
Canning Northeast Kings (NS),63,Canning Northeast Kings (NS)
Central Kings (NS),64,Central Kings (NS)
Charles P Allen (NS),8,Bedford Charles P Allen (NS)
Cobequid Ed. Centre (NS),8,Cobequid Ed. Centre (NS)
Dartmouth (NS),57,Dartmouth (NS)
Dartmouth Cole Harbour (NS),63,Dartmouth Cole Harbour (NS)
Dartmouth Prince Andrew (NS),61,Dartmouth Prince Andrew (NS)
Fall River Lockview (NS),60,Fall River Lockview (NS)
Halifax Auburn Drive (NS),37,Halifax Auburn Drive (NS)
Halifax Citadel (NS),71,Halifax Citadel (NS)
Halifax J.L. Ilsley (NS),59,Halifax J.L. Ilsley (NS)
Halifax Queen Elizabeth (NS),11,Halifax Queen Elizabeth (NS)
Halifax St. Patrick's (NS),4,Halifax St. Patrick's (NS)
Halifax West (NS),63,Halifax West (NS)
John Hugh Gillis (NS),8,Antigonish Dr. John Hugh Gillis (NS)
Millwood (NS),15,Millwood (NS)
Sackville (NS),61,Sackville (NS)
Sir John A (NS),8,Upper Tantallon Sir John A. MacDonald (NS)
Sydney (NS),7,Sydney (NS)
Sydney Academy (NS),23,Sydney Academy (NS)
Truro Cobequid (NS),69,Truro Cobequid (NS)
Upper Tantallon Sir John A. MacDonald (NS),58,Upper Tantallon Sir John A. MacDonald (NS)
Windsor Avon View (NS),60,Windsor Avon View (NS)
Wolfville Horton (NS),61,Wolfville Horton (NS)
