Alias_Name,GameCount,Standardized_Name
Alamo Pahranagat Valley (NV),241,Alamo Pahranagat Valley (NV)
Pahranagat (NV),1,Alamo Pahranagat Valley (NV)
Battle Mountain (NV),228,Battle Mountain (NV)
Beatty (NV),168,Beatty (NV)
Boulder City (NV),283,Boulder City (NV)
Carlin (NV),214,Carlin (NV)
Carson City Carson (NV),268,Carson City Carson (NV)
Dayton (NV),187,Dayton (NV)
East Las Vegas Mater Academy (NV),1,East Las Vegas Mater Academy (NV)
Las Vegas Mater Academy (NV),19,East Las Vegas Mater Academy (NV)
Las Vegas Mater Academy-East Las Vegas (NV),7,East Las Vegas Mater Academy (NV)
Mater Academy East Las Vegas (NV),10,East Las Vegas Mater Academy (NV)
Elko (NV),310,Elko (NV)
Ely White Pine (NV),273,Ely White Pine (NV)
Eureka (NV),202,Eureka (NV)
Fallon Churchill County (NV),305,Fallon Churchill County (NV)
Fernley (NV),249,Fernley (NV)
Hawthorne Mineral County (NV),238,Hawthorne Mineral County (NV)
Henderson Basic (NV),362,Henderson Basic (NV)
Henderson Coronado (NV),216,Henderson Coronado (NV)
Henderson Foothill (NV),235,Henderson Foothill (NV)
Henderson Green Valley (NV),248,Henderson Green Valley (NV)
Henderson Lake Mead (NV),17,Henderson Lake Mead Academy (NV)
Henderson Lake Mead Academy (NV),85,Henderson Lake Mead Academy (NV)
Henderson Lake Mead Christian (NV),1,Henderson Lake Mead Academy (NV)
Henderson Liberty (NV),249,Henderson Liberty (NV)
Henderson Sports Leadership & Managemen (NV),9,Henderson Sports Leadership & Management (NV)
Henderson Sports Leadership & Management (NV),36,Henderson Sports Leadership & Management (NV)
Henderson Sports Leadership (NV),23,Henderson Sports Leadership & Management (NV)
Incline Village Incline (NV),213,Incline Village Incline (NV)
Indian Springs (NV),184,Indian Springs (NV)
Las Vegas (NV),731,Las Vegas (NV)
Las Vegas Agassi Prep (NV),144,Las Vegas Agassi Prep (NV)
Las Vegas Arbor View (NV),218,Las Vegas Arbor View (NV)
Las Vegas Bishop Gorman (NV),405,Las Vegas Bishop Gorman (NV)
Las Vegas Bonanza (NV),258,Las Vegas Bonanza (NV)
Las Vegas Calvary Chapel (NV),2,Las Vegas Calvary Chapel Christian (NV)
Las Vegas Calvary Chapel Christian (NV),152,Las Vegas Calvary Chapel Christian (NV)
Las Vegas Centennial (NV),218,Las Vegas Centennial (NV)
Las Vegas Chaparral (NV),379,Las Vegas Chaparral (NV)
Las Vegas Cimarron (NV),7,Las Vegas Cimarron-Memorial (NV)
Las Vegas Cimarron Memorial (NV),25,Las Vegas Cimarron-Memorial (NV)
Las Vegas Cimarron-Memorial (NV),210,Las Vegas Cimarron-Memorial (NV)
Las Vegas Clark (NV),420,Las Vegas Clark (NV)
Las Vegas Del Sol (NV),214,Las Vegas Del Sol (NV)
Las Vegas Democracy Prep (NV),19,Las Vegas Democracy Prep Agassi Campus (NV)
Las Vegas Democracy Prep Agassi Campus (NV),49,Las Vegas Democracy Prep Agassi Campus (NV)
Las Vegas Desert Oasis (NV),168,Las Vegas Desert Oasis (NV)
Las Vegas Desert Pines (NV),226,Las Vegas Desert Pines (NV)
Las Vegas Durango (NV),221,Las Vegas Durango (NV)
Las Vegas Eldorado (NV),288,Las Vegas Eldorado (NV)
Las Vegas Faith Lutheran (NV),233,Las Vegas Faith Lutheran (NV)
Las Vegas Mountain View Christian (NV),176,Las Vegas Mountain View Christian (NV)
Las Vegas Palo Verde (NV),243,Las Vegas Palo Verde (NV)
Las Vegas Rancho (NV),450,Las Vegas Rancho (NV)
Las Vegas Shadow Ridge (NV),219,Las Vegas Shadow Ridge (NV)
Las Vegas Sierra Vista (NV),215,Las Vegas Sierra Vista (NV)
Las Vegas Silverado (NV),227,Las Vegas Silverado (NV)
Las Vegas Spring Mountain (NV),211,Las Vegas Spring Mountain (NV)
Las Vegas Spring Valley (NV),207,Las Vegas Spring Valley (NV)
Las Vegas Sunrise Mountain (NV),150,Las Vegas Sunrise Mountain (NV)
Las Vegas The Meadows School (NV),212,Las Vegas The Meadows School (NV)
Las Vegas Valley (NV),391,Las Vegas Valley (NV)
Las Vegas Western (NV),350,Las Vegas Western (NV)
Las Vegas Word Of (NV),4,Las Vegas Word of Life Christian Academy (NV)
Las Vegas Word of Life Christian Academy (NV),7,Las Vegas Word of Life Christian Academy (NV)
Laughlin (NV),180,Laughlin (NV)
Lovelock Pershing County (NV),297,Lovelock Pershing County (NV)
Mcdermitt (NV),114,Mcdermitt (NV)
Mesquite Virgin Valley (NV),299,Mesquite Virgin Valley (NV)
Minden Douglas (NV),337,Minden Douglas (NV)
Nixon Pyramid Lake (NV),175,Nixon Pyramid Lake (NV)
North Las Vegas Canyon Springs (NV),216,North Las Vegas Canyon Springs (NV)
North Las Vegas Cheyenne (NV),209,North Las Vegas Cheyenne (NV)
North Las Vegas Cheyenne Desert (NV),20,North Las Vegas Cheyenne (NV)
North Las Vegas Legacy (NV),195,North Las Vegas Legacy (NV)
North Las Vegas Mojave (NV),208,North Las Vegas Mojave (NV)
North Las Vegas Somerset Academy (NV),22,North Las Vegas Somerset Academy (NV)
