Alias_Name,GameCount,Standardized_Name
Accord Rondout Valley (NY),206,Accord Rondout Valley (NY)
Adams South Jefferson (NY),343,Adams South Jefferson (NY)
Afton Central (NY),108,Afton Central (NY)
Akron (NY),422,Akron (NY)
Albany (NY),286,Albany (NY)
Albany Academy for Boys (NY),247,Albany Academy for Boys (NY)
Albany Academy (NY),1,Albany Academy for Boys (NY)
Albany Bishop Maginn (NY),191,Albany Bishop Maginn (NY)
Albany Christian Brothers Academy (NY),344,Albany Christian Brothers Academy (NY)
Albany Christian Brothers (NY),21,Albany Christian Brothers Academy (NY)
Albany Colonie Central (NY),296,Albany Colonie Central (NY)
Albany Green Tech (NY),116,Albany Green Tech (NY)
Albion (NY),493,Albion (NY)
Albion Purple (NY),15,Albion (NY)
Alden (NY),447,Alden (NY)
Alexandria Bay Alexandria Central (NY),406,Alexandria Bay Alexandria Central (NY)
Allegany-Limestone (NY),350,Allegany-Limestone (NY)
Allegany Limestone (NY),14,Allegany-Limestone (NY)
Altmar-Parish-Williamstown (NY),375,Altmar-Parish-Williamstown (NY)
Amherst Central (NY),445,Amherst Central (NY)
Amherst Sweet Home (NY),560,Amherst Sweet Home (NY)
Amityville Memorial (NY),401,Amityville Memorial (NY)
Amsterdam (NY),346,Amsterdam (NY)
Angola Lake Shore (NY),428,Angola Lake Shore (NY)
Ardsley (NY),371,Ardsley (NY)
Armonk Byram Hills (NY),370,Armonk Byram Hills (NY)
Astoria St. John's Prep (NY),11,Astoria St. John's Prep (NY)
Astoria St. John's Prep School (NY),9,Astoria St. John's Prep (NY)
Athol Springs Saint Francis (NY),604,Athol Springs St. Francis (NY)
Attica (NY),375,Attica (NY)
Auburn (NY),477,Auburn (NY)
Averill Park (NY),275,Averill Park (NY)
Avon (NY),445,Avon (NY)
Babylon (NY),440,Babylon (NY)
Bainbridge-Guilford (NY),114,Bainbridge-Guilford (NY)
Bainbridge Guilford (NY),22,Bainbridge-Guilford (NY)
Bainbridge-Guilford-Afton (NY),328,Bainbridge-Guilford-Afton (NY)
Baldwin (NY),476,Baldwin (NY)
Baldwinsville Baker (NY),446,Baldwinsville Baker (NY)
Baldwinsville (NY),16,Baldwinsville Baker (NY)
Ballston Spa (NY),402,Ballston Spa (NY)
Bardonia Albertus Magnus (NY),264,Bardonia Albertus Magnus (NY)
Barker (NY),280,Barker (NY)
Batavia (NY),530,Batavia (NY)
Batavia Notre Dame (NY),407,Batavia Notre Dame (NY)
Bath Haverling (NY),502,Bath Haverling (NY)
