Alias_Name,GameCount,Standardized_Name
? St. Joseph (OH),14,
?Brookville (OH),1,
?Carlisle (OH),1,
?Copley (OH),2,
?Crooksville (OH),1,
?Lioana (OH),1,
?Ortonville (OH),1,
?Tinona (OH),1,
1962Alliance Marlington (OH),9,Alliance Marlington (OH)
1962Cleveland St. Joseph (OH),9,Cleveland St. Joseph (OH)
1971Hamilton Garfield (OH),10,Hamilton Garfield (OH)
Ada (OH),517,Ada (OH)
Ada Alumni (OH),1,
"Ada Opp """"St. Mary's"""" (OH)",1,
Adena (OH),84,
AE. Canton (OH),1,
Aide (OH),1,
Akron (OH),21,
Akron Archbishop Hoban (OH),1062,Akron Archbishop Hoban (OH)
"Akron Archbishop Hoban Opp """"Highland"""" (OH)",1,
Akron Buchtel (OH),648,Akron Buchtel (OH)
Akron Buchtel College FR Mansfiled (OH),1,
Akron Buchtel College Prep (OH),2,Akron Buchtel (OH)
Akron Central (OH),306,Akron Central (OH)
Akron Central JV (OH),2,
Akron Central-Hower (OH),182,Akron Central-Hower (OH)
Akron Coventry (OH),585,Akron Coventry (OH)
Akron East (OH),566,Akron East (OH)
Akron Ellet (OH),465,Akron Ellet (OH)
Akron Firestone (OH),430,Akron Firestone (OH)
Akron Garfield (OH),645,Akron Garfield (OH)
Akron Garfield Community (OH),1,Akron Garfield (OH)
Akron Garfield Community Learning Center (OH),19,
Akron Green (OH),4,
Akron Gymnasium (OH),1,
Akron Hower (OH),9,Akron Hower Vocational (OH)
Akron Hower Vocational (OH),53,Akron Hower Vocational (OH)
Akron Hudson (OH),1,
Akron Kenmore (OH),369,Akron Kenmore (OH)
Akron Kenmore-Garfield (OH),54,
Akron Kennedy (OH),1,
Akron Manchester (OH),552,Akron Manchester (OH)
Akron North (OH),524,Akron North (OH)
Akron Saint Mary (OH),13,
Akron Saint Vincent (OH),38,
Akron Saint Vincent-Saint Mary (OH),583,Akron St. Vincent-St. Mary (OH)
"Akron Saint Vincent-Saint Mary Opp """"Cleveland"""" (OH)",1,
Akron South (OH),301,Akron South (OH)
Akron South JV (OH),1,
Akron Springfield (OH),387,Akron Springfield (OH)
Akron Springfield-Jeffeson (OH),2,
Akron St. Mary (OH),11,Akron St. Mary's (OH)
Akron St. Mary's (OH),44,Akron St. Mary's (OH)
Akron St. Vincent (OH),303,Akron St. Vincent (OH)
Akron St. Vincent-St. Mary (OH),581,
Akron St. Vincent-St. Mary's (OH),3,Akron St. Vincent-St. Mary (OH)
Akron West (OH),112,Akron West (OH)
Akron West JV (OH),1,
Akron Y.M.C.A. (OH),1,
