Alias_Name,GameCount,Standardized_Name
Ada (OK),1052,Ada (OK)
Adair (OK),534,Adair (OK)
Afton (OK),490,Afton (OK)
Alex (OK),442,Alex (OK)
Allen (OK),487,Allen (OK)
Altus (OK),737,Altus (OK)
Alva (OK),560,Alva (OK)
Anadarko (OK),588,Anadarko (OK)
Anadarko Riverside Indian (OK),247,Anadarko Riverside Indian (OK)
Antlers (OK),499,Antlers (OK)
Apache (OK),513,Apache (OK)
Ardmore (OK),1058,Ardmore (OK)
Ardmore Dickson (OK),445,Ardmore Dickson (OK)
Ardmore Plainview (OK),505,Ardmore Plainview (OK)
Arkoma (OK),314,Arkoma (OK)
Atoka (OK),467,Atoka (OK)
Balko (OK),435,Balko (OK)
Barnsdall (OK),508,Barnsdall (OK)
Bartlesville (OK),664,Bartlesville (OK)
Bartlesville Wesleyan Christian (OK),201,Bartlesville Wesleyan Christian (OK)
Beaver (OK),521,Beaver (OK)
Beggs (OK),605,Beggs (OK)
Bethany (OK),555,Bethany (OK)
Billings (OK),223,Billings (OK)
Bixby (OK),642,Bixby (OK)
Blackwell (OK),708,Blackwell (OK)
Blanchard (OK),546,Blanchard (OK)
Blanchard Bridge Creek (OK),351,Blanchard Bridge Creek (OK)
Bluejacket (OK),363,Bluejacket (OK)
Boise City (OK),477,Boise City (OK)
Bokoshe (OK),109,Bokoshe (OK)
Bowlegs (OK),459,Bowlegs (OK)
Braman (OK),136,Braman (OK)
Bray (OK),111,Bray (OK)
Bray Doyle (OK),4,Bray-Doyle (OK)
Bray-Doyle (OK),299,Bray-Doyle (OK)
Bristow (OK),602,Bristow (OK)
Broken Arrow (OK),790,Broken Arrow (OK)
Broken Arrow Grace Christian (OK),148,Broken Arrow Grace Christian (OK)
Broken Arrow Summit Christian Academy (OK),190,Broken Arrow Summit Christian Academy (OK)
Broken Bow (OK),598,Broken Bow (OK)
Buffalo (OK),461,Buffalo (OK)
Bunch Cave Springs (OK),403,Bunch Cave Springs (OK)
Burns Flat Burns Flat (OK),7,Burns Flat Community (OK)
Burns Flat Community (OK),217,Burns Flat Community (OK)
Burns Flat-Dill City (OK),263,Burns Flat-Dill City (OK)
Cache (OK),471,Cache (OK)
Caddo (OK),426,Caddo (OK)
Canadian (OK),167,Canadian (OK)
Canton (OK),463,Canton (OK)
Carnegie (OK),527,Carnegie (OK)
Cashion (OK),547,Cashion (OK)
Catoosa (OK),518,Catoosa (OK)
Chandler (OK),562,Chandler (OK)
Checotah (OK),526,Checotah (OK)
Chelsea (OK),486,Chelsea (OK)
Cherokee (OK),506,Cherokee (OK)
Chickasha (OK),675,Chickasha (OK)
Choctaw (OK),574,Choctaw (OK)
Chouteau (OK),227,Chouteau (OK)
Chouteau Mazie (OK),7,Chouteau-Mazie (OK)
Chouteau-Mazie (OK),209,Chouteau-Mazie (OK)
Claremore (OK),593,Claremore (OK)
Claremore Christian (OK),182,Claremore Christian (OK)
Claremore Sequoyah (OK),298,Claremore Sequoyah (OK)
Claremore Sequoyah Christian (OK),223,Claremore Sequoyah Christian (OK)
Claremore Verdigris (OK),302,Claremore Verdigris (OK)
Cleveland (OK),504,Cleveland (OK)
Clinton (OK),1062,Clinton (OK)
Coalgate (OK),502,Coalgate (OK)
Coffeyville South (OK),252,Coffeyville South (OK)
Colcord (OK),484,Colcord (OK)
Collinsville (OK),564,Collinsville (OK)
Comanche (OK),518,Comanche (OK)
Commerce (OK),556,Commerce (OK)
Copan (OK),442,Copan (OK)
Cordell (OK),503,Cordell (OK)
Corn Bible (OK),8,Corn Bible Academy (OK)
Corn Bible Academy (OK),290,Corn Bible Academy (OK)
Council Hill Midway (OK),280,Council Hill Midway (OK)
Covington (OK),153,Covington (OK)
Covington Douglas (OK),7,Covington-Douglas (OK)
Covington-Douglas (OK),318,Covington-Douglas (OK)
Coweta (OK),541,Coweta (OK)
Coyle (OK),229,Coyle (OK)
Crescent (OK),562,Crescent (OK)
Cromwell Butner (OK),165,Cromwell Butner (OK)
Cushing (OK),574,Cushing (OK)
Cyril (OK),470,Cyril (OK)
Davenport (OK),516,Davenport (OK)
Davis (OK),988,Davis (OK)
Deer Creek-Lamont (OK),395,Deer Creek-Lamont (OK)
Del City (OK),721,Del City (OK)
Del City Christian Heritage (OK),445,Del City Christian Heritage (OK)
Del City Destiny Christian (OK),230,Del City Destiny Christian (OK)
Del City Mid-Del Christian (OK),42,Del City Destiny Christian (OK)
Depew (OK),485,Depew (OK)
Dewar (OK),561,Dewar (OK)
Dewey (OK),534,Dewey (OK)
Dibble (OK),490,Dibble (OK)
Drumright (OK),474,Drumright (OK)
Duke (OK),116,Duke (OK)
Duncan (OK),740,Duncan (OK)
Duncan Empire (OK),464,Duncan Empire (OK)
Durant (OK),644,Durant (OK)
Edmond Deer Creek (OK),516,Edmond Deer Creek (OK)
Edmond Memorial (OK),600,Edmond Memorial (OK)
Edmond North (OK),358,Edmond North (OK)
Edmond Oklahoma Christian (OK),339,Edmond Oklahoma Christian (OK)
Edmond Oklahoma Christian Academy (OK),407,Edmond Oklahoma Christian Academy (OK)
Edmond Santa Fe (OK),350,Edmond Santa Fe (OK)
El Reno (OK),713,El Reno (OK)
Elgin (OK),447,Elgin (OK)
Elk City (OK),582,Elk City (OK)
Elk City Merritt (OK),367,Elk City Merritt (OK)
Elmore City (OK),235,Elmore City (OK)
Elmore City-Pernell (OK),344,Elmore City-Pernell (OK)
Enid (OK),1094,Enid (OK)
Enid Chisholm (OK),494,Enid Chisholm (OK)
Enid Oklahoma Bible (OK),248,Enid Oklahoma Bible (OK)
Eufaula (OK),562,Eufaula (OK)
Fairfax (OK),179,Fairfax (OK)
Fairfax Woodland (OK),403,Fairfax Woodland (OK)
Fairland (OK),451,Fairland (OK)
Fairview (OK),552,Fairview (OK)
Forgan (OK),314,Forgan (OK)
Fort Gibson (OK),507,Fort Gibson (OK)
Fox (OK),544,Fox (OK)
Foyil (OK),432,Foyil (OK)
Frederick (OK),702,Frederick (OK)
Freedom (OK),180,Freedom (OK)
Gans (OK),288,Gans (OK)
Garber (OK),507,Garber (OK)
Geary (OK),464,Geary (OK)
Glenpool (OK),489,Glenpool (OK)
Goodwell-Yarbrough (OK),137,Goodwell-Yarbrough (OK)
Gore (OK),485,Gore (OK)
Grandfield (OK),487,Grandfield (OK)
Grove (OK),540,Grove (OK)
Guthrie (OK),715,Guthrie (OK)
Guymon (OK),612,Guymon (OK)
Haileyville (OK),325,Haileyville (OK)
Harrah (OK),516,Harrah (OK)
Hartshorne (OK),531,Hartshorne (OK)
Haskell (OK),544,Haskell (OK)
Healdton (OK),509,Healdton (OK)
Heavener (OK),519,Heavener (OK)
Helena (OK),114,Helena (OK)
Helena Timberlake (OK),358,Helena Timberlake (OK)
Hennessey (OK),527,Hennessey (OK)
Henryetta (OK),539,Henryetta (OK)
Hinton (OK),491,Hinton (OK)
Hobart (OK),668,Hobart (OK)
Holdenville (OK),541,Holdenville (OK)
Hollis (OK),550,Hollis (OK)
Hominy (OK),643,Hominy (OK)
Hooker (OK),527,Hooker (OK)
Hugo (OK),543,Hugo (OK)
Hulbert (OK),445,Hulbert (OK)
Idabel (OK),771,Idabel (OK)
Inola (OK),500,Inola (OK)
Jay (OK),499,Jay (OK)
Jenks (OK),974,Jenks (OK)
Jet-Nash (OK),123,Jet-Nash (OK)
Jones (OK),585,Jones (OK)
Kansas (OK),477,Kansas (OK)
Kellyville (OK),452,Kellyville (OK)
Keota (OK),464,Keota (OK)
Ketchum (OK),447,Ketchum (OK)
Kiefer (OK),498,Kiefer (OK)
Kingfisher (OK),595,Kingfisher (OK)
Kingston (OK),300,Kingston (OK)
Kiowa (OK),40,Konawa (OK)
Konawa (OK),497,Konawa (OK)
Kremlin (OK),158,Kremlin (OK)
Kremlin Hillsdale (OK),6,Kremlin-Hillsdale (OK)
Kremlin-Hillsdale (OK),291,Kremlin-Hillsdale (OK)
Laverne (OK),558,Laverne (OK)
Lawton (OK),1212,Lawton (OK)
Lawton Eisenhower (OK),684,Lawton Eisenhower (OK)
Lawton MacArthur (OK),596,Lawton MacArthur (OK)
Lexington (OK),480,Lexington (OK)
Lindsay (OK),606,Lindsay (OK)
Locust Grove (OK),469,Locust Grove (OK)
Lone Grove (OK),458,Lone Grove (OK)
Lone Wolf (OK),227,Lone Wolf (OK)
Luther (OK),533,Luther (OK)
Madill (OK),522,Madill (OK)
????gum (OK),1,Mangum (OK)
Mangum (OK),513,Mangum (OK)
Mannford (OK),486,Mannford (OK)
Marietta (OK),532,Marietta (OK)
Marlow (OK),600,Marlow (OK)
Marlow Central (OK),496,Marlow Central (OK)
Maud (OK),520,Maud (OK)
Maysville (OK),504,Maysville (OK)
McAlester (OK),748,McAlester (OK)
McLoud (OK),500,McLoud (OK)
Medford (OK),337,Medford (OK)
Meeker (OK),476,Meeker (OK)
Miami (OK),663,Miami (OK)
Midwest City (OK),953,Midwest City (OK)
Midwest City Carl Albert (OK),804,Midwest City Carl Albert (OK)
Minco (OK),556,Minco (OK)
Moore (OK),631,Moore (OK)
Moore Southmoore (OK),188,Moore Southmoore (OK)
Moore Southwest Christian Academy (OK),176,Moore Southwest Christian Academy (OK)
Mooreland (OK),511,Mooreland (OK)
Morris (OK),544,Morris (OK)
Morrison (OK),585,Morrison (OK)
Mounds (OK),453,Mounds (OK)
Mounds Liberty (OK),447,Mounds Liberty (OK)
Mountain View (OK),179,Mountain View (OK)
Mountain View-Gotebo (OK),301,Mountain View-Gotebo (OK)
Muldrow (OK),479,Muldrow (OK)
Muskogee (OK),1185,Muskogee (OK)
Muskogee Hilldale (OK),453,Muskogee Hilldale (OK)
Mustang (OK),691,Mustang (OK)
Mutual Sharon-Mutual (OK),391,Mutual Sharon-Mutual (OK)
Newcastle (OK),548,Newcastle (OK)
Newkirk (OK),512,Newkirk (OK)
Noble (OK),511,Noble (OK)
Norman (OK),1022,Norman (OK)
Norman Community Christian (OK),314,Norman Community Christian (OK)
Norman Little Axe (OK),382,Norman Little Axe (OK)
Norman North (OK),306,Norman North (OK)
Nowata (OK),577,Nowata (OK)
Oaks (OK),229,Oaks (OK)
Oaks-Mission (OK),257,Oaks-Mission (OK)
Oilton (OK),135,Oilton (OK)
Okeene (OK),579,Okeene (OK)
Okemah (OK),537,Okemah (OK)
Oklahoma City Bishop McGuinness (OK),686,Oklahoma City Bishop McGuinness (OK)
Oklahoma City Capitol Hill (OK),688,Oklahoma City Capitol Hill (OK)
Oklahoma City Casady (OK),450,Oklahoma City Casady (OK)
Oklahoma City Central (OK),421,Oklahoma City Central (OK)
Oklahoma City Crooked Oak (OK),516,Oklahoma City Crooked Oak (OK)
Oklahoma City Crossings Christian (OK),143,Oklahoma City Crossings Christian (OK)
Oklahoma City Douglass (OK),595,Oklahoma City Douglass (OK)
Oklahoma City Heritage Hall (OK),627,Oklahoma City Heritage Hall (OK)
Oklahoma City Life Christian (OK),346,Oklahoma City Life Christian (OK)
Oklahoma City Marshall (OK),571,Oklahoma City Marshall (OK)
Oklahoma City Millwood (OK),683,Oklahoma City Millwood (OK)
Oklahoma City Mount St. (OK),8,Oklahoma City Mount St. Mary (OK)
Oklahoma City Mount St. Mary (OK),489,Oklahoma City Mount St. Mary (OK)
Oklahoma City Northeast (OK),479,Oklahoma City Northeast (OK)
Oklahoma City Northwest Classen (OK),383,Oklahoma City Northwest Classen (OK)
Oklahoma City Northwestern Classen (OK),1,Oklahoma City Northwest Classen (OK)
Oklahoma City NorthwestClassen (OK),530,Oklahoma City NorthwestClassen (OK)
Oklahoma City Oklahoma Centennial (OK),118,Oklahoma City Oklahoma Centennial (OK)
Oklahoma City Patriots HomeSchool (OK),213,Oklahoma City Patriots HomeSchool (OK)
Oklahoma City Putnam City (OK),926,Oklahoma City Putnam City (OK)
Oklahoma City Putnam City North (OK),566,Oklahoma City Putnam City North (OK)
Oklahoma City Putnam City West (OK),633,Oklahoma City Putnam City West (OK)
Oklahoma City Southeast (OK),482,Oklahoma City Southeast (OK)
Oklahoma City U.S. Grant (OK),504,Oklahoma City U.S. Grant (OK)
Oklahoma City Western Heights (OK),484,Oklahoma City Western Heights (OK)
Oklahoma City Westmoore (OK),454,Oklahoma City Westmoore (OK)
Oklahoma City Windsor Hills Baptist (OK),207,Oklahoma City Windsor Hills Baptist (OK)
Oklahoma School for the Deaf (OK),220,Oklahoma School for the Deaf (OK)
Oklahoma School of Mines (OK),1,Oklahoma State School of Mines (OK)
Oklahoma State School of Mines (OK),1,Oklahoma State School of Mines (OK)
Okmulgee (OK),671,Okmulgee (OK)
Oologah (OK),562,Oologah (OK)
Owasso (OK),604,Owasso (OK)
Owasso Rejoice Christian (OK),222,Owasso Rejoice Christian (OK)
Panama (OK),476,Panama (OK)
Paoli (OK),452,Paoli (OK)
