Alias_Name,GameCount,Standardized_Name
Ajax Pickering (ON),50,Ajax Pickering (ON)
Almonte (ON),59,Almonte (ON)
Amherstburg General Amherst (ON),71,Amherstburg General Amherst (ON)
Ancaster Bishop Tonnos (ON),55,Ancaster Bishop Tonnos (ON)
Arnprior (ON),64,Arnprior (ON)
Arva Medway (ON),54,Arva Medway (ON)
Aurora Cardinal Carter Catholic (ON),65,Aurora Cardinal Carter Catholic (ON)
Aurora Saint Andrew's (ON),56,Aurora St. Andrew's (ON)
Aurora Saint Andrew's College (ON),3,Aurora St. Andrew's (ON)
Aurora Saint Maximillian Kolbe (ON),30,Aurora St. Maximillian Kolbe (ON)
Aylmer East Elgin (ON),55,Aylmer East Elgin (ON)
Barrie Bear Creek (ON),66,Barrie Bear Creek (ON)
Barrie Eastview (ON),54,Barrie Eastview (ON)
Barrie Innisdale (ON),55,Barrie Innisdale (ON)
Barrie North Collegiate (ON),57,Barrie North Collegiate (ON)
Barrie Saint Joan of Arc Catholic (ON),103,Barrie St. Joan of Arc Catholic (ON)
Barrie Saint Joseph's Catholic (ON),13,Barrie St. Joan of Arc Catholic (ON)
Bay-Of-Quinte St Theresa (ON),6,Bay-Of-Quinte St. Theresa (ON)
Bay-Of-Quinte St. Theresa (ON),6,Bay-Of-Quinte St. Theresa (ON)
Belleville Centennial (ON),62,Belleville Centennial (ON)
Belleville Moira (ON),62,Belleville Moira (ON)
Bolton Saint Michael Catholic (ON),28,Bolton St. Michael Catholic (ON)
Bowmanville Saint Stephen's (ON),47,Bowmanville St. Stephen (ON)
Bowmanville St. Stephen (ON),1,Bowmanville St. Stephen (ON)
Brampton Saint Augustine Catholic (ON),37,Brampton St. Augustine Catholic (ON)
Brampton Saint Edmund Campion (ON),41,Brampton St. Edmund Campion (ON)
Brampton Saint Marguerite D'Youville (ON),56,Brampton St. Marguerite D'Youville (ON)
Brampton Saint Roch (ON),44,Brampton St. Roch (ON)
Brampton Saint Thomas Aquinas (ON),44,Brampton St. Thomas Aquinas (ON)
Brampton Turner (ON),1,Brampton Turner Fenton (ON)
Brampton Turner Fenton (ON),34,Brampton Turner Fenton (ON)
Brantford Assumption (ON),1,Brantford Assumption College (ON)
Brantford Assumption College (ON),73,Brantford Assumption College (ON)
Brantford Collegiate Institute (ON),65,Brantford Collegiate Institute (ON)
Brantford North Park Collegiate (ON),60,Brantford North Park Collegiate (ON)
Brantford Saint John's College (ON),63,Brantford St. John's College (ON)
Brockville St Mary's (ON),11,Brockville St. Mary's (ON)
Brockville St. Mary's (ON),11,Brockville St. Mary's (ON)
Brockville Thousand Islands (ON),52,Brockville Thousand Islands (ON)
Burlington Assumption Catholic (ON),67,Burlington Assumption Catholic (ON)
Burlington Corpus Christi (ON),51,Burlington Corpus Christi (ON)
Burlington M. M. Robinson (ON),59,Burlington M. M. Robinson (ON)
Burlington Nelson (ON),56,Burlington Nelson (ON)
Burlington Notre Dame Catholic (ON),51,Burlington Notre Dame Catholic (ON)
Caledon East Robert F. Hall (ON),52,Caledon East Robert F. Hall (ON)
Caledonia McKinnon Park (ON),57,Caledonia McKinnon Park (ON)
Cambridge Jacob Hespeler (ON),71,Cambridge Jacob Hespeler (ON)
Cambridge Preston (ON),51,Cambridge Preston (ON)
Cambridge Saint Benedict (ON),1,Cambridge St. Benedict Catholic (ON)
Cambridge Saint Benedict Catholic (ON),53,Cambridge St. Benedict Catholic (ON)
Chatham Ursuline College The Pines (ON),71,Chatham Ursuline College The Pines (ON)
Chatham-Kent (ON),57,Chatham-Kent (ON)
Collingwood Collegiate (ON),52,Collingwood Collegiate (ON)
Cornwall Saint Joseph's Catholic (ON),32,Cornwall St. Joseph's Catholic (ON)
Cornwall Saint Lawrence (ON),13,Cornwall St. Lawrence (ON)
Courtice Holy Trinity Catholic (ON),112,Courtice Holy Trinity Catholic (ON)
Delhi (ON),57,Delhi (ON)
Essex (ON),79,Essex (ON)
Fort Frances (ON),83,Fort Frances (ON)
Gloucester Colonel By (ON),66,Gloucester Colonel By (ON)
Gloucester Saint Francis Xavier Catholic (ON),49,Gloucester St. Francis Xavier Catholic (ON)
Guelph (ON),50,Guelph (ON)
Guelph John F. Ross (ON),55,Guelph John F. Ross (ON)
Guelph Our Lady Of Lourdes (ON),56,Guelph Our Lady Of Lourdes (ON)
Guelph Saint James (ON),48,Guelph St. James (ON)
Golden-Horseshoe St. Roch (ON),3,Halton St. Roch Ravens (ON)
Hamilton Cathedral (ON),57,Hamilton Cathedral (ON)
Hamilton Catholic (ON),54,Hamilton Catholic (ON)
Hamilton Saint Jean de Brebeuf (ON),57,Hamilton St. Jean de Brebeuf (ON)
Hamilton Saint Mary Catholic (ON),77,Hamilton St. Mary Catholic (ON)
Hamilton Saint Thomas More Catholic (ON),105,Hamilton St. Thomas More Catholic (ON)
Hamilton Westdale (ON),57,Hamilton Westdale (ON)
Hannon Bishop Ryan (ON),60,Hannon Bishop Ryan (ON)
Kanata Holy Trinity (ON),52,Kanata Holy Trinity (ON)
Kawartha Lakes Fenelon Falls (ON),52,Kawartha Lakes Fenelon Falls (ON)
Kawartha Saint Francis Xavier (ON),13,Kawartha St. Francis Xavier (ON)
Kawartha Saint Mary'S (ON),1,Kawartha St. Mary'S (ON)
Kawartha Saint Thomas Aquinas (ON),14,Kawartha St. Thomas Aquinas (ON)
Kemptville Saint Michael (ON),1,Kemptville St. Michael (ON)
Kenora Beaver Brae (ON),74,Kenora Beaver Brae (ON)
King City (ON),69,King City (ON)
King City Villanova College (ON),82,King City Villanova College (ON)
Kingston Frontenac (ON),75,Kingston Frontenac (ON)
Kingston Holy Cross (ON),54,Kingston Holy Cross (ON)
Kingston La Salle (ON),67,Kingston La Salle (ON)
Kingston Regiopolis-Notre Dame Catholic (ON),60,Kingston Regiopolis-Notre Dame Catholic (ON)
Kitchener Grand River (ON),51,Kitchener Grand River (ON)
Kitchener Huron Heights (ON),56,Kitchener Huron Heights (ON)
Kitchener Resurrection (ON),60,Kitchener Resurrection (ON)
Kitchener Saint Mary's (ON),49,Kitchener St. Mary's (ON)
Lakeshore Belle River (ON),77,Lakeshore Belle River (ON)
Lakeshore St. Anne Catholic (ON),64,Lakeshore St. Anne Catholic (ON)
LaSalle Sandwich (ON),85,LaSalle Sandwich (ON)
LaSalle Saint Thomas of Villanova (ON),32,LaSalle St. Thomas of Villanova (ON)
Leamington (ON),58,Leamington (ON)
Lively Walden (ON),58,Lively Walden (ON)
London A. B. Lucas (ON),65,London A. B. Lucas (ON)
Golden-Horseshoe London Cc Crusaders (ON),1,London Catholic Central (ON)
London Catholic Central (ON),72,London Catholic Central (ON)
London Central Collegiate (ON),51,London Central Collegiate (ON)
London Clarke Road (ON),58,London Clarke Road (ON)
London Clarke Road S.S. (ON),1,London Clarke Road (ON)
London John Paul II (ON),55,London John Paul II (ON)
London Mother Teresa Catholic (ON),53,London Mother Teresa Catholic (ON)
London Mother Teresa Seton (ON),1,London Mother Teresa Catholic (ON)
London Oakridge (ON),57,London Oakridge (ON)
London Regina Mundi (ON),52,London Regina Mundi (ON)
London Richview (ON),64,London Richview (ON)
London Saunders (ON),53,London Saunders (ON)
London Sir Frederick Banting (ON),55,London Sir Frederick Banting (ON)
London South (ON),55,London South (ON)
London Saint Andr Bessette Catholic (ON),21,London St. Andre Bessette Catholic (ON)
London Saint Andre Bessette Catholic (ON),21,London St. Andre Bessette Catholic (ON)
London Saint Thomas Aquinas Catholic (ON),70,London St. Thomas Aquinas Catholic (ON)
London Westminster (ON),28,London Westminster (ON)
London Westminster S.S. (ON),6,London Westminster (ON)
Manotick Saint Mark (ON),79,Manotick St. Mark (ON)
Maple Saint Joan Of Arc (ON),36,Maple St. Joan Of Arc (ON)
Markham Bill Crothers (ON),64,Markham Bill Crothers (ON)
Markham District (ON),52,Markham District (ON)
Markham Saint Brother Andr Catholic (ON),48,Markham St. Brother Andre Catholic (ON)
Markham Saint Brother Andre Catholic (ON),48,Markham St. Brother Andre Catholic (ON)
Markham St. Brother Andr Catholic (ON),5,Markham St. Brother Andre Catholic (ON)
Markham St. Brother Andre Catholic (ON),5,Markham St. Brother Andre Catholic (ON)
Midland Saint Theresa (ON),6,Midland St. Theresa (ON)
Clarkson Football North (ON),1,Mississauga Clarkson Canada Football North (ON)
Mississauga Clarkson (ON),48,Mississauga Clarkson Canada Football North (ON)
Mississauga Clarkson Canada Football North (ON),3,Mississauga Clarkson Canada Football North (ON)
Mississauga Clarkson Football North (ON),17,Mississauga Clarkson Canada Football North (ON)
Mississauga Clarkson North (ON),33,Mississauga Clarkson Canada Football North (ON)
Mississauga Father Goetz (ON),30,Mississauga Father Michael Goetz (ON)
Mississauga Father Michael Goetz (ON),2,Mississauga Father Michael Goetz (ON)
Mississauga Lorne Park (ON),65,Mississauga Lorne Park (ON)
Mississauga Our Lady of Mount Carmel (ON),59,Mississauga Our Lady of Mount Carmel (ON)
Mississauga Saint Francis Xavier (ON),39,Mississauga St. Francis Xavier (ON)
Mississauga Saint Joan of Arc Catholic (ON),44,Mississauga St. Joan of Arc Catholic (ON)
Mississauga Saint Joseph (ON),29,Mississauga St. Joseph (ON)
