Alias_Name,GameCount,Standardized_Name
Adrian (OR),220,Adrian (OR)
Albany (OR),439,Albany (OR)
Alsea (OR),174,Alsea (OR)
Amity (OR),340,Amity (OR)
Amity Perrydale (OR),217,Amity Perrydale (OR)
Arlington (OR),140,Arlington (OR)
Ashland (OR),1227,Ashland (OR)
Astoria (OR),1076,Astoria (OR)
Astoria Knappa (OR),274,Astoria Knappa (OR)
Athena Weston-McEwen-Griswold (OR),209,Athena Weston-McEwen-Griswold (OR)
Aurora North Marion (OR),541,Aurora North Marion (OR)
Baker (OR),1076,Baker (OR)
Baker City (OR),1,Baker City Baker (OR)
Baker City Baker (OR),16,Baker City Baker (OR)
Bandon-Pacific (OR),918,Bandon-Pacific (OR)
Banks (OR),847,Banks (OR)
Beaverton (OR),1064,Beaverton (OR)
Beaverton Aloha (OR),560,Beaverton Aloha (OR)
Beaverton Southridge (OR),274,Beaverton Southridge (OR)
Beaverton Valley Catholic (OR),153,Beaverton Valley Catholic (OR)
Bend (OR),1128,Bend (OR)
Bend Mountain View (OR),499,Bend Mountain View (OR)
Bend Summit (OR),241,Bend Summit (OR)
Blachly Triangle Lake (OR),202,Blachly Triangle Lake (OR)
Boardman Riverside (OR),301,Boardman Riverside (OR)
Bonanza (OR),266,Bonanza (OR)
Brookings Harbor (OR),17,Brookings-Harbor (OR)
Brookings-Harbor (OR),623,Brookings-Harbor (OR)
Burns (OR),627,Burns (OR)
Butte Falls (OR),136,Butte Falls (OR)
Camas Valley (OR),229,Camas Valley (OR)
Canby (OR),919,Canby (OR)
Cave Junction Illinois Valley (OR),593,Cave Junction Illinois Valley (OR)
Central Point Crater (OR),760,Central Point Crater (OR)
Chiloquin (OR),216,Chiloquin (OR)
Clackamas (OR),684,Clackamas (OR)
Clatskanie (OR),645,Clatskanie (OR)
Cloverdale Nestucca (OR),298,Cloverdale Nestucca (OR)
Colton (OR),264,Colton (OR)
Coos Bay Marshfield (OR),1144,Coos Bay Marshfield (OR)
Coquille (OR),943,Coquille (OR)
Coquille Pacific (OR),3,Coquille-Pacific (OR)
Coquille-Pacific (OR),42,Coquille-Pacific (OR)
Corbett (OR),148,Corbett (OR)
Corvallis (OR),1267,Corvallis (OR)
Corvallis Crescent Valley (OR),531,Corvallis Crescent Valley (OR)
Corvallis Santiam Christian (OR),266,Corvallis Santiam Christian (OR)
Cottage Grove (OR),1035,Cottage Grove (OR)
Cove (OR),234,Cove (OR)
Crane (OR),241,Crane (OR)
Creswell (OR),548,Creswell (OR)
Culver (OR),254,Culver (OR)
Dallas (OR),964,Dallas (OR)
Days Creek (OR),206,Days Creek (OR)
Dayton (OR),434,Dayton (OR)
Dayville-Monument (OR),126,Dayville-Monument (OR)
Drain North (OR),19,Drain North Douglas (OR)
Drain North Douglas (OR),198,Drain North Douglas (OR)
Dufur (OR),291,Dufur (OR)
Eagle Point (OR),668,Eagle Point (OR)
Echo (OR),211,Echo (OR)
Elgin (OR),216,Elgin (OR)
Elkton (OR),193,Elkton (OR)
Elmira (OR),569,Elmira (OR)
Enterprise (OR),328,Enterprise (OR)
Estacada (OR),908,Estacada (OR)
Eugene (OR),330,Eugene (OR)
Eugene Chruchill (OR),5,Eugene Churchill (OR)
Eugene Churchill (OR),618,Eugene Churchill (OR)
Eugene Crow (OR),173,Eugene Crow (OR)
Eugene Marist (OR),621,Eugene Marist (OR)
Eugene North Eugene (OR),622,Eugene North Eugene (OR)
Eugene Sheldon (OR),709,Eugene Sheldon (OR)
Eugene Willamette (OR),718,Eugene Willamette (OR)
Everett Mariner (OR),1,Everett Mariner (WA)
Falls City-Kings Valley (OR),15,Falls City-Kings Valley Charter (OR)
Falls City-Kings Valley Charter (OR),154,Falls City-Kings Valley Charter (OR)
Finn Rock McKenzie (OR),197,Finn Rock McKenzie (OR)
Florence Siuslaw (OR),779,Florence Siuslaw (OR)
Forest Grove (OR),1044,Forest Grove (OR)
Gaston (OR),216,Gaston (OR)
Gervais (OR),282,Gervais (OR)
Gilchrist (OR),175,Gilchrist (OR)
Gladstone (OR),588,Gladstone (OR)
Glendale (OR),256,Glendale (OR)
Glide (OR),582,Glide (OR)
Gold Beach (OR),688,Gold Beach (OR)
Grants Pass (OR),1178,Grants Pass (OR)
Grants Pass Hidden Valley (OR),480,Grants Pass Hidden Valley (OR)
Grants Pass North Valley (OR),487,Grants Pass North Valley (OR)
Gresham (OR),1047,Gresham (OR)
Gresham Barlow (OR),583,Gresham Barlow (OR)
Gresham Centennial (OR),646,Gresham Centennial (OR)
Halfway Pine Eagle (OR),208,Halfway Pine Eagle (OR)
Halsey Central Linn (OR),355,Halsey Central Linn (OR)
Harrisburg (OR),250,Harrisburg (OR)
Heppner (OR),316,Heppner (OR)
Hermiston (OR),761,Hermiston (OR)
Hillsboro (OR),1102,Hillsboro (OR)
Hillsboro Century (OR),274,Hillsboro Century (OR)
Hillsboro Glencoe (OR),495,Hillsboro Glencoe (OR)
Hillsboro Liberty (OR),228,Hillsboro Liberty (OR)
Hood River Valley (OR),1009,Hood River Valley (OR)
Hood River Wy'east (OR),179,Hood River Wy'east (OR)
Odel Wy'East (OR),35,Hood River Wy'east (OR)
Odell Wyeast (OR),2,Hood River Wy'east (OR)
