Alias_Name,GameCount,Standardized_Name
Abington (PA),1335,Abington (PA)
Abington Friends School (PA),8,Abington Friends (PA)
Abington Galloping (PA),19,Abington Friends School (PA)
Albion Northwestern (PA),1165,Albion Northwestern (PA)
Albright College Frosh (PA),9,Albright College Frosh (PA)
Albright Frosh (PA),1,Albright College Frosh (PA)
Alexandria Juniata Valley (PA),787,Alexandria Juniata Valley (PA)
Aliquippa (PA),1271,Aliquippa (PA)
Aliquippa Hopewell (PA),844,Aliquippa Hopewell (PA)
Allegheny ClarionValley (PA),45,Allegheny Clarion Valley (PA)
Allegheny Clarion Valley (PA),1,Allegheny Clarion Valley (PA)
Allentown Central Catholic (PA),1057,Allentown Central Catholic (PA)
Allentown Area (PA),1,Allentown Central Catholic (PA)
Allentown Executive Education Academy Charter School (PA),30,Allentown Executive Education Academy Charter School (PA)
Allentown Executive Education (PA),18,Allentown Executive Education Academy Charter School (PA)
Allentown Louis E. Dieruff (PA),714,Allentown Louis E. Dieruff (PA)
Allentown Louis E (PA),19,Allentown Louis E. Dieruff (PA)
Allentown Parkland (PA),948,Allentown Parkland (PA)
Allentown Prep (PA),252,Allentown Prep (PA)
Allentown Salisbury Township (PA),670,Allentown Salisbury Township (PA)
Allentown William Allen (PA),1206,Allentown William Allen (PA)
Allentown Wilson Borough (PA),595,Allentown Wilson Borough (PA)
Allison Park Hampton (PA),757,Allison Park Hampton (PA)
Altoona (PA),1259,Altoona (PA)
Altoona BishopGuilfoyle (PA),1014,Altoona Bishop Guilfoyle (PA)
Altoona Bishop Guilfoyle (PA),16,Altoona Bishop Guilfoyle (PA)
Alverton East Huntingdon (PA),502,Alverton East Huntingdon (PA)
Alverton Southmoreland (PA),649,Alverton Southmoreland (PA)
Ambler Wissahickon (PA),1011,Ambler Wissahickon (PA)
Ambler (PA),56,Ambler Wissahickon (PA)
Ambridge (PA),1037,Ambridge (PA)
Annville-Cleona (PA),594,Annville-Cleona (PA)
Annville Cleona (PA),19,Annville-Cleona (PA)
Apollo (PA),504,Apollo (PA)
Archbald Valley View (PA),937,Archbald Valley View (PA)
Ardmore Lower Merion (PA),1325,Ardmore Lower Merion (PA)
Armagh United (PA),793,Armagh United (PA)
Arnold (PA),462,Arnold (PA)
Ashland (PA),648,Ashland (PA)
Ashland Cardinal Brennan (PA),390,Ashland Cardinal Brennan (PA)
Ashland North Schuylkill (PA),688,Ashland North Schuylkill (PA)
Ashley (PA),163,Ashley (PA)
Aspinwall (PA),384,Aspinwall (PA)
Aston Sun Valley (PA),624,Aston Sun Valley (PA)
Atglen Octorara Area (PA),170,Atglen Octorara Area (PA)
Athens (PA),943,Athens (PA)
Audubon St. Gabriels Hall (PA),27,Audubon St. Gabriel's Hall (PA)
Audubon St. Gabriel's Hall (PA),7,Audubon St. Gabriel's Hall (PA)
Avalon (PA),520,Avalon (PA)
Avella (PA),857,Avella (PA)
Avoca (PA),146,Avoca (PA)
Baden Quigley (PA),99,Baden Quigley Catholic (PA)
Baden Quigley Catholic (PA),5,Baden Quigley Catholic (PA)
Bangor (PA),1223,Bangor (PA)
Bangor Pius X (PA),500,Bangor Pius X (PA)
Barnesboro (PA),302,Barnesboro (PA)
Beaver Area (PA),1187,Beaver Area (PA)
Beaver Falls (PA),1354,Beaver Falls (PA)
Beaver Falls Blackhawk (PA),620,Beaver Falls Blackhawk (PA)
Bedford (PA),1163,Bedford (PA)
Bedford Replogle (PA),161,Bedford Replogle (PA)
Belle Vernon (PA),785,Belle Vernon (PA)
Belle Vernon Area (PA),409,Belle Vernon Area (PA)
Belle Vernon Bellmar (PA),115,Belle Vernon Bellmar (PA)
Belle Vernon Borough (PA),127,Belle Vernon Borough (PA)
Belle Vernon Rostraver (PA),304,Belle Vernon Rostraver (PA)
Bellefonte (PA),1087,Bellefonte (PA)
Bellefonte Academy (PA),204,Bellefonte Academy (PA)
Bellevue (PA),546,Bellevue (PA)
Bellwood-Antis (PA),1092,Bellwood-Antis (PA)
Bellwood Antis (PA),22,Bellwood-Antis (PA)
Bensalem (PA),1054,Bensalem (PA)
Bensalem St.FrancisVocational (PA),25,Bensalem St. Francis Voc (PA)
Bensalem St. Francis Voc (PA),11,Bensalem St. Francis Voc (PA)
Bensalem Saint Francis Vocational (PA),8,Bensalem St. Francis Voc (PA)
Bensalem St. Francis Vocational (PA),6,Bensalem St. Francis Voc (PA)
Bentleyville (PA),376,Bentleyville (PA)
Bentleyville Bentworth (PA),628,Bentleyville Bentworth (PA)
Berlin Brothersvalley (PA),836,Berlin Brothersvalley (PA)
Berwick (PA),1324,Berwick (PA)
Berwyn Conestoga (PA),1263,Berwyn Conestoga (PA)
Bessemer Mohawk Area (PA),891,Bessemer Mohawk Area (PA)
Bessemer Mohawk (PA),173,Bessemer Mohawk Area (PA)
Bethel Park (PA),990,Bethel Park (PA)
BethlehemCatholic (PA),779,Bethlehem Catholic (PA)
Bethlehem Freedom (PA),673,Bethlehem Freedom (PA)
Bethlehem Liberty (PA),1177,Bethlehem Liberty (PA)
Bethlehem Moravian Parochial (PA),5,Bethlehem Moravian Catholic (PA)
Bethlehem Moravian Catholic (PA),2,Bethlehem Moravian Catholic (PA)
Bethlehem Moravian Prep (PA),58,Bethlehem Moravian Prep (PA)
Bethlehem Moravian Preparatory (PA),5,Bethlehem Moravian Prep (PA)
Biglerville (PA),852,Biglerville (PA)
Birdsboro Daniel Boone (PA),699,Birdsboro Daniel Boone (PA)
Blairsville (PA),982,Blairsville (PA)
Bloomsburg (PA),1119,Bloomsburg (PA)
Bloomsburg Central Columbia (PA),723,Bloomsburg Central Columbia (PA)
Bloomsburg ColumbiaMontour Vo-Tech (PA),431,Bloomsburg ColumbiaMontour Vo-Tech (PA)
Bloomsburg Columbia Montour (PA),19,Bloomsburg ColumbiaMontour Vo-Tech (PA)
