Alias_Name,GameCount,Standardized_Name
. sec. Jacques-Rousseau (QC),8,Le Vieux-Longueuil École secondaire Jacques-Rousseau (QC
Academie Les Estacades (QC),69,Trois-Rivières Academie Les Estacades (QC)
College Charles-Lemoyne (QC),63,Longueuil College Charles-Lemoyne (QC)
College de Levis (QC),10,Lévis Collège de Lévis (QC)
College Laval (QC),67,Laval College Laval (QC)
College Notre-Dame (QC),78,Montréal Collège Notre-Dame-de-l'Assomption (QC)
Collge Franois-de-Laval (QC),9,Laval Collge Franois-de-Laval (QC)
Cowansville Massey Vanier (QC),1,Cowansville Massey Vanier (QC)
E. sec. Dalbe-Viau (QC),17,Montréal École Secondaire Dalbé-Viau (QC)
E. sec. Saint-Stanislas (QC),9,Montréal École. Saint-Stanislas (QC)
Hull cole Secondaire Philemon Wright (QC),31,Hull École Secondaire Philemon Wright (QC)
Hull ecole Secondaire Philemon Wright (QC),31,Hull École Secondaire Philemon Wright (QC)
Hull Philemon Wright Regional (QC),1,Hull Philemon Wright Regional (QC)
L'Assomption cole De L'Amiti (QC),44,L'Assomption École De L'Amiti (QC)
Laval E. sec. Cure-Antoine-Labelle (QC),74,Laval École Cure-Antoine-Labelle (QC)
Laval Liberty (QC),42,Laval Liberty (QC)
Le Vieux-Longueuil Jacques-Rousseau (QC),57,Le Vieux-Longueuil École secondaire Jacques-Rousseau (QC
Lennoxville Bishop's College (QC),4,Lennoxville Bishop's College (QC)
Lvis cole Pointe-Lvy (QC),66,Lévis École Pointe-Lvy (QC)
Montral Collge Jean-Eudes (QC),68,Montral Collge Jean-Eudes (QC)
Montral Collge Mont-Saint-Louis (QC),16,Montral Collge Mont-Saint-Louis (QC)
Montreal Lakeside Academy (QC),1,Montreal Lakeside Academy (QC)
Polyvalente Deux-Montagnes (QC),69,Deux-Montagnes École Polyvalente (QC)
Qubec cole secondaire Roger-Comtois (QC),67,Qubec École secondaire Roger-Comtois (QC)
Qubec Externat Saint-Jean-Eudes (QC),22,Qubec Externat Saint-Jean-Eudes (QC)
Qubec Petit Sminaire de Qubec (QC),17,Qubec Petit Sminaire de Qubec (QC)
Quebec Academie St. Louis (QC),61,Quebec Academie St. Louis (QC)
Sainte-Marie Polyvalente Benoit-Vachon (QC),28,Benoit-Vachon Sainte-Marie Polyvalente (QC)
Saint-Jean-Eudes (QC),52,Quebec City Saint-Jean-Eudes (QC)
Seminaire Saint-Francois (QC),73,Saint-Félix Saint-Augustin-de-Desmaures (QC)
Sherbrooke cole du Triolet (QC),52,Sherbrooke École du Triolet (QC)
Sminaire de Sherbrooke (QC),27,Sherbrooke Sminaire de Sherbrooke (QC)
Terrebonne Ecole Armand-Corbeil (QC),37,Terrebonne Ecole Armand-Corbeil (QC)
Trois-Rivires Sminaire Saint-Joseph (QC),68,Trois-Rivires Séminaire Saint-Joseph de Trois-Rivières (QC)
