Alias_Name,GameCount,Standardized_Name
Barrington (RI),535,Barrington (RI)
Bristol (RI),104,Bristol (RI)
Bristol Mt. Hope (RI),268,Bristol Mt. Hope (RI)
Central Falls (RI),285,Central Falls (RI)
Coventry (RI),349,Coventry (RI)
Cranston East (RI),868,Cranston East (RI)
"Cranston East """"B"""" (RI)",1,Cranston East B (RI)
CranstonWest (RI),507,Cranston West (RI)
Cranston West (RI),37,Cranston West (RI)
Cumberland (RI),557,Cumberland (RI)
East Greenwich (RI),395,East Greenwich (RI)
East Providence (RI),675,East Providence (RI)
East Providence Country Day-Wheeler-Sanchez Complex (RI),119,East Providence Country Day-Wheeler-Sanchez Complex (RI)
East Providence Providence Country Day (RI),80,East Providence Providence Country Day (RI)
Esmond Smithfield (RI),223,Esmond Smithfield (RI)
Exeter-West Greenwich (RI),166,Exeter-West Greenwich (RI)
Harrisville Burrillville (RI),354,Harrisville Burrillville (RI)
Johnston (RI),343,Johnston (RI)
Lincoln (RI),321,Lincoln (RI)
Middletown (RI),352,Middletown (RI)
Middletown St. George's (RI),133,Middletown St. George's (RI)
Middletown Saint George's (RI),25,Middletown St. George's (RI)
Middletown St. Georges (RI),13,Middletown St. George's (RI)
Middletown St. George (RI),1,Middletown St. George's (RI)
Narragansett (RI),281,Narragansett (RI)
Newport De La Salle Academy (RI),91,Newport De La Salle Academy (RI)
Newport Rogers (RI),556,Newport Rogers (RI)
North Kingstown (RI),396,North Kingstown (RI)
North Providence (RI),322,North Providence (RI)
North Scituate Ponaganset (RI),314,North Scituate Ponaganset (RI)
North Scituate Scituate (RI),182,North Scituate Scituate (RI)
North Smithfield (RI),195,North Smithfield (RI)
North Smithfield-Mount St. Charles Academy (RI),53,North Smithfield-Mount St. Charles Academy (RI)
North Smithfield-Mount Saint Charles Academy (RI),29,North Smithfield-Mount St. Charles Academy (RI)
Pawtucket (RI),82,Pawtucket (RI)
Pawtucket Shea (RI),299,Pawtucket Shea (RI)
Pawtucket St. Raphael Academy (RI),450,Pawtucket St. Raphael Academy (RI)
Pawtucket Saint Raphael Academy (RI),35,Pawtucket St. Raphael Academy (RI)
Pawtucket St. Raphael (RI),15,Pawtucket St. Raphael Academy (RI)
Pawtucket Tolman (RI),391,Pawtucket Tolman (RI)
Pawtucket West (RI),85,Pawtucket West (RI)
Portsmouth (RI),377,Portsmouth (RI)
Portsmouth Abbey (RI),307,Portsmouth Abbey (RI)
Providence Career and Technical Academy (RI),10,Providence Career and Technical Academy (RI)
Providence Career and Technical (RI),1,Providence Career and Technical Academy (RI)
Providence Central (RI),478,Providence Central (RI)
Providence Classical (RI),347,Providence Classical (RI)
Providence Commercial (RI),21,Providence Commercial (RI)
Providence Comm (RI),1,Providence Commercial (RI)
Providence Hope (RI),373,Providence Hope (RI)
Providence Lasalle Academy (RI),541,Providence Lasalle Academy (RI)
Providence La Salle (RI),19,Providence Lasalle Academy (RI)
Providence La Salle Academy (RI),10,Providence Lasalle Academy (RI)
Providence Moses Brown (RI),353,Providence Moses Brown (RI)
Providence Mt. Pleasant (RI),430,Providence Mt. Pleasant (RI)
Mt. Pleasant (RI),1,Providence Mt. Pleasant (RI)
Smithfield (RI),66,Smithfield (RI)
Tiverton (RI),299,Tiverton (RI)
Wakefield South Kingstown (RI),479,Wakefield South Kingstown (RI)
Warren (RI),101,Warren (RI)
Warwick Aldrich (RI),53,Warwick Aldrich (RI)
Warwick Bishop Hendricken (RI),426,Warwick Bishop Hendricken (RI)
Warwick Bishop Hendricken Catholic (RI),17,Warwick Bishop Hendricken (RI)
Warwick Pilgrim (RI),366,Warwick Pilgrim (RI)
Warwick Toll Gate (RI),320,Warwick Toll Gate (RI)
Warwick Veterans (RI),162,Warwick Veterans Memorial (RI)
Warwick Veterans Memorial (RI),156,Warwick Veterans Memorial (RI)
West Warwick (RI),459,West Warwick (RI)
Westerly (RI),571,Westerly (RI)
Wood River Junction Chariho (RI),234,Wood River Junction Chariho (RI)
Wood River Junction Chariho Regional (RI),10,Wood River Junction Chariho (RI)
Woonsocket (RI),926,Woonsocket (RI)
Woonsocket Mt. St. Charles Academy (RI),63,Woonsocket Mt. St. Charles Academy (RI)
