Alias_Name,GameCount,Standardized_Name
Abbeville (SC),850,Abbeville (SC)
Aiken (SC),893,Aiken (SC)
Aiken Silver Bluff (SC),547,Aiken Silver Bluff (SC)
Aiken St Angela (SC),185,Aiken St. Angela (SC)
Allendale-Fairfax (SC),731,Allendale-Fairfax (SC)
Anderson (SC),170,Anderson (SC)
Anderson Cavaliers (SC),151,Anderson Cavaliers (SC)
Anderson McDuffie (SC),253,Anderson McDuffie (SC)
Anderson Anderson McDuffie (SC),244,Anderson McDuffie (SC)
Anderson T.L. Hanna (SC),692,Anderson T.L. Hanna (SC)
Anderson TL Hanna (SC),20,Anderson T.L. Hanna (SC)
Anderson Westside (SC),652,Anderson Westside (SC)
Andrews (SC),745,Andrews (SC)
Aynor (SC),714,Aynor (SC)
Bamberg Carlisle Military (SC),142,Bamberg Carlisle Military (SC)
Bamberg-Ehrhardt (SC),697,Bamberg-Ehrhardt (SC)
Barnwell (SC),804,Barnwell (SC)
Batesburg King Academy (SC),237,Batesburg King Academy (SC)
Batesburg-Leesville (SC),816,Batesburg-Leesville (SC)
Beaufort (SC),764,Beaufort (SC)
Beaufort Academy (SC),190,Beaufort Academy (SC)
Beaufort Battery Creek (SC),554,Beaufort Battery Creek (SC)
Beaufort Whale Branch (SC),175,Beaufort Whale Branch (SC)
Bells (SC),115,Bells (SC)
Bell (SC),1,Bells (SC)
Belton-Honea Path (SC),663,Belton-Honea Path (SC)
Belton-Honea (SC),2,Belton-Honea Path (SC)
Bennettsville (SC),331,Bennettsville (SC)
Bennettsville Marlboro County (SC),460,Bennettsville Marlboro County (SC)
Bethune (SC),420,Bethune (SC)
Bishopville (SC),459,Bishopville (SC)
Bishopville Lee Academy (SC),249,Bishopville Lee Academy (SC)
Bishopville Lee Central (SC),269,Bishopville Lee Central (SC)
Blacksburg (SC),721,Blacksburg (SC)
Blackville Jefferson Davis Academy (SC),224,Blackville Jefferson Davis Academy (SC)
Blackville Jefferson Davis (SC),22,Blackville Jefferson Davis Academy (SC)
Blackville-Hilda (SC),769,Blackville-Hilda (SC)
Blenheim (SC),180,Blenheim (SC)
Bluffton (SC),371,Bluffton (SC)
Bluffton Cross (SC),30,Bluffton Cross (SC)
Bluffton Cross Episcopal (SC),5,Bluffton Cross (SC)
Bluffton May River (SC),103,Bluffton May River (SC)
Bluffton McCracken (SC),132,Bluffton McCracken (SC)
Blythewood (SC),311,Blythewood (SC)
Blythewood Westwood (SC),155,Blythewood Westwood (SC)
Bowman Academy (SC),534,Bowman Academy (SC)
Branchville (SC),471,Branchville (SC)
