Alias_Name,GameCount,Standardized_Name
Aberdeen Central (SD),834,Aberdeen Central (SD)
Aberdeen Roncalli (SD),426,Aberdeen Roncalli (SD)
Agency Village Tiospa Zina (SD),235,Agency Village Tiospa Zina (SD)
Alcester-Hudson (SD),338,Alcester-Hudson (SD)
Alexandria Hanson (SD),472,Alexandria Hanson (SD)
Alpena-Woonsocket (SD),170,Alpena-Woonsocket (SD)
Andes Central (SD),155,Andes Central (SD)
Arlington (SD),373,Arlington (SD)
Armour (SD),239,Armour (SD)
Avon (SD),477,Avon (SD)
Baltic (SD),411,Baltic (SD)
Belle Fourche (SD),532,Belle Fourche (SD)
Beresford (SD),455,Beresford (SD)
Bison (SD),298,Bison (SD)
Bonesteel-Fairfax (SD),231,Bonesteel-Fairfax (SD)
Box Elder Douglas (SD),339,Box Elder Douglas (SD)
Brandon Valley (SD),576,Brandon Valley (SD)
Bridgewater (SD),186,Bridgewater (SD)
Bridgewater-Emery-Ethan (SD),151,Bridgewater-Emery-Ethan (SD)
Britton (SD),235,Britton (SD)
Britton-Hecla (SD),195,Britton-Hecla (SD)
Brookings (SD),772,Brookings (SD)
Buffalo Harding County (SD),359,Buffalo Harding County (SD)
Burke (SD),290,Burke (SD)
Campbell County co-op [Herreid-Pollock] (SD),173,Campbell County co-op [Herreid-Pollock] (SD)
Canistota-Bridgewater (SD),186,Canistota-Bridgewater (SD)
Canton (SD),467,Canton (SD)
Canton AugustanaAcademy (SD),9,Canton Augustana Academy (SD)
Canton Augustana Academy (SD),1,Canton Augustana Academy (SD)
Castlewood (SD),470,Castlewood (SD)
Centerville (SD),422,Centerville (SD)
Chamberlain (SD),453,Chamberlain (SD)
Chester (SD),511,Chester (SD)
Cheyenne-Eagle Butte (SD),349,Cheyenne-Eagle Butte (SD)
Eagle Butte Cheyenne Eagle (SD),17,Cheyenne-Eagle Butte (SD)
Cheyenne Eagle Butte (SD),1,Cheyenne-Eagle Butte (SD)
Clark (SD),278,Clark (SD)
Clark-Willow Lake (SD),133,Clark-Willow Lake (SD)
Clark Willow (SD),19,Clark-Willow Lake (SD)
