Alias_Name,GameCount,Standardized_Name
Balgonie Greenall (SK),66,Balgonie Greenall (SK)
Bishop Mahoney (SK),69,Bishop Mahoney (SK)
Campbell (SK),67,Campbell (SK)
Centennial (SK),64,Centennial (SK)
Estevan (SK),41,Estevan (SK)
Evan (SK),57,Evan (SK)
Fort Qu' Appelle Bert Fox (SK),7,Fort Qu' Appelle Bert Fox (SK)
Fort Qu'Appelle Bert Fox (SK),7,Fort Qu' Appelle Bert Fox (SK)
Luther (SK),57,Luther (SK)
Maple Creek (SK),8,Maple Creek Composite (SK)
Maple Creek Composite (SK),6,Maple Creek Composite (SK)
Marion Graham (SK),58,Marion Graham (SK)
Moose Jaw Central (SK),44,Moose Jaw Central (SK)
Moose Jaw Peacock (SK),45,Moose Jaw Peacock (SK)
Moose Jaw Vanier (SK),42,Moose Jaw Vanier (SK)
Moose Jaw Vanier Collegiate (SK),2,Moose Jaw Vanier (SK)
North Battleford (SK),64,North Battleford (SK)
Prince Albert Carlton (SK),55,Prince Albert Carlton (SK)
Prince Albert St. Mary's (SK),59,Prince Albert St. Mary's (SK)
Regina Archbishop M.C. O'Neill (SK),7,Regina Archbishop M.C. O'Neill Catholic (SK)
Regina Archbishop M.C. O'Neill Catholic (SK),63,Regina Archbishop M.C. O'Neill Catholic (SK)
Regina Balfour (SK),53,Regina Balfour (SK)
Regina Dr. Martin Leboldus (SK),71,Regina Dr. Martin Leboldus (SK)
Regina Johnson (SK),60,Regina Johnson (SK)
Regina Luther (SK),8,Regina Luther College (SK)
Regina Luther College (SK),2,Regina Luther College (SK)
Regina Martin (SK),29,Regina Martin (SK)
Regina Miller (SK),67,Regina Miller (SK)
Regina Riffel (SK),67,Regina Riffel (SK)
Regina Sheldon Williams (SK),47,Regina Sheldon Williams (SK)
Regina Sheldon-Williams Collegiate (SK),7,Regina Sheldon Williams (SK)
Regina Thom (SK),58,Regina Thom (SK)
Regina Winston Knoll (SK),61,Regina Winston Knoll (SK)
Rostherm (SK),1,Rosthern (SK)
Rosthern (SK),5,Rosthern (SK)
Saskatoon Aden Bowman (SK),66,Saskatoon Aden Bowman (SK)
Saskatoon Bedford Road (SK),37,Saskatoon Bedford Road (SK)
Saskatoon Bethlehem (SK),64,Saskatoon Bethlehem (SK)
Saskatoon Holy Cross (SK),80,Saskatoon Holy Cross (SK)
Saskatoon Mount Royal (SK),54,Saskatoon Mt. Royal (SK)
Saskatoon Tommy Douglas (SK),66,Saskatoon Tommy Douglas (SK)
Saskatoon Walter (SK),60,Saskatoon Walter Murray (SK)
Saskatoon Walter Murray (SK),7,Saskatoon Walter Murray (SK)
Saskatoon Walter Murray Collegiate (SK),1,Saskatoon Walter Murray (SK)
St. Joseph (SK),56,St. Joseph (SK)
Swift Current (SK),47,Swift Current (SK)
Weyburn (SK),58,Weyburn (SK)
Wilcox Athol Murray College of Notre Dame (SK),57,Wilcox Athol Murray College of Notre Dame (SK)
Yorkton Regional (SK),50,Yorkton Regional (SK)
