Alias_Name,GameCount,Standardized_Name
Adamsville (TN),588,Adamsville (TN)
Afton Chuckey Doak (TN),17,Afton Chuckey-Doak (TN)
Afton Chuckey-Doak (TN),512,Afton Chuckey-Doak (TN)
Alamo Crockett County (TN),496,Alamo Crockett County (TN)
Alcoa (TN),851,Alcoa (TN)
Antioch (TN),798,Antioch (TN)
Antioch Ezell Harding (TN),18,Antioch Ezell-Harding Christian (TN)
Antioch Ezell-Harding Christian (TN),522,Antioch Ezell-Harding Christian (TN)
Antioch Lighthouse Christian (TN),215,Antioch Lighthouse Christian (TN)
Arlington (TN),214,Arlington (TN)
Arlington Bolton (TN),390,Arlington Bolton (TN)
Ashland City (TN),32,Ashland City Cheatham County Central (TN)
Ashland City Cheatham County Central (TN),589,Ashland City Cheatham County Central (TN)
Athens McMinn County (TN),659,Athens McMinn County (TN)
Atwood West Carroll (TN),409,Atwood West Carroll (TN)
Bartlett (TN),509,Bartlett (TN)
Baxter Upperman (TN),463,Baxter Upperman (TN)
Bell Buckle The Webb (TN),11,Bell Buckle The Webb School (TN)
Bell Buckle The Webb School (TN),134,Bell Buckle The Webb School (TN)
Bellevue (TN),175,Bellevue (TN)
Benton Polk County (TN),673,Benton Polk County (TN)
Blountville Sullivan Central (TN),557,Blountville Sullivan Central (TN)
Blountville Tri Cities (TN),16,Blountville Tri-Cities Christian (TN)
Blountville Tri-Cities Christian (TN),17,Blountville Tri-Cities Christian (TN)
Bluff City Sullivan East (TN),591,Bluff City Sullivan East (TN)
Bolivar Central (TN),497,Bolivar Central (TN)
Brentwood (TN),532,Brentwood (TN)
Brentwood Academy (TN),692,Brentwood Academy (TN)
Brentwood Ravenwood (TN),280,Brentwood Ravenwood (TN)
Brighton (TN),327,Brighton (TN)
Bristol Tennessee (TN),867,Bristol Tennessee (TN)
Brownsville Haywood (TN),1108,Brownsville Haywood (TN)
Bruceton (TN),42,Bruceton Central (TN)
H.R. Bruceton (TN),1,Bruceton Central (TN)
Byrdstown Pickett County (TN),161,Byrdstown Pickett County (TN)
Camden Central (TN),629,Camden Central (TN)
Carthage Smith County (TN),566,Carthage Smith County (TN)
Cedar Hill Jo Byrns (TN),611,Cedar Hill Jo Byrns (TN)
Celina (TN),153,Celina (TN)
Celina Clay County (TN),454,Celina Clay County (TN)
Centerville Hickman County (TN),540,Centerville Hickman County (TN)
Chapel Hill Forrest (TN),458,Chapel Hill Forrest (TN)
Charleston (TN),376,Charleston (TN)
Charlotte Creek Wood (TN),244,Charlotte Creek Wood (TN)
Chattanooga Baylor (TN),1278,Chattanooga Baylor (TN)
Chattanooga Baylor Military Academy (TN),1,Chattanooga Baylor Military Academy (TN)
Chattanooga Baylor Military Institute (TN),1,Chattanooga Baylor Military Academy (TN)
