Alias_Name,GameCount,Standardized_Name
Altamont (UT),447,Altamont (UT)
American Fork (UT),783,American Fork (UT)
Beaver (UT),637,Beaver (UT)
Blanding San Juan (UT),23,Blanding San Juan County (UT)
Blanding San Juan County (UT),620,Blanding San Juan County (UT)
Blanding San Juan County JV (UT),8,Blanding San Juan County JV (UT)
Blanding San Juan JV (UT),6,Blanding San Juan County JV (UT)
Bluffdale Summit Academy (UT),158,Bluffdale Summit Academy (UT)
Bountiful (UT),725,Bountiful (UT)
Bountiful Viewmont (UT),599,Bountiful Viewmont (UT)
Brigham City Box Elder (UT),732,Brigham City Box Elder (UT)
Brigham City Intermountain Christian (UT),45,Brigham City Intermountain Institute (UT)
Brigham City Intermountain Indian School (UT),3,Brigham City Intermountain Institute (UT)
Brigham City Intermountain Institute (UT),1,Brigham City Intermountain Institute (UT)
Castle Dale Emery County (UT),575,Castle Dale Emery County (UT)
Cedar City (UT),569,Cedar City (UT)
Cedar City Cedar (UT),63,Cedar City (UT)
Cedar City Canyon View (UT),301,Cedar City Canyon View (UT)
Clearfield (UT),610,Clearfield (UT)
Coalville North Summit (UT),613,Coalville North Summit (UT)
Delta (UT),616,Delta (UT)
Draper Corner Canyon (UT),164,Draper Corner Canyon (UT)
Draper Juan Diego (UT),23,Draper Juan Diego Catholic (UT)
Draper Juan Diego Catholic (UT),281,Draper Juan Diego Catholic (UT)
Duchesne (UT),523,Duchesne (UT)
Dugway (UT),224,Dugway (UT)
Enterprise (UT),311,Enterprise (UT)
Fillmore Millard (UT),21,Fillmore Millard County (UT)
Fillmore Millard County (UT),610,Fillmore Millard County (UT)
Garland Bear River (UT),631,Garland Bear River (UT)
Grantsville (UT),621,Grantsville (UT)
Gunnison Valley (UT),345,Gunnison Valley (UT)
Heber City (UT),1,Heber City Wasatch County (UT)
Heber City Wasatch County (UT),606,Heber City Wasatch County (UT)
Highland Lone Peak (UT),351,Highland Lone Peak (UT)
Hurricane (UT),585,Hurricane (UT)
Hyrum Mountain Crest (UT),474,Hyrum Mountain Crest (UT)
Kamas South Summit (UT),610,Kamas South Summit (UT)
Kanab (UT),633,Kanab (UT)
Kaysville Davis (UT),765,Kaysville Davis (UT)
Kearns (UT),571,Kearns (UT)
Layton (UT),597,Layton (UT)
Layton Christian Academy (UT),223,Layton Christian Academy (UT)
Layton Northridge (UT),361,Layton Northridge (UT)
Lehi (UT),631,Lehi (UT)
Lehi Skyridge (UT),124,Lehi Skyridge (UT)
Logan (UT),657,Logan (UT)
Magna Cypress (UT),1,Magna Cyprus (UT)
Magna Cyprus (UT),573,Magna Cyprus (UT)
Manti (UT),568,Manti (UT)
Midvale Hillcrest (UT),573,Midvale Hillcrest (UT)
Milford (UT),534,Milford (UT)
Millville Ridgeline (UT),118,Millville Ridgeline (UT)
Moab Grand County (UT),643,Moab Grand County (UT)
Moah GrandCounty (UT),1,Moab Grand County (UT)
Monroe South Sevier (UT),21,Monroe South Sevier County (UT)
Monroe South Sevier County (UT),535,Monroe South Sevier County (UT)
Montezuma Creek Whitehorse (UT),333,Montezuma Creek Whitehorse (UT)
Monticello (UT),600,Monticello (UT)
Monument Valley (UT),279,Monument Valley (UT)
Morgan (UT),641,Morgan (UT)
Mount Pleasant North Sanpete (UT),574,Mount Pleasant North Sanpete (UT)
Mount Pleasant Wasatch Academy (UT),20,Mount Pleasant Wasatch Academy (UT)
