Alias_Name,GameCount,Standardized_Name
Barre Spaulding (VT),780,Barre Spaulding (VT)
Bellows Falls (VT),787,Bellows Falls (VT)
Bellows Free Academy of St. Albans (VT),436,Bellows Free Academy of St. Albans (VT)
Saint Albans Bellows Free Academy (VT),27,Bellows Free Academy of St. Albans (VT)
Bellows Free Academy of Saint Albans (VT),24,Bellows Free Academy of St. Albans (VT)
Saint Albans Bellows Free (VT),18,Bellows Free Academy of St. Albans (VT)
St. Albans Bellows Free Academy (VT),1,Bellows Free Academy of St. Albans (VT)
Bennington (VT),125,Bennington (VT)
Bennington Mount Anthony (VT),451,Bennington Mt. Anthony (VT)
Bennington Mt. Anthony Union (VT),2,Bennington Mt. Anthony (VT)
Bradford Oxbow (VT),134,Bradford Oxbow (VT)
Brandon Otter Valley (VT),233,Brandon Otter Valley (VT)
Brattleboro (VT),609,Brattleboro (VT)
Brattleboro Union (VT),28,Brattleboro (VT)
Bristol Mount Abraham (VT),31,Bristol Mt. Abraham (VT)
Bristol Mt. Abraham (VT),27,Bristol Mt. Abraham (VT)
Mt. Abraham (VT),7,Bristol Mt. Abraham (VT)
Bristol Mt. Abraham-Vergennes (VT),138,Bristol Mt. Abraham-Vergennes (VT)
Bristol Mount Abraham-Vergennes (VT),31,Bristol Mt. Abraham-Vergennes (VT)
Burlington (VT),597,Burlington (VT)
Burlington-South Burlington (VT),37,Burlington-South Burlington (VT)
Burlington-Burlington South (VT),8,Burlington-South Burlington (VT)
Colchester (VT),240,Colchester (VT)
Enosburg Falls (VT),4,Enosburg Falls (VT)
EnosburgFalls (VT),4,Enosburg Falls (VT)
Essex Junction (VT),478,Essex Junction (VT)
Fair Haven (VT),473,Fair Haven (VT)
Fairfax Bellows Free Academy (VT),131,Fairfax Bellows Free Academy (VT)
Green Mountain College (VT),1,Green Mountain Junior College (VT)
Green Mountain Junior College (VT),1,Green Mountain Junior College (VT)
Hinesburg Champlain Valley Union (VT),176,Hinesburg Champlain Valley Union (VT)
Hinesburg Champlain Valley (VT),18,Hinesburg Champlain Valley Union (VT)
Lyndon Center Lyndon Institute (VT),586,Lyndon Center Lyndon Institute (VT)
Manchester Burr & Burton (VT),216,Manchester Burr & Burton (VT)
Manchester Burr And (VT),15,Manchester Burr & Burton (VT)
Middlebury (VT),485,Middlebury (VT)
Middlebury College Frosh (VT),3,Middlebury College Frosh (VT)
Middlebury College Fresh (VT),1,Middlebury College Frosh (VT)
Milton (VT),244,Milton (VT)
Montpelier (VT),342,Montpelier (VT)
Montpelier U-32 (VT),224,Montpelier U-32 (VT)
Montpelier U 32 (VT),16,Montpelier U-32 (VT)
Mount Mansfield Union (VT),127,Mount Mansfield Union (VT)
Newport North Country Union (VT),325,Newport North Country Union (VT)
Newport North Country (VT),80,Newport North Country Union (VT)
North Clarendon Mill River (VT),271,North Clarendon Mill River (VT)
Norwich University Fresh (VT),4,Norwich University Frosh (VT)
Norwich Universit Frosh (VT),1,Norwich University Frosh (VT)
Norwich University Frosh (VT),1,Norwich University Frosh (VT)
NorwichUniversity JV (VT),7,Norwich University JV (VT)
Norwich University JV (VT),3,Norwich University JV (VT)
Poultney (VT),427,Poultney (VT)
Rutland (VT),848,Rutland (VT)
Rutland Mt. St. Joseph Academy (VT),674,Rutland Mt. St. Joseph Academy (VT)
Saint Johnsbury Academy (VT),654,Saint Johnsbury Academy (VT)
St.Johnsbury Academy (VT),2,Saint Johnsbury Academy (VT)
St. Johnsbury AcademyAlumni (VT),1,Saint Johnsbury Academy Alumni (VT)
Saxtons River Vermont Academy (VT),231,Saxtons River Vermont Academy (VT)
South Burlington (VT),382,South Burlington (VT)
South Burlington Rice Memorial (VT),491,South Burlington Rice Memorial (VT)
Spaulding NH (VT),220,Spaulding (NH)
Springfield (VT),686,Springfield (VT)
Swanton Missisquoi Valley (VT),80,Swanton Missisquoi Valley (VT)
Missisquoi Valley (VT),7,Swanton Missisquoi Valley (VT)
White River Junction Hartford (VT),796,White River Junction Hartford (VT)
Windsor (VT),548,Windsor (VT)
Winooski (VT),270,Winooski (VT)
Woodstock (VT),464,Woodstock (VT)
West Rutland (VT),93,West Rutland (VT)
Jericho Mount Mansfield (VT),88,Jericho Mt. Mansfield (VT)
