Alias_Name,GameCount,Standardized_Name
Aberdeen Wishkah Valley (WA),246,Aberdeen Wishkah Valley (WA)
Aberdeen (WA),18,Aberdeen-Weatherwax (WA)
Aberdeen-Weatherwax (WA),699,Aberdeen-Weatherwax (WA)
Adna (WA),381,Adna (WA)
Amanda Park Lake Quinault (WA),264,Amanda Park Lake Quinault (WA)
Anacortes (WA),471,Anacortes (WA)
Arlington (WA),526,Arlington (WA)
Asotin (WA),411,Asotin (WA)
Auburn (WA),486,Auburn (WA)
Auburn Jefferson (WA),362,Auburn Jefferson (WA)
Auburn Mountainview (WA),200,Auburn Mountainview (WA)
Auburn Muckleshoot Tribal (WA),131,Auburn Muckleshoot Tribal (WA)
Auburn Riverside (WA),385,Auburn Riverside (WA)
Bainbridge (WA),115,Bainbridge (WA)
Bainbridge Island (WA),308,Bainbridge Island (WA)
Bainbridge Island Bainbridge (WA),19,Bainbridge Island (WA)
Battle Ground (WA),697,Battle Ground (WA)
Belfair North Mason (WA),436,Belfair North Mason (WA)
Bellevue (WA),709,Bellevue (WA)
Bellevue Interlake (WA),473,Bellevue Interlake (WA)
Bellevue Newport (WA),539,Bellevue Newport (WA)
Bellevue Newport Bellevue (WA),17,Bellevue Newport (WA)
Bellevue Sammamish (WA),460,Bellevue Sammamish (WA)
Bellingham (WA),584,Bellingham (WA)
Bellingham Lummi (WA),238,Bellingham Lummi (WA)
Bellingham Meridian (WA),402,Bellingham Meridian (WA)
Bellingham North (WA),1,Bellingham North Side (WA)
Bellingham North Side (WA),1,Bellingham North Side (WA)
Bellingham Sehome (WA),462,Bellingham Sehome (WA)
Bellingham Squalicum (WA),251,Bellingham Squalicum (WA)
Benton City Kiona Benton (WA),15,Benton City Kiona-Benton (WA)
Benton City Kiona-Benton (WA),354,Benton City Kiona-Benton (WA)
Blaine (WA),441,Blaine (WA)
Bonney Lake (WA),213,Bonney Lake (WA)
Bothell (WA),645,Bothell (WA)
Bothell Cedar Park Christian (WA),201,Bothell Cedar Park Christian (WA)
Bothell Lynnwood (WA),374,Bothell Lynnwood (WA)
Bremerton (WA),476,Bremerton (WA)
Bremerton Olympic (WA),358,Bremerton Olympic (WA)
Brewster (WA),401,Brewster (WA)
Bridgeport (WA),340,Bridgeport (WA)
Brush Prairie (WA),479,Brush Prairie (WA)
Brush Prairie Prairie (WA),16,Brush Prairie (WA)
Brush Prairie Hockinson (WA),215,Brush Prairie Hockinson (WA)
Buckley White River (WA),441,Buckley White River (WA)
Burbank Columbia (WA),393,Burbank Columbia (WA)
Burien Highline (WA),370,Burien Highline (WA)
Burien Kennedy Catholic (WA),427,Burien Kennedy Catholic (WA)
Burlington Edison (WA),16,Burlington-Edison (WA)
Burlington-Edison (WA),530,Burlington-Edison (WA)
Camas (WA),886,Camas (WA)
Carnation Tolt (WA),143,Carnation Tolt (WA)
Cashmere (WA),475,Cashmere (WA)
Castle Rock (WA),511,Castle Rock (WA)
Cathlamet Wahkiakum (WA),406,Cathlamet Wahkiakum (WA)
Centralia (WA),577,Centralia (WA)
Chattaroy Riverside (WA),345,Chattaroy Riverside (WA)
Chehalis (WA),161,Chehalis (WA)
Chehalis W.F. West (WA),375,Chehalis W.F. West (WA)
Chelan (WA),387,Chelan (WA)
Cheney (WA),494,Cheney (WA)
Chewelah Jenkins (WA),438,Chewelah Jenkins (WA)
Chimacum (WA),352,Chimacum (WA)
Clallam Bay (WA),254,Clallam Bay (WA)
Clarkston (WA),132,Clarkston (WA)
Clarkston-Adams (WA),419,Clarkston-Adams (WA)
Cle Elum (WA),199,Cle Elum (WA)
Cle Elum Cle Elum (WA),16,Cle Elum (WA)
Cle Elum Roslyn (WA),1,Cle Elum-Roslyn (WA)
Cle Elum-Roslyn (WA),214,Cle Elum-Roslyn (WA)
Clyde Hill Bellevue Christian (WA),123,Clyde Hill Bellevue Christian (WA)
Colbert Northwest Christian (WA),17,Colbert Northwest Christian School (WA)
Colbert Northwest Christian School (WA),118,Colbert Northwest Christian School (WA)
Colfax (WA),468,Colfax (WA)
Colton (WA),113,Colton (WA)
Colton-Pullman Christian (WA),298,Colton-Pullman Christian (WA)
