Alias_Name,GameCount,Standardized_Name
Abbotsford (WI),498,Abbotsford (WI)
Adams Friendship (WI),18,Adams-Friendship (WI)
Adams-Friendship (WI),467,Adams-Friendship (WI)
Algoma (WI),469,Algoma (WI)
Alma (WI),175,Alma (WI)
Alma Center Lincoln (WI),371,Alma Center Lincoln (WI)
Alma-Gilmanton (WI),142,Alma-Gilmanton (WI)
Almond Bancroft (WI),17,Almond-Bancroft (WI)
Almond-Bancroft (WI),448,Almond-Bancroft (WI)
Altoona (WI),437,Altoona (WI)
Amery (WI),441,Amery (WI)
Amherst (WI),494,Amherst (WI)
Antigo (WI),669,Antigo (WI)
Appleton (WI),103,Appleton (WI)
Appleton East (WI),459,Appleton East (WI)
Appleton Fox Valley (WI),19,Appleton Fox Valley Lutheran (WI)
Appleton Fox Valley Lutheran (WI),321,Appleton Fox Valley Lutheran (WI)
Appleton North (WI),326,Appleton North (WI)
Appleton West (WI),461,Appleton West (WI)
Appleton Xavier (WI),378,Appleton Xavier (WI)
Arcadia (WI),527,Arcadia (WI)
Argyle (WI),131,Argyle (WI)
Ashland (WI),567,Ashland (WI)
Athens (WI),446,Athens (WI)
Auburndale (WI),487,Auburndale (WI)
Augusta (WI),505,Augusta (WI)
Baldwin Woodville (WI),24,Baldwin-Woodville (WI)
Baldwin-Woodville (WI),482,Baldwin-Woodville (WI)
Balsam Lake Unity (WI),466,Balsam Lake Unity (WI)
Bangor (WI),551,Bangor (WI)
Baraboo (WI),515,Baraboo (WI)
Barneveld (WI),119,Barneveld (WI)
Barron (WI),456,Barron (WI)
Beaver Dam (WI),686,Beaver Dam (WI)
Beaver Dam Wayland Academy (WI),213,Beaver Dam Wayland Academy (WI)
Belleville-Albany (WI),440,Belleville-Albany (WI)
Belmont (WI),473,Belmont (WI)
Beloit Catholic (WI),133,Beloit Catholic (WI)
Beloit Memorial (WI),564,Beloit Memorial (WI)
Beloit Turner (WI),18,Beloit Turner Memorial (WI)
Beloit Turner Memorial (WI),498,Beloit Turner Memorial (WI)
Benton (WI),196,Benton (WI)
Benton-Scales Mound (IL)-Shullsburg (WI),24,Benton-Scales Mound (IL)-Shullsburg (WI)
Benton-Scales Mound IL-Shullsburg (WI),7,Benton-Scales Mound (IL)-Shullsburg (WI)
Berlin (WI),610,Berlin (WI)
Birchwood (WI),104,Birchwood (WI)
Black River Falls (WI),543,Black River Falls (WI)
Black River Falls Black River (WI),18,Black River Falls (WI)
Blair Taylor (WI),20,Blair-Taylor (WI)
Blair-Taylor (WI),472,Blair-Taylor (WI)
Blanchardville Pecatonica (WI),141,Blanchardville Pecatonica (WI)
Blanchardville Pecatonica Argyle (WI),18,Blanchardville Pecatonica-Argyle (WI)
Blanchardville Pecatonica-Argyle (WI),309,Blanchardville Pecatonica-Argyle (WI)
Bloomer (WI),511,Bloomer (WI)
Bloomington (WI),214,Bloomington (WI)
Bonduel (WI),504,Bonduel (WI)
Boscobel (WI),476,Boscobel (WI)
Bowler (WI),226,Bowler (WI)
Boyceville (WI),462,Boyceville (WI)
Brillion (WI),481,Brillion (WI)
Brodhead (WI),129,Brodhead (WI)
Brodhead-Juda (WI),398,Brodhead-Juda (WI)
Brookfield Academy (WI),242,Brookfield Academy (WI)
Brookfield Central (WI),607,Brookfield Central (WI)
Brookfield East (WI),507,Brookfield East (WI)
Brown Deer (WI),472,Brown Deer (WI)
Bruce (WI),368,Bruce (WI)
Brussels Southern Door (WI),512,Brussels Southern Door (WI)
Burlington (WI),549,Burlington (WI)
Burlington Catholic Central (WI),314,Burlington Catholic Central (WI)
Cadott (WI),493,Cadott (WI)
Cambria-Friesland (WI),479,Cambria-Friesland (WI)
Cambridge (WI),539,Cambridge (WI)
Cameron (WI),442,Cameron (WI)
Campbellsport (WI),455,Campbellsport (WI)
Cashton (WI),538,Cashton (WI)
Cassville (WI),418,Cassville (WI)
