Alias_Name,GameCount,Standardized_Name
Alderson (WV),442,Alderson (WV)
Alderson Christian Institute (WV),3,Alderson Christian Institution (WV)
Alderson Christian Institution (WV),1,Alderson Christian Institution (WV)
Alderson Collegiate Institute (WV),13,Alderson Collegiate Institute (WV)
Alderson Collegiate Academy (WV),2,Alderson Collegiate Institute (WV)
Alleghany Collegiate Institute (WV),5,Allegheny Collegiate Institute (WV)
Allegheny Collegiate Institute (WV),5,Allegheny Collegiate Institute (WV)
Ansted (WV),498,Ansted (WV)
Ashton Hannan (WV),744,Ashton Hannan (WV)
Athens (WV),168,Athens (WV)
Baileysville (WV),480,Baileysville (WV)
Baker East Hardy (WV),524,Baker East Hardy (WV)
Barboursville (WV),738,Barboursville (WV)
Barrackville (WV),413,Barrackville (WV)
Beckley Woodrow Wilson (WV),1197,Beckley Woodrow Wilson (WV)
Belington (WV),321,Belington (WV)
Belle Dupont (WV),787,Belle Dupont (WV)
Belle Riverside (WV),282,Belle Riverside (WV)
Benwood Union (WV),325,Benwood Union (WV)
Berkeley Springs (WV),930,Berkeley Springs (WV)
Blacksville Clay-Battelle (WV),739,Blacksville Clay-Battelle (WV)
Blacksville Clay Battelle (WV),17,Blacksville Clay-Battelle (WV)
Bluefield (WV),1142,Bluefield (WV)
Bradshaw River View (WV),159,Bradshaw River View (WV)
Bramwell (WV),160,Bramwell (WV)
Branchland Guyan Valley (WV),780,Branchland Guyan Valley (WV)
Bridgeport (WV),1121,Bridgeport (WV)
Buckhannon-Upshur (WV),1161,Buckhannon-Upshur (WV)
Buckhannon Upshur (WV),17,Buckhannon-Upshur (WV)
Buckingham-Upshur (WV),1,Buckhannon-Upshur (WV)
Burnsville (WV),347,Burnsville (WV)
Cameron (WV),1057,Cameron (WV)
Cedar Grove (WV),149,Cedar Grove (WV)
Ceredo-Kenova (WV),909,Ceredo-Kenova (WV)
Chapmanville Regional (WV),820,Chapmanville Regional (WV)
Charles Town Washington (WV),176,Charles Town Washington (WV)
Charleston (WV),998,Charleston (WV)
Charleston Capital (WV),434,Charleston Capital (WV)
Charleston Catholic (WV),567,Charleston Catholic (WV)
Charleston George Washington (WV),698,Charleston George Washington (WV)
Charleston Sissonville (WV),957,Charleston Sissonville (WV)
Charleston Stonewall Jackson (WV),564,Charleston Stonewall Jackson (WV)
Charleston Stonewall (WV),1,Charleston Stonewall Jackson (WV)
Charlestown (WV),447,Charlestown (WV)
Charmco Greenbrier West (WV),659,Charmco Greenbrier West (WV)
Chattaroy (WV),106,Chattaroy (WV)
Chester (WV),366,Chester (WV)
Circleville (WV),398,Circleville (WV)
Clarksburg Liberty (WV),559,Clarksburg Liberty (WV)
Clarksburg Notre Dame (WV),818,Clarksburg Notre Dame (WV)
Clarksburg Robert C. Byrd (WV),309,Clarksburg Robert C. Byrd (WV)
Clarksburg Robert C (WV),19,Clarksburg Robert C. Byrd (WV)
Clarksburg Roosevelt-Wilson (WV),654,Clarksburg Roosevelt-Wilson (WV)
Clarksburg Roosevelt Wilson (WV),1,Clarksburg Roosevelt-Wilson (WV)
Clarksburg Victory (WV),584,Clarksburg Victory (WV)
Clarksburg Washington Irving (WV),856,Clarksburg Washington Irving (WV)
Clay County (WV),1025,Clay County (WV)
Clear Fork WestSide (WV),241,Clear Fork WestSide (WV)
Clendenin (WV),409,Clendenin (WV)
Clendenin HerbertHoover (WV),470,Clendenin Herbert Hoover (WV)
Clendenin Hoover (WV),235,Clendenin Herbert Hoover (WV)
Clendenin Herbert Hoover (WV),27,Clendenin Herbert Hoover (WV)
Coal City Independence (WV),536,Coal City Independence (WV)
Coal City Stoco (WV),478,Coal City Stoco (WV)
Colcord Clear Fork (WV),567,Colcord Clear Fork (WV)
Cowen (WV),442,Cowen (WV)
Crichton (WV),215,Crichton (WV)
Crum (WV),360,Crum (WV)
