Alias_Name,GameCount,Standardized_Name
Afton Star Valley (WY),834,Afton Star Valley (WY)
Baggs Little Snake (WY),16,Baggs Little Snake River (WY)
Baggs Little Snake River (WY),141,Baggs Little Snake River (WY)
Basin (WY),484,Basin (WY)
Basin Riverside (WY),368,Basin Riverside (WY)
Big Horn (WY),730,Big Horn (WY)
Big Piney (WY),674,Big Piney (WY)
Billings Central (WY),1,Billings Central (MT)
Billings Central JV (WY),3,Billings Central JV (MT)
Billings Senior (WY),8,Billings Senior (MT)
Billings Senior JV (WY),13,Billings Senior JV (MT)
Billings Senior Reserves (WY),1,Billings Senior Reserves (MT)
Billings Senior Sophomores (WY),4,Billings Senior Sophomores (MT)
Billings Skyview JV (WY),3,Billings Skyview JV (MT)
Billings West JV (WY),2,Billings West JV (MT)
Billingsst (WY),1,Billingsst (MT)
Billingsst JV (WY),5,Billingsst JV (MT)
Buffalo (WY),887,Buffalo (WY)
Burlington (WY),632,Burlington (WY)
Burns (WY),494,Burns (WY)
Byron (WY),329,Byron (WY)
Casper Natrona (WY),82,Casper Natrona County (WY)
Casper Natrona County (WY),988,Casper Natrona County (WY)
Natrona seniors (WY),2,Casper Natrona County (WY)
Natrona third team (WY),1,Casper Natrona County 3rd team (WY)
Natrona juniors (WY),3,Casper Natrona County JV (WY)
Natrona JV (WY),98,Casper Natrona County JV (WY)
Natrona Sophomores (WY),23,Casper Natrona County JV (WY)
Natrona Sophs (WY),2,Casper Natrona County JV (WY)
Casper Walsh (WY),581,Casper Walsh (WY)
Cheyenne Central (WY),1087,Cheyenne Central (WY)
Cheyenne Central JV (WY),36,Cheyenne Central JV (WY)
Cheyenne Central Sophomores (WY),6,Cheyenne Central JV (WY)
Cheyenne Central sophs (WY),2,Cheyenne Central JV (WY)
Cheyenne East (WY),662,Cheyenne East (WY)
Cheyenne East JV (WY),6,Cheyenne East JV (WY)
Cheyenne East Sophomores (WY),2,Cheyenne East JV (WY)
Cheyenne South (WY),138,Cheyenne South (WY)
Cody (WY),923,Cody (WY)
Cody JV (WY),50,Cody JV (WY)
Cody Sophomores (WY),2,Cody JV (WY)
Cody sophs (WY),5,Cody JV (WY)
Cokeville (WY),683,Cokeville (WY)
Cowley (WY),350,Cowley (WY)
Cowley Rocky Mountain (WY),373,Cowley Rocky Mountain (WY)
Dayton Tongue River (WY),559,Dayton Tongue River (WY)
Deaver-Frannie (WY),237,Deaver-Frannie (WY)
Denver Montbello (WY),2,Denver Montbello (CO)
Denver Mt. Carmel (WY),1,Denver Mt. Carmel (CO)
Denver Mullen (WY),2,Denver Mullen (CO)
Mullen (WY),1,Denver Mullen (CO)
Denver Ranum (WY),1,Denver Ranum (CO)
Denver Regis (WY),3,Denver Regis (CO)
Denver Thomas Jefferson (WY),1,Denver Thomas Jefferson (CO)
Diamondville Kemmerer (WY),801,Diamondville Kemmerer (WY)
Douglas (WY),919,Douglas (WY)
Douglas Coounty (WY),1,Douglas (WY)
Douglas County (WY),1,Douglas (WY)
Dubois (WY),485,Dubois (WY)
Ethete Wyoming Indian (WY),377,Ethete Wyoming Indian (WY)
Evanston (WY),827,Evanston (WY)
Evanston JV (WY),16,Evanston JV (WY)
Evanston Sophomores (WY),1,Evanston JV (WY)
Evanston Sophs (WY),1,Evanston JV (WY)
Farson Eden (WY),16,Farson-Eden (WY)
Farson-Eden (WY),133,Farson-Eden (WY)
Ft. Collins (WY),10,Fort Collins (CO)
Gillette Campbell County (WY),904,Gillette Campbell County (WY)
Gillette JV (WY),44,Gillette JV (WY)
Gillette Sophomores (WY),11,Gillette JV (WY)
Gillette Thunder Basin (WY),82,Gillette Thunder Basin (WY)
Thunder Basin (WY),15,Gillette Thunder Basin (WY)
Glendo (WY),210,Glendo (WY)
Glenrock (WY),752,Glenrock (WY)
Grand Junction (WY),2,Grand Junction (CO)
Grand Junction Central (WY),1,Grand Junction Central (CO)
Greeley Central (WY),2,Greeley Central (CO)
Green River (WY),903,Green River (WY)
Greybull (WY),869,Greybull (WY)
Guernsey (WY),280,Guernsey (WY)
Guernsey Sunrise (WY),13,Guernsey-Sunrise (WY)
Guernsey-Sunrise (WY),475,Guernsey-Sunrise (WY)
