TeamName,State,URL,Date,Location,Opponent,WL,Score,OpponentURL,ScrapedAt,Status
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,8/23,@,Benton Academy,,Upcoming,https://www.maxpreps.com/ms/benton/benton-academy-raiders/football/,2025-02-04T17:01:25.525632,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,8/23,@,Hebron Christian,W,42-0,https://www.maxpreps.com/ms/pheba/hebron-christian-eagles/football/,2025-02-04T17:01:25.578635,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,8/30,vs,Calhoun Academy,L,46-40,https://www.maxpreps.com/ms/calhoun-city/calhoun-academy-cougars/football/,2025-02-04T17:01:25.626985,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,9/6,@,"O
Oak Hill Academy",,Upcoming,https://www.maxpreps.com/ms/west-point/oak-hill-academy-raiders/football/,2025-02-04T17:01:25.676987,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,9/6,@,Russell Christian Academy,L,34-20,https://www.maxpreps.com/ms/meridian/russell-christian-academy-warriors/football/,2025-02-04T17:01:25.731514,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,9/13,vs,"K
Kemper Academy",W,16-12,https://www.maxpreps.com/ms/dekalb/kemper-academy-rams/football/,2025-02-04T17:01:25.791797,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,9/20,vs,"H
Humphreys Academy",L,36-14,https://www.maxpreps.com/ms/belzoni/humphreys-academy-rebels/football/,2025-02-04T17:01:25.858921,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,9/27,@,Briarfield Academy,L,36-24,https://www.maxpreps.com/la/lake-providence/briarfield-academy-rebels/football/,2025-02-04T17:01:25.959444,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,10/4,@,Carroll Academy,,Upcoming,https://www.maxpreps.com/ms/carrollton/carroll-academy-rebels/football/,2025-02-04T17:01:26.009964,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,10/18,vs,"K
Kirk Academy",L,56-7,https://www.maxpreps.com/ms/grenada/kirk-academy-raiders/football/,2025-02-04T17:01:26.059960,Processed
Steens Columbus Christian (MS),(MS),https://www.maxpreps.com/ms/steens/columbus-christian-academy-rams/football/schedule/,10/25,@,"D
Deer Creek",L,34-28,https://www.maxpreps.com/ms/arcola/deer-creek-warriors/football/,2025-02-04T17:01:26.111480,Processed
Stringer (MS),(MS),https://www.maxpreps.com/ms/stringer/stringer-red-devils/football/schedule/,8/23,vs,"C
Clarkdale",W,8-0,https://www.maxpreps.com/ms/meridian/clarkdale-bulldogs/football/,2025-02-04T17:01:37.506010,Processed
Stringer (MS),(MS),https://www.maxpreps.com/ms/stringer/stringer-red-devils/football/schedule/,8/30,@,Seminary,L,44-14,https://www.maxpreps.com/ms/seminary/seminary-bulldogs/football/,2025-02-04T17:01:37.554318,Processed
Stringer (MS),(MS),https://www.maxpreps.com/ms/stringer/stringer-red-devils/football/schedule/,9/6,@,Pelahatchie,L,33-22,https://www.maxpreps.com/ms/pelahatchie/pelahatchie-chiefs/football/,2025-02-04T17:01:37.603320,Processed
Stringer (MS),(MS),https://www.maxpreps.com/ms/stringer/stringer-red-devils/football/schedule/,9/13,vs,Nanih Waiya,L,16-14,https://www.maxpreps.com/ms/louisville/nanih-waiya-warriors/football/,2025-02-04T17:01:37.651844,Processed
Stringer (MS),(MS),https://www.maxpreps.com/ms/stringer/stringer-red-devils/football/schedule/,9/20,vs,Puckett,W,38-17,https://www.maxpreps.com/ms/puckett/puckett-wolves/football/,2025-02-04T17:01:37.699844,Processed
Stringer (MS),(MS),https://www.maxpreps.com/ms/stringer/stringer-red-devils/football/schedule/,9/27,vs,Loyd Star,L,33-24,https://www.maxpreps.com/ms/brookhaven/loyd-star-hornets/football/,2025-02-04T17:01:37.747361,Processed
Stringer (MS),(MS),https://www.maxpreps.com/ms/stringer/stringer-red-devils/football/schedule/,10/4,vs,West Lincoln,W,50-7,https://www.maxpreps.com/ms/brookhaven/west-lincoln-bears/football/,2025-02-04T17:01:37.831531,Processed
Stringer (MS),(MS),https://www.maxpreps.com/ms/stringer/stringer-red-devils/football/schedule/,10/11,@,Southeast Lauderdale,W,46-18,https://www.maxpreps.com/ms/meridian/southeast-lauderdale-tigers/football/,2025-02-04T17:01:37.883719,Processed
Stringer (MS),(MS),https://www.maxpreps.com/ms/stringer/stringer-red-devils/football/schedule/,10/18,@,Taylorsville,L,28-18,https://www.maxpreps.com/ms/taylorsville/taylorsville-tartars/football/,2025-02-04T17:01:38.025241,Processed
