Date,League,Home,Home_Score,Away,Away_Score,Source,ScrapedAt
22-Aug-25,IND,Foothills,0,L.C.I.,50,www.footballalberta.ab.ca,2025-12-07T07:46:25.447402
22-Aug-25,PSK(EX),Raymond,14,Harry Ainlay,28,www.footballalberta.ab.ca,2025-12-07T07:46:25.487403
23-Aug-25,BSK(EX),Drumheller,20,Lacombe,49,www.footballalberta.ab.ca,2025-12-07T07:46:25.529918
23-Aug-25,ED1(EX),Ross Sheppard,41,Sturgeon,27,www.footballalberta.ab.ca,2025-12-07T07:46:25.568918
22-Aug-25,IND,Holy Trinity Academy,21,Jasper Place,16,www.footballalberta.ab.ca,2025-12-07T07:46:25.617922
23-Aug-25,IND,St. Joseph's,28,Bev Facey,3,www.footballalberta.ab.ca,2025-12-07T07:46:25.659434
23-Aug-25,PSK(EX),Catholic Central,63,Strathmore,13,www.footballalberta.ab.ca,2025-12-07T07:46:25.699434
23-Aug-25,RKV(EX),George McDougall,39,Fort McMurray,0,www.footballalberta.ab.ca,2025-12-07T07:46:25.741947
26-Aug-25,PSK,L.C.I.,DNP,Cardston,DNP,www.footballalberta.ab.ca,2025-12-07T07:46:25.819463
28-Aug-25,CEN(EX),Stettler,0,Crescent Heights (MH),16,www.footballalberta.ab.ca,2025-12-07T07:46:25.858462
28-Aug-25,ED1(EX),Harry Ainlay,27,L.C.I.,14,www.footballalberta.ab.ca,2025-12-07T07:46:25.898462
28-Aug-25,MPE,Grande Prairie,14,Sexsmith,0,www.footballalberta.ab.ca,2025-12-07T07:46:25.940975
28-Aug-25,PSK(EX),Medicine Hat,40,Winston Churchill,0,www.footballalberta.ab.ca,2025-12-07T07:46:25.985978
28-Aug-25,RKV,Chestermere,7,Cochrane,41,www.footballalberta.ab.ca,2025-12-07T07:46:26.028495
28-Aug-25,WHE(EX),St. Paul,42,Lacombe,0,www.footballalberta.ab.ca,2025-12-07T07:46:26.073494
29-Aug-25,BSK(EX),Drumheller,34,Strathmore,35,www.footballalberta.ab.ca,2025-12-07T07:46:26.118003
29-Aug-25,BSK(EX),Canmore,DNP,John G. Diefenbaker,DNP,www.footballalberta.ab.ca,2025-12-07T07:46:26.175097
29-Aug-25,CEN(EX),Sylvan Lake,21,Olds,17,www.footballalberta.ab.ca,2025-12-07T07:46:26.212106
29-Aug-25,CEN(EX),Notre Dame (RD),7,St. Francis,21,www.footballalberta.ab.ca,2025-12-07T07:46:26.249339
29-Aug-25,CGY(EX),Ernest Manning,16,Salisbury,17,www.footballalberta.ab.ca,2025-12-07T07:46:26.288341
30-Aug-25,CGY(EX),Bishop O'Byrne,12,Fort McMurray,14,www.footballalberta.ab.ca,2025-12-07T07:46:26.326449
29-Aug-25,CGY(EX),Holy Cross (SK),14,Notre Dame (CGY),14,www.footballalberta.ab.ca,2025-12-07T07:46:26.363449
29-Aug-25,ED1(EX),Spruce Grove,38,Peace Wapiti,6,www.footballalberta.ab.ca,2025-12-07T07:46:26.402450
29-Aug-25,ED1(EX),Paul Kane,7,Holy Rosary,33,www.footballalberta.ab.ca,2025-12-07T07:46:26.438513
29-Aug-25,ED1(EX),Jasper Place,37,All Saints,0,www.footballalberta.ab.ca,2025-12-07T07:46:26.476511
29-Aug-25,ED2(EX),St. Francis Xavier,2,Cold Lake,36,www.footballalberta.ab.ca,2025-12-07T07:46:26.513520
29-Aug-25,IND,Holy Trinity Academy,56,W.H. Croxford,0,www.footballalberta.ab.ca,2025-12-07T07:46:26.558592
29-Aug-25,PSK(EX),Raymond,38,Ross Sheppard,13,www.footballalberta.ab.ca,2025-12-07T07:46:26.597593
29-Aug-25,RKV,Bert Church,6,Springbank,9,www.footballalberta.ab.ca,2025-12-07T07:46:26.636654
29-Aug-25,RKV,George McDougall,41,Bow Valley,0,www.footballalberta.ab.ca,2025-12-07T07:46:26.673657
29-Aug-25,SOU(EX),W.R. Myers,14,Catholic Central,55,www.footballalberta.ab.ca,2025-12-07T07:46:26.711659
29-Aug-25,SOU(EX),McCoy,42,Joane Cardinal-Schubert,8,www.footballalberta.ab.ca,2025-12-07T07:46:26.748690
30-Aug-25,ED1(EX),Austin O'Brien,19,St. Joseph's,25,www.footballalberta.ab.ca,2025-12-07T07:46:26.786691
30-Aug-25,ED1(EX),Bev Facey,14,Centennial,16,www.footballalberta.ab.ca,2025-12-07T07:46:26.826817
30-Aug-25,ED2(EX),Strathcona,26,Bellerose,26,www.footballalberta.ab.ca,2025-12-07T07:46:26.874414
30-Aug-25,ED2(EX),Sturgeon,37,Cold Lake,7,www.footballalberta.ab.ca,2025-12-07T07:46:26.915617
04-Sep-25,CEN,Lindsay Thurber,26,Iron Ridge,0,www.footballalberta.ab.ca,2025-12-07T07:46:27.015156
04-Sep-25,CGY,Crescent Heights (CGY),6,Our Lady of the Rockies,15,www.footballalberta.ab.ca,2025-12-07T07:46:27.066492
04-Sep-25,CGY,Robert Thirsk,6,Bishop O'Byrne,38,www.footballalberta.ab.ca,2025-12-07T07:46:27.105498
04-Sep-25,CGY,St. Mary's,16,Dr. E.P. Scarlett,26,www.footballalberta.ab.ca,2025-12-07T07:46:27.144011
04-Sep-25,CGY,Central Memorial,34,John G. Diefenbaker,2,www.footballalberta.ab.ca,2025-12-07T07:46:27.188010
