"TeamName","State","URL","Date","Location","Opponent","WL","Score","OpponentURL","ScrapedAt","Status"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","8/23","vs","Southside Christian","W","41-7","https://www.maxpreps.com/sc/simpsonville/southside-christian-sabres/football/","2025-02-07T20:40:12.478396","Processed"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","8/30","@","Powdersville","W","53-43","https://www.maxpreps.com/sc/greenville/powdersville-patriots/football/","2025-02-07T20:40:12.530736","Processed"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","9/6","vs","Batesburg-Leesville","L","37-35","https://www.maxpreps.com/sc/batesburg/batesburg-leesville-panthers/football/","2025-02-07T20:40:12.600617","Processed"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","9/13","@","Ninety Six","W","49-28","https://www.maxpreps.com/sc/ninety-six/ninety-six-wildcats/football/","2025-02-07T20:40:12.669432","Processed"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","10/11","@","Calhoun Falls Charter","W","56-0","https://www.maxpreps.com/sc/calhoun-falls/calhoun-falls-charter-blue-flashes/football/","2025-02-07T20:40:12.754951","Processed"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","10/18","vs","Whitmire","W","59-0","https://www.maxpreps.com/sc/whitmire/whitmire-wolverines/football/","2025-02-07T20:40:12.822986","Processed"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","10/25","@","Dixie","W","63-14","https://www.maxpreps.com/sc/due-west/dixie-hornets/football/","2025-02-07T20:40:12.887453","Processed"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","11/1","vs","Ware Shoals","W","69-6","https://www.maxpreps.com/sc/ware-shoals/ware-shoals-hornets/football/","2025-02-07T20:40:12.939698","Processed"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","11/8","@","McCormick","W","48-6","https://www.maxpreps.com/sc/mccormick/mccormick-chiefs/football/","2025-02-07T20:40:12.998848","Processed"
"Abbeville (SC)","(SC)","https://www.maxpreps.com/sc/abbeville/abbeville-panthers/football/schedule/","11/15","vs","C.A. Johnson","W","48-0","https://www.maxpreps.com/sc/columbia/ca-johnson-hornets/football/","2025-02-07T20:40:13.073731","Processed"
