"TeamName","State","URL","Date","Location","Opponent","WL","Score","OpponentURL","ScrapedAt","Status"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","8/30","vs","Princeville","L","38-12","https://www.maxpreps.com/il/princeville/princeville-princes/football/","2025-02-10T17:05:16.825791","Processed"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","9/6","@","Astoria/VIT","W","28-6","https://www.maxpreps.com/il/astoria/astoria-vit-rebels/football/","2025-02-10T17:05:16.885416","Processed"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","9/13","vs","Stark County","L","40-16","https://www.maxpreps.com/il/toulon/stark-county-rebels/football/","2025-02-10T17:05:16.938082","Processed"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","9/20","vs","Rushville-Industry","L","40-32","https://www.maxpreps.com/il/rushville/rushville-industry-rockets/football/","2025-02-10T17:05:16.991174","Processed"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","9/27","@","Annawan-Wethersfield","L","36-0","https://www.maxpreps.com/il/kewanee/annawan-wethersfield-titans/football/","2025-02-10T17:05:17.060571","Processed"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","10/4","vs","Monmouth United","W","28-18","https://www.maxpreps.com/il/monmouth/monmouth-united-red-storm/football/","2025-02-10T17:05:17.110210","Processed"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","10/7","@","Monmouth United","W","48-12","https://www.maxpreps.com/il/monmouth/monmouth-united-red-storm/football/","2025-02-10T17:05:17.156638","Processed"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","10/11","@","Havana","W","36-34","https://www.maxpreps.com/il/havana/havana-ducks/football/","2025-02-10T17:05:17.223617","Processed"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","10/18","vs","Elmwood/Brimfield","L","55-32","https://www.maxpreps.com/il/elmwood/elmwood-brimfield-trojans/football/","2025-02-10T17:05:17.273200","Processed"
"Abingdon Avon (IL)","(IL)","https://www.maxpreps.com/il/abingdon/abingdon-avon-tornadoes/football/schedule/","10/25","@","ROWVA/Williamsfield","L","63-26","https://www.maxpreps.com/il/oneida/rowva-williamsfield-cougars/football/","2025-02-10T17:05:17.358083","Processed"
