"TeamName","State","URL","Date","Location","Opponent","WL","Score","OpponentURL","ScrapedAt","Status"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","8/29","vs","Montague","W","48-7","https://www.maxpreps.com/mi/montague/montague-wildcats/football/","2025-02-08T18:22:35.997807","Processed"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","9/6","@","Greenville","W","35-7","https://www.maxpreps.com/mi/greenville/greenville-yellow-jackets/football/","2025-02-08T18:22:36.109780","Processed"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","9/13","@","Unity Christian","L","44-20","https://www.maxpreps.com/mi/hudsonville/unity-christian-crusaders/football/","2025-02-08T18:22:36.182577","Processed"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","9/20","vs","Christian","W","51-6","https://www.maxpreps.com/mi/grand-rapids/christian-eagles/football/","2025-02-08T18:22:36.266839","Processed"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","9/27","vs","Hamilton","W","27-8","https://www.maxpreps.com/mi/hamilton/hamilton-hawkeyes/football/","2025-02-08T18:22:36.352254","Processed"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","10/4","@","Spring Lake","W","34-28","https://www.maxpreps.com/mi/spring-lake/spring-lake-lakers/football/","2025-02-08T18:22:36.410684","Processed"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","10/11","vs","West Catholic","L","24-23","https://www.maxpreps.com/mi/grand-rapids/west-catholic-falcons/football/","2025-02-08T18:22:36.460394","Processed"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","10/18","@","Wayland","W","48-28","https://www.maxpreps.com/mi/wayland/wayland-wildcats/football/","2025-02-08T18:22:36.509399","Processed"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","10/25","vs","Reeths-Puffer","W","35-28","https://www.maxpreps.com/mi/muskegon/reeths-puffer-rockets/football/","2025-02-08T18:22:36.561910","Processed"
"Ada Forest Hills (MI)","(MI)","https://www.maxpreps.com/mi/ada/forest-hills-eastern-hawks/football/schedule/","11/1","vs","Whitehall","L","28-21","https://www.maxpreps.com/mi/whitehall/whitehall-vikings/football/","2025-02-08T18:22:36.615915","Processed"
"Addison (MI)","(MI)","https://www.maxpreps.com/mi/addison/addison-panthers/football/schedule/","8/29","@","Clintondale","W","20-12","https://www.maxpreps.com/mi/clinton-township/clintondale-dragons/football/","2025-02-08T18:22:50.461684","Processed"
"Addison (MI)","(MI)","https://www.maxpreps.com/mi/addison/addison-panthers/football/schedule/","9/6","@","Manchester","L","20-8","https://www.maxpreps.com/mi/manchester/manchester-flying-dutchmen/football/","2025-02-08T18:22:50.561148","Processed"
"Addison (MI)","(MI)","https://www.maxpreps.com/mi/addison/addison-panthers/football/schedule/","9/13","vs","East Jackson","W","46-8","https://www.maxpreps.com/mi/jackson/east-jackson-trojans/football/","2025-02-08T18:22:50.628178","Processed"
"Addison (MI)","(MI)","https://www.maxpreps.com/mi/addison/addison-panthers/football/schedule/","9/20","@","Columbia Central","L","38-8","https://www.maxpreps.com/mi/brooklyn/columbia-central-golden-eagles/football/","2025-02-08T18:22:50.706420","Processed"
"Addison (MI)","(MI)","https://www.maxpreps.com/mi/addison/addison-panthers/football/schedule/","9/27","vs","Jonesville","L","46-0","https://www.maxpreps.com/mi/jonesville/jonesville-comets/football/","2025-02-08T18:22:50.793910","Processed"
"Addison (MI)","(MI)","https://www.maxpreps.com/mi/addison/addison-panthers/football/schedule/","10/4","@","Homer","W","60-22","https://www.maxpreps.com/mi/homer/homer-trojans/football/","2025-02-08T18:22:50.855300","Processed"
"Addison (MI)","(MI)","https://www.maxpreps.com/mi/addison/addison-panthers/football/schedule/","10/11","vs","Hanover-Horton","L","42-0","https://www.maxpreps.com/mi/horton/hanover-horton-comets/football/","2025-02-08T18:22:50.916579","Processed"
"Addison (MI)","(MI)","https://www.maxpreps.com/mi/addison/addison-panthers/football/schedule/","10/18","@","Vandercook Lake","W","44-7","https://www.maxpreps.com/mi/jackson/vandercook-lake-jayhawks/football/","2025-02-08T18:22:51.038514","Processed"
