Date,Season,Level,Host,HostState,Opponent,OpponentState,Score1,Score2,GameLink,OpponentLink,OpponentID
2016-05-05,2016,Varsity,St. Mary Crusaders (ON),ON,Gananoque (ON),ON,3,1,https://scorestream.com/game/st-mary-vs-gananoque-751739,https://scorestream.com/team/gananoque-trojans-281541,281541
2016-05-06,2016,Varsity,St. Mary Crusaders (ON),ON,Smiths Falls District Collegiate Institute (ON),ON,5,20,https://scorestream.com/game/smiths-falls-district-collegiate-institute-vs-st-mary-734214,https://scorestream.com/team/smiths-falls-district-collegiate-institute-redhawks-281720,281720
2016-05-06,2016,Varsity,St. Mary Crusaders (ON),ON,St. Michael Catholic (ON),ON,10,10,https://scorestream.com/game/st-michael-catholic-vs-st-mary-741500,https://scorestream.com/team/st-michael-catholic-high-school-mustangs-281707,281707
2016-05-09,2016,Varsity,St. Mary Crusaders (ON),ON,Athens District (ON),ON,9,3,https://scorestream.com/game/athens-district-vs-st-mary-751741,https://scorestream.com/team/athens-district-high-school-warriors-281591,281591
2016-05-09,2016,JV,St. Mary Crusaders JV (ON),ON,Gananoque JV (ON),ON,4,1,https://scorestream.com/game/gananoque-vs-st-mary-742799,https://scorestream.com/team/gananoque-trojans-281541,281541
2016-05-10,2016,Varsity,St. Mary Crusaders (ON),ON,South Grenville District (ON),ON,9,9,https://scorestream.com/game/st-mary-vs-south-grenville-district-762917,https://scorestream.com/team/south-grenville-district-high-school-giants-281705,281705
2016-05-11,2016,JV,St. Mary Crusaders JV (ON),ON,Rideau District JV (ON),ON,0,0,https://scorestream.com/game/rideau-district-vs-st-mary-763065,https://scorestream.com/team/rideau-district-high-school-lions-281704,281704
2016-05-11,2016,Varsity,St. Mary Crusaders (ON),ON,St. Michael Catholic (ON),ON,0,0,https://scorestream.com/game/st-mary-vs-st-michael-catholic-751748,https://scorestream.com/team/st-michael-catholic-high-school-mustangs-281707,281707
2016-05-11,2016,Varsity,St. Mary Crusaders (ON),ON,Thousand Islands (ON),ON,0,0,https://scorestream.com/game/st-mary-vs-thousand-islands-751749,https://scorestream.com/team/thousand-islands-secondary-school-pirates-281540,281540
2016-09-09,2016,Varsity,Holy Trinity Catholic Titans (ON),ON,Ud Jesuit (MI),MI,56,8,https://scorestream.com/game/holy-trinity-catholic-vs-ud-jesuit-879850,https://scorestream.com/team/university-of-detroit-jesuit-high-school-cubs-243391,243391
2016-10-13,2016,Varsity,Father Michael Goetz Gators (ON),ON,Clarkson (ON),ON,24,10,https://scorestream.com/game/father-michael-goetz-vs-clarkson-913902,https://scorestream.com/team/clarkson-secondary-school-chargers-291210,291210
2016-10-13,2016,Varsity,Nottawasaga Pines Timber Wolves (ON),ON,Collingwood Collegiate Institute (ON),ON,36,20,https://scorestream.com/game/nottawasaga-pines-vs-collingwood-collegiate-institute-913894,https://scorestream.com/team/collingwood-collegiate-institute-owls-291201,291201
2016-10-14,2016,Varsity,Holy Cross Hurricanes (ON),ON,Mother Teresa Catholic (ON),ON,28,14,https://scorestream.com/game/holy-cross-vs-mother-teresa-catholic-914356,https://scorestream.com/team/mother-teresa-catholic-secondary-school-spartans-291147,291147
2016-10-17,2016,JV,Widdifield Wildcats JV (ON),ON,École Secondaire Catholique Algonquin JV (ON),ON,52,0,https://scorestream.com/game/cole-secondaire-catholique-algonquin-vs-widdifield-915957,https://scorestream.com/team/cole-secondaire-catholique-algonquin-barons-291349,291349
2016-10-21,2016,Varsity,Almonte And District Thuderbolts (ON),ON,Perth And District Collegiate Institute (ON),ON,23,14,https://scorestream.com/game/perth-and-district-collegiate-institute-vs-almonte-and-district-921160,https://scorestream.com/team/perth-and-district-collegiate-institute-blue-devils-291255,291255
2016-10-21,2016,Varsity,St. Theresa Catholic Titans (ON),ON,St. Joseph'S (ON),ON,42,21,https://scorestream.com/game/st-josephs-vs-st-theresa-catholic-920899,https://scorestream.com/team/st-josephs-secondary-school-panthers-291148,291148
2016-10-26,2016,Varsity,Nottawasaga Pines Timber Wolves (ON),ON,Nantyr Shores (ON),ON,48,0,https://scorestream.com/game/nottawasaga-pines-vs-nantyr-shores-926584,https://scorestream.com/team/nantyr-shores-secondary-school-tritons-291266,291266
2016-11-02,2016,Varsity,Father Michael Goetz Gators (ON),ON,St. Ignatius Of Loyola (ON),ON,21,0,https://scorestream.com/game/father-michael-goetz-vs-st-ignatius-of-loyola-934419,https://scorestream.com/team/st-ignatius-of-loyola-secondary-school-hawks-279753,279753
2016-11-04,2016,Varsity,Almonte And District Thuderbolts (ON),ON,Arnprior District (ON),ON,34,14,https://scorestream.com/game/almonte-and-district-vs-arnprior-district-935824,https://scorestream.com/team/arnprior-district-high-school-rapids-283254,283254
2016-11-22,2016,Varsity,Mckinnon Park Blue Devils (ON),ON,Sir Allan Macnab (ON),ON,32,22,https://scorestream.com/game/sir-allan-macnab-vs-mckinnon-park-959011,https://scorestream.com/team/sir-allan-macnab-secondary-lions-279075,279075
2016-11-23,2016,Varsity,Holy Cross Hurricanes (ON),ON,St. Thomas Aquinas Catholic (ON),ON,7,2,https://scorestream.com/game/holy-cross-vs-st-thomas-aquinas-catholic-959009,https://scorestream.com/team/st-thomas-aquinas-catholic-secondary-school-raiders-279760,279760
2016-11-26,2016,Varsity,Adam Scott Collegiate Lions (ON),ON,Villanova (ON),ON,0,0,https://scorestream.com/game/adam-scott-collegiate-vs-villanova-958236,https://scorestream.com/team/villanova-wildcats-279550,279550
2016-12-06,2016,Varsity,David And Mary Thomson Collegiate Institute Titans (ON),ON,Sir Oliver Mowat Collegiate Institute (ON),ON,81,59,https://scorestream.com/game/david-and-mary-thomson-collegiate-institute-vs-sir-oliver-mowat-collegiate-institute-1051301,https://scorestream.com/team/sir-oliver-mowat-collegiate-institute-mustangs-291426,291426
2016-12-09,2016,Varsity,Holy Cross Hurricanes (ON),ON,Catholic Central (ON),ON,5,3,https://scorestream.com/game/holy-cross-vs-catholic-central-1051540,https://scorestream.com/team/catholic-central-high-school-crusaders-283212,283212
2017-05-31,2017,Varsity,Father Michael Goetz Gators (ON),ON,North Park (ON),ON,15,8,https://scorestream.com/game/north-park-vs-father-michael-goetz-1335943,https://scorestream.com/team/north-park-collegiate-trojans-279844,279844
2017-06-01,2017,Varsity,Adam Scott Collegiate Lions (ON),ON,Georgian Bay (ON),ON,82,0,https://scorestream.com/game/georgian-bay-vs-adam-scott-collegiate-1335620,https://scorestream.com/team/georgian-bay-secondary-thunder-296261,296261
2017-06-01,2017,Varsity,David And Mary Thomson Collegiate Institute Titans (ON),ON,Oakville Trafalgar (ON),ON,41,5,https://scorestream.com/game/david-and-mary-thomson-collegiate-institute-vs-oakville-trafalgar-1335926,https://scorestream.com/team/oakville-trafalgar-high-school-red-devils-279758,279758
2017-06-01,2017,Varsity,St Peter Catholic Knights (ON),ON,Nantyr Shores (ON),ON,37,12,https://scorestream.com/game/st-peter-catholic-vs-nantyr-shores-1335929,https://scorestream.com/team/nantyr-shores-secondary-school-tritons-291266,291266
2017-06-02,2017,Varsity,Adam Scott Collegiate Lions (ON),ON,Brookfield (ON),ON,22,10,https://scorestream.com/game/brookfield-vs-adam-scott-collegiate-1336354,https://scorestream.com/team/brookfield-high-school-blues-296262,296262
2017-06-03,2017,Varsity,Adam Scott Collegiate Lions (ON),ON,Ashbury College (ON),ON,20,0,https://scorestream.com/game/ashbury-college-vs-adam-scott-collegiate-1338346,https://scorestream.com/team/ashbury-college-colts-279779,279779
2017-09-15,2017,Varsity,École Secondaire Catholique Franco-Cité Faucons (ON),ON,Chippewa (ON),ON,0,0,https://scorestream.com/game/cole-secondaire-catholique-franco-cit-vs-chippewa-1483195,https://scorestream.com/team/chippewa-secondary-school-raiders-298447,298447
2017-09-15,2017,Varsity,Chippewa Raiders (ON),ON,Franco-Cite (ON),ON,0,36,https://scorestream.com/game/franco-cite-vs-chippewa-1483197,https://scorestream.com/team/franco-cite-patriotes-298448,298448
2017-09-15,2017,Varsity,Widdifield Wildcats (ON),ON,École Secondaire Catholique Algonquin (ON),ON,41,12,https://scorestream.com/game/widdifield-vs-cole-secondaire-catholique-algonquin-1483199,https://scorestream.com/team/cole-secondaire-catholique-algonquin-barons-291349,291349
2017-09-21,2017,Varsity,Ernestown Eagles (ON),ON,Frontenac (ON),ON,39,6,https://scorestream.com/game/ernestown-vs-frontenac-1464866,https://scorestream.com/team/frontenac-secondary-school-falcons-282916,282916
2017-09-21,2017,Varsity,Haliburton Highlands Redhawks (ON),ON,Fenelon Falls (ON),ON,0,35,https://scorestream.com/game/fenelon-falls-vs-haliburton-highlands-1464978,https://scorestream.com/team/fenelon-falls-secondary-school-falcons-279802,279802
2017-09-21,2017,Varsity,Sir Wilfrid Laurier Rams (ON),ON,Oakridge (ON),ON,7,41,https://scorestream.com/game/sir-wilfrid-laurier-vs-oakridge-1465021,https://scorestream.com/team/oakridge-secondary-school-oak-leafs-273577,273577
2017-09-21,2017,Varsity,Widdifield Wildcats (ON),ON,École Secondaire Catholique Algonquin (ON),ON,41,12,https://scorestream.com/game/widdifield-vs-cole-secondaire-catholique-algonquin-1465775,https://scorestream.com/team/cole-secondaire-catholique-algonquin-barons-291349,291349
2017-09-22,2017,Varsity,Adam Scott Collegiate Lions (ON),ON,Crestwood (ON),ON,24,0,https://scorestream.com/game/adam-scott-collegiate-vs-crestwood-1464994,https://scorestream.com/team/crestwood-secondary-school-mustangs-279801,279801
2017-09-22,2017,Varsity,Widdifield Wildcats (ON),ON,Chippewa (ON),ON,14,33,https://scorestream.com/game/chippewa-vs-widdifield-1483200,https://scorestream.com/team/chippewa-secondary-school-raiders-298447,298447
2017-09-22,2017,Varsity,Holy Cross Hurricanes (ON),ON,Thomas A. Stewart (ON),ON,8,44,https://scorestream.com/game/thomas-a-stewart-vs-holy-cross-1464993,https://scorestream.com/team/thomas-a-stewart-secondary-school-griffins-279816,279816
2017-09-24,2017,Varsity,École Secondaire Catholique Algonquin Barons (ON),ON,West Ferris (ON),ON,39,15,https://scorestream.com/game/cole-secondaire-catholique-algonquin-vs-west-ferris-1470434,https://scorestream.com/team/west-ferris-secondary-school-trojans-291352,291352
2017-09-26,2017,Varsity,St. Theresa Catholic Titans (ON),ON,Bayside (ON),ON,16,0,https://scorestream.com/game/bayside-vs-st-theresa-catholic-1471562,https://scorestream.com/team/bayside-secondary-school-red-devils-296276,296276
2017-09-27,2017,Varsity,Adam Scott Collegiate Lions (ON),ON,Holy Cross (ON),ON,6,23,https://scorestream.com/game/adam-scott-collegiate-vs-holy-cross-1464995,https://scorestream.com/team/holy-cross-high-school-hurricanes-279804,279804
2017-09-27,2017,Varsity,St Peter Catholic Knights (ON),ON,Colonel By (ON),ON,0,37,https://scorestream.com/game/st-peter-catholic-vs-colonel-by-1473303,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304,298304
2017-09-27,2017,Varsity,Ernestown Eagles (ON),ON,La Salle (ON),ON,6,36,https://scorestream.com/game/la-salle-vs-ernestown-1464872,https://scorestream.com/team/la-salle-secondary-school-black-knights-283157,283157
2017-09-27,2017,Varsity,Sir Wilfrid Laurier Rams (ON),ON,Glendale (ON),ON,0,25,https://scorestream.com/game/sir-wilfrid-laurier-vs-glendale-1465030,https://scorestream.com/team/glendale-high-school-gemini-291191,291191
2017-09-27,2017,Varsity,Napanee District Hawks (ON),ON,Sydenham (ON),ON,21,10,https://scorestream.com/game/napanee-district-vs-sydenham-1464871,https://scorestream.com/team/sydenham-high-school-golden-eagles-283158,283158
2017-09-27,2017,Varsity,École Secondaire Catholique Franco-Cité Faucons (ON),ON,St. Mark Catholic (ON),ON,17,22,https://scorestream.com/game/cole-secondaire-catholique-franco-cit-vs-st-mark-catholic-1473302,https://scorestream.com/team/st-mark-catholic-high-school-lions-298300,298300
2017-09-28,2017,Varsity,Glebe Collegiate Institute Gryphons (ON),ON,Immaculata (ON),ON,27,20,https://scorestream.com/game/immaculata-vs-glebe-collegiate-institute-1473305,https://scorestream.com/team/immaculata-high-school-saints-298303,298303
2017-09-29,2017,Varsity,Almonte And District Thuderbolts (ON),ON,St John Catholic (ON),ON,21,14,https://scorestream.com/game/st-john-catholic-vs-almonte-and-district-1477645,https://scorestream.com/team/st-john-catholic-high-school-spartans-283147,283147
2017-09-29,2017,Varsity,Chippewa Raiders (ON),ON,West Ferris (ON),ON,0,0,https://scorestream.com/game/chippewa-vs-west-ferris-1483205,https://scorestream.com/team/west-ferris-secondary-school-trojans-291352,291352
2017-09-29,2017,Varsity,Widdifield Wildcats (ON),ON,Franco-Cite (ON),ON,13,29,https://scorestream.com/game/franco-cite-vs-widdifield-1483204,https://scorestream.com/team/franco-cite-patriotes-298448,298448
2017-09-29,2017,Varsity,École Secondaire Catholique Algonquin Barons (ON),ON,St. Joseph-Scollard Hall Catholic (ON),ON,6,0,https://scorestream.com/game/cole-secondaire-catholique-algonquin-vs-st-joseph-scollard-hall-catholic-1483203,https://scorestream.com/team/st-joseph-scollard-hall-catholic-secondary-school-bears-297903,297903
2017-10-02,2017,Varsity,St. Theresa Catholic Titans (ON),ON,Moira (ON),ON,10,8,https://scorestream.com/game/st-theresa-catholic-vs-moira-1478813,https://scorestream.com/team/moira-secondary-school-trojans-279787,279787
2017-10-03,2017,Varsity,École Secondaire Catholique Franco-Cité Faucons (ON),ON,Widdifield (ON),ON,29,13,https://scorestream.com/game/widdifield-vs-cole-secondaire-catholique-franco-cit-1480150,https://scorestream.com/team/widdifield-secondary-school-wildcats-291347,291347
2017-10-05,2017,Varsity,St Peter Catholic Knights (ON),ON,Ashbury College (ON),ON,61,20,https://scorestream.com/game/ashbury-college-vs-st-peter-catholic-1473307,https://scorestream.com/team/ashbury-college-colts-279779,279779
2017-10-05,2017,Varsity,Thomas A. Stewart Griffins (ON),ON,Fenelon Falls (ON),ON,10,16,https://scorestream.com/game/fenelon-falls-vs-thomas-a-stewart-1465000,https://scorestream.com/team/fenelon-falls-secondary-school-falcons-279802,279802
2017-10-05,2017,Varsity,École Secondaire Catholique Algonquin Barons (ON),ON,Franco-Cite (ON),ON,7,16,https://scorestream.com/game/franco-cite-vs-cole-secondaire-catholique-algonquin-1483207,https://scorestream.com/team/franco-cite-patriotes-298448,298448
2017-10-05,2017,Varsity,Napanee District Hawks (ON),ON,Frontenac (ON),ON,0,2,https://scorestream.com/game/frontenac-vs-napanee-district-1464882,https://scorestream.com/team/frontenac-secondary-school-falcons-282916,282916
2017-10-05,2017,Varsity,Haliburton Highlands Redhawks (ON),ON,Holy Cross (ON),ON,0,0,https://scorestream.com/game/haliburton-highlands-vs-holy-cross-1464999,https://scorestream.com/team/holy-cross-high-school-hurricanes-279804,279804
